#Field:candidate	AggregationKey	Score	AverageScore	NumTweets	NumTweetsWeighted	NumPositive	NumNegative	NumNeutral	FanCount	NumDistinctTweets	NumDistinctUsers	NumPopularTweets	NumVerifiedTweets
3d printing for diy NorthAmerica	201302	-0.713760949167664	-0.713760949167664	1	5.30330490805908	0	0	1	0	1	1	0	0
3d printing for diy NorthAmerica	201305	-0.722333151191254	-0.361166575595627	2	7.24064969425547	0	0	2	0	2	2	0	0
additive manufacturing Asia	201301	14.2164095562788	0.215400144792103	66	373.220529756472	25	1	40	0	66	42	0	0
additive manufacturing Asia	201302	21.6197676501285	0.260479128314802	83	458.921705597857	39	2	42	0	70	37	10	1
additive manufacturing Asia	201303	-7.48335607684856	-0.277161336179576	27	146.715372375183	6	8	13	0	27	22	0	0
additive manufacturing Asia	201304	3.17220876382905	0.0528701460638176	60	332.29581026392	22	4	34	0	56	39	4	2
additive manufacturing Asia	201305	-3.57778347146412	-0.111805733483254	32	169.880061667426	8	4	20	0	31	28	1	0
additive manufacturing Asia	201306	-4.06519306070984	-0.0864934693768051	47	278.925694688589	8	2	37	0	42	33	3	0
additive manufacturing Asia	201307	-1.12388654068211	-0.0255428759245933	44	259.250116400305	9	0	35	0	38	34	5	0
additive manufacturing Asia	201308	-10.3286625075841	-0.172144375126401	60	306.05477012772	8	6	46	0	48	40	9	0
additive manufacturing Asia	201309	-20.6041496915128	-0.231507299904638	89	490.329277551177	10	0	79	0	61	42	16	2
additive manufacturing Asia	201310	-12.5395911929868	-0.120572992240258	104	600.424077165706	16	5	83	0	85	46	11	5
additive manufacturing Asia	201311	2.97539509402279	0.0550999091485702	54	305.300082334829	18	0	36	0	43	38	7	0
additive manufacturing Asia	201312	-14.3247230040493	-0.292341285796925	49	256.520579660902	4	4	41	0	44	37	3	0
additive manufacturing Asia	201401	-18.7465580936031	-0.249954107914708	75	374.317187367308	6	1	68	0	67	51	5	0
additive manufacturing Asia	201402	-10.3044610453397	-0.107338135888955	96	542.655306905227	17	8	71	0	79	50	10	0
additive manufacturing Asia	201403	-13.9466545184891	-0.172180919981347	81	407.145365477544	13	2	66	0	70	54	7	0
additive manufacturing Asia	201404	-20.7023255288969	-0.217919216093652	95	542.026264844799	12	4	79	0	85	51	8	0
additive manufacturing Asia	201405	-1.49590417866898	-0.0115069552205306	130	734.924448500903	34	16	80	0	93	77	25	5
additive manufacturing Asia	201406	5.38820271874485	0.0411313184637012	131	762.37876193618	37	6	88	0	105	68	10	10
additive manufacturing Asia	201407	6.02323059223239	0.0267699137432551	225	1252.50993147706	60	6	159	0	175	106	32	7
additive manufacturing Asia	201408	125.56248011526	0.615502353506176	204	476.304780223654	146	4	54	0	199	56	4	0
additive manufacturing Asia	201409	1.84217533803023	0.0216726510356498	85	586.74643446991	33	0	52	0	60	43	13	2
additive manufacturing Asia	201410	-4.12927809722563	-0.0382340564557929	108	651.725517118973	21	3	84	0	80	61	14	4
additive manufacturing Asia	201411	15.3293229692036	0.101518695160289	151	982.167076374884	69	10	72	0	90	65	22	1
additive manufacturing Asia	201412	-4.08165941238061	-0.226758856243367	18	88.460224750916	0	0	18	0	11	9	4	0
