wearable tech fashion,219,73
uber,83073,340069
cjis,217,1906
machine parts,290,583
netflix,245866,764781
tableau,3905,20195
big data,132033,286948
smart watches,3319,9094
michael's data breach,0,1
siri,232354,243835
target data breach,0,1807
smart cities,2238,33679
excel power bi ,0,5
digital health,4519,11346
cortana,1640,52901
square,767319,1393274
big data ,114039,256354
business intelligence tools,167,238
data mining,9500,31433
gett,8131,7888
paypal reader,1,0
jp morgan data breach,0,259
connected homes,1336,7844
television on demand,7,182
power bi,455,3572
additive manufacturing,666,1381
google now,31542,47387
home depot data breach,0,352
smart machines,481,2937
hbogo,869,1200
predictive analytics,4599,14240
connected cars,1314,2890
bing prediction,0,339
fitness bands,186,3349
drone shipping,0,3
artificial intelligence,13083,34563
hipaa,2092,3764
google wallet,6214,10084
wearable computers,996,760
ubiquitous computing,224,306
iot,18752,123374
data scientist,3711,8070
replacement limbs/organs,43,122
applepay,2,25988
mobile banking,7742,9953
ferpa,85,83
qlik,232,1347
mobile health,2487,3561
