wearable tech fashion,31,6
uber,25609,29054
cjis,2,6
machine parts,12,9
applepay,7,751
netflix,97676,235089
tableau,1305,1850
big data,21850,33703
smart watches,334,627
big data ,19002,30641
siri,20992,21331
target data breach,0,195
smart cities,800,1931
digital health,683,991
cortana,720,5479
square,177661,113481
smart machines,72,30
business intelligence tools,15,33
replacement limbs/organs,4,9
jp morgan data breach,0,6
connected homes,115,554
additive manufacturing,44,119
power bi,56,342
television on demand,2,0
google now,16067,28198
home depot data breach,0,36
hbogo,315,329
data mining,1066,1073
predictive analytics,496,697
connected cars,149,272
bing prediction,0,14
fitness bands,9,100
artificial intelligence,2007,4445
hipaa,600,321
google wallet,721,978
wearable computers,126,115
iot,3236,14043
data scientist,539,944
ubiquitous computing,30,34
gett,2245,1442
mobile banking,344,377
ferpa,116,111
qlik,35,214
mobile health,329,516
