wearable tech fashion,1302,923
uber,794494,3072893
cjis,798,1092
machine parts,2726,5366
netflix,14697915,24392092
tableau,52943,86556
big data,1471677,2366605
smart watches,20134,51060
michael's data breach,0,42
siri,2186773,2023439
target data breach,0,74736
contextually aware computing,1,4
excel power bi ,2,51
digital health,85935,218646
connected cars,9704,21115
square,7258588,8314417
big data ,1310869,2146616
business intelligence tools,1460,1433
data mining,85477,98063
gett,398160,170660
paypal reader,75,53
jp morgan data breach,0,1155
connected homes,11476,47620
television on demand,181,33
power bi,7543,21174
additive manufacturing,9726,42872
google now,147258,184069
home depot data breach,0,7151
smart machines,4348,3621
hbogo,73972,116961
smart cities,17813,47406
predictive analytics,44714,85642
cortana,27599,249093
bing prediction,6,3333
fitness bands,3930,12151
drone shipping,2,174
3d printing for diy,3,0
artificial intelligence,78011,214253
hipaa,105345,134186
google wallet,39647,71704
wearable computers,7296,6515
ubiquitous computing,3032,1691
iot,173114,1151215
data scientist,38655,79829
replacement limbs/organs,458,1243
applepay,4,144514
mobile banking,44146,45290
ferpa,6456,10681
qlik,2301,16014
mobile health,38572,50415
