#Field:candidate	Id	NumTweets	NumPositive	NumNegative	NumNeutral	NumDistinctTweets	NumDistinctUsers	NumPopularTweets	NumVerifiedTweets
adorn-song of the year	w6	61	49	6	6	57	55	3	0
adorn-song of the year	w4	21	10	1	10	19	19	2	0
set fire to the rain (live)-best pop solo performance	w4	8	5	2	1	8	8	0	0
set fire to the rain (live)-best pop solo performance	w1	84	68	2	14	52	47	9	4
set fire to the rain (live)-best pop solo performance	w5	8	5	2	1	8	8	0	0
adorn-song of the year	w3	24	12	1	11	22	22	2	0
adorn-song of the year	w1	75	44	4	27	68	65	6	1
set fire to the rain (live)-best pop solo performance	w6	6	6	0	0	6	6	0	0
set fire to the rain (live)-best pop solo performance	w2	71	55	4	12	41	36	8	2
set fire to the rain (live)-best pop solo performance	w3	37	31	3	3	24	22	3	0
adorn-song of the year	w2	26	13	2	11	24	24	2	1
adorn-song of the year	w5	16	12	1	3	15	15	1	0
babel-album of the year	w6	32	23	3	6	29	29	3	0
babel-album of the year	w4	23	18	2	3	22	22	1	0
some nights-album of the year	w4	19	18	0	1	19	19	0	0
so you don't have to love me anymore-best country song	w1	2	2	0	0	2	2	0	1
some nights-album of the year	w5	29	29	0	0	29	29	0	0
babel-album of the year	w3	32	17	4	11	30	30	2	0
babel-album of the year	w1	205	159	10	36	196	192	8	0
some nights-album of the year	w6	38	36	1	1	36	36	2	0
so you don't have to love me anymore-best country song	w2	1	1	0	0	1	1	0	1
some nights-album of the year	w3	23	21	0	2	22	22	1	0
babel-album of the year	w2	47	20	8	19	42	42	4	0
babel-album of the year	w5	26	20	2	4	24	24	2	0
based on a t.r.u. story-best rap album	w6	260	240	17	3	207	201	30	1
based on a t.r.u. story-best rap album	w4	60	56	1	3	57	56	3	1
some nights-best pop vocal album	w4	4	4	0	0	4	4	0	0
some nights-album of the year	w1	191	176	0	15	176	173	8	2
some nights-best pop vocal album	w5	2	2	0	0	2	2	0	0
based on a t.r.u. story-best rap album	w3	68	63	1	4	60	59	7	1
based on a t.r.u. story-best rap album	w1	119	94	20	5	93	92	18	2
some nights-best pop vocal album	w6	3	3	0	0	3	3	0	0
some nights-album of the year	w2	27	23	0	4	25	25	2	0
some nights-best pop vocal album	w3	6	6	0	0	6	6	0	0
based on a t.r.u. story-best rap album	w2	66	57	5	4	57	56	8	2
based on a t.r.u. story-best rap album	w5	203	192	10	1	160	157	23	1
blown away-best country song	w6	1	1	0	0	1	1	0	0
blown away-best country song	w4	1	1	0	0	1	1	0	0
somebody that i used to know-record of the year	w4	21	5	3	13	13	13	3	0
some nights-best pop vocal album	w1	6	6	0	0	6	6	0	0
somebody that i used to know-record of the year	w5	20	5	1	14	12	12	3	0
blown away-best country song	w3	1	1	0	0	1	1	0	0
blown away-best country song	w1	19	16	0	3	16	16	2	1
somebody that i used to know-record of the year	w6	33	19	2	12	30	29	2	0
some nights-best pop vocal album	w2	5	5	0	0	5	5	0	0
somebody that i used to know-record of the year	w3	25	6	3	16	17	15	3	0
blown away-best country song	w2	2	2	0	0	2	2	0	1
blunderbuss-album of the year	w5	14	6	1	7	13	13	1	0
blunderbuss-album of the year	w6	24	11	1	12	19	19	3	4
blunderbuss-album of the year	w4	33	6	0	27	31	31	2	0
springsteen-best country song	w4	2	0	2	0	1	1	1	0
somebody that i used to know-record of the year	w1	85	38	20	27	71	67	6	6
stronger (what doesn't kill you)-best pop solo performance	w5	3	2	1	0	3	3	0	0
blunderbuss-album of the year	w3	65	22	0	43	43	43	5	6
blunderbuss-album of the year	w1	274	53	3	218	87	87	9	173
springsteen-best country song	w6	1	1	0	0	1	1	0	0
somebody that i used to know-record of the year	w2	27	9	4	14	19	17	3	3
springsteen-best country song	w3	2	0	2	0	1	1	1	0
blunderbuss-album of the year	w2	70	25	0	45	48	48	5	6
call me maybe-best pop solo performance	w5	2	1	1	0	2	2	0	0
call me maybe-best pop solo performance	w6	4	3	0	1	4	4	0	0
call me maybe-best pop solo performance	w4	14	12	1	1	8	8	1	0
stronger (what doesn't kill you)-best pop solo performance	w4	3	2	1	0	3	3	0	0
springsteen-best country song	w1	6	4	2	0	5	5	1	1
stronger (what doesn't kill you)-song of the year	w5	3	3	0	0	2	2	1	0
call me maybe-best pop solo performance	w3	15	13	1	1	9	9	1	0
call me maybe-best pop solo performance	w1	31	24	3	4	20	20	4	1
stronger (what doesn't kill you)-best pop solo performance	w6	3	3	0	0	3	3	0	0
springsteen-best country song	w2	3	1	2	0	2	2	1	1
stronger (what doesn't kill you)-best pop solo performance	w3	4	2	2	0	4	4	0	0
call me maybe-best pop solo performance	w2	17	14	1	2	11	11	1	1
call me maybe-song of the year	w5	40	13	10	17	34	34	4	1
call me maybe-song of the year	w6	89	40	10	39	77	77	9	1
call me maybe-song of the year	w4	60	39	7	14	49	49	4	1
stronger (what doesn't kill you)-song of the year	w4	3	3	0	0	2	2	1	0
stronger (what doesn't kill you)-best pop solo performance	w1	10	8	1	1	9	9	1	1
stronger-best pop vocal album	w5	2	2	0	0	2	2	0	0
call me maybe-song of the year	w3	69	42	7	20	59	59	3	0
call me maybe-song of the year	w1	255	95	58	102	171	169	15	1
stronger (what doesn't kill you)-song of the year	w6	6	5	1	0	5	5	1	0
stronger (what doesn't kill you)-best pop solo performance	w2	4	2	2	0	4	4	0	1
stronger (what doesn't kill you)-song of the year	w3	4	3	0	1	4	4	0	0
call me maybe-song of the year	w2	86	47	9	30	76	76	3	1
ceremonials-best pop vocal album	w5	3	3	0	0	3	3	0	0
ceremonials-best pop vocal album	w6	1	1	0	0	1	1	0	0
ceremonials-best pop vocal album	w4	3	3	0	0	3	3	0	0
stronger-best pop vocal album	w4	2	2	0	0	2	2	0	0
stronger (what doesn't kill you)-song of the year	w1	77	69	0	8	42	41	3	33
stronger-record of the year	w5	1	1	0	0	1	1	0	0
ceremonials-best pop vocal album	w3	3	3	0	0	3	3	0	0
ceremonials-best pop vocal album	w1	5	4	1	0	5	4	0	0
stronger-best pop vocal album	w6	2	2	0	0	2	2	0	0
stronger (what doesn't kill you)-song of the year	w2	4	3	0	1	4	4	0	0
stronger-best pop vocal album	w3	3	3	0	0	3	3	0	0
ceremonials-best pop vocal album	w2	2	2	0	0	2	2	0	0
channel orange-album of the year	w5	97	60	18	19	82	80	6	6
channel orange-album of the year	w6	134	94	17	23	112	109	11	7
channel orange-album of the year	w4	94	53	22	19	77	75	8	6
stronger-record of the year	w4	5	2	1	2	5	5	0	0
stronger-best pop vocal album	w1	207	207	0	0	202	191	2	4
take care-best rap album	w5	63	60	2	1	58	58	4	0
channel orange-album of the year	w3	127	48	26	53	105	104	8	0
channel orange-album of the year	w1	348	223	19	106	314	308	21	0
stronger-record of the year	w6	8	7	0	1	8	8	0	0
stronger-best pop vocal album	w2	192	192	0	0	192	183	0	0
stronger-record of the year	w3	9	5	2	2	9	9	0	0
channel orange-album of the year	w2	171	56	24	91	148	146	9	0
daughters-best rap song	w5	1	0	0	1	1	1	0	0
daughters-best rap song	w6	5	5	0	0	3	3	1	0
daughters-best rap song	w4	2	1	0	1	2	2	0	0
take care-best rap album	w4	57	53	3	1	52	51	4	0
stronger-record of the year	w1	43	24	8	11	40	38	2	1
the a team-song of the year	w5	84	42	6	36	49	49	11	2
daughters-best rap song	w3	5	4	0	1	4	4	1	0
daughters-best rap song	w1	26	25	1	0	23	23	3	2
take care-best rap album	w6	98	91	4	3	81	78	7	0
stronger-record of the year	w2	14	9	2	3	14	14	0	1
take care-best rap album	w3	101	59	41	1	56	55	6	0
daughters-best rap song	w2	13	11	1	1	12	12	1	0
el camino-album of the year	w5	21	6	0	15	19	19	2	0
el camino-album of the year	w6	24	14	0	10	22	22	2	0
el camino-album of the year	w4	18	4	0	14	16	16	2	0
the a team-song of the year	w4	59	40	6	13	43	43	9	2
take care-best rap album	w1	239	169	60	10	151	150	20	0
