#Field:candidate	Id	NumTweets	NumDistinctTweets	NumDistinctUsers	PositiveRatio	NonNegativeRatio	NormalizedNumTweets	NormalizedNumDistinctTweets	NormalizedNumDistinctUsers
0 to 100/the catch up-best rap song	w3	6309	5101	4732	0.254715485813917	0.946108733555239	0.200082455917798	0.250947016283761	0.266171672854089
haim-best new artist	w1	67885	24885	20981	0.314679236944833	0.874140089857848	0.338467137999462	0.295880149812734	0.293588380163439
0 to 100/the catch up-best rap song	w5	8115	5642	4759	0.468515095502156	0.942821934688848	0.141361530153642	0.179641481198459	0.182386080558004
0 to 100/the catch up-best rap song	w4	6885	4797	4580	0.425417574437182	0.947712418300654	0.148374027541323	0.178625954198473	0.202915245226175
0 to 100/the catch up-best rap song	w2	6280	4959	4522	0.235350318471338	0.952229299363057	0.29471115491107	0.319111969111969	0.321370194016061
12 stories-best country album	w3	37	29	27	0.351351351351351	1	0.385416666666667	0.315217391304348	0.313953488372093
0 to 100/the catch up-best rap song	w1	4851	3719	3353	0.20614306328592	0.954648526077097	0.249101365923796	0.250319714612641	0.242373861500651
12 stories-best country album	w5	28	28	26	0.357142857142857	1	0.0608695652173913	0.125560538116592	0.126829268292683
12 stories-best country album	w4	27	26	24	0.296296296296296	1	0.0964285714285714	0.1625	0.162162162162162
12 stories-best country album	w2	44	36	34	0.272727272727273	0.977272727272727	0.478260869565217	0.433734939759036	0.441558441558442
a sky full of stars-best pop duo/group performance	w3	30166	25260	24264	0.77769674467944	0.989193131339919	0.0853202550047799	0.078613709782832	0.288757452784158
happy (live version)-best pop solo performance	w1	18962	15612	13858	0.972207573040819	0.994304398270225	0.223888351004794	0.224623397551185	0.216419658613527
a sky full of stars-best pop duo/group performance	w5	41706	28534	26539	0.719584712031842	0.874646333860835	0.0496967385993971	0.0360646620912802	0.298704514502459
a sky full of stars-best pop duo/group performance	w4	29665	26097	25086	0.823495702005731	0.989617394235631	0.0489676597205715	0.0465646171716505	0.278628073838772
a sky full of stars-best pop duo/group performance	w2	26960	22270	21494	0.763538575667656	0.988649851632047	0.265518973379162	0.278754803419659	0.283229453543992
ain't it fun-best rock song	w3	8751	5549	5446	0.968917837961376	0.980459376071306	0.266408913784705	0.300027034333604	0.300568464043269
12 stories-best country album	w1	41	33	31	0.268292682926829	0.975609756097561	0.37962962962963	0.362637362637363	0.364705882352941
ain't it fun-best rock song	w5	9955	5725	5598	0.979909593169262	0.988749372174787	0.177955345810765	0.253576648801878	0.254315827730329
ain't it fun-best rock song	w4	7903	5407	5305	0.969252182715425	0.979374920916108	0.170382028285616	0.253552168815944	0.254656298003072
ain't it fun-best rock song	w2	9678	5232	5101	0.966522008679479	0.981814424467865	0.363711526175354	0.313650260775733	0.3120068505719
all about that bass-record of the year	w3	60609	50569	48876	0.314623240772823	0.959725453315514	0.325972258824415	0.325075050944646	0.324766106740378
i-best rap song	w1	25283	16926	15617	0.31463829450619	0.764228928529051	0.245544689075141	0.261619549592717	0.256664365775893
all about that bass-record of the year	w5	59804	50665	49065	0.298909771921611	0.959802019931777	0.325235616900244	0.348045613794051	0.348524993074251
all about that bass-record of the year	w4	60701	50967	49182	0.306716528558014	0.962257623432892	0.315726783800934	0.325563717662089	0.324663665289202
all about that bass-record of the year	w2	55232	45822	44236	0.319524913093859	0.958411790266512	0.304957098843822	0.301062410890861	0.300673586047049
all about that bass-song of the year	w3	60609	50569	48876	0.314722235971555	0.959972941312346	0.325972258824415	0.325075050944646	0.324766106740378
a sky full of stars-best pop duo/group performance	w1	20207	16027	15395	0.745038847923987	0.988469342307121	0.232823679874641	0.217678297363739	0.217308452374231
all about that bass-song of the year	w5	59804	50665	49065	0.298558624841148	0.959785298642231	0.325235616900244	0.348045613794051	0.348524993074251
all about that bass-song of the year	w4	60701	50967	49182	0.306601209205779	0.962158778273834	0.315726783800934	0.325563717662089	0.324663665289202
all about that bass-song of the year	w2	55232	45822	44236	0.319995654692932	0.958103997682503	0.304957098843822	0.301062410890861	0.300673586047049
all of me (live version)-best pop solo performance	w3	45673	35784	27395	0.725439537582379	0.972390690342215	0.36444228114552	0.361242908195199	0.355585265180032
iggy azalea-best new artist	w1	446639	153304	120687	0.249413956237588	0.752025685173037	0.19742913659922	0.177859866788408	0.207176957106145
all of me (live version)-best pop solo performance	w5	40445	32324	25040	0.738855235505007	0.978415131660279	0.311525160018178	0.354562007766053	0.339332176929748
all of me (live version)-best pop solo performance	w4	42639	33728	25945	0.724946645090176	0.971012453387744	0.32519810550882	0.344015829950429	0.333500437040465
all of me (live version)-best pop solo performance	w2	44624	34340	26306	0.736195769092865	0.97387056292578	0.346575331826619	0.337208845594878	0.335621331972442
american kids-best country song	w3	1095	1030	1019	0.300456621004566	0.942465753424658	0.309496890898813	0.308660473479173	0.308507417499243
ain't it fun-best rock song	w1	7028	3844	3745	0.964712578258395	0.982783153101878	0.266899589852651	0.237459846800099	0.23624779207671
american kids-best country song	w5	1146	1083	1073	0.328970331588133	0.946771378708551	0.31701244813278	0.321174377224199	0.321835632873425
american kids-best country song	w4	1132	1072	1063	0.296819787985866	0.947879858657244	0.305945945945946	0.308844713339095	0.309551543389633
american kids-best country song	w2	955	886	875	0.321465968586387	0.938219895287958	0.283130744144678	0.27817896389325	0.277337559429477
anaconda-best rap song	w3	16878	10176	9441	0.26774499348264	0.818995141604456	0.267611663416258	0.270530373521202	0.275947739163476
in the lonely hour-album of the year	w1	6283	5138	4036	0.208180805347764	0.820467929333121	0.167452893046561	0.253916481344206	0.241070361963923
anaconda-best rap song	w5	19773	11771	10790	0.363627168360896	0.796136145248571	0.256652215674567	0.24865858295661	0.254061690605133
anaconda-best rap song	w4	18727	10503	9519	0.363699471351525	0.833395631975223	0.255000748920873	0.235969445068524	0.237080022913502
anaconda-best rap song	w2	15147	9505	8877	0.281771968046478	0.802799234171783	0.273520170464806	0.29291217257319	0.298386554621849
automatic-best country song	w3	351	300	289	0.358974358974359	0.968660968660969	0.333017077798861	0.328947368421053	0.323991031390135
all about that bass-record of the year	w1	39677	33148	31998	0.321596894926532	0.955667011114752	0.224745386366983	0.224948764234042	0.22487244718681
automatic-best country song	w5	353	297	290	0.385269121813031	0.985835694050991	0.390486725663717	0.36576354679803	0.3625
automatic-best country song	w4	349	301	294	0.3810888252149	0.974212034383954	0.341821743388834	0.335562987736901	0.333711691259932
automatic-best country song	w2	325	281	271	0.396923076923077	0.972307692307692	0.308641975308642	0.312917594654788	0.310423825887743
bang bang-best pop duo/group performance	w3	23676	13665	12313	0.296460550768711	0.938714309849637	0.383330095201088	0.342824887104867	0.342236922563789
in the lonely hour-best pop vocal album	w1	6283	5138	4036	0.200541142766195	0.81648893840522	0.167452893046561	0.253916481344206	0.241070361963923
bang bang-best pop duo/group performance	w5	18853	12502	11296	0.332360897469899	0.94568503686416	0.12477497749775	0.174423795970757	0.221022149174298
bang bang-best pop duo/group performance	w4	17834	11635	10416	0.4048446787036	0.944151620500168	0.163074587832957	0.201810833781416	0.23002517556645
bang bang-best pop duo/group performance	w2	22607	12779	11356	0.306232582828327	0.943557305259433	0.37451750244355	0.338050896777948	0.333754592211609
bangerz-best pop vocal album	w3	17827	13424	6197	0.670780277107758	0.958882593818365	0.0726431816792649	0.348784036582831	0.347287603676306
all about that bass-song of the year	w1	39677	33148	31998	0.322705849736623	0.955314161856995	0.224745386366983	0.224948764234042	0.22487244718681
bangerz-best pop vocal album	w5	71265	12739	5762	0.921293762716621	0.988493650459552	0.185973382045929	0.384561975487532	0.351748977473903
bangerz-best pop vocal album	w4	61693	12386	5779	0.90258214059942	0.988134796492309	0.179551506861276	0.329239766081871	0.323300699300699
bangerz-best pop vocal album	w2	16607	13405	6311	0.674233756849521	0.955681339194316	0.110136949961866	0.347739240966043	0.355789829744052
bastille-best new artist	w3	143287	68872	57931	0.419214583318794	0.821428322178565	0.411683919885304	0.349815370706163	0.346956620690068
lazaretto-best rock song	w1	1601	1318	1278	0.279825109306683	0.920049968769519	0.220523415977961	0.208577306535844	0.20865306122449
bastille-best new artist	w5	117048	66288	56135	0.370659900211879	0.813341535096712	0.402485445973873	0.403106243500788	0.398567188764715
bastille-best new artist	w4	120518	66616	56334	0.397135697572147	0.811281302378068	0.368597154426787	0.356905207099958	0.354199414006011
bastille-best new artist	w2	120089	57194	49290	0.406690038221652	0.795593268325992	0.315315883030986	0.283452937911347	0.289260563380282
because the internet-best rap album	w3	927	719	704	0.270765911542611	0.505933117583603	0.244397574479304	0.322855859901212	0.326530612244898
all of me (live version)-best pop solo performance	w1	33420	25662	19690	0.733871932974267	0.971095152603232	0.251399169525185	0.247101644648153	0.247218943826432
because the internet-best rap album	w5	1349	722	701	0.331356560415122	0.40993328391401	0.314452214452214	0.324640287769784	0.326806526806527
because the internet-best rap album	w4	1010	744	723	0.257425742574257	0.463366336633663	0.2331486611265	0.323478260869565	0.325529040972535
because the internet-best rap album	w2	823	651	637	0.291616038882139	0.544349939246659	0.25045648204504	0.297940503432494	0.299342105263158
beyoncé-album of the year	w3	93387	77571	12664	0.120177326608629	0.913124953151938	0.940576309083767	1.90419029383607	0.332031147583965
meanwhile back at mama's-best country song	w1	329	315	313	0.696048632218845	0.984802431610942	0.202461538461538	0.203751617076326	0.204174820613177
beyoncé-album of the year	w5	25826	12014	11356	0.383141020676837	0.785719817238442	0.116839109840345	0.186860360220238	0.18950670849743
beyoncé-album of the year	w4	25347	10788	10026	0.361975776225983	0.751094804118831	0.154897730953269	0.197788900500523	0.196449565012932
beyoncé-album of the year	w2	96609	78894	13094	0.144934736929272	0.929582130029293	0.668296900940786	0.786008189453339	0.384597309522411
blacc hollywood-best rap album	w3	954	722	646	0.362683438155136	0.937106918238994	0.292368985596077	0.283137254901961	0.289296909986565
american kids-best country song	w1	658	610	600	0.351063829787234	0.936170212765957	0.20678818353237	0.204149933065596	0.202908353060534
blacc hollywood-best rap album	w5	1105	865	764	0.323981900452489	0.921266968325792	0.321594877764843	0.34935379644588	0.357510528778662
blacc hollywood-best rap album	w4	1070	810	709	0.333644859813084	0.923364485981308	0.305104077559167	0.305660377358491	0.307993049522155
blacc hollywood-best rap album	w2	810	627	528	0.367901234567901	0.948148148148148	0.258868648130393	0.261576971214018	0.249174138744691
blue moon-best rock song	w3	644	584	577	0.341614906832298	0.990683229813665	0.314453125	0.308994708994709	0.30855614973262
morning phase-album of the year	w1	599	440	420	0.333889816360601	0.978297161936561	0.229414017617771	0.191387559808612	0.19755409219191
blue moon-best rock song	w5	669	616	610	0.333333333333333	0.989536621823617	0.329556650246305	0.325581395348837	0.32725321888412
blue moon-best rock song	w4	648	593	587	0.341049382716049	0.987654320987654	0.304368248003758	0.300253164556962	0.300871348026653
blue moon-best rock song	w2	571	526	520	0.309982486865149	0.991243432574431	0.291177970423253	0.293363078639152	0.293122886133033
bound 2-best rap song	w3	1637	1288	1263	0.202810018326206	0.645082467929139	0.332453290008123	0.336292428198433	0.335725677830941
anaconda-best rap song	w1	10990	7300	6787	0.286351228389445	0.788808007279345	0.216543190416141	0.241849986747946	0.243812192405791
bound 2-best rap song	w5	1632	1244	1225	0.241421568627451	0.649509803921569	0.22288992078667	0.315176083101089	0.317028985507246
bound 2-best rap song	w4	1593	1262	1236	0.224105461393597	0.635907093534212	0.251619017532775	0.312996031746032	0.312357846853677
bound 2-best rap song	w2	1611	1302	1276	0.188702669149597	0.631284916201117	0.331345125462773	0.343173431734317	0.342642320085929
brandy clark-best new artist	w3	1834	1236	1173	0.333151581243184	0.945474372955289	0.510579064587973	0.577840112201964	0.575564278704612
my everything-best pop vocal album	w1	12634	6060	4525	0.418790565141681	0.973088491372487	0.22189047736134	0.225253689179645	0.219479070669836
brandy clark-best new artist	w5	984	537	511	0.313008130081301	0.976626016260163	0.185800604229607	0.198301329394387	0.197755417956656
brandy clark-best new artist	w4	1706	1085	1029	0.246776084407972	0.946658851113716	0.403214370125266	0.494756041951664	0.491404011461318
brandy clark-best new artist	w2	2389	1736	1539	0.386354123064044	0.955211385516953	0.528072502210433	0.6074177746676	0.567268706229267
chandelier-best pop solo performance	w3	84487	43429	35340	0.357700001183614	0.873388805378342	0.47597505394275	0.41395251303461	0.381147540983607
automatic-best country song	w1	241	215	207	0.377593360995851	0.962655601659751	0.235121951219512	0.243764172335601	0.242388758782201
chandelier-best pop solo performance	w5	56063	32972	29851	0.359613292189144	0.880313219057132	0.326528591564062	0.332838698605938	0.332050412129167
chandelier-best pop solo performance	w4	63633	36968	31504	0.292049722628196	0.871796080649977	0.357655536008363	0.35636616025295	0.336261460790488
chandelier-best pop solo performance	w2	81623	42136	33938	0.369809980030139	0.873418031682246	0.39975414211761	0.371671268159726	0.35097988520606
chandelier-record of the year	w3	84487	43429	35340	0.354018961497035	0.878644051747606	0.47597505394275	0.41395251303461	0.381147540983607
new flame-best r&b song	w1	9353	7680	7020	0.459531701058484	0.969849246231156	0.235996164715382	0.235409514467876	0.231683168316832
chandelier-record of the year	w5	56063	32972	29851	0.360398123539589	0.881098050407577	0.326528591564062	0.332838698605938	0.332050412129167
chandelier-record of the year	w4	63633	36968	31504	0.299262961042226	0.876306319048293	0.357655536008363	0.35636616025295	0.336261460790488
chandelier-record of the year	w2	81623	42136	33938	0.364982909229016	0.879225218382074	0.39975414211761	0.371671268159726	0.35097988520606
chandelier-song of the year	w3	84487	43429	35340	0.372542521334643	0.880218258430291	0.47597505394275	0.41395251303461	0.381147540983607
bang bang-best pop duo/group performance	w1	19090	10118	8964	0.313357778941854	0.943478260869565	0.297736949638941	0.265710759211114	0.262989584861376
chandelier-song of the year	w5	56063	32972	29851	0.355706972513066	0.890730071526675	0.326528591564062	0.332838698605938	0.332050412129167
chandelier-song of the year	w4	63633	36968	31504	0.296245658699103	0.871198906227901	0.357655536008363	0.35636616025295	0.336261460790488
chandelier-song of the year	w2	81623	42136	33938	0.38475674748539	0.880585129191527	0.39975414211761	0.371671268159726	0.35097988520606
dark horse-best pop duo/group performance	w3	20183	14902	13096	0.46593667938364	0.84382896497052	0.262110075062985	0.300673903393729	0.333341817904141
nobody's smiling-best rap album	w1	234	189	184	0.94017094017094	0.991452991452991	0.150773195876289	0.222091656874266	0.221954161640531
dark horse-best pop duo/group performance	w5	23585	15479	12425	0.436972652109392	0.796608013567946	0.26882088106229	0.276154285306501	0.297505028253999
dark horse-best pop duo/group performance	w4	21813	13874	11981	0.425709439325173	0.786136707468024	0.252517885670626	0.251773886217222	0.284638411099496
dark horse-best pop duo/group performance	w2	18659	13635	12875	0.441556353502331	0.828393804598317	0.284518381848401	0.30810077957293	0.343315023198763
drunk in love-best r&b song	w3	15559	8483	8038	0.794716884118517	0.912655054952118	0.288632063221163	0.267999873629672	0.275528742330237
bangerz-best pop vocal album	w1	13490	10883	5208	0.686212008895478	0.953372868791698	0.140335181582698	0.277521356623741	0.284792475529064
drunk in love-best r&b song	w5	21408	12299	11376	0.82520553064275	0.921010837070254	0.40448928692892	0.364404017658736	0.365976064856518
drunk in love-best r&b song	w4	13190	7374	6789	0.803487490523124	0.945564821834723	0.224148185912142	0.204588963182865	0.204574218043753
drunk in love-best r&b song	w2	13739	8103	7771	0.777276366547784	0.91462260717665	0.273919891540563	0.287789458729933	0.296569095141778
fancy-best pop duo/group performance	w3	20140	11070	9632	0.30124131082423	0.849304865938431	0.344520852577919	0.34037450419703	0.330519525084071
options (wolfjames version)-best r&b song	w1	437	378	371	0.567505720823799	0.965675057208238	0.227485684539302	0.241071428571429	0.242801047120419
fancy-best pop duo/group performance	w5	17316	10112	9384	0.361399861399861	0.862497112497112	0.257100859675432	0.285488424618859	0.320897308757651
fancy-best pop duo/group performance	w4	19877	10121	9353	0.301604869950194	0.892941590783317	0.310287230721199	0.288956774967167	0.309507263642079
fancy-best pop duo/group performance	w2	19784	9988	8607	0.240851192883138	0.860644965628791	0.345071773673103	0.319074849056001	0.30339455038951
fancy-record of the year	w3	20140	11070	9632	0.301936444885799	0.849453823237339	0.344520852577919	0.34037450419703	0.330519525084071
bastille-best new artist	w1	82258	38108	32783	0.411668166014248	0.797697488390187	0.214272689857096	0.197776647533241	0.200440218886613
fancy-record of the year	w5	17316	10112	9384	0.35995610995611	0.863247863247863	0.257100859675432	0.285488424618859	0.320897308757651
fancy-record of the year	w4	19877	10121	9353	0.300296825476682	0.893293756603109	0.310287230721199	0.288956774967167	0.309507263642079
fancy-record of the year	w2	19784	9988	8607	0.241255560048524	0.860594419733118	0.345071773673103	0.319074849056001	0.30339455038951
fever-best rock song	w3	1474	1400	1384	0.478290366350068	0.956580732700136	0.301062091503268	0.295795478554828	0.31794164943717
oxymoron-best rap album	w1	617	557	542	0.327390599675851	0.823338735818477	0.182167109536463	0.190492476060192	0.191587133262637
fever-best rock song	w5	1460	1413	1396	0.51986301369863	0.962328767123288	0.16808657609947	0.197622377622378	0.322253000923361
fever-best rock song	w4	1478	1414	1398	0.495940460081191	0.959404600811908	0.212234348075819	0.231121281464531	0.309565987599646
fever-best rock song	w2	1537	1324	1308	0.495120364346129	0.958360442420299	0.348368087035358	0.313224509108115	0.313068453805649
ghost stories-best pop vocal album	w3	5904	4268	3914	0.302506775067751	0.964261517615176	0.273067850700708	0.267368289168703	0.259377070907886
because the internet-best rap album	w1	576	463	455	0.284722222222222	0.581597222222222	0.208695652173913	0.219016083254494	0.220445736434109
ghost stories-best pop vocal album	w5	6408	5117	4899	0.274500624219725	0.96145443196005	0.169228331484709	0.269259103346664	0.271262458471761
ghost stories-best pop vocal album	w4	5936	4577	4232	0.315869272237197	0.956873315363881	0.193569425422292	0.24990444990445	0.242577095036111
ghost stories-best pop vocal album	w2	4699	3621	3284	0.290487337731432	0.966375824643541	0.257507672073652	0.259346798452944	0.251743963204293
gimme something good-best rock song	w3	656	590	581	0.99390243902439	0.995426829268293	0.595281306715064	0.548837209302326	0.549149338374291
platinum-best country album	w1	1468	1084	1018	0.44550408719346	0.973433242506812	0.301066447908121	0.299364816349075	0.297139521307647
gimme something good-best rock song	w5	366	357	351	0.983606557377049	0.991803278688525	0.332727272727273	0.335211267605634	0.338150289017341
gimme something good-best rock song	w4	348	340	337	0.988505747126437	0.994252873563218	0.303664921465969	0.305206463195691	0.309174311926605
gimme something good-best rock song	w2	986	683	673	0.995943204868154	0.995943204868154	0.71970802919708	0.530691530691531	0.530338849487786
girl-album of the year	w3	2142	1498	1422	0.640056022408964	0.987394957983193	0.29812108559499	0.280892555784737	0.29911653344552
beyoncé-album of the year	w1	91184	76518	10845	0.13300579048956	0.937554834181435	0.423436099617819	0.457498520205916	0.303068410462777
girl-album of the year	w5	2188	1702	1579	0.48491773308958	0.984460694698355	0.304862756026195	0.307553306830502	0.35587108406581
girl-album of the year	w4	2527	1645	1539	0.590027700831025	0.989315393747527	0.343482397716461	0.289561696884351	0.320091514143095
girl-album of the year	w2	1908	1255	1177	0.676624737945493	0.988469601677149	0.278255796995771	0.259029927760578	0.259251101321586
give me back my hometown-best country song	w3	658	557	551	0.25531914893617	0.984802431610942	0.319107662463628	0.320852534562212	0.321845794392523
prism-best pop vocal album	w1	4358	1621	1494	0.589261128958238	0.92312987608995	0.295959252971138	0.255195214105793	0.25892547660312
give me back my hometown-best country song	w5	700	585	577	0.201428571428571	0.978571428571429	0.365726227795193	0.346358792184725	0.344477611940299
give me back my hometown-best country song	w4	648	546	538	0.223765432098765	0.986111111111111	0.310791366906475	0.305027932960894	0.303954802259887
give me back my hometown-best country song	w2	524	482	479	0.333969465648855	0.984732824427481	0.261216350947159	0.285545023696682	0.287515006002401
good kisser-best r&b song	w3	3482	2966	2850	0.943423319931074	0.983342906375646	0.298295211171079	0.320371570533593	0.328681812939684
blacc hollywood-best rap album	w1	524	410	321	0.42175572519084	0.969465648854962	0.184897671136203	0.189902732746642	0.170472650026553
good kisser-best r&b song	w5	3889	3083	2862	0.8768320905117	0.985343275906403	0.371300362803132	0.364550076859406	0.371013741249676
good kisser-best r&b song	w4	3785	3018	2898	0.875825627476882	0.983883751651255	0.323228010247652	0.325390835579515	0.339185393258427
good kisser-best r&b song	w2	3568	2741	2637	0.973934977578475	0.984304932735426	0.319827895302976	0.302305062313886	0.306271777003484
haim-best new artist	w3	71700	28901	24595	0.345746164574616	0.859037656903766	0.535786343052712	0.417946493130875	0.42128432195406
riser-best country album	w1	155	125	120	0.335483870967742	0.929032258064516	0.227941176470588	0.224416517055655	0.225563909774436
haim-best new artist	w5	34148	21189	17877	0.370651282651985	0.826402717582289	0.196908102248286	0.28034081737957	0.280709743267645
haim-best new artist	w4	50243	24040	20482	0.32231355611727	0.853153673148498	0.33813177199004	0.328752136752137	0.33276469919254
haim-best new artist	w2	78623	31164	26387	0.321979573407273	0.863424188850591	0.503699764880743	0.420396600566572	0.419147313911745
happy (live version)-best pop solo performance	w3	30108	24588	22616	0.979872459147071	0.993191178424339	0.341093702205757	0.334253204823208	0.33051763949376
blue moon-best rock song	w1	421	388	384	0.282660332541568	0.990498812351544	0.225979602791197	0.227833235466823	0.228028503562945
happy (live version)-best pop solo performance	w5	27867	23323	21886	0.975383069580507	0.991315893350558	0.345003899818009	0.33951030627693	0.346456443621282
happy (live version)-best pop solo performance	w4	29180	23770	22232	0.976730637422892	0.992083618917067	0.335981577432355	0.323370563347708	0.326849850776989
happy (live version)-best pop solo performance	w2	25406	21145	19185	0.975360151145399	0.994686294576084	0.291503642935001	0.294987514125082	0.287484640513082
i-best rap song	w3	35672	21258	20103	0.325829782462436	0.708679076026015	0.291202377162263	0.316621983914209	0.317337290249254
sam smith-best new artist	w1	554904	340737	288580	0.468845061488113	0.80251539004945	0.260587432816686	0.2675237698933	0.258904379968061
i-best rap song	w5	39023	21770	20635	0.293544832534659	0.748917305178997	0.259235639170669	0.293609904782456	0.297094563464639
i-best rap song	w4	31616	19943	18862	0.338784159919028	0.682281123481781	0.221697087841581	0.271078851146543	0.272603769221875
