"candidate"	"NumDistinctTweets_w2"	"PositiveRatio_w2"	"NonNegativeRatio_w2"	"NormalizedNumDistinctTweets_w2"
"0 to 100/the catch up-best rap song"	4959	0.235350318471338	0.952229299363057	0.319111969111969
"12 stories-best country album"	36	0.272727272727273	0.977272727272727	0.433734939759036
"a sky full of stars-best pop duo/group performance"	22270	0.763538575667656	0.988649851632047	0.278754803419659
"ain't it fun-best rock song"	5232	0.966522008679479	0.981814424467865	0.313650260775733
"all about that bass-record of the year"	45822	0.319524913093859	0.958411790266512	0.301062410890861
"all about that bass-song of the year"	45822	0.319995654692932	0.958103997682503	0.301062410890861
"all of me (live version)-best pop solo performance"	34340	0.736195769092865	0.97387056292578	0.337208845594878
"american kids-best country song"	886	0.321465968586387	0.938219895287958	0.27817896389325
"anaconda-best rap song"	9505	0.281771968046478	0.802799234171783	0.29291217257319
"automatic-best country song"	281	0.396923076923077	0.972307692307692	0.312917594654788
"bang bang-best pop duo/group performance"	12779	0.306232582828327	0.943557305259433	0.338050896777948
"bangerz-best pop vocal album"	13405	0.674233756849521	0.955681339194316	0.347739240966043
"bastille-best new artist"	57194	0.406690038221652	0.795593268325992	0.283452937911347
"because the internet-best rap album"	651	0.291616038882139	0.544349939246659	0.297940503432494
"beyoncé-album of the year"	78894	0.144934736929272	0.929582130029293	0.786008189453339
"blacc hollywood-best rap album"	627	0.367901234567901	0.948148148148148	0.261576971214018
"blue moon-best rock song"	526	0.309982486865149	0.991243432574431	0.293363078639152
"bound 2-best rap song"	1302	0.188702669149597	0.631284916201117	0.343173431734317
"brandy clark-best new artist"	1736	0.386354123064044	0.955211385516953	0.6074177746676
"chandelier-best pop solo performance"	42136	0.369809980030139	0.873418031682246	0.371671268159726
"chandelier-record of the year"	42136	0.364982909229016	0.879225218382074	0.371671268159726
"chandelier-song of the year"	42136	0.38475674748539	0.880585129191527	0.371671268159726
"dark horse-best pop duo/group performance"	13635	0.441556353502331	0.828393804598317	0.30810077957293
"drunk in love-best r&b song"	8103	0.777276366547784	0.91462260717665	0.287789458729933
"fancy-best pop duo/group performance"	9988	0.240851192883138	0.860644965628791	0.319074849056001
"fancy-record of the year"	9988	0.241255560048524	0.860594419733118	0.319074849056001
"fever-best rock song"	1324	0.495120364346129	0.958360442420299	0.313224509108115
"ghost stories-best pop vocal album"	3621	0.290487337731432	0.966375824643541	0.259346798452944
"gimme something good-best rock song"	683	0.995943204868154	0.995943204868154	0.530691530691531
"girl-album of the year"	1255	0.676624737945493	0.988469601677149	0.259029927760578
"give me back my hometown-best country song"	482	0.333969465648855	0.984732824427481	0.285545023696682
"good kisser-best r&b song"	2741	0.973934977578475	0.984304932735426	0.302305062313886
"haim-best new artist"	31164	0.321979573407273	0.863424188850591	0.420396600566572
"happy (live version)-best pop solo performance"	21145	0.975360151145399	0.994686294576084	0.294987514125082
"i-best rap song"	23496	0.310294571036184	0.700916505507441	0.373124136507281
"iggy azalea-best new artist"	242803	0.252087973698083	0.775658233517881	0.147552888670655
"in the lonely hour-album of the year"	6733	0.317870321560358	0.838270954138113	0.330308084772371
"in the lonely hour-best pop vocal album"	6733	0.314074855034265	0.834686346863469	0.330308084772371
"lazaretto-best rock song"	1885	0.271409152695967	0.91798821930222	0.275383491599708
"meanwhile back at mama's-best country song"	452	0.728601252609603	0.989561586638831	0.264792032806093
"morning phase-album of the year"	627	0.353904282115869	0.977329974811083	0.233345738742092
"my everything-best pop vocal album"	8382	0.334903969270166	0.84752880921895	0.292157546183339
"new flame-best r&b song"	10372	0.477590591226955	0.971074380165289	0.300803340970389
"nobody's smiling-best rap album"	260	0.956521739130435	0.989130434782609	0.294784580498866
"options (wolfjames version)-best r&b song"	522	0.565217391304348	0.964573268921095	0.346843853820598
"oxymoron-best rap album"	807	0.366272824919441	0.834586466165414	0.247850122850123
"platinum-best country album"	1284	0.453655728267127	0.972366148531952	0.416747809152872
"prism-best pop vocal album"	2225	0.521629416005768	0.928442682047585	0.355431309904153
"riser-best country album"	170	0.350961538461538	0.903846153846154	0.284757118927973
"sam smith-best new artist"	453859	0.463115349527563	0.806085466684642	0.236271559319722
"say something-best pop duo/group performance"	11748	0.94951413750274	0.986118214363995	0.340275162925416
"shake it off-best pop solo performance"	48857	0.362245420869998	0.921858299535864	0.379666469801996
"shake it off-record of the year"	48857	0.367055154541062	0.923410298833072	0.379666469801996
"shake it off-song of the year"	48857	0.367018550784052	0.92146297896016	0.379666469801996
"stay with me (darkchild version)-record of the year"	56617	0.351230191826522	0.923488323603002	0.400312517676339
"stay with me (darkchild version)-song of the year"	56617	0.356932860717264	0.924510008340284	0.400312517676339
"stay with me-best pop solo performance"	56617	0.35192869057548	0.923686405337781	0.400312517676339
"take me to church-song of the year"	54277	0.167068654198463	0.972691207675985	0.373525566031244
"the marshall mathers lp 2-best rap album"	237	0.549568965517241	0.997844827586207	0.344476744186047
"the new classic-best rap album"	1140	0.585236325013277	0.786510886882634	0.252045102807871
"the outsiders-best country album"	5	0.4	0.8	0.5
"the way i'm livin'-best country album"	128	0.087719298245614	1	0.284444444444444
"the worst-best r&b song"	2855	0.0333475844377939	0.0551517742625053	0.311715252756851
"we dem boyz-best rap song"	4635	0.259058950784208	0.927888948981431	0.332950219093456
"x-album of the year"	20986	0.784511173606701	0.95969034443134	0.29444117069338
"x-best pop vocal album"	20986	0.78178959146028	0.959720584232967	0.29444117069338
