	NumDistinctTweets_w2	PositiveRatio_w2	NonNegativeRatio_w2	NormalizedNumDistinctTweets_w2
best rock song	ain't it fun,0.5421761658031088;lazaretto,0.19533678756476683;fever,0.1372020725388601;gimme something good,0.07077720207253886;blue moon,0.05450777202072539	gimme something good,0.3277231560499323;ain't it fun,0.3180418738015201;fever,0.16292335510194736;blue moon,0.1020022411108291;lazaretto,0.08930937393577114	gimme something good,0.2055461961828033;blue moon,0.204576240955258;ain't it fun,0.20263024971739615;fever,0.19778973594948995;lazaretto,0.18945757719505257	gimme something good,0.3074132966645977;ain't it fun,0.18168795823655975;fever,0.18144133337798637;blue moon,0.16993621700844028;lazaretto,0.15952119471241596
best rap album	the new classic,0.3062869425040301;oxymoron,0.2168189145620634;because the internet,0.17490596453519613;blacc hollywood,0.16845781837721654;nobody's smiling,0.06985491671144546;the marshall mathers lp 2,0.06367544331004836	nobody's smiling,0.3068610192825247;the new classic,0.1877492249972209;the marshall mathers lp 2,0.1763068062394206;blacc hollywood,0.1180261181909328;oxymoron,0.11750370931709977;because the internet,0.0935531219728012	the marshall mathers lp 2,0.19563395661511931;nobody's smiling,0.19392544333075407;blacc hollywood,0.1858905999725648;oxymoron,0.16362609495940353;the new classic,0.15420056552673073;because the internet,0.10672333959542765	the marshall mathers lp 2,0.20279155336362592;because the internet,0.17539592591012268;nobody's smiling,0.1735380515403491;blacc hollywood,0.15398891568713272;the new classic,0.14837755749484718;oxymoron,0.14590799600392246
record of the year	stay with me (darkchild version),0.2783256316979648;shake it off,0.24017795693638777;all about that bass,0.22525808671713696;chandelier,0.20713794120538787;fancy,0.049100383443122605	shake it off,0.22326294113107;chandelier,0.22200248864214928;stay with me (darkchild version),0.2136373367083361;all about that bass,0.1943524589681358;fancy,0.1467447745503089	all about that bass,0.21086564730839122;stay with me (darkchild version),0.20318193611134278;shake it off,0.2031647694364495;chandelier,0.19344335773711913;fancy,0.18934428940669723	stay with me (darkchild version),0.22593709130193482;shake it off,0.21428442545304655;chandelier,0.20977191953913593;fancy,0.18008640779403184;all about that bass,0.16992015591185086
best pop vocal album	x,0.37913715854892327;bangerz,0.24217733776557307;my everything,0.15143084260731318;in the lonely hour,0.1216396878161584;ghost stories,0.06541769041769042;prism,0.04019728284434167	x,0.2680005893479627;bangerz,0.23113002036321317;prism,0.17881664381033402;my everything,0.1148064160994098;in the lonely hour,0.10766611268299993;ghost stories,0.09958021769608043	ghost stories,0.17594668330229662;x,0.17473497306808022;bangerz,0.1739995534213211;prism,0.16904024953523358;my everything,0.15430837483980292;in the lonely hour,0.15197016583326556	prism,0.18911713447988185;bangerz,0.18502435481961682;in the lonely hour,0.1757496223518794;x,0.15666563108762063;my everything,0.15545056502131532;ghost stories,0.13799269223968594
best new artist	sam smith,0.5768738973709765;iggy azalea,0.3086128354915628;bastille,0.07269598198170717;haim,0.039610756066683954;brandy clark,0.0022065290890695465	sam smith,0.25303710133879814;bastille,0.2222074230965371;brandy clark,0.21109627977165665;haim,0.1759232943334567;iggy azalea,0.1377359014595514	brandy clark,0.22764957962705507;haim,0.20577450877565945;sam smith,0.19210932827703447;bastille,0.18960878799670933;iggy azalea,0.18485779532354185	brandy clark,0.3583391699459173;haim,0.24800816699436998;bastille,0.16721981925120247;sam smith,0.13938570450097304;iggy azalea,0.08704713930753726
best country album	platinum,0.7911275415896488;riser,0.10474430067775724;the way i'm livin',0.07886629698089957;12 stories,0.022181146025878003;the outsiders,0.0030807147258163892	platinum,0.28986404090287105;the outsiders,0.2555806289585214;riser,0.22424742685062546;12 stories,0.1742595197444466;the way i'm livin',0.05604838354353538	the way i'm livin',0.21489270807325095;12 stories,0.21000878288976793;platinum,0.20895439489678816;riser,0.19422994768159224;the outsiders,0.17191416645860078	the outsiders,0.26045949159475384;12 stories,0.2259407637930394;platinum,0.21709184499036913;riser,0.14833538884793343;the way i'm livin',0.1481725107739042
best country song	american kids,0.421703950499762;give me back my hometown,0.22941456449309852;meanwhile back at mama's,0.21513564969062351;automatic,0.13374583531651593	meanwhile back at mama's,0.40910595928799853;automatic,0.2228703225070728;give me back my hometown,0.18752218463503412;american kids,0.1805015335698945	meanwhile back at mama's,0.2547250780034871;give me back my hometown,0.25348209641694;automatic,0.2502837176690672;american kids,0.24150910791050564	automatic,0.2741443659348143;give me back my hometown,0.25016349609080896;american kids,0.24371015556683628;meanwhile back at mama's,0.23198198240754042
best pop duo/group performance	a sky full of stars,0.316245384833854;dark horse,0.19362397046293667;bang bang,0.18146833285998296;say something,0.16682760579380856;fancy,0.14183470604941778	say something,0.3514515501565352;a sky full of stars,0.2826148715683933;dark horse,0.16343691872561872;bang bang,0.1133484080884941;fancy,0.08914825146095862	a sky full of stars,0.2145803590236551;say something,0.21403088275255722;bang bang,0.20479329965784082;fancy,0.18679768718082004;dark horse,0.17979777138512693	say something,0.2147853991427372;bang bang,0.21338141805820443;fancy,0.20140352948981846;dark horse,0.1944765769791582;a sky full of stars,0.17595307633008173
song of the year	stay with me (darkchild version),0.2285625471823793;take me to church,0.21911597882999811;shake it off,0.19723546580867066;all about that bass,0.18498318591573176;chandelier,0.17010282226322015	chandelier,0.24111002992613426;shake it off,0.2299942868873259;stay with me (darkchild version),0.22367403116803847;all about that bass,0.20052711845469443;take me to church,0.10469453356380702	take me to church,0.20885063692988523;all about that bass,0.205718555469575;stay with me (darkchild version),0.19850544814859736;shake it off,0.1978512076026142;chandelier,0.18907415184932824	stay with me (darkchild version),0.2192006007426255;shake it off,0.2078953682125849;take me to church,0.20453277090120173;chandelier,0.2035174061812777;all about that bass,0.16485385396231014
best rap song	i,0.5352529785634553;anaconda,0.21652960338975327;0 to 100/the catch up,0.1129689956033442;we dem boyz,0.10558808119005855;bound 2,0.029660341253388615	i,0.2433342285132408;anaconda,0.22096669056208465;we dem boyz,0.2031550526907991;0 to 100/the catch up,0.18456264956337357;bound 2,0.14798137867050193	0 to 100/the catch up,0.2371609215261577;we dem boyz,0.23109874728867388;anaconda,0.1999440747139651;i,0.1745693022365827;bound 2,0.15722695423462055	i,0.2246014815451331;bound 2,0.20657270236108444;we dem boyz,0.20041885574375762;0 to 100/the catch up,0.19208894313899305;anaconda,0.17631801721103188
