	NumDistinctTweets_w2	PositiveRatio_w2	NonNegativeRatio_w2	NormalizedNumDistinctTweets_w2
best rock song	ain't it fun,0.5421761658031088	gimme something good,0.3277231560499323	gimme something good,0.2055461961828033	gimme something good,0.3074132966645977
best rock song	lazaretto,0.19533678756476683	ain't it fun,0.3180418738015201	blue moon,0.204576240955258	ain't it fun,0.18168795823655975
best rock song	fever,0.1372020725388601	fever,0.16292335510194736	ain't it fun,0.20263024971739615	fever,0.18144133337798637
best rock song	gimme something good,0.07077720207253886	blue moon,0.1020022411108291	fever,0.19778973594948995	blue moon,0.16993621700844028
best rock song	blue moon,0.05450777202072539	lazaretto,0.08930937393577114	lazaretto,0.18945757719505257	lazaretto,0.15952119471241596
best rap album	the new classic,0.3062869425040301	nobody's smiling,0.3068610192825247	the marshall mathers lp 2,0.19563395661511931	the marshall mathers lp 2,0.20279155336362592
best rap album	oxymoron,0.2168189145620634	the new classic,0.1877492249972209	nobody's smiling,0.19392544333075407	because the internet,0.17539592591012268
best rap album	because the internet,0.17490596453519613	the marshall mathers lp 2,0.1763068062394206	blacc hollywood,0.1858905999725648	nobody's smiling,0.1735380515403491
best rap album	blacc hollywood,0.16845781837721654	blacc hollywood,0.1180261181909328	oxymoron,0.16362609495940353	blacc hollywood,0.15398891568713272
best rap album	nobody's smiling,0.06985491671144546	oxymoron,0.11750370931709977	the new classic,0.15420056552673073	the new classic,0.14837755749484718
best rap album	the marshall mathers lp 2,0.06367544331004836	because the internet,0.0935531219728012	because the internet,0.10672333959542765	oxymoron,0.14590799600392246
record of the year	stay with me (darkchild version),0.2783256316979648	shake it off,0.22326294113107	all about that bass,0.21086564730839122	stay with me (darkchild version),0.22593709130193482
record of the year	shake it off,0.24017795693638777	chandelier,0.22200248864214928	stay with me (darkchild version),0.20318193611134278	shake it off,0.21428442545304655
record of the year	all about that bass,0.22525808671713696	stay with me (darkchild version),0.2136373367083361	shake it off,0.2031647694364495	chandelier,0.20977191953913593
record of the year	chandelier,0.20713794120538787	all about that bass,0.1943524589681358	chandelier,0.19344335773711913	fancy,0.18008640779403184
record of the year	fancy,0.049100383443122605	fancy,0.1467447745503089	fancy,0.18934428940669723	all about that bass,0.16992015591185086
best new artist	sam smith,0.5768738973709765	sam smith,0.25303710133879814	brandy clark,0.22764957962705507	brandy clark,0.3583391699459173
best new artist	iggy azalea,0.3086128354915628	bastille,0.2222074230965371	haim,0.20577450877565945	haim,0.24800816699436998
best new artist	bastille,0.07269598198170717	brandy clark,0.21109627977165665	sam smith,0.19210932827703447	bastille,0.16721981925120247
best new artist	haim,0.039610756066683954	haim,0.1759232943334567	bastille,0.18960878799670933	sam smith,0.13938570450097304
best new artist	brandy clark,0.0022065290890695465	iggy azalea,0.1377359014595514	iggy azalea,0.18485779532354185	iggy azalea,0.08704713930753726
best country album	platinum,0.7911275415896488	platinum,0.28986404090287105	the way i'm livin',0.21489270807325095	the outsiders,0.26045949159475384
best country album	riser,0.10474430067775724	the outsiders,0.2555806289585214	12 stories,0.21000878288976793	12 stories,0.2259407637930394
best country album	the way i'm livin',0.07886629698089957	riser,0.22424742685062546	platinum,0.20895439489678816	platinum,0.21709184499036913
best country album	12 stories,0.022181146025878003	12 stories,0.1742595197444466	riser,0.19422994768159224	riser,0.14833538884793343
best country album	the outsiders,0.0030807147258163892	the way i'm livin',0.05604838354353538	the outsiders,0.17191416645860078	the way i'm livin',0.1481725107739042
best pop duo/group performance	a sky full of stars,0.316245384833854	say something,0.3514515501565352	a sky full of stars,0.2145803590236551	say something,0.2147853991427372
