#Field:candidate	Id	NumTweets	NumDistinctTweets	NumDistinctUsers	PositiveRatio	NonNegativeRatio	NormalizedNumTweets	NormalizedNumDistinctTweets	NormalizedNumDistinctUsers
21-album of the year	w5	21380	19525	14771	0.290692235734331	0.942282507015903	0.388021778584392	0.425297871876974	0.396824543964753
21-album of the year	w2	19322	17028	13387	0.346599730876721	0.944467446434117	0.287427109365703	0.28100401009951	0.292695192076437
21-album of the year	w3	22450	20073	15182	0.323118040089087	0.945256124721604	0.34932391429505	0.344796193551712	0.343951064793838
lotus flower-best rock song	w1	1650	1546	1478	0.434545454545455	0.964242424242424	0.324547600314713	0.319685690653433	0.316149732620321
21-album of the year	w4	23394	20999	15784	0.309438317517312	0.946311019919638	0.382648805142549	0.391999103959379	0.377625723718838
21-best pop vocal album	w5	21380	19525	14771	0.28999064546305	0.942469597754911	0.388021778584392	0.425297871876974	0.396824543964753
21-best pop vocal album	w2	19322	17028	13387	0.346962012214057	0.944519200910879	0.287427109365703	0.28100401009951	0.292695192076437
21-best pop vocal album	w3	22450	20073	15182	0.32293986636971	0.945389755011136	0.34932391429505	0.344796193551712	0.343951064793838
21-album of the year	w1	18646	16054	12517	0.351389037863349	0.941810575994851	0.286130804407206	0.27631669535284	0.282213153563457
21-best pop vocal album	w4	23394	20999	15784	0.308711635462084	0.946353765922886	0.382648805142549	0.391999103959379	0.377625723718838
all of the lights-best rap song	w5	4001	3838	3706	0.365908522869283	0.921519620094976	0.256490800692352	0.357388956141168	0.357894736842105
all of the lights-best rap song	w2	4342	4181	4002	0.362966374942423	0.947259327498848	0.350359073670621	0.351374065047483	0.348515196377253
all of the lights-best rap song	w3	4379	4192	4026	0.366293674354876	0.944736241150948	0.33179269586301	0.363447199583839	0.361238223418573
loud-album of the year	w1	5509	5017	4689	0.441277908876384	0.843710292249047	0.284835323923272	0.289865957938526	0.288891627133264
all of the lights-best rap song	w4	4013	3869	3751	0.378021430351358	0.932967854472963	0.27182821919664	0.335617626648161	0.337380823889189
all of the lights-song of the year	w5	4001	3838	3706	0.363909022744314	0.921769557610597	0.256490800692352	0.357388956141168	0.357894736842105
all of the lights-song of the year	w2	4342	4181	4002	0.363657300783049	0.947029018885306	0.350359073670621	0.351374065047483	0.348515196377253
all of the lights-song of the year	w3	4379	4192	4026	0.36675039963462	0.944736241150948	0.33179269586301	0.363447199583839	0.361238223418573
21-best pop vocal album	w1	18646	16054	12517	0.351389037863349	0.941649683578247	0.286130804407206	0.27631669535284	0.282213153563457
all of the lights-song of the year	w4	4013	3869	3751	0.377523050087217	0.933217044605034	0.27182821919664	0.335617626648161	0.337380823889189
are you gonna kiss me or not-best country song	w5	480	453	444	0.1125	0.39375	0.31352057478772	0.305874409182984	0.30327868852459
are you gonna kiss me or not-best country song	w2	865	650	642	0.119075144508671	0.309826589595376	0.444730077120823	0.400492914356131	0.402507836990596
are you gonna kiss me or not-best country song	w3	836	619	609	0.130382775119617	0.325358851674641	0.538312942691565	0.431358885017422	0.431914893617021
loud-best pop vocal album	w1	5509	5017	4689	0.441459430023598	0.844254855690688	0.284835323923272	0.289865957938526	0.288891627133264
are you gonna kiss me or not-best country song	w4	629	551	542	0.14308426073132	0.389507154213037	0.420735785953177	0.383437717466945	0.382768361581921
black and yellow-best rap song	w5	6208	5943	5637	0.274645618556701	0.908344072164949	0.457884643752766	0.458317266908306	0.461746395806029
black and yellow-best rap song	w2	5572	5413	5198	0.283560660445083	0.937365398420675	0.286272092067407	0.289387864207431	0.291842120038179
black and yellow-best rap song	w3	6679	6440	6143	0.259619703548435	0.910465638568648	0.36336434361569	0.36516216829213	0.367096928409227
all of the lights-best rap song	w1	4672	4498	4300	0.350599315068493	0.94285102739726	0.366891785770379	0.367423623590917	0.365056456405467
black and yellow-best rap song	w4	6577	6322	6031	0.266230804318078	0.909077086817698	0.405662122987726	0.406899658878805	0.410579345088161
body and soul-best pop duo/group performance	w5	781	744	716	0.204865556978233	0.989756722151088	0.239864864864865	0.299275945293644	0.296603148301574
body and soul-best pop duo/group performance	w2	684	671	640	0.206140350877193	0.97953216374269	0.298951048951049	0.301031852848811	0.301318267419962
body and soul-best pop duo/group performance	w3	738	727	691	0.210027100271003	0.982384823848238	0.308915864378401	0.315812337098176	0.313094698685999
mean-best country song	w1	7313	5769	5140	0.380691918501299	0.671954054423629	0.378617654672534	0.342638237215656	0.360448807854137
body and soul-best pop duo/group performance	w4	769	758	717	0.205461638491547	0.985695708712614	0.300625488663018	0.310783107831078	0.303813559322034
bon iver-best new artist	w5	43871	38762	36932	0.439196735884753	0.813840578058398	0.298818240642986	0.307717955638823	0.322398170295232
bon iver-best new artist	w2	64467	57211	54002	0.4293049156933	0.818449749484232	0.456171013713364	0.453601953601954	0.450478407033876
bon iver-best new artist	w3	50074	44757	42526	0.44088748651995	0.819147661461038	0.378039665702832	0.381209116925593	0.380825303578465
all of the lights-song of the year	w1	4672	4498	4300	0.352525684931507	0.94285102739726	0.366891785770379	0.367423623590917	0.365056456405467
bon iver-best new artist	w4	47377	42607	40419	0.444034024948815	0.821580091605631	0.353945343433891	0.364249563998222	0.362889541304172
born this way-album of the year	w5	40587	33320	30252	0.505211028161727	0.873407741395028	0.465703598310997	0.491764566975618	0.502416421702955
born this way-album of the year	w2	39465	32594	29617	0.47849993665273	0.876042062587102	0.322342198118139	0.320098207709305	0.320599696904092
born this way-album of the year	w3	39615	33428	30381	0.477950271361858	0.868282216332197	0.349338624338624	0.35823134792207	0.359436373101131
moves like jagger-best pop duo/group performance	w1	22441	21512	20585	0.702196871797157	0.972505681564993	0.282035491654937	0.282187504099275	0.286643272899435
born this way-album of the year	w4	42230	35077	31747	0.484158181387639	0.874188965190623	0.411811169512516	0.425314951559904	0.427937885854474
born this way-best pop vocal album	w5	40587	33320	30252	0.503486337989997	0.873432379826053	0.465703598310997	0.491764566975618	0.502416421702955
born this way-best pop vocal album	w2	39465	32594	29617	0.477613074876473	0.875737995692386	0.322342198118139	0.320098207709305	0.320599696904092
born this way-best pop vocal album	w3	39615	33428	30381	0.476435693550423	0.86810551558753	0.349338624338624	0.35823134792207	0.359436373101131
are you gonna kiss me or not-best country song	w1	877	672	665	0.120866590649943	0.311288483466363	0.376394849785408	0.369230769230769	0.370886781929727
born this way-best pop vocal album	w4	42230	35077	31747	0.482405872602415	0.874236324887521	0.411811169512516	0.425314951559904	0.427937885854474
chief-best country album	w5	313	309	306	0.210862619808307	0.980830670926518	0.360184119677791	0.392630241423126	0.392307692307692
chief-best country album	w2	416	406	398	0.264423076923077	0.96875	0.378870673952641	0.375925925925926	0.373008434864105
chief-best country album	w3	416	408	403	0.223557692307692	0.975961538461538	0.430196483971044	0.429022082018927	0.428723404255319
my beautiful dark twisted fantasy-best rap album	w1	701	673	643	0.452211126961484	0.462196861626248	0.305846422338569	0.305077062556664	0.303445021236432
chief-best country album	w4	369	363	358	0.211382113821138	0.975609756097561	0.406387665198238	0.422093023255814	0.42018779342723
dearest-best pop duo/group performance	w5	75	73	72	0.413333333333333	1	0.25	0.316017316017316	0.317180616740088
dearest-best pop duo/group performance	w2	91	89	89	0.505494505494505	1	0.385593220338983	0.38695652173913	0.390350877192982
dearest-best pop duo/group performance	w3	84	82	82	0.44047619047619	1	0.371681415929204	0.3710407239819	0.376146788990826
black and yellow-best rap song	w1	5028	4881	4747	0.294351630867144	0.947891805887033	0.267049075844487	0.268555708390647	0.273255813953488
dearest-best pop duo/group performance	w4	77	75	74	0.454545454545455	1	0.34070796460177	0.336322869955157	0.337899543378995
doo-wops & hooligans-album of the year	w5	6478	5176	3655	0.499536894103118	0.809354739117011	0.718899123293752	0.795940335229894	0.734525723472669
doo-wops & hooligans-album of the year	w2	10474	9384	4370	0.476131372923429	0.85927057475654	0.456741671027385	0.47607934655776	0.375171703296703
doo-wops & hooligans-album of the year	w3	10331	9255	4337	0.480108411576808	0.856257864679121	0.661226318484383	0.729314420803783	0.478856133377498
my kinda party-best country album	w1	1148	1063	1042	0.31794425087108	0.886759581881533	0.392747177557304	0.378966131907308	0.37959927140255
doo-wops & hooligans-album of the year	w4	6123	5280	3656	0.408623223909848	0.79421852033317	0.483267561168114	0.544105523495466	0.512691067171505
doo-wops & hooligans-best pop vocal album	w5	6478	5176	3655	0.499536894103118	0.808582895955542	0.718899123293752	0.795940335229894	0.734525723472669
doo-wops & hooligans-best pop vocal album	w2	10474	9384	4370	0.47689516898988	0.858697727706702	0.456741671027385	0.47607934655776	0.375171703296703
doo-wops & hooligans-best pop vocal album	w3	10331	9255	4337	0.480398799728971	0.855773884425515	0.661226318484383	0.729314420803783	0.478856133377498
body and soul-best pop duo/group performance	w1	683	666	622	0.213762811127379	0.978038067349927	0.311729803742583	0.308905380333952	0.3037109375
doo-wops & hooligans-best pop vocal album	w4	6123	5280	3656	0.408786542544504	0.792748652621264	0.483267561168114	0.544105523495466	0.512691067171505
down by the water-best rock song	w5	209	207	205	0.425837320574163	0.971291866028708	0.312874251497006	0.314112291350531	0.31733746130031
down by the water-best rock song	w2	178	177	177	0.539325842696629	0.97752808988764	0.285714285714286	0.2859450726979	0.286871961102107
down by the water-best rock song	w3	195	194	194	0.512820512820513	0.969230769230769	0.292792792792793	0.293939393939394	0.296636085626911
nicki minaj-best new artist	w1	725668	637363	575633	0.339314948433719	0.580506512620096	0.434846023443291	0.437368418163303	0.445399517330975
down by the water-best rock song	w4	219	218	218	0.442922374429224	0.972602739726027	0.323008849557522	0.325373134328358	0.33030303030303
every teardrop is a waterfall-best rock song	w5	8767	8449	8247	0.41952777460933	0.933500627352572	0.356599552572707	0.357432946949827	0.358207010380923
every teardrop is a waterfall-best rock song	w2	8129	7911	7725	0.403001599212695	0.935047361299053	0.305601503759398	0.307665383269163	0.308088059344341
every teardrop is a waterfall-best rock song	w3	8663	8415	8200	0.405402285582362	0.936396167609373	0.320614359733531	0.323516973588097	0.323267365765197
bon iver-best new artist	w1	69817	61812	58285	0.419296159961041	0.813712992537634	0.431187391148606	0.427542797855784	0.425602605387486
every teardrop is a waterfall-best rock song	w4	9170	8849	8627	0.412977099236641	0.936641221374046	0.344542551192936	0.345961373054969	0.345979546821737
far away-best r&b song	w5	867	835	531	0.615916955017301	0.82237600922722	0.658314350797267	0.664808917197452	0.435602953240361
far away-best r&b song	w2	907	873	571	0.62954796030871	0.848952590959206	0.33017837641063	0.331183611532625	0.331398723157284
far away-best r&b song	w3	926	891	588	0.628509719222462	0.831533477321814	0.400865800865801	0.403715450838242	0.370510396975425
not my daddy-best r&b song	w1	366	358	350	0.262295081967213	0.349726775956284	0.358823529411765	0.357285429141717	0.357507660878447
far away-best r&b song	w4	954	910	604	0.613207547169811	0.824947589098533	0.517915309446254	0.51792828685259	0.42296918767507
firework-best pop solo performance	w5	15731	14206	13509	0.490178628186384	0.955311169029305	0.42351389188025	0.425151134255103	0.424370935821318
firework-best pop solo performance	w2	17544	16543	13892	0.56469448244414	0.963463292293662	0.321542465452146	0.33282365959159	0.319202224213598
firework-best pop solo performance	w3	18781	17302	14572	0.541451466908045	0.961343911399819	0.371158672753503	0.378004019924845	0.349557415981001
born this way-album of the year	w1	43185	32501	29371	0.570267453977075	0.883709621396318	0.35598878905284	0.321476968120357	0.320137337184588
firework-best pop solo performance	w4	20050	18197	15440	0.535411471321696	0.959401496259352	0.456189847785033	0.459543411283398	0.409397040886673
firework-record of the year	w5	15731	14206	13509	0.491386434428835	0.9551840315301	0.42351389188025	0.425151134255103	0.424370935821318
firework-record of the year	w2	17544	16543	13892	0.567601459188327	0.963463292293662	0.321542465452146	0.33282365959159	0.319202224213598
firework-record of the year	w3	18781	17302	14572	0.543953996059848	0.961343911399819	0.371158672753503	0.378004019924845	0.349557415981001
otis-best rap song	w1	3055	2875	2782	0.442225859247136	0.88379705400982	0.281982647221709	0.278990781174187	0.285070191617994
firework-record of the year	w4	20050	18197	15440	0.537805486284289	0.95930174563591	0.456189847785033	0.459543411283398	0.409397040886673
fool for you-best r&b song	w5	3164	2907	2847	0.420986093552465	0.556257901390645	0.3551863493489	0.355465884079237	0.353357329030657
fool for you-best r&b song	w2	2970	2768	2713	0.420875420875421	0.547811447811448	0.311059907834101	0.31468849477035	0.314988970161384
fool for you-best r&b song	w3	3203	2957	2897	0.433655947549173	0.564470808616922	0.334901714763697	0.336673118524422	0.336391082210869
born this way-best pop vocal album	w1	43185	32501	29371	0.570221141600093	0.884126432789163	0.35598878905284	0.321476968120357	0.320137337184588
fool for you-best r&b song	w4	3181	2932	2869	0.429739075762339	0.569946557686262	0.335053718137771	0.336585925840891	0.335085260453165
fuckin' perfect-best pop solo performance	w5	1782	1699	1651	0.891694725028058	0.900673400673401	0.353501289426701	0.356259173830992	0.358601216333623
fuckin' perfect-best pop solo performance	w2	1860	1801	1741	0.908602150537634	0.918279569892473	0.332796564680623	0.334882856080327	0.334036838066002
fuckin' perfect-best pop solo performance	w3	1893	1839	1782	0.904384574749076	0.910723718964606	0.343370215853437	0.349486887115165	0.349617422012949
own the night-best country album	w1	1224	1163	1025	0.309640522875817	0.990196078431373	0.364828614008942	0.351891074130106	0.34523408555069
fuckin' perfect-best pop solo performance	w4	1914	1840	1779	0.903866248693835	0.911180773249739	0.356490966660458	0.361422117462188	0.360632475167241
god gave me you-best country song	w5	2247	2086	2058	0.321317311971518	0.907877169559413	0.336528381009435	0.336072176574835	0.354888773926539
god gave me you-best country song	w2	2394	2255	2164	0.323725981620718	0.924394319131161	0.340153452685422	0.345646842427958	0.33886626996555
god gave me you-best country song	w3	2416	2249	2177	0.312913907284768	0.924254966887417	0.347926267281106	0.350038910505837	0.349718875502008
chief-best country album	w1	425	413	403	0.247058823529412	0.950588235294118	0.353871773522065	0.35089209855565	0.347713546160483
god gave me you-best country song	w4	2375	2189	2151	0.31621052631579	0.909473684210526	0.340599455040872	0.338540055675843	0.348905109489051
grenade-best pop solo performance	w5	25144	12809	11863	0.332007636016545	0.616131084950684	0.262132379770853	0.346292140906756	0.337448442611293
grenade-best pop solo performance	w2	35621	14789	13991	0.450015440330142	0.686027904887566	0.403102968302647	0.349299700040152	0.354372989539272
grenade-best pop solo performance	w3	34959	15217	14288	0.450384736405504	0.709602677422123	0.430582584062077	0.380130398940821	0.382154702043436
paradise-best pop duo/group performance	w1	49394	46985	43192	0.883609345264607	0.962303113738511	0.307174706624959	0.311198097773892	0.3079775248852
grenade-best pop solo performance	w4	28264	14313	13330	0.45457118596094	0.738642796490235	0.325843603370955	0.369177198865102	0.365405701754386
grenade-record of the year	w5	25144	12809	11863	0.331808781419026	0.615852688514158	0.262132379770853	0.346292140906756	0.337448442611293
grenade-record of the year	w2	35621	14789	13991	0.449931220347548	0.685943684904972	0.403102968302647	0.349299700040152	0.354372989539272
grenade-record of the year	w3	34959	15217	14288	0.449726822849624	0.709545467547699	0.430582584062077	0.380130398940821	0.382154702043436
dearest-best pop duo/group performance	w1	116	113	112	0.456896551724138	0.991379310344828	0.46031746031746	0.459349593495935	0.457142857142857
grenade-record of the year	w4	28264	14313	13330	0.454288140390603	0.738465893008774	0.325843603370955	0.369177198865102	0.365405701754386
grenade-song of the year	w5	25144	12809	11863	0.332365574292078	0.616210626789691	0.262132379770853	0.346292140906756	0.337448442611293
grenade-song of the year	w2	35621	14789	13991	0.450773420173493	0.685943684904972	0.403102968302647	0.349299700040152	0.354372989539272
grenade-song of the year	w3	34959	15217	14288	0.45072799565205	0.709574072484911	0.430582584062077	0.380130398940821	0.382154702043436
pieces of me-best r&b song	w1	1626	1563	1524	0.40159901599016	0.96309963099631	0.357284113381674	0.352582900969998	0.351719363027925
grenade-song of the year	w4	28264	14313	13330	0.454712708746108	0.738642796490235	0.325843603370955	0.369177198865102	0.365405701754386
here for a good time-best country album	w5	734	696	693	0.985013623978202	0.986376021798365	0.367919799498747	0.358762886597938	0.36
here for a good time-best country album	w2	731	721	717	0.972640218878249	0.976744186046512	0.325322652425456	0.337388862891905	0.337094499294781
here for a good time-best country album	w3	772	738	734	0.980569948186529	0.983160621761658	0.348061316501353	0.350760456273764	0.350860420650096
doo-wops & hooligans-album of the year	w1	7041	6229	2429	0.49921886095725	0.912512427212044	0.26147504456328	0.260420586144906	0.196473347892906
here for a good time-best country album	w4	741	703	700	0.979757085020243	0.98110661268556	0.341003221352968	0.337008628954938	0.337837837837838
holocene-record of the year	w5	1483	1392	1354	0.416048550236008	0.931894807821982	0.249327505043712	0.313090418353576	0.311909698226215
holocene-record of the year	w2	1907	1823	1736	0.462506554798112	0.929732564237022	0.415287456445993	0.41735347985348	0.413530252501191
holocene-record of the year	w3	1553	1503	1436	0.428847392144237	0.923374114616871	0.318172505634091	0.350758459743291	0.345524542829644
pink friday-best rap album	w1	5972	5383	4365	0.195244474212994	0.919122572002679	0.248595096365983	0.242564888248017	0.275394321766562
holocene-record of the year	w4	1556	1473	1408	0.424807197943445	0.926092544987147	0.288575667655786	0.338387319090283	0.331060427933224
holocene-song of the year	w5	1483	1392	1354	0.420768712070128	0.931894807821982	0.249327505043712	0.313090418353576	0.311909698226215
holocene-song of the year	w2	1907	1823	1736	0.45673833245936	0.928683796539067	0.415287456445993	0.41735347985348	0.413530252501191
holocene-song of the year	w3	1553	1503	1436	0.429491307147457	0.92401802962009	0.318172505634091	0.350758459743291	0.345524542829644
doo-wops & hooligans-best pop vocal album	w1	7041	6229	2429	0.50063911376225	0.911660275529044	0.26147504456328	0.260420586144906	0.196473347892906
holocene-song of the year	w4	1556	1473	1408	0.425449871465296	0.926735218508997	0.288575667655786	0.338387319090283	0.331060427933224
i need a doctor-best rap song	w5	2928	2851	2722	0.268784153005464	0.676912568306011	0.37318378791741	0.385166171305053	0.380646063487624
i need a doctor-best rap song	w2	3060	2979	2787	0.259477124183007	0.667647058823529	0.335122111488336	0.335397433010583	0.332895365504061
i need a doctor-best rap song	w3	3034	2954	2756	0.25708635464733	0.662162162162162	0.341820639927895	0.342413353425293	0.334913112164297
pumped up kicks-best pop duo/group performance	w1	22856	21715	20875	0.970642282114106	0.988274413720686	0.291843301496501	0.290641646813181	0.29247754753198
i need a doctor-best rap song	w4	3169	3077	2894	0.266014515620069	0.668349637109498	0.368874403445466	0.373331715603009	0.364575459813555
j cole-best new artist	w5	128817	112846	104509	0.382395180760303	0.746547427746338	0.333631179002657	0.332789723112675	0.332583361444019
j cole-best new artist	w2	129481	113613	105185	0.393571257559024	0.731188359682115	0.338278939503193	0.33746803183005	0.33785259560472
j cole-best new artist	w3	126456	111275	102774	0.394453406718542	0.725548807490352	0.321663771109376	0.322380181187657	0.32154857925925
down by the water-best rock song	w1	194	192	190	0.520618556701031	0.984536082474227	0.327702702702703	0.32597623089983	0.32258064516129
j cole-best new artist	w4	127491	112542	104051	0.389376505008197	0.741417041202908	0.314713331457263	0.317259226683806	0.316565608010052
just fishin-best country song	w5	342	340	335	0.634502923976608	0.985380116959064	0.399066511085181	0.39766081871345	0.395981087470449
just fishin-best country song	w2	299	298	292	0.752508361204013	0.986622073578595	0.294871794871795	0.295341922695738	0.295247724974722
just fishin-best country song	w3	328	327	319	0.689024390243902	0.98780487804878	0.324110671936759	0.324726911618669	0.322222222222222
red river blue-best country album	w1	324	318	313	0.101851851851852	0.984567901234568	0.360801781737194	0.358916478555305	0.360599078341014
just fishin-best country song	w4	344	342	335	0.671511627906977	0.98546511627907	0.356107660455487	0.355509355509356	0.352631578947368
lasers-best rap album	w5	1193	1052	987	0.353730092204526	0.747694886839899	0.420811287477954	0.404304381245196	0.389810426540284
lasers-best rap album	w2	1146	1044	981	0.381326352530541	0.787085514834206	0.319754464285714	0.324022346368715	0.325049701789264
lasers-best rap album	w3	1186	1081	1012	0.376897133220911	0.77150084317032	0.353924201730827	0.357237276933245	0.353105373342638
every teardrop is a waterfall-best rock song	w1	8094	7815	7623	0.388559426735854	0.933036817395602	0.311763346429397	0.310427010923535	0.310483870967742
