"candidate"	"NumDistinctTweets_w4"	"PositiveRatio_w4"	"NonNegativeRatio_w4"	"NormalizedNumDistinctTweets_w4"
"adorn-song of the year"	16880	0.49747183979975	0.856821026282854	0.300051549140551
"babel-album of the year"	4419	0.433235663457514	0.91816659690247	0.278889239507731
"based on a t.r.u. story-best rap album"	790	0.212530712530713	0.958230958230958	0.191840699368626
"beautiful surprise-best r&b song"	764	0.959748427672956	0.982389937106918	0.315572077653862
"blown away-best country song"	4007	0.377489371223987	0.915864846721862	0.287446197991392
"blunderbuss-album of the year"	1508	0.436037829766053	0.957690393230463	0.293214077386739
"call me maybe-best pop solo performance"	24894	0.16504337998205	0.961705946880298	0.294645393428653
"call me maybe-song of the year"	24894	0.165841172755377	0.961606222783632	0.294645393428653
"ceremonials-best pop vocal album"	322	0.373563218390805	0.931034482758621	0.269230769230769
"channel orange-album of the year"	5980	0.808442548003657	0.901706796708321	0.214198724837023
"cost of livin'-best country song"	38	0.0731707317073171	0.365853658536585	0.304
"daughters-best rap song"	1613	0.441586280814577	0.877277599142551	0.337236044323646
"el camino-album of the year"	1244	0.291044776119403	0.907462686567164	0.284472901898011
"even if it breaks your heart-best country song"	882	0.919931271477663	0.98659793814433	0.304663212435233
"food & liquor ii-best rap album"	729	0.708939708939709	0.917879417879418	2.15044247787611
"four the record-best country album"	67	0.373134328358209	0.940298507462687	0.248148148148148
"frank ocean-best new artist"	349179	0.660275893281036	0.787780030792849	0.315641748572431
"freedom at 21-best rock song"	770	0.787153652392947	0.984886649874055	0.295245398773006
"fun-best new artist"	14320745	0.909916707028017	0.914670803693476	0.331408134290328
"god forgives i don't-best rap album"	1528	0.113405797101449	0.153623188405797	0.247489471979268
"heart attack-best r&b song"	10049	0.739456183180402	0.824395992928698	0.336672473867596
"hunter hayes-best country album"	100556	0.374152724152724	0.734732947232947	0.311034813405713
"hunter hayes-best new artist"	100556	0.373970398970399	0.734797297297297	0.311034813405713
"i will wait-best rock song"	9520	0.9520459174227	0.989538974264025	0.328570442465659
"life is good-best rap album"	5439	0.87311759051586	0.945850688881769	0.323000178157848
"living for a song: a tribute to hank cochran-best country album"	52	0.509433962264151	1	0.388059701492537
"lonely boy-best rock song"	3197	0.0813397129186603	0.14055023923445	0.337663709336713
"lonely boy-record of the year"	3197	0.0828349282296651	0.140849282296651	0.337663709336713
"lotus flower bomb-best rap song"	2536	0.449664429530201	0.87248322147651	0.309456985967053
"madness-best rock song"	13660	0.418097888805919	0.878623311384156	0.299877063575694
"mercy-best rap song"	4261	0.6229216152019	0.769002375296912	0.315022918823008
"niggas in paris-best rap song"	4863	0.235843660629171	0.946615824594852	0.33593534125449
"overexposed-best pop vocal album"	5749	0.768969970939619	0.974975783015822	0.288676876726086
"payphone-best pop duo/group performance"	19253	0.634549837891762	0.963130767312329	0.330517931022643
"pray for me-best r&b song"	1718	0.177094379639449	0.92576882290562	0.312193349082319
"refill-best r&b song"	1830	0.370959466393022	0.833760903027193	0.346394094264622
"set fire to the rain (live)-best pop solo performance"	19819	0.0793006556353419	0.952683248343567	0.317048199516885
"sexy and i know it-best pop duo/group performance"	8256	0.969300278035218	0.982275254865616	0.337654901640015
"shake it out-best pop duo/group performance"	1692	0.206777713957496	0.950603101665709	0.36943231441048
"so you don't have to love me anymore-best country song"	138	0.0759493670886076	0.0822784810126582	0.259398496240602
"some nights-album of the year"	23673	0.936784778712257	0.982765752102578	0.310144243996384
"some nights-best pop vocal album"	23673	0.936750310216462	0.982765752102578	0.310144243996384
"somebody that i used to know-best pop duo/group performance"	29467	0.348304889298893	0.662995848708487	0.308248339348292
"somebody that i used to know-record of the year"	29467	0.347411208487085	0.662765221402214	0.308248339348292
"springsteen-best country song"	2337	0.427300613496932	0.77760736196319	0.328322562517561
"stronger (what doesn't kill you)-best pop solo performance"	7828	0.831182543406851	0.886790239324261	0.319653722079301
"stronger (what doesn't kill you)-song of the year"	7828	0.830713280150164	0.886438291881746	0.319653722079301
"stronger-best pop vocal album"	7471	0.85739065791104	0.915499938049808	0.317860789652825
"stronger-record of the year"	7471	0.858010159831495	0.91574773881799	0.317860789652825
"take care-best rap album"	25615	0.506119263190759	0.802684982828598	0.300617312928364
"the a team-song of the year"	22435	0.866308586564638	0.91527481421529	0.356790712468193
"the alabama shakes-best new artist"	430	0.485587583148559	0.886917960088692	0.270780856423174
"the lumineers-best new artist"	76953	0.530866756485992	0.877880263930632	0.386035055332042
"the motto-best rap song"	6741	0.469221524903191	0.910535451996261	0.321643286573146
"the time jumpers-best country album"	112	0.373983739837398	0.983739837398374	0.32
"the truth about love-best pop vocal album"	2569	0.933378653976886	0.975866757307954	0.277549697493518
"thinkin bout you-record of the year"	9146	0.340493117531387	0.942368779307215	0.319455117010129
"uncaged-best country album"	192	0.666666666666667	0.930348258706468	0.296296296296296
"undun-best rap album"	302	0.437908496732026	0.928104575163399	0.266079295154185
"we are never ever getting back together-record of the year"	28172	0.125747106329631	0.129216595236013	0.323816091954023
"we are young-best pop duo/group performance"	21830	0.941134070158578	0.990949863847509	0.317130571212738
"we are young-record of the year"	21929	0.938539464762892	0.990467833924939	0.316984677652501
"we are young-song of the year"	21929	0.93889841662346	0.990627368085191	0.316984677652501
"we take care of our own-best rock song"	372	0.809399477806789	0.994778067885117	0.318766066838046
"where have you been-best pop solo performance"	12895	0.292403536977492	0.930801178992497	0.327841761370859
"wide awake-best pop solo performance"	24594	0.36982044198895	0.865711325966851	0.353860320566315
"young wild & free-best rap song"	23383	0.378147048617805	0.924702162933261	0.286324786324786
