"candidate"	"NumDistinctTweets_w3"	"PositiveRatio_w3"	"NonNegativeRatio_w3"	"NormalizedNumDistinctTweets_w3"	"NumDistinctTweets_w4"	"PositiveRatio_w4"	"NonNegativeRatio_w4"	"NormalizedNumDistinctTweets_w4"
"ain't messin 'round-best rock song"	81	0.0833333333333333	0.833333333333333	0.413265306122449	79	0.0618556701030928	0.845360824742268	0.519736842105263
"based on a true story-best country album"	146	0.136563876651982	0.995594713656388	0.268876611418048	184	0.199312714776632	0.996563573883162	0.388185654008439
"begin again-best country song"	2150	0.331147540983607	0.929508196721311	0.311458786035057	2229	0.317480719794344	0.924807197943445	0.357268793075813
"best of me-best r&b song"	534	0.983128834355828	0.995398773006135	0.326805385556916	540	0.983383685800604	0.998489425981873	0.370624571036376
"blurred lines-best pop duo/group performance"	24206	0.362162589624631	0.911825179249262	0.256939358235413	23942	0.378286153698275	0.869154611428846	0.242276439218385
"blurred lines-record of the year"	25366	0.370986021911598	0.912101750409268	0.261238529747989	25006	0.386912178688449	0.87145230513637	0.247004553671089
"brave-best pop solo performance"	6368	0.894161227729758	0.953871935085553	0.452948289352016	5021	0.906030701754386	0.965899122807018	0.443668816824247
"cut me some slack-best rock song"	186	0.242677824267782	0.552301255230126	0.343807763401109	192	0.246153846153846	0.6	0.444444444444444
"doom and gloom-best rock song"	653	0.247135842880524	0.500818330605565	0.356635718186783	663	0.242622950819672	0.49672131147541	0.439946914399469
"ed sheeran-best new artist"	289193	0.756474318935281	0.836847532422414	0.412507025056272	239429	0.768662378288837	0.839296700238911	0.394767084304056
"fuckin' problems-best rap song"	339	0.0675	0.11	0.354973821989529	355	0.0599520383693046	0.0983213429256595	0.462842242503259
"get lucky-best pop duo/group performance"	25789	0.891789798278299	0.941796222536297	0.365983112183353	25950	0.899769758246158	0.944842084188398	0.449654312002911
"get lucky-record of the year"	25789	0.891789798278299	0.941796222536297	0.365983112183353	25950	0.899769758246158	0.944842084188398	0.449654312002911
"god is dead-best rock song"	1098	0.256799493991145	0.965211891208096	0.355569948186528	1121	0.29040404040404	0.964646464646465	0.438919342208301
"good kid m.a.a.d city-album of the year"	3471	0.815159392529758	0.972362840333835	0.342442778216259	3588	0.805025887106958	0.966915014522036	0.422714420358153
"good kid m.a.a.d city-best rap album"	3471	0.815159392529758	0.972362840333835	0.342442778216259	3588	0.805025887106958	0.966915014522036	0.422714420358153
"holy grail-best rap song"	22199	0.884245772643563	0.962129583124058	0.34946947514247	22322	0.869741735184743	0.958104465900174	0.413607811892012
"i drive your truck-best country song"	669	0.213803450862716	0.816204051012753	0.350078492935636	674	0.347776510832383	0.79133409350057	0.409477521263669
"james blake-best new artist"	17485	0.579340264206988	0.900961463300242	0.34044665978699	17062	0.553848118508428	0.887238208751916	0.374758390441047
"just give me a reason-best pop duo/group performance"	20718	0.549022894110549	0.924513123051654	0.35223312195039	20777	0.550314882333444	0.924428239973484	0.418764486546407
"just give me a reason-song of the year"	9244	0.235539505634767	0.953738870556005	0.346437806843308	9354	0.244174638214373	0.956647044395389	0.416436648562016
"kacey musgraves-best new artist"	7244	0.246145964323972	0.419356341111266	0.301030585106383	8075	0.265907414238288	0.474732571007009	0.378184713375796
"kendrick lamar-best new artist"	189081	0.27534261995216	0.823112424370339	0.327420924489944	193072	0.255045816450235	0.804490995074322	0.386796138289155
"locked out of heaven-record of the year"	12487	0.715752990405343	0.981106555644786	0.411433278418451	10975	0.692322503008424	0.978146811070999	0.441970038659794
"locked out of heaven-song of the year"	12487	0.715752990405343	0.981106555644786	0.411433278418451	10975	0.692322503008424	0.978146811070999	0.441970038659794
"love and war-best r&b song"	1854	0.930693069306931	0.966108149276466	0.302348336594912	1963	0.925018288222385	0.96269202633504	0.352930600503416
"macklemore & ryan lewis-best new artist"	55372	0.431120364462653	0.7995231539004	0.216911174223876	58376	0.457110670609517	0.797430648078944	0.209451435009275
"magna carta...holy grail-best rap album"	855	0.786214953271028	0.955607476635514	0.356547122602168	846	0.788996372430472	0.932285368802902	0.410281280310378
"mama's broken heart-best country song"	679	0.646073298429319	0.652356020942408	0.490961677512654	561	0.634588563458856	0.644351464435146	0.540462427745665
"merry go 'round-best country song"	323	0.796714579055442	0.963039014373717	0.420572916666667	285	0.917312661498708	0.950904392764858	0.454545454545455
"mine would be you-best country song"	4188	0.759817003431186	0.837050451137375	0.30506993006993	4314	0.76196834494887	0.878036865759135	0.34379980873446
"mirrors-best pop solo performance"	21498	0.299551846700664	0.948601452634832	0.35906600748263	21582	0.28949485918641	0.95693637311876	0.43526137463698
"new slaves-best rap song"	1359	0.227515799708313	0.62226543509966	0.241342567927544	1755	0.265090010589481	0.660430638898694	0.334158415841584
"night train-best country album"	2371	0.538611062025093	0.847852977557872	0.359351318581388	2279	0.546094172830597	0.831679595886704	0.403648600779313
"nothing was the same-best rap album"	12115	0.382687472562557	0.78002155086403	0.332172625575784	12658	0.395946966518419	0.759209532600487	0.407783254405464
"only one-best r&b song"	165	0.330952380952381	0.964285714285714	0.351063829787234	162	0.334939759036145	0.968674698795181	0.458923512747875
"panic station-best rock song"	1321	0.295657346817371	0.880428316478287	0.293425144380275	1530	0.373078961314255	0.918918918918919	0.384518723297311
"paradise-best pop vocal album"	2313	0.852914250839182	0.857796765334147	0.329487179487179	2329	0.852534562211982	0.858371735791091	0.377288190507047
"pure heroine-best pop vocal album"	6685	0.819947745086902	0.931500624787004	0.280705437749318	8316	0.840391401989092	0.923804940648059	0.406352308819937
"pusher love girl-best r&b song"	918	0.991056910569106	0.99349593495935	0.315898141775637	977	0.987284966342558	0.988032909498878	0.384494293585203
"radioactive-record of the year"	30853	0.264877156009095	0.965448394431812	0.350323606222323	29758	0.269523864092133	0.973166026853072	0.388571876264967
"random access memories-album of the year"	4149	0.208647140864714	0.578103207810321	0.352626211116777	4271	0.208086920643653	0.580937972768533	0.441858059176495
"red-album of the year"	17771	0.513376354864983	0.902794311133388	0.323809697345165	19084	0.498814563928874	0.899858876658199	0.401202514348183
"red-best country album"	17771	0.513376354864983	0.902794311133388	0.323809697345165	19084	0.498814563928874	0.899858876658199	0.401202514348183
"roar-best pop solo performance"	39768	0.443091362718308	0.92913151954378	0.0664112729495302	43281	0.414308076855101	0.942888883278208	0.0521836319836797
"roar-song of the year"	39768	0.443091362718308	0.92913151954378	0.0664112729495302	43281	0.414308076855101	0.942888883278208	0.0521836319836797
"robin thicke-best pop vocal album"	24116	0.360777254196008	0.911791179117912	0.256438612534825	23869	0.377173310183511	0.868914128626203	0.241824039552602
"royals-best pop solo performance"	78720	0.337508245382586	0.905021437994723	0.324441953246068	83000	0.336610064103513	0.900165810472708	0.396840575275398
"royals-record of the year"	78720	0.337508245382586	0.905021437994723	0.324441953246068	83000	0.336610064103513	0.900165810472708	0.396840575275398
"royals-song of the year"	78720	0.337508245382586	0.905021437994723	0.324441953246068	83000	0.336610064103513	0.900165810472708	0.396840575275398
"same love-song of the year"	12494	0.92344883158743	0.964774951076321	0.318870910111786	13606	0.917116933428484	0.967580793149149	0.406634787806336
"same trailer different park-best country album"	151	0.4	0.933333333333333	0.378446115288221	160	0.417989417989418	0.947089947089947	0.512820512820513
"started from the bottom-best rap song"	11435	0.1481650330522	0.889275131069068	0.350229709035222	11676	0.134646088344864	0.822299095263438	0.424365777422403
"stay-best pop duo/group performance"	24561	0.3917126924411	0.903492622535286	0.373903909389843	23455	0.370972138923723	0.902568017011068	0.426990224099325
"suit & tie-best pop duo/group performance"	1648	0.831428571428571	0.998857142857143	0.372935053179452	1613	0.828855140186916	0.998831775700935	0.440830828095108
"the 20/20 experience – the complete experience-best pop vocal album"	135	0.673076923076923	0.942307692307692	0.330073349633252	140	0.640243902439024	0.957317073170732	0.406976744186047
"the blessed unrest-album of the year"	1965	0.994193836534167	1	0.398176291793313	1910	0.991662806855026	0.998147290412228	0.5655907610305
"the heist-album of the year"	2919	0.391585760517799	0.93042071197411	0.289468464894883	3220	0.493098322361436	0.923975366319813	0.345827515841478
"the heist-best rap album"	2919	0.391585760517799	0.93042071197411	0.289468464894883	3220	0.493098322361436	0.923975366319813	0.345827515841478
"thrift shop-best rap song"	15762	0.836843629743038	0.956966110812265	0.364102564102564	15624	0.856701786885879	0.960518698622207	0.429939460649422
