	NumDistinctTweets_w4	PositiveRatio_w4	NonNegativeRatio_w4	NormalizedNumDistinctTweets_w4
best rap song	i,0.4822607560037728;anaconda,0.253911823744226;we dem boyz,0.11739098889936879;0 to 100/the catch up,0.11593992599579192;bound 2,0.030496505356840554	0 to 100/the catch up,0.27791942900191435;i,0.22964115706807664;anaconda,0.1755624107689274;we dem boyz,0.17357422721293292;bound 2,0.1433027759481486	0 to 100/the catch up,0.23664877549936203;we dem boyz,0.2300881896024916;anaconda,0.2078276542997169;i,0.16688577829369783;bound 2,0.15854960230473164	we dem boyz,0.28551558879141997;bound 2,0.22395459916908814;i,0.193965175719311;anaconda,0.1688186145683499;0 to 100/the catch up,0.1277460217518309
best rap album	the new classic,0.3265914413455397;oxymoron,0.23099850968703428;blacc hollywood,0.17245050031935277;because the internet,0.15839897807110923;nobody's smiling,0.06301894826484991;the marshall mathers lp 2,0.04854162231211412	nobody's smiling,0.30542770440494477;the new classic,0.2127651950823379;the marshall mathers lp 2,0.1826827835929862;blacc hollywood,0.10755653031464443;oxymoron,0.10645033182248435;because the internet,0.08511745478260231	the marshall mathers lp 2,0.19556410653004286;nobody's smiling,0.195547665387146;blacc hollywood,0.18328972970046917;oxymoron,0.16621599528583833;the new classic,0.1657693399023739;because the internet,0.0936131631941296	the marshall mathers lp 2,0.22139409277855093;because the internet,0.1677326229682441;the new classic,0.1644453930268025;oxymoron,0.16274317988795275;blacc hollywood,0.15849354665745558;nobody's smiling,0.1251911646809942
best new artist	sam smith,0.4846714826872364;iggy azalea,0.40278113530301785;bastille,0.08172223251636052;haim,0.029496183056230127;brandy clark,0.0013289664371551038	sam smith,0.2766456645617001;bastille,0.2430457199943664;haim,0.18868782519709165;brandy clark,0.167154989313757;iggy azalea,0.12446580093308487	brandy clark,0.22187460102903536;haim,0.20309313660761774;iggy azalea,0.19699553299530936;bastille,0.19254597560438766;sam smith,0.18549075376364993	brandy clark,0.3864335549466617;bastille,0.27887841152299586;haim,0.2568755034365067;sam smith,0.04180052801807991;iggy azalea,0.03601200207575587
best country song	american kids,0.43453587353060397;meanwhile back at mama's,0.22213214430482367;give me back my hometown,0.22132144304823673;automatic,0.12201053911633564	meanwhile back at mama's,0.46722251506811235;automatic,0.22022143521622223;american kids,0.178045315353635;give me back my hometown,0.1345107343620305	meanwhile back at mama's,0.25431532912974364;give me back my hometown,0.25253997158303604;automatic,0.25019262192631986;american kids,0.2429520773609005	automatic,0.2723602763951383;american kids,0.25067434300640257;give me back my hometown,0.24757644664495573;meanwhile back at mama's,0.22938893395350327
best pop solo performance	stay with me,0.2603437336202378;shake it off,0.21853292504620817;chandelier,0.2039394190184557;all of me (live version),0.18605754641507352;happy (live version),0.13112637590002482	happy (live version),0.37149103272978107;all of me (live version),0.27497460905557813;stay with me,0.13479319044049567;chandelier,0.12153927861231457;shake it off,0.09720188916183052	happy (live version),0.20825906985501796;all of me (live version),0.20382736454550143;stay with me,0.20295532052515358;shake it off,0.19668930465836326;chandelier,0.18826894041596381	chandelier,0.21269212335519563;stay with me,0.2060991541546776;all of me (live version),0.2053150302565909;happy (live version),0.19299213042984442;shake it off,0.1829015618036914
album of the year	x,0.53332714013656;beyoncé,0.250545775465651;in the lonely hour,0.15664917088578198;girl,0.03820428259556877;morning phase,0.02127363091643829	x,0.31476538804934345;girl,0.2582483602905425;morning phase,0.1907212443712177;beyoncé,0.16055329057494014;in the lonely hour,0.0757117167139562	girl,0.21911011155063037;morning phase,0.21126816504921733;x,0.21014085050218825;in the lonely hour,0.19556886551168964;beyoncé,0.16391200738627443	in the lonely hour,0.23561959013856953;girl,0.21329729765154398;x,0.20791516942502458;morning phase,0.19746709405412005;beyoncé,0.14570084873074188
best rock song	ain't it fun,0.5398362619808307;lazaretto,0.22583865814696485;fever,0.1411741214057508;blue moon,0.05920527156549521;gimme something good,0.03394568690095846	gimme something good,0.3221372147409309;ain't it fun,0.31629090608396304;fever,0.16228003063765664;blue moon,0.11013638301139382;lazaretto,0.08915546552605581	gimme something good,0.20507835583486567;blue moon,0.20371731343904448;ain't it fun,0.20228609722086546;fever,0.1977508633676693;lazaretto,0.19116737013755514	lazaretto,0.21927309324440986;gimme something good,0.21858147664183125;blue moon,0.2150340441288862;ain't it fun,0.18158792210764158;fever,0.16552346387723132
song of the year	all about that bass,0.2293556923741629;take me to church,0.21366205803989344;stay with me (darkchild version),0.21236588175991936;shake it off,0.17826024339310145;chandelier,0.16635612443292289	stay with me (darkchild version),0.25463462083569405;chandelier,0.22505328861642868;all about that bass,0.21947704276977942;shake it off,0.18457953688673553;take me to church,0.11625551089136238	take me to church,0.20510069168015757;stay with me (darkchild version),0.2046605710436915;all about that bass,0.20366517352169314;shake it off,0.1985045138477774;chandelier,0.18806904990668044	chandelier,0.21166686073454333;take me to church,0.2078327675578285;stay with me (darkchild version),0.20510567232954216;all about that bass,0.19337479756075482;shake it off,0.18201990181733124
best country album	platinum,0.7487753673897831;riser,0.1364590622813156;the way i'm livin',0.09377186843946816;12 stories,0.01819454163750875;the outsiders,0.0027991602519244225	platinum,0.2975805344542462;riser,0.27342425743865245;12 stories,0.18342927123767008;the outsiders,0.1547684476067843;the way i'm livin',0.09079748926264698	the way i'm livin',0.21502812823243955;12 stories,0.21502812823243955;platinum,0.20887567821148273;riser,0.19979696914930847;the outsiders,0.16127109617432966	platinum,0.314284837698169;the outsiders,0.29646557275702645;riser,0.17916566122196345;12 stories,0.10839522503928792;the way i'm livin',0.10168870328355324
best pop duo/group performance	a sky full of stars,0.35679903730445245;dark horse,0.1897084564052073;bang bang,0.15910458374357292;say something,0.1560414615468767;fancy,0.1383464609998906	say something,0.3164964396274035;a sky full of stars,0.2838914126228056;dark horse,0.14605729910829268;bang bang,0.13977716372451296;fancy,0.11377768491698516	a sky full of stars,0.2152438853526256;say something,0.2144888040425717;bang bang,0.20520088022871796;fancy,0.19329451233854184;dark horse,0.171771918037543	say something,0.29945329879621096;fancy,0.2564892172182656;dark horse,0.22354080502622156;bang bang,0.17918035047495012;a sky full of stars,0.04133632848435177
