	NumDistinctTweets_w4	PositiveRatio_w4	NonNegativeRatio_w4	NormalizedNumDistinctTweets_w4
best rap album	"the new classic,0.3265914413455397"	"nobody's smiling,0.30542770440494477"	"the marshall mathers lp 2,0.19556410653004286"	"the marshall mathers lp 2,0.22139409277855093"
best rap album	"oxymoron,0.23099850968703428"	"the new classic,0.2127651950823379"	"nobody's smiling,0.195547665387146"	"because the internet,0.1677326229682441"
best rap album	"blacc hollywood,0.17245050031935277"	"the marshall mathers lp 2,0.1826827835929862"	"blacc hollywood,0.18328972970046917"	"the new classic,0.1644453930268025"
best rap album	"because the internet,0.15839897807110923"	"blacc hollywood,0.10755653031464443"	"oxymoron,0.16621599528583833"	"oxymoron,0.16274317988795275"
best rap album	"nobody's smiling,0.06301894826484991"	"oxymoron,0.10645033182248435"	"the new classic,0.1657693399023739"	"blacc hollywood,0.15849354665745558"
best rap album	"the marshall mathers lp 2,0.04854162231211412"	"because the internet,0.08511745478260231"	"because the internet,0.0936131631941296"	"nobody's smiling,0.1251911646809942"
best new artist	"sam smith,0.4846714826872364"	"sam smith,0.2766456645617001"	"brandy clark,0.22187460102903536"	"brandy clark,0.3864335549466617"
best new artist	"iggy azalea,0.40278113530301785"	"bastille,0.2430457199943664"	"haim,0.20309313660761774"	"bastille,0.27887841152299586"
best new artist	"bastille,0.08172223251636052"	"haim,0.18868782519709165"	"iggy azalea,0.19699553299530936"	"haim,0.2568755034365067"
best new artist	"haim,0.029496183056230127"	"brandy clark,0.167154989313757"	"bastille,0.19254597560438766"	"sam smith,0.04180052801807991"
best new artist	"brandy clark,0.0013289664371551038"	"iggy azalea,0.12446580093308487"	"sam smith,0.18549075376364993"	"iggy azalea,0.03601200207575587"
album of the year	"x,0.53332714013656"	"x,0.31476538804934345"	"girl,0.21911011155063037"	"in the lonely hour,0.23561959013856953"
album of the year	"beyoncé,0.250545775465651"	"girl,0.2582483602905425"	"morning phase,0.21126816504921733"	"girl,0.21329729765154398"
album of the year	"in the lonely hour,0.15664917088578198"	"morning phase,0.1907212443712177"	"x,0.21014085050218825"	"x,0.20791516942502458"
album of the year	"girl,0.03820428259556877"	"beyoncé,0.16055329057494014"	"in the lonely hour,0.19556886551168964"	"morning phase,0.19746709405412005"
album of the year	"morning phase,0.02127363091643829"	"in the lonely hour,0.0757117167139562"	"beyoncé,0.16391200738627443"	"beyoncé,0.14570084873074188"
best country album	"platinum,0.7487753673897831"	"platinum,0.2975805344542462"	"the way i'm livin',0.21502812823243955"	"platinum,0.314284837698169"
best country album	"riser,0.1364590622813156"	"riser,0.27342425743865245"	"12 stories,0.21502812823243955"	"the outsiders,0.29646557275702645"
best country album	"the way i'm livin',0.09377186843946816"	"12 stories,0.18342927123767008"	"platinum,0.20887567821148273"	"riser,0.17916566122196345"
best country album	"12 stories,0.01819454163750875"	"the outsiders,0.1547684476067843"	"riser,0.19979696914930847"	"12 stories,0.10839522503928792"
best country album	"the outsiders,0.0027991602519244225"	"the way i'm livin',0.09079748926264698"	"the outsiders,0.16127109617432966"	"the way i'm livin',0.10168870328355324"
best rap song	"i,0.4822607560037728"	"0 to 100/the catch up,0.27791942900191435"	"0 to 100/the catch up,0.23664877549936203"	"we dem boyz,0.28551558879141997"
best rap song	"anaconda,0.253911823744226"	"i,0.22964115706807664"	"we dem boyz,0.2300881896024916"	"bound 2,0.22395459916908814"
best rap song	"we dem boyz,0.11739098889936879"	"anaconda,0.1755624107689274"	"anaconda,0.2078276542997169"	"i,0.193965175719311"
best rap song	"0 to 100/the catch up,0.11593992599579192"	"we dem boyz,0.17357422721293292"	"i,0.16688577829369783"	"anaconda,0.1688186145683499"
best rap song	"bound 2,0.030496505356840554"	"bound 2,0.1433027759481486"	"bound 2,0.15854960230473164"	"0 to 100/the catch up,0.1277460217518309"
best r&b song	"new flame,0.44744256180310304"	"good kisser,0.31147713442479114"	"good kisser,0.2510124703588479"	"options (wolfjames version),0.24620657152183126"
best r&b song	"drunk in love,0.29256775524780765"	"drunk in love,0.2847972009154417"	"new flame,0.2479989366142954"	"the worst,0.22830036017746685"
best r&b song	"good kisser,0.11975715249394865"	"options (wolfjames version),0.212749357296353"	"options (wolfjames version),0.2465832805223196"	"good kisser,0.21434563400954715"
best r&b song	"the worst,0.11947938573866117"	"new flame,0.1786384652035177"	"drunk in love,0.24085684822586623"	"new flame,0.17642529570308899"
