	NumTweets_w4	NumDistinctUsers_w4	NumTweets_w5	NumDistinctTweets_w5
best pop vocal album	bangerz,0.7126436781609196;my everything,0.09770114942528736;prism,0.08237547892720307;ghost stories,0.038314176245210725;x,0.03639846743295019;in the lonely hour,0.032567049808429116	bangerz,0.3;my everything,0.19285714285714287;prism,0.17857142857142858;ghost stories,0.12142857142857143;in the lonely hour,0.10714285714285714;x,0.1	bangerz,0.265625;my everything,0.22916666666666666;prism,0.18229166666666666;ghost stories,0.13541666666666666;in the lonely hour,0.09895833333333333;x,0.08854166666666667	bangerz,0.25925925925925924;prism,0.1925925925925926;ghost stories,0.17037037037037037;my everything,0.16296296296296298;in the lonely hour,0.1111111111111111;x,0.1037037037037037
best rap album	the new classic,0.3879732739420935;the marshall mathers lp 2,0.36525612472160357;nobody's smiling,0.09532293986636971;because the internet,0.09532293986636971;oxymoron,0.044543429844097995;blacc hollywood,0.011581291759465479	the new classic,0.4301765650080257;the marshall mathers lp 2,0.2102728731942215;because the internet,0.12680577849117175;oxymoron,0.1187800963081862;nobody's smiling,0.08346709470304976;blacc hollywood,0.030497592295345103	the new classic,0.5073170731707317;the marshall mathers lp 2,0.364390243902439;oxymoron,0.05609756097560976;because the internet,0.045365853658536584;nobody's smiling,0.018536585365853658;blacc hollywood,0.008292682926829269	the new classic,0.48633093525179855;the marshall mathers lp 2,0.2158273381294964;oxymoron,0.12949640287769784;because the internet,0.10503597122302158;nobody's smiling,0.04316546762589928;blacc hollywood,0.02014388489208633
best rap song	i,0.45095168374816985;we dem boyz,0.24890190336749635;anaconda,0.22693997071742314;0 to 100/the catch up,0.05417276720351391;bound 2,0.01903367496339678	i,0.6588921282798834;anaconda,0.19533527696793002;0 to 100/the catch up,0.05539358600583091;we dem boyz,0.05539358600583091;bound 2,0.03498542274052478	i,0.39820742637644047;0 to 100/the catch up,0.3559539052496799;anaconda,0.2112676056338028;bound 2,0.019206145966709345;we dem boyz,0.015364916773367477	i,0.618421052631579;anaconda,0.20789473684210527;0 to 100/the catch up,0.10263157894736842;bound 2,0.039473684210526314;we dem boyz,0.031578947368421054
best country song	american kids,0.38235294117647056;automatic,0.23529411764705882;give me back my hometown,0.14705882352941177;i'm not gonna missing you,0.11764705882352941;meanwhile back at mama's,0.11764705882352941	american kids,0.4090909090909091;automatic,0.22727272727272727;meanwhile back at mama's,0.13636363636363635;give me back my hometown,0.13636363636363635;i'm not gonna missing you,0.09090909090909091	american kids,0.5172413793103449;automatic,0.20689655172413793;meanwhile back at mama's,0.13793103448275862;give me back my hometown,0.10344827586206896;i'm not gonna missing you,0.034482758620689655	american kids,0.5789473684210527;automatic,0.15789473684210525;meanwhile back at mama's,0.15789473684210525;i'm not gonna missing you,0.05263157894736842;give me back my hometown,0.05263157894736842
album of the year	beyoncé,0.38004338394793924;x,0.2629067245119306;in the lonely hour,0.22581344902386116;girl,0.09154013015184381;morning phase,0.03969631236442516	beyoncé,0.3209658421672556;x,0.25265017667844525;in the lonely hour,0.20965842167255594;girl,0.1166077738515901;morning phase,0.10011778563015312	beyoncé,0.37756870512503093;x,0.30725427085912355;in the lonely hour,0.15399851448378313;girl,0.10819509779648427;morning phase,0.05298341173557811	beyoncé,0.3299080584099513;x,0.2449972958355868;in the lonely hour,0.18496484586262846;girl,0.12709572742022715;morning phase,0.11303407247160627
best country album	12 stories,0.3225806451612903;riser,0.2903225806451613;the outsiders,0.25806451612903225;the way i'm livin',0.0967741935483871;platinum,0.03225806451612903	the outsiders,0.3888888888888889;riser,0.2777777777777778;12 stories,0.16666666666666666;the way i'm livin',0.1111111111111111;platinum,0.05555555555555555	platinum,0.45;riser,0.15;the outsiders,0.15;12 stories,0.125;the way i'm livin',0.125	platinum,0.28;riser,0.24;the outsiders,0.2;the way i'm livin',0.16;12 stories,0.12
best r&b song	drunk in love,0.3333333333333333;new flame,0.3333333333333333;good kisser,0.3333333333333333	drunk in love,0.3333333333333333;new flame,0.3333333333333333;good kisser,0.3333333333333333
song of the year	shake it off,0.3292234479775038;chandelier,0.32554618213281417;take me to church,0.2972096041531473;stay with me (darkchild version),0.029850746268656716;all about that bass,0.018170019467878003	shake it off,0.3241025641025641;chandelier,0.2923076923076923;take me to church,0.2205128205128205;stay with me (darkchild version),0.09538461538461539;all about that bass,0.06769230769230769	shake it off,0.3567321039064049;chandelier,0.3091413840967678;take me to church,0.2774142375570097;stay with me (darkchild version),0.036882807852468766;all about that bass,0.019829466587348802	shake it off,0.3081081081081081;chandelier,0.2765765765765766;take me to church,0.22072072072072071;stay with me (darkchild version),0.12342342342342343;all about that bass,0.07117117117117117
best rock song	ain't it fun,0.9653272845106935;lazaretto,0.030136098509397278;fever,0.002592352559948153;gimme something good,0.0012961762799740765;blue moon,0.0006480881399870382	ain't it fun,0.5247524752475248;lazaretto,0.4207920792079208;fever,0.039603960396039604;blue moon,0.009900990099009901;gimme something good,0.0049504950495049506	ain't it fun,0.9608974358974359;lazaretto,0.03365384615384615;fever,0.003205128205128205;gimme something good,0.001282051282051282;blue moon,0.0009615384615384616	ain't it fun,0.5296610169491526;lazaretto,0.4152542372881356;fever,0.0423728813559322;blue moon,0.00847457627118644;gimme something good,0.00423728813559322
record of the year	shake it off,0.4562043795620438;all about that bass,0.44936131386861317;fancy,0.03832116788321168;chandelier,0.03102189781021898;stay with me (darkchild version),0.02509124087591241	shake it off,0.3264781491002571;all about that bass,0.29048843187660667;chandelier,0.13624678663239073;stay with me (darkchild version),0.12596401028277635;fancy,0.12082262210796915	shake it off,0.4566500226963232;all about that bass,0.44303222877893783;fancy,0.04221516114389469;stay with me (darkchild version),0.029505220154335;chandelier,0.028597367226509306	shake it off,0.32801822323462415;all about that bass,0.27107061503416857;stay with me (darkchild version),0.14123006833712984;fancy,0.13439635535307518;chandelier,0.1252847380410023
