	NumTweets_w4	NumDistinctUsers_w4	NumTweets_w5	NumDistinctTweets_w5
best pop vocal album	"bangerz,0.7126436781609196"	"bangerz,0.3"	"bangerz,0.265625"	"bangerz,0.25925925925925924"
best pop vocal album	"my everything,0.09770114942528736"	"my everything,0.19285714285714287"	"my everything,0.22916666666666666"	"prism,0.1925925925925926"
best pop vocal album	"prism,0.08237547892720307"	"prism,0.17857142857142858"	"prism,0.18229166666666666"	"ghost stories,0.17037037037037037"
best pop vocal album	"ghost stories,0.038314176245210725"	"ghost stories,0.12142857142857143"	"ghost stories,0.13541666666666666"	"my everything,0.16296296296296298"
best pop vocal album	"x,0.03639846743295019"	"in the lonely hour,0.10714285714285714"	"in the lonely hour,0.09895833333333333"	"in the lonely hour,0.1111111111111111"
best pop vocal album	"in the lonely hour,0.032567049808429116"	"x,0.1"	"x,0.08854166666666667"	"x,0.1037037037037037"
best rap song	"i,0.45095168374816985"	"i,0.6588921282798834"	"i,0.39820742637644047"	"i,0.618421052631579"
best rap song	"we dem boyz,0.24890190336749635"	"anaconda,0.19533527696793002"	"0 to 100/the catch up,0.3559539052496799"	"anaconda,0.20789473684210527"
best rap song	"anaconda,0.22693997071742314"	"0 to 100/the catch up,0.05539358600583091"	"anaconda,0.2112676056338028"	"0 to 100/the catch up,0.10263157894736842"
best rap song	"0 to 100/the catch up,0.05417276720351391"	"we dem boyz,0.05539358600583091"	"bound 2,0.019206145966709345"	"bound 2,0.039473684210526314"
best rap song	"bound 2,0.01903367496339678"	"bound 2,0.03498542274052478"	"we dem boyz,0.015364916773367477"	"we dem boyz,0.031578947368421054"
best rap album	"the new classic,0.3879732739420935"	"the new classic,0.4301765650080257"	"the new classic,0.5073170731707317"	"the new classic,0.48633093525179855"
best rap album	"the marshall mathers lp 2,0.36525612472160357"	"the marshall mathers lp 2,0.2102728731942215"	"the marshall mathers lp 2,0.364390243902439"	"the marshall mathers lp 2,0.2158273381294964"
best rap album	"nobody's smiling,0.09532293986636971"	"because the internet,0.12680577849117175"	"oxymoron,0.05609756097560976"	"oxymoron,0.12949640287769784"
best rap album	"because the internet,0.09532293986636971"	"oxymoron,0.1187800963081862"	"because the internet,0.045365853658536584"	"because the internet,0.10503597122302158"
best rap album	"oxymoron,0.044543429844097995"	"nobody's smiling,0.08346709470304976"	"nobody's smiling,0.018536585365853658"	"nobody's smiling,0.04316546762589928"
best rap album	"blacc hollywood,0.011581291759465479"	"blacc hollywood,0.030497592295345103"	"blacc hollywood,0.008292682926829269"	"blacc hollywood,0.02014388489208633"
best country song	"american kids,0.38235294117647056"	"american kids,0.4090909090909091"	"american kids,0.5172413793103449"	"american kids,0.5789473684210527"
best country song	"automatic,0.23529411764705882"	"automatic,0.22727272727272727"	"automatic,0.20689655172413793"	"automatic,0.15789473684210525"
best country song	"give me back my hometown,0.14705882352941177"	"meanwhile back at mama's,0.13636363636363635"	"meanwhile back at mama's,0.13793103448275862"	"meanwhile back at mama's,0.15789473684210525"
best country song	"i'm not gonna missing you,0.11764705882352941"	"give me back my hometown,0.13636363636363635"	"give me back my hometown,0.10344827586206896"	"i'm not gonna missing you,0.05263157894736842"
best country song	"meanwhile back at mama's,0.11764705882352941"	"i'm not gonna missing you,0.09090909090909091"	"i'm not gonna missing you,0.034482758620689655"	"give me back my hometown,0.05263157894736842"
album of the year	"beyoncé,0.38004338394793924"	"beyoncé,0.3209658421672556"	"beyoncé,0.37756870512503093"	"beyoncé,0.3299080584099513"
album of the year	"x,0.2629067245119306"	"x,0.25265017667844525"	"x,0.30725427085912355"	"x,0.2449972958355868"
album of the year	"in the lonely hour,0.22581344902386116"	"in the lonely hour,0.20965842167255594"	"in the lonely hour,0.15399851448378313"	"in the lonely hour,0.18496484586262846"
album of the year	"girl,0.09154013015184381"	"girl,0.1166077738515901"	"girl,0.10819509779648427"	"girl,0.12709572742022715"
album of the year	"morning phase,0.03969631236442516"	"morning phase,0.10011778563015312"	"morning phase,0.05298341173557811"	"morning phase,0.11303407247160627"
best country album	"12 stories,0.3225806451612903"	"the outsiders,0.3888888888888889"	"platinum,0.45"	"platinum,0.28"
best country album	"riser,0.2903225806451613"	"riser,0.2777777777777778"	"riser,0.15"	"riser,0.24"
best country album	"the outsiders,0.25806451612903225"	"12 stories,0.16666666666666666"	"the outsiders,0.15"	"the outsiders,0.2"
best country album	"the way i'm livin',0.0967741935483871"	"the way i'm livin',0.1111111111111111"	"12 stories,0.125"	"the way i'm livin',0.16"
best country album	"platinum,0.03225806451612903"	"platinum,0.05555555555555555"	"the way i'm livin',0.125"	"12 stories,0.12"
best r&b song	"drunk in love,0.3333333333333333"	"drunk in love,0.3333333333333333"		
best r&b song	"new flame,0.3333333333333333"	"new flame,0.3333333333333333"		
best r&b song	"good kisser,0.3333333333333333"	"good kisser,0.3333333333333333"		
song of the year	"shake it off,0.3292234479775038"	"shake it off,0.3241025641025641"	"shake it off,0.3567321039064049"	"shake it off,0.3081081081081081"
song of the year	"chandelier,0.32554618213281417"	"chandelier,0.2923076923076923"	"chandelier,0.3091413840967678"	"chandelier,0.2765765765765766"
song of the year	"take me to church,0.2972096041531473"	"take me to church,0.2205128205128205"	"take me to church,0.2774142375570097"	"take me to church,0.22072072072072071"
song of the year	"stay with me (darkchild version),0.029850746268656716"	"stay with me (darkchild version),0.09538461538461539"	"stay with me (darkchild version),0.036882807852468766"	"stay with me (darkchild version),0.12342342342342343"
song of the year	"all about that bass,0.018170019467878003"	"all about that bass,0.06769230769230769"	"all about that bass,0.019829466587348802"	"all about that bass,0.07117117117117117"
best rock song	"ain't it fun,0.9653272845106935"	"ain't it fun,0.5247524752475248"	"ain't it fun,0.9608974358974359"	"ain't it fun,0.5296610169491526"
best rock song	"lazaretto,0.030136098509397278"	"lazaretto,0.4207920792079208"	"lazaretto,0.03365384615384615"	"lazaretto,0.4152542372881356"
best rock song	"fever,0.002592352559948153"	"fever,0.039603960396039604"	"fever,0.003205128205128205"	"fever,0.0423728813559322"
best rock song	"gimme something good,0.0012961762799740765"	"blue moon,0.009900990099009901"	"gimme something good,0.001282051282051282"	"blue moon,0.00847457627118644"
best rock song	"blue moon,0.0006480881399870382"	"gimme something good,0.0049504950495049506"	"blue moon,0.0009615384615384616"	"gimme something good,0.00423728813559322"
record of the year	"shake it off,0.4562043795620438"	"shake it off,0.3264781491002571"	"shake it off,0.4566500226963232"	"shake it off,0.32801822323462415"
record of the year	"all about that bass,0.44936131386861317"	"all about that bass,0.29048843187660667"	"all about that bass,0.44303222877893783"	"all about that bass,0.27107061503416857"
record of the year	"fancy,0.03832116788321168"	"chandelier,0.13624678663239073"	"fancy,0.04221516114389469"	"stay with me (darkchild version),0.14123006833712984"
record of the year	"chandelier,0.03102189781021898"	"stay with me (darkchild version),0.12596401028277635"	"stay with me (darkchild version),0.029505220154335"	"fancy,0.13439635535307518"
record of the year	"stay with me (darkchild version),0.02509124087591241"	"fancy,0.12082262210796915"	"chandelier,0.028597367226509306"	"chandelier,0.1252847380410023"
best pop solo performance	"all of me (live version),0.3333333333333333"	"shake it off,0.26666666666666666"	"all of me (live version),0.2830188679245283"	"all of me (live version),0.2857142857142857"
best pop solo performance	"shake it off,0.2619047619047619"	"all of me (live version),0.26666666666666666"	"chandelier,0.24528301886792453"	"shake it off,0.22857142857142856"
best pop solo performance	"chandelier,0.16666666666666666"	"chandelier,0.23333333333333334"	"stay with me,0.20754716981132076"	"chandelier,0.22857142857142856"
best pop solo performance	"stay with me,0.11904761904761904"	"stay with me,0.13333333333333333"	"shake it off,0.16981132075471697"	"stay with me,0.17142857142857143"
best pop solo performance	"happy (live version),0.11904761904761904"	"happy (live version),0.1"	"happy (live version),0.09433962264150944"	"happy (live version),0.08571428571428572"
best new artist	"sam smith,0.45727482678983833"	"sam smith,0.45819397993311034"	"sam smith,0.4444444444444444"	"sam smith,0.41379310344827586"
best new artist	"brandy clark,0.34719014626635875"	"brandy clark,0.14381270903010032"	"brandy clark,0.3190883190883191"	"iggy azalea,0.2413793103448276"
