#Field:candidate	WeekId	NumTweets_Week1	NumDistinctTweets_Week1	NumDistinctUsers_Week1	NumPopularTweets_Week1	NumVerifiedTweets_Week1	NumTweets_Week2	NumDistinctTweets_Week2	NumDistinctUsers_Week2	NumPopularTweets_Week2	NumVerifiedTweets_Week2
axed	01/03/2014	5255	2825	2700	466	102	9538	5223	5004	661	1583
been fired	01/03/2014	27910	18924	18262	2594	1392	55172	31466	29970	4598	4838
canned	01/03/2014	14341	10807	9773	1044	519	22124	14684	13230	2045	711
downsized	01/03/2014	492	405	394	25	49	633	447	432	43	6
fired	01/03/2014	43232	30097	29178	3442	4724	71444	45639	43854	5746	2763
laid off	01/03/2014	23387	19081	18532	1895	1032	24310	18092	17626	1987	448
lost job	01/03/2014	10668	7268	7080	908	398	14105	9618	9142	1133	945
outsourced	01/03/2014	3071	2325	2224	220	55	3299	2439	2338	276	244
pink slip	01/03/2014	28908	13846	10568	2354	21	25611	14670	10864	2502	132
unemployment	01/03/2014	127038	71797	63522	10214	17260	121057	67977	61462	10996	18343
axed	01/04/2013	15788	14860	4667	170	174	4905	4002	3859	215	127
been fired	01/04/2013	22442	17705	17198	1102	1908	44550	41375	40822	1207	446
canned	01/04/2013	12271	10136	9343	449	131	17873	15043	14047	911	141
downsized	01/04/2013	667	646	545	14	0	676	644	601	22	7
fired	01/04/2013	51934	35001	33927	2076	11782	38423	34482	32069	1715	591
laid off	01/04/2013	22765	20581	19645	1139	83	23932	21903	20825	1181	160
lost job	01/04/2013	6657	5377	5274	287	668	9015	7483	7325	423	676
outsourced	01/04/2013	1474	1261	1195	61	34	2067	1734	1621	100	18
pink slip	01/04/2013	3350	2174	2044	194	1	4084	2502	2381	181	72
unemployment	01/04/2013	54984	46371	39194	2802	1440	72485	60317	51213	4003	2419
axed	01/06/2012	3180	2748	2622	176	3	3295	2899	2732	162	7
been fired	01/06/2012	10971	9773	9460	537	11	12030	10298	10061	663	13
canned	01/06/2012	7309	6905	6514	242	12	9155	8195	7820	475	18
downsized	01/06/2012	526	485	476	22	0	464	447	432	11	0
fired	01/06/2012	22026	20106	19535	845	19	21845	19646	19173	909	16
laid off	01/06/2012	15789	14604	14180	668	9	13631	12454	12123	653	9
lost job	01/06/2012	5725	5199	4987	211	9	5415	5037	4769	223	5
outsourced	01/06/2012	1966	1865	1771	44	2	2668	1711	1652	60	1
pink slip	01/06/2012	1180	1093	1050	53	3	1258	1162	1123	64	2
unemployment	01/06/2012	39953	34594	31485	1848	42	46576	39168	36343	2633	127
axed	01/07/2011	374	355	329	8	0	0	0	0	0	0
been fired	01/07/2011	1540	1318	1295	56	65	0	0	0	0	0
canned	01/07/2011	865	828	786	19	0	0	0	0	0	0
downsized	01/07/2011	167	163	163	3	0	0	0	0	0	0
fired	01/07/2011	2128	1922	1868	68	43	0	0	0	0	0
laid off	01/07/2011	1775	1658	1618	34	2	0	0	0	0	0
lost job	01/07/2011	400	384	376	13	0	0	0	0	0	0
outsourced	01/07/2011	215	212	198	2	0	0	0	0	0	0
pink slip	01/07/2011	108	108	105	0	0	0	0	0	0	0
unemployment	01/07/2011	3079	2886	2666	102	1	0	0	0	0	0
axed	01/10/2014	5734	4082	3950	377	378	5255	2825	2700	466	102
been fired	01/10/2014	101460	48262	46300	7350	28243	27910	18924	18262	2594	1392
canned	01/10/2014	18455	13334	12174	1378	693	14341	10807	9773	1044	519
downsized	01/10/2014	515	423	412	41	2	492	405	394	25	49
fired	01/10/2014	73021	52391	50298	6283	5656	43232	30097	29178	3442	4724
laid off	01/10/2014	26624	20233	19743	2321	613	23387	19081	18532	1895	1032
lost job	01/10/2014	14920	9719	9485	1250	1807	10668	7268	7080	908	398
outsourced	01/10/2014	3440	2408	2293	257	110	3071	2325	2224	220	55
pink slip	01/10/2014	37028	18310	14559	2977	80	28908	13846	10568	2354	21
unemployment	01/10/2014	122795	72111	63809	10637	13162	127038	71797	63522	10214	17260
axed	01/11/2013	4873	4088	3827	161	223	15788	14860	4667	170	174
been fired	01/11/2013	43740	30803	29670	1815	7761	22442	17705	17198	1102	1908
canned	01/11/2013	13895	12548	11595	526	312	12271	10136	9343	449	131
downsized	01/11/2013	559	521	478	14	4	667	646	545	14	0
fired	01/11/2013	52624	46062	44392	2497	1369	51934	35001	33927	2076	11782
laid off	01/11/2013	25283	22195	21311	1224	365	22765	20581	19645	1139	83
lost job	01/11/2013	7859	7119	6986	405	55	6657	5377	5274	287	668
outsourced	01/11/2013	1646	1510	1400	68	3	1474	1261	1195	61	34
pink slip	01/11/2013	3045	2641	2504	170	38	3350	2174	2044	194	1
unemployment	01/11/2013	91490	73445	64538	4582	3987	54984	46371	39194	2802	1440
axed	01/13/2012	7607	5090	4893	236	6	3180	2748	2622	176	3
been fired	01/13/2012	17524	15158	14723	873	25	10971	9773	9460	537	11
canned	01/13/2012	10338	9490	9092	377	16	7309	6905	6514	242	12
downsized	01/13/2012	812	793	590	14	1	526	485	476	22	0
fired	01/13/2012	33956	30252	29443	1211	24	22026	20106	19535	845	19
laid off	01/13/2012	20601	19000	18408	878	24	15789	14604	14180	668	9
lost job	01/13/2012	8057	7241	7060	301	4	5725	5199	4987	211	9
outsourced	01/13/2012	2432	2321	2194	61	1	1966	1865	1771	44	2
pink slip	01/13/2012	1769	1582	1517	79	1	1180	1093	1050	53	3
unemployment	01/13/2012	84672	70289	64703	3893	300	39953	34594	31485	1848	42
axed	01/14/2011	2350	2237	2126	70	1	374	355	329	8	0
been fired	01/14/2011	8577	7614	7385	325	45	1540	1318	1295	56	65
canned	01/14/2011	5615	5077	4801	159	226	865	828	786	19	0
downsized	01/14/2011	686	665	641	15	0	167	163	163	3	0
fired	01/14/2011	11288	10601	10355	281	122	2128	1922	1868	68	43
laid off	01/14/2011	7362	6948	6743	223	56	1775	1658	1618	34	2
lost job	01/14/2011	3194	2968	2888	85	40	400	384	376	13	0
outsourced	01/14/2011	1673	1603	1517	42	0	215	212	198	2	0
pink slip	01/14/2011	950	827	771	44	0	108	108	105	0	0
unemployment	01/14/2011	36302	32445	29283	1418	727	3079	2886	2666	102	1
axed	01/17/2014	8080	4832	4616	587	870	5734	4082	3950	377	378
been fired	01/17/2014	34606	22444	21641	3052	2812	101460	48262	46300	7350	28243
canned	01/17/2014	18166	13601	12027	1457	528	18455	13334	12174	1378	693
downsized	01/17/2014	787	608	593	64	60	515	423	412	41	2
fired	01/17/2014	55828	36402	35208	4604	4376	73021	52391	50298	6283	5656
laid off	01/17/2014	29368	21501	20812	2496	3345	26624	20233	19743	2321	613
lost job	01/17/2014	11517	8365	8188	1044	447	14920	9719	9485	1250	1807
outsourced	01/17/2014	3237	2246	2080	274	103	3440	2408	2293	257	110
pink slip	01/17/2014	28806	16475	13129	2688	295	37028	18310	14559	2977	80
unemployment	01/17/2014	305532	149794	126443	26670	59148	122795	72111	63809	10637	13162
axed	01/18/2013	4162	3512	3377	195	86	4873	4088	3827	161	223
been fired	01/18/2013	28643	22401	21668	1681	1763	43740	30803	29670	1815	7761
canned	01/18/2013	15364	12945	12069	553	739	13895	12548	11595	526	312
downsized	01/18/2013	819	772	720	25	6	559	521	478	14	4
fired	01/18/2013	54188	42824	41643	2444	5600	52624	46062	44392	2497	1369
laid off	01/18/2013	27734	24552	23644	1445	195	25283	22195	21311	1224	365
lost job	01/18/2013	10101	8487	8344	485	306	7859	7119	6986	405	55
outsourced	01/18/2013	1979	1752	1613	91	4	1646	1510	1400	68	3
