WeekId,NumTweets_Week1_axed,NumDistinctTweets_Week1_axed,NumDistinctUsers_Week1_axed,NumPopularTweets_Week1_axed,NumVerifiedTweets_Week1_axed,NumTweets_Week2_axed,NumDistinctTweets_Week2_axed,NumDistinctUsers_Week2_axed,NumPopularTweets_Week2_axed,NumVerifiedTweets_Week2_axed,NumTweets_Week1_canned,NumDistinctTweets_Week1_canned,NumDistinctUsers_Week1_canned,NumPopularTweets_Week1_canned,NumVerifiedTweets_Week1_canned,NumTweets_Week2_canned,NumDistinctTweets_Week2_canned,NumDistinctUsers_Week2_canned,NumPopularTweets_Week2_canned,NumVerifiedTweets_Week2_canned,NumTweets_Week1_downsized,NumDistinctTweets_Week1_downsized,NumDistinctUsers_Week1_downsized,NumPopularTweets_Week1_downsized,NumVerifiedTweets_Week1_downsized,NumTweets_Week2_downsized,NumDistinctTweets_Week2_downsized,NumDistinctUsers_Week2_downsized,NumPopularTweets_Week2_downsized,NumVerifiedTweets_Week2_downsized,NumTweets_Week1_outsourced,NumDistinctTweets_Week1_outsourced,NumDistinctUsers_Week1_outsourced,NumPopularTweets_Week1_outsourced,NumVerifiedTweets_Week1_outsourced,NumTweets_Week2_outsourced,NumDistinctTweets_Week2_outsourced,NumDistinctUsers_Week2_outsourced,NumPopularTweets_Week2_outsourced,NumVerifiedTweets_Week2_outsourced,NumTweets_Week1_pinkslip,NumDistinctTweets_Week1_pinkslip,NumDistinctUsers_Week1_pinkslip,NumPopularTweets_Week1_pinkslip,NumVerifiedTweets_Week1_pinkslip,NumTweets_Week2_pinkslip,NumDistinctTweets_Week2_pinkslip,NumDistinctUsers_Week2_pinkslip,NumPopularTweets_Week2_pinkslip,NumVerifiedTweets_Week2_pinkslip,NumTweets_Week1_lostjob,NumDistinctTweets_Week1_lostjob,NumDistinctUsers_Week1_lostjob,NumPopularTweets_Week1_lostjob,NumVerifiedTweets_Week1_lostjob,NumTweets_Week2_lostjob,NumDistinctTweets_Week2_lostjob,NumDistinctUsers_Week2_lostjob,NumPopularTweets_Week2_lostjob,NumVerifiedTweets_Week2_lostjob,NumTweets_Week1_fired,NumDistinctTweets_Week1_fired,NumDistinctUsers_Week1_fired,NumPopularTweets_Week1_fired,NumVerifiedTweets_Week1_fired,NumTweets_Week2_fired,NumDistinctTweets_Week2_fired,NumDistinctUsers_Week2_fired,NumPopularTweets_Week2_fired,NumVerifiedTweets_Week2_fired,NumTweets_Week1_beenfired,NumDistinctTweets_Week1_beenfired,NumDistinctUsers_Week1_beenfired,NumPopularTweets_Week1_beenfired,NumVerifiedTweets_Week1_beenfired,NumTweets_Week2_beenfired,NumDistinctTweets_Week2_beenfired,NumDistinctUsers_Week2_beenfired,NumPopularTweets_Week2_beenfired,NumVerifiedTweets_Week2_beenfired,NumTweets_Week1_laidoff,NumDistinctTweets_Week1_laidoff,NumDistinctUsers_Week1_laidoff,NumPopularTweets_Week1_laidoff,NumVerifiedTweets_Week1_laidoff,NumTweets_Week2_laidoff,NumDistinctTweets_Week2_laidoff,NumDistinctUsers_Week2_laidoff,NumPopularTweets_Week2_laidoff,NumVerifiedTweets_Week2_laidoff,NumTweets_Week1_unemployment,NumDistinctTweets_Week1_unemployment,NumDistinctUsers_Week1_unemployment,NumPopularTweets_Week1_unemployment,NumVerifiedTweets_Week1_unemployment,NumTweets_Week2_unemployment,NumDistinctTweets_Week2_unemployment,NumDistinctUsers_Week2_unemployment,NumPopularTweets_Week2_unemployment,NumVerifiedTweets_Week2_unemployment
1/7/2011,374,355,329,8,0,0,0,0,0,0,865,828,786,19,0,0,0,0,0,0,167,163,163,3,0,0,0,0,0,0,215,212,198,2,0,0,0,0,0,0,108,108,105,0,0,0,0,0,0,0,400,384,376,13,0,0,0,0,0,0,2128,1922,1868,68,43,0,0,0,0,0,1540,1318,1295,56,65,0,0,0,0,0,1775,1658,1618,34,2,0,0,0,0,0,3079,2886,2666,102,1,0,0,0,0,0
1/14/2011,2350,2237,2126,70,1,374,355,329,8,0,5615,5077,4801,159,226,865,828,786,19,0,686,665,641,15,0,167,163,163,3,0,1673,1603,1517,42,0,215,212,198,2,0,950,827,771,44,0,108,108,105,0,0,3194,2968,2888,85,40,400,384,376,13,0,11288,10601,10355,281,122,2128,1922,1868,68,43,8577,7614,7385,325,45,1540,1318,1295,56,65,7362,6948,6743,223,56,1775,1658,1618,34,2,36302,32445,29283,1418,727,3079,2886,2666,102,1
1/21/2011,2308,2193,2119,68,15,2350,2237,2126,70,1,7807,7534,4945,150,6,5615,5077,4801,159,226,630,607,558,18,1,686,665,641,15,0,1681,1633,1540,37,2,1673,1603,1517,42,0,1397,1324,1252,27,2,950,827,771,44,0,3210,2951,2903,83,1,3194,2968,2888,85,40,11176,10318,10082,256,374,11288,10601,10355,281,122,5758,5305,5173,193,10,8577,7614,7385,325,45,10748,10087,9845,282,118,7362,6948,6743,223,56,27534,25437,22955,972,144,36302,32445,29283,1418,727
1/28/2011,2533,2200,2098,97,0,2308,2193,2119,68,15,7197,6903,4839,143,12,7807,7534,4945,150,6,520,500,490,14,0,630,607,558,18,1,3714,3555,3335,91,11,1681,1633,1540,37,2,724,694,659,17,0,1397,1324,1252,27,2,2502,2334,2283,58,1,3210,2951,2903,83,1,9654,9048,8789,255,22,11176,10318,10082,256,374,6138,5587,5365,229,134,5758,5305,5173,193,10,6662,6266,6120,195,109,10748,10087,9845,282,118,26422,23831,21822,1026,104,27534,25437,22955,972,144
2/4/2011,1911,1732,1687,73,49,2533,2200,2098,97,0,6128,5663,4986,160,114,7197,6903,4839,143,12,824,814,790,8,0,520,500,490,14,0,3366,3178,2940,64,86,3714,3555,3335,91,11,517,508,488,8,1,724,694,659,17,0,2837,2688,2567,80,17,2502,2334,2283,58,1,10747,9872,9625,285,186,9654,9048,8789,255,22,7984,6339,6111,284,699,6138,5587,5365,229,134,6764,6354,6224,184,105,6662,6266,6120,195,109,30321,26573,24439,1176,173,26422,23831,21822,1026,104
2/11/2011,2016,1829,1774,75,20,1911,1732,1687,73,49,6589,5943,5608,170,14,6128,5663,4986,160,114,532,485,475,8,0,824,814,790,8,0,3612,3461,3221,90,2,3366,3178,2940,64,86,597,582,562,14,0,517,508,488,8,1,3528,3315,2847,70,53,2837,2688,2567,80,17,10805,9585,9334,263,225,10747,9872,9625,285,186,6162,5250,5072,304,7,7984,6339,6111,284,699,7356,6970,6801,202,9,6764,6354,6224,184,105,39539,34858,31568,1515,674,30321,26573,24439,1176,173
2/18/2011,3691,3481,3353,115,3,2016,1829,1774,75,20,6637,6017,5797,161,75,6589,5943,5608,170,14,451,437,421,8,0,532,485,475,8,0,3931,3782,3553,97,0,3612,3461,3221,90,2,793,756,725,20,12,597,582,562,14,0,4656,3408,3134,98,936,3528,3315,2847,70,53,12324,11332,10832,360,174,10805,9585,9334,263,225,7827,6699,6375,328,108,6162,5250,5072,304,7,9783,9278,8234,244,63,7356,6970,6801,202,9,41602,38046,34164,1613,359,39539,34858,31568,1515,674
2/25/2011,2709,2541,2451,97,6,3691,3481,3353,115,3,5578,5286,5118,142,74,6637,6017,5797,161,75,507,498,473,6,0,451,437,421,8,0,3329,3185,2981,80,1,3931,3782,3553,97,0,895,844,730,27,6,793,756,725,20,12,2931,2771,2636,94,6,4656,3408,3134,98,936,9702,8908,8647,253,218,12324,11332,10832,360,174,6074,5257,5112,286,53,7827,6699,6375,328,108,8677,8167,7796,232,19,9783,9278,8234,244,63,37975,33508,29954,1645,787,41602,38046,34164,1613,359
3/4/2011,2716,2518,2409,96,7,2709,2541,2451,97,6,4360,4115,3999,125,8,5578,5286,5118,142,74,360,346,339,9,0,507,498,473,6,0,3174,2999,2778,84,12,3329,3185,2981,80,1,1462,1379,1329,52,6,895,844,730,27,6,2529,2406,2315,58,8,2931,2771,2636,94,6,9467,8195,7987,259,14,9702,8908,8647,253,218,6078,4892,4763,244,561,6074,5257,5112,286,53,9685,8707,8454,387,100,8677,8167,7796,232,19,24353,21365,18948,1041,290,37975,33508,29954,1645,787
3/11/2011,611,449,433,29,7,2716,2518,2409,96,7,1519,1335,1302,52,20,4360,4115,3999,125,8,137,128,125,2,0,360,346,339,9,0,876,837,786,15,0,3174,2999,2778,84,12,311,281,267,23,3,1462,1379,1329,52,6,1075,875,855,35,45,2529,2406,2315,58,8,3150,2758,2703,106,144,9467,8195,7987,259,14,1946,1630,1608,74,69,6078,4892,4763,244,561,4000,3208,3137,183,170,9685,8707,8454,387,100,12598,8258,7624,593,472,24353,21365,18948,1041,290
