WeekId,NumTweets_Week1_axed,NumDistinctTweets_Week1_axed,NumDistinctUsers_Week1_axed,NumPopularTweets_Week1_axed,NumVerifiedTweets_Week1_axed,NumTweets_Week2_axed,NumDistinctTweets_Week2_axed,NumDistinctUsers_Week2_axed,NumPopularTweets_Week2_axed,NumVerifiedTweets_Week2_axed,NumTweets_Week1_canned,NumDistinctTweets_Week1_canned,NumDistinctUsers_Week1_canned,NumPopularTweets_Week1_canned,NumVerifiedTweets_Week1_canned,NumTweets_Week2_canned,NumDistinctTweets_Week2_canned,NumDistinctUsers_Week2_canned,NumPopularTweets_Week2_canned,NumVerifiedTweets_Week2_canned,NumTweets_Week1_downsized,NumDistinctTweets_Week1_downsized,NumDistinctUsers_Week1_downsized,NumPopularTweets_Week1_downsized,NumVerifiedTweets_Week1_downsized,NumTweets_Week2_downsized,NumDistinctTweets_Week2_downsized,NumDistinctUsers_Week2_downsized,NumPopularTweets_Week2_downsized,NumVerifiedTweets_Week2_downsized,NumTweets_Week1_outsourced,NumDistinctTweets_Week1_outsourced,NumDistinctUsers_Week1_outsourced,NumPopularTweets_Week1_outsourced,NumVerifiedTweets_Week1_outsourced,NumTweets_Week2_outsourced,NumDistinctTweets_Week2_outsourced,NumDistinctUsers_Week2_outsourced,NumPopularTweets_Week2_outsourced,NumVerifiedTweets_Week2_outsourced,NumTweets_Week1_pinkslip,NumDistinctTweets_Week1_pinkslip,NumDistinctUsers_Week1_pinkslip,NumPopularTweets_Week1_pinkslip,NumVerifiedTweets_Week1_pinkslip,NumTweets_Week2_pinkslip,NumDistinctTweets_Week2_pinkslip,NumDistinctUsers_Week2_pinkslip,NumPopularTweets_Week2_pinkslip,NumVerifiedTweets_Week2_pinkslip,NumTweets_Week1_lostjob,NumDistinctTweets_Week1_lostjob,NumDistinctUsers_Week1_lostjob,NumPopularTweets_Week1_lostjob,NumVerifiedTweets_Week1_lostjob,NumTweets_Week2_lostjob,NumDistinctTweets_Week2_lostjob,NumDistinctUsers_Week2_lostjob,NumPopularTweets_Week2_lostjob,NumVerifiedTweets_Week2_lostjob,NumTweets_Week1_fired,NumDistinctTweets_Week1_fired,NumDistinctUsers_Week1_fired,NumPopularTweets_Week1_fired,NumVerifiedTweets_Week1_fired,NumTweets_Week2_fired,NumDistinctTweets_Week2_fired,NumDistinctUsers_Week2_fired,NumPopularTweets_Week2_fired,NumVerifiedTweets_Week2_fired,NumTweets_Week1_beenfired,NumDistinctTweets_Week1_beenfired,NumDistinctUsers_Week1_beenfired,NumPopularTweets_Week1_beenfired,NumVerifiedTweets_Week1_beenfired,NumTweets_Week2_beenfired,NumDistinctTweets_Week2_beenfired,NumDistinctUsers_Week2_beenfired,NumPopularTweets_Week2_beenfired,NumVerifiedTweets_Week2_beenfired,NumTweets_Week1_laidoff,NumDistinctTweets_Week1_laidoff,NumDistinctUsers_Week1_laidoff,NumPopularTweets_Week1_laidoff,NumVerifiedTweets_Week1_laidoff,NumTweets_Week2_laidoff,NumDistinctTweets_Week2_laidoff,NumDistinctUsers_Week2_laidoff,NumPopularTweets_Week2_laidoff,NumVerifiedTweets_Week2_laidoff,NumTweets_Week1_unemployment,NumDistinctTweets_Week1_unemployment,NumDistinctUsers_Week1_unemployment,NumPopularTweets_Week1_unemployment,NumVerifiedTweets_Week1_unemployment,NumTweets_Week2_unemployment,NumDistinctTweets_Week2_unemployment,NumDistinctUsers_Week2_unemployment,NumPopularTweets_Week2_unemployment,NumVerifiedTweets_Week2_unemployment
1/14/2011,1976,1882,1797,62,1,374,355,329,8,0,4750,4249,4015,140,226,865,828,786,19,0,519,502,478,12,0,167,163,163,3,0,1458,1391,1319,40,0,215,212,198,2,0,842,719,666,44,0,108,108,105,0,0,2794,2584,2512,72,40,400,384,376,13,0,9160,8679,8487,213,79,2128,1922,1868,68,43,7037,6296,6090,269,-20,1540,1318,1295,56,65,5587,5290,5125,189,54,1775,1658,1618,34,2,33223,29559,26617,1316,726,3079,2886,2666,102,1
1/21/2011,-42,-44,-7,-2,14,1976,1882,1797,62,1,2192,2457,144,-9,-220,4750,4249,4015,140,226,-56,-58,-83,3,1,519,502,478,12,0,8,30,23,-5,2,1458,1391,1319,40,0,447,497,481,-17,2,842,719,666,44,0,16,-17,15,-2,-39,2794,2584,2512,72,40,-112,-283,-273,-25,252,9160,8679,8487,213,79,-2819,-2309,-2212,-132,-35,7037,6296,6090,269,-20,3386,3139,3102,59,62,5587,5290,5125,189,54,-8768,-7008,-6328,-446,-583,33223,29559,26617,1316,726
1/28/2011,225,7,-21,29,-15,-42,-44,-7,-2,14,-610,-631,-106,-7,6,2192,2457,144,-9,-220,-110,-107,-68,-4,-1,-56,-58,-83,3,1,2033,1922,1795,54,9,8,30,23,-5,2,-673,-630,-593,-10,-2,447,497,481,-17,2,-708,-617,-620,-25,0,16,-17,15,-2,-39,-1522,-1270,-1293,-1,-352,-112,-283,-273,-25,252,380,282,192,36,124,-2819,-2309,-2212,-132,-35,-4086,-3821,-3725,-87,-9,3386,3139,3102,59,62,-1112,-1606,-1133,54,-40,-8768,-7008,-6328,-446,-583
2/4/2011,-622,-468,-411,-24,49,225,7,-21,29,-15,-1069,-1240,147,17,102,-610,-631,-106,-7,6,304,314,300,-6,0,-110,-107,-68,-4,-1,-348,-377,-395,-27,75,2033,1922,1795,54,9,-207,-186,-171,-9,1,-673,-630,-593,-10,-2,335,354,284,22,16,-708,-617,-620,-25,0,1093,824,836,30,164,-1522,-1270,-1293,-1,-352,1846,752,746,55,565,380,282,192,36,124,102,88,104,-11,-4,-4086,-3821,-3725,-87,-9,3899,2742,2617,150,69,-1112,-1606,-1133,54,-40
2/11/2011,105,97,87,2,-29,-622,-468,-411,-24,49,461,280,622,10,-100,-1069,-1240,147,17,102,-292,-329,-315,0,0,304,314,300,-6,0,246,283,281,26,-84,-348,-377,-395,-27,75,80,74,74,6,-1,-207,-186,-171,-9,1,691,627,280,-10,36,335,354,284,22,16,58,-287,-291,-22,39,1093,824,836,30,164,-1822,-1089,-1039,20,-692,1846,752,746,55,565,592,616,577,18,-96,102,88,104,-11,-4,9218,8285,7129,339,501,3899,2742,2617,150,69
2/18/2011,1675,1652,1579,40,-17,105,97,87,2,-29,48,74,189,-9,61,461,280,622,10,-100,-81,-48,-54,0,0,-292,-329,-315,0,0,319,321,332,7,-2,246,283,281,26,-84,196,174,163,6,12,80,74,74,6,-1,1128,93,287,28,883,691,627,280,-10,36,1519,1747,1498,97,-51,58,-287,-291,-22,39,1665,1449,1303,24,101,-1822,-1089,-1039,20,-692,2427,2308,1433,42,54,592,616,577,18,-96,2063,3188,2596,98,-315,9218,8285,7129,339,501
2/25/2011,-982,-940,-902,-18,3,1675,1652,1579,40,-17,-1059,-731,-679,-19,-1,48,74,189,-9,61,56,61,52,-2,0,-81,-48,-54,0,0,-602,-597,-572,-17,1,319,321,332,7,-2,102,88,5,7,-6,196,174,163,6,12,-1725,-637,-498,-4,-930,1128,93,287,28,883,-2622,-2424,-2185,-107,44,1519,1747,1498,97,-51,-1753,-1442,-1263,-42,-55,1665,1449,1303,24,101,-1106,-1111,-438,-12,-44,2427,2308,1433,42,54,-3627,-4538,-4210,32,428,2063,3188,2596,98,-315
3/4/2011,7,-23,-42,-1,1,-982,-940,-902,-18,3,-1218,-1171,-1119,-17,-66,-1059,-731,-679,-19,-1,-147,-152,-134,3,0,56,61,52,-2,0,-155,-186,-203,4,11,-602,-597,-572,-17,1,567,535,599,25,0,102,88,5,7,-6,-402,-365,-321,-36,2,-1725,-637,-498,-4,-930,-235,-713,-660,6,-204,-2622,-2424,-2185,-107,44,4,-365,-349,-42,508,-1753,-1442,-1263,-42,-55,1008,540,658,155,81,-1106,-1111,-438,-12,-44,-13622,-12143,-11006,-604,-497,-3627,-4538,-4210,32,428
3/11/2011,-2105,-2069,-1976,-67,0,7,-23,-42,-1,1,-2841,-2780,-2697,-73,12,-1218,-1171,-1119,-17,-66,-223,-218,-214,-7,0,-147,-152,-134,3,0,-2298,-2162,-1992,-69,-12,-155,-186,-203,4,11,-1151,-1098,-1062,-29,-3,567,535,599,25,0,-1454,-1531,-1460,-23,37,-402,-365,-321,-36,2,-6317,-5437,-5284,-153,130,-235,-713,-660,6,-204,-4132,-3262,-3155,-170,-492,4,-365,-349,-42,508,-5685,-5499,-5317,-204,70,1008,540,658,155,81,-11755,-13107,-11324,-448,182,-13622,-12143,-11006,-604,-497
3/18/2011,-324,-321,-306,-16,-7,-2105,-2069,-1976,-67,0,-1231,-1110,-1077,-32,-15,-2841,-2780,-2697,-73,12,-122,-114,-111,-1,0,-223,-218,-214,-7,0,-767,-745,-696,-6,0,-2298,-2162,-1992,-69,-12,-142,-159,-147,-16,-3,-1151,-1098,-1062,-29,-3,-855,-733,-714,-22,-42,-1454,-1531,-1460,-23,37,-788,-2154,-2101,-57,1351,-6317,-5437,-5284,-153,130,1461,-1287,-1267,-27,2160,-4132,-3262,-3155,-170,-492,-2987,-2693,-2623,-136,-60,-5685,-5499,-5317,-204,70,-8509,-6663,-6068,-394,-250,-11755,-13107,-11324,-448,182
