"WeekId","NumTweets_Week1_axed_Absolute","NumDistinctTweets_Week1_axed_Absolute","NumDistinctUsers_Week1_axed_Absolute","NumPopularTweets_Week1_axed_Absolute","NumVerifiedTweets_Week1_axed_Absolute","NumTweets_Week2_axed_Absolute","NumDistinctTweets_Week2_axed_Absolute","NumDistinctUsers_Week2_axed_Absolute","NumPopularTweets_Week2_axed_Absolute","NumVerifiedTweets_Week2_axed_Absolute","NumTweets_Week1_canned_Absolute","NumDistinctTweets_Week1_canned_Absolute","NumDistinctUsers_Week1_canned_Absolute","NumPopularTweets_Week1_canned_Absolute","NumVerifiedTweets_Week1_canned_Absolute","NumTweets_Week2_canned_Absolute","NumDistinctTweets_Week2_canned_Absolute","NumDistinctUsers_Week2_canned_Absolute","NumPopularTweets_Week2_canned_Absolute","NumVerifiedTweets_Week2_canned_Absolute","NumTweets_Week1_downsized_Absolute","NumDistinctTweets_Week1_downsized_Absolute","NumDistinctUsers_Week1_downsized_Absolute","NumPopularTweets_Week1_downsized_Absolute","NumVerifiedTweets_Week1_downsized_Absolute","NumTweets_Week2_downsized_Absolute","NumDistinctTweets_Week2_downsized_Absolute","NumDistinctUsers_Week2_downsized_Absolute","NumPopularTweets_Week2_downsized_Absolute","NumVerifiedTweets_Week2_downsized_Absolute","NumTweets_Week1_outsourced_Absolute","NumDistinctTweets_Week1_outsourced_Absolute","NumDistinctUsers_Week1_outsourced_Absolute","NumPopularTweets_Week1_outsourced_Absolute","NumVerifiedTweets_Week1_outsourced_Absolute","NumTweets_Week2_outsourced_Absolute","NumDistinctTweets_Week2_outsourced_Absolute","NumDistinctUsers_Week2_outsourced_Absolute","NumPopularTweets_Week2_outsourced_Absolute","NumVerifiedTweets_Week2_outsourced_Absolute","NumTweets_Week1_pinkslip_Absolute","NumDistinctTweets_Week1_pinkslip_Absolute","NumDistinctUsers_Week1_pinkslip_Absolute","NumPopularTweets_Week1_pinkslip_Absolute","NumVerifiedTweets_Week1_pinkslip_Absolute","NumTweets_Week2_pinkslip_Absolute","NumDistinctTweets_Week2_pinkslip_Absolute","NumDistinctUsers_Week2_pinkslip_Absolute","NumPopularTweets_Week2_pinkslip_Absolute","NumVerifiedTweets_Week2_pinkslip_Absolute","NumTweets_Week1_lostjob_Absolute","NumDistinctTweets_Week1_lostjob_Absolute","NumDistinctUsers_Week1_lostjob_Absolute","NumPopularTweets_Week1_lostjob_Absolute","NumVerifiedTweets_Week1_lostjob_Absolute","NumTweets_Week2_lostjob_Absolute","NumDistinctTweets_Week2_lostjob_Absolute","NumDistinctUsers_Week2_lostjob_Absolute","NumPopularTweets_Week2_lostjob_Absolute","NumVerifiedTweets_Week2_lostjob_Absolute","NumTweets_Week1_fired_Absolute","NumDistinctTweets_Week1_fired_Absolute","NumDistinctUsers_Week1_fired_Absolute","NumPopularTweets_Week1_fired_Absolute","NumVerifiedTweets_Week1_fired_Absolute","NumTweets_Week2_fired_Absolute","NumDistinctTweets_Week2_fired_Absolute","NumDistinctUsers_Week2_fired_Absolute","NumPopularTweets_Week2_fired_Absolute","NumVerifiedTweets_Week2_fired_Absolute","NumTweets_Week1_beenfired_Absolute","NumDistinctTweets_Week1_beenfired_Absolute","NumDistinctUsers_Week1_beenfired_Absolute","NumPopularTweets_Week1_beenfired_Absolute","NumVerifiedTweets_Week1_beenfired_Absolute","NumTweets_Week2_beenfired_Absolute","NumDistinctTweets_Week2_beenfired_Absolute","NumDistinctUsers_Week2_beenfired_Absolute","NumPopularTweets_Week2_beenfired_Absolute","NumVerifiedTweets_Week2_beenfired_Absolute","NumTweets_Week1_laidoff_Absolute","NumDistinctTweets_Week1_laidoff_Absolute","NumDistinctUsers_Week1_laidoff_Absolute","NumPopularTweets_Week1_laidoff_Absolute","NumVerifiedTweets_Week1_laidoff_Absolute","NumTweets_Week2_laidoff_Absolute","NumDistinctTweets_Week2_laidoff_Absolute","NumDistinctUsers_Week2_laidoff_Absolute","NumPopularTweets_Week2_laidoff_Absolute","NumVerifiedTweets_Week2_laidoff_Absolute","NumTweets_Week1_unemployment_Absolute","NumDistinctTweets_Week1_unemployment_Absolute","NumDistinctUsers_Week1_unemployment_Absolute","NumPopularTweets_Week1_unemployment_Absolute","NumVerifiedTweets_Week1_unemployment_Absolute","NumTweets_Week2_unemployment_Absolute","NumDistinctTweets_Week2_unemployment_Absolute","NumDistinctUsers_Week2_unemployment_Absolute","NumPopularTweets_Week2_unemployment_Absolute","NumVerifiedTweets_Week2_unemployment_Absolute","NumTweets_Week1_axed_AbsoluteDelta","NumDistinctTweets_Week1_axed_AbsoluteDelta","NumDistinctUsers_Week1_axed_AbsoluteDelta","NumPopularTweets_Week1_axed_AbsoluteDelta","NumVerifiedTweets_Week1_axed_AbsoluteDelta","NumTweets_Week2_axed_AbsoluteDelta","NumDistinctTweets_Week2_axed_AbsoluteDelta","NumDistinctUsers_Week2_axed_AbsoluteDelta","NumPopularTweets_Week2_axed_AbsoluteDelta","NumVerifiedTweets_Week2_axed_AbsoluteDelta","NumTweets_Week1_canned_AbsoluteDelta","NumDistinctTweets_Week1_canned_AbsoluteDelta","NumDistinctUsers_Week1_canned_AbsoluteDelta","NumPopularTweets_Week1_canned_AbsoluteDelta","NumVerifiedTweets_Week1_canned_AbsoluteDelta","NumTweets_Week2_canned_AbsoluteDelta","NumDistinctTweets_Week2_canned_AbsoluteDelta","NumDistinctUsers_Week2_canned_AbsoluteDelta","NumPopularTweets_Week2_canned_AbsoluteDelta","NumVerifiedTweets_Week2_canned_AbsoluteDelta","NumTweets_Week1_downsized_AbsoluteDelta","NumDistinctTweets_Week1_downsized_AbsoluteDelta","NumDistinctUsers_Week1_downsized_AbsoluteDelta","NumPopularTweets_Week1_downsized_AbsoluteDelta","NumVerifiedTweets_Week1_downsized_AbsoluteDelta","NumTweets_Week2_downsized_AbsoluteDelta","NumDistinctTweets_Week2_downsized_AbsoluteDelta","NumDistinctUsers_Week2_downsized_AbsoluteDelta","NumPopularTweets_Week2_downsized_AbsoluteDelta","NumVerifiedTweets_Week2_downsized_AbsoluteDelta","NumTweets_Week1_outsourced_AbsoluteDelta","NumDistinctTweets_Week1_outsourced_AbsoluteDelta","NumDistinctUsers_Week1_outsourced_AbsoluteDelta","NumPopularTweets_Week1_outsourced_AbsoluteDelta","NumVerifiedTweets_Week1_outsourced_AbsoluteDelta","NumTweets_Week2_outsourced_AbsoluteDelta","NumDistinctTweets_Week2_outsourced_AbsoluteDelta","NumDistinctUsers_Week2_outsourced_AbsoluteDelta","NumPopularTweets_Week2_outsourced_AbsoluteDelta","NumVerifiedTweets_Week2_outsourced_AbsoluteDelta","NumTweets_Week1_pinkslip_AbsoluteDelta","NumDistinctTweets_Week1_pinkslip_AbsoluteDelta","NumDistinctUsers_Week1_pinkslip_AbsoluteDelta","NumPopularTweets_Week1_pinkslip_AbsoluteDelta","NumVerifiedTweets_Week1_pinkslip_AbsoluteDelta","NumTweets_Week2_pinkslip_AbsoluteDelta","NumDistinctTweets_Week2_pinkslip_AbsoluteDelta","NumDistinctUsers_Week2_pinkslip_AbsoluteDelta","NumPopularTweets_Week2_pinkslip_AbsoluteDelta","NumVerifiedTweets_Week2_pinkslip_AbsoluteDelta","NumTweets_Week1_lostjob_AbsoluteDelta","NumDistinctTweets_Week1_lostjob_AbsoluteDelta","NumDistinctUsers_Week1_lostjob_AbsoluteDelta","NumPopularTweets_Week1_lostjob_AbsoluteDelta","NumVerifiedTweets_Week1_lostjob_AbsoluteDelta","NumTweets_Week2_lostjob_AbsoluteDelta","NumDistinctTweets_Week2_lostjob_AbsoluteDelta","NumDistinctUsers_Week2_lostjob_AbsoluteDelta","NumPopularTweets_Week2_lostjob_AbsoluteDelta","NumVerifiedTweets_Week2_lostjob_AbsoluteDelta","NumTweets_Week1_fired_AbsoluteDelta","NumDistinctTweets_Week1_fired_AbsoluteDelta","NumDistinctUsers_Week1_fired_AbsoluteDelta","NumPopularTweets_Week1_fired_AbsoluteDelta","NumVerifiedTweets_Week1_fired_AbsoluteDelta","NumTweets_Week2_fired_AbsoluteDelta","NumDistinctTweets_Week2_fired_AbsoluteDelta","NumDistinctUsers_Week2_fired_AbsoluteDelta","NumPopularTweets_Week2_fired_AbsoluteDelta","NumVerifiedTweets_Week2_fired_AbsoluteDelta","NumTweets_Week1_beenfired_AbsoluteDelta","NumDistinctTweets_Week1_beenfired_AbsoluteDelta","NumDistinctUsers_Week1_beenfired_AbsoluteDelta","NumPopularTweets_Week1_beenfired_AbsoluteDelta","NumVerifiedTweets_Week1_beenfired_AbsoluteDelta","NumTweets_Week2_beenfired_AbsoluteDelta","NumDistinctTweets_Week2_beenfired_AbsoluteDelta","NumDistinctUsers_Week2_beenfired_AbsoluteDelta","NumPopularTweets_Week2_beenfired_AbsoluteDelta","NumVerifiedTweets_Week2_beenfired_AbsoluteDelta","NumTweets_Week1_laidoff_AbsoluteDelta","NumDistinctTweets_Week1_laidoff_AbsoluteDelta","NumDistinctUsers_Week1_laidoff_AbsoluteDelta","NumPopularTweets_Week1_laidoff_AbsoluteDelta","NumVerifiedTweets_Week1_laidoff_AbsoluteDelta","NumTweets_Week2_laidoff_AbsoluteDelta","NumDistinctTweets_Week2_laidoff_AbsoluteDelta","NumDistinctUsers_Week2_laidoff_AbsoluteDelta","NumPopularTweets_Week2_laidoff_AbsoluteDelta","NumVerifiedTweets_Week2_laidoff_AbsoluteDelta","NumTweets_Week1_unemployment_AbsoluteDelta","NumDistinctTweets_Week1_unemployment_AbsoluteDelta","NumDistinctUsers_Week1_unemployment_AbsoluteDelta","NumPopularTweets_Week1_unemployment_AbsoluteDelta","NumVerifiedTweets_Week1_unemployment_AbsoluteDelta","NumTweets_Week2_unemployment_AbsoluteDelta","NumDistinctTweets_Week2_unemployment_AbsoluteDelta","NumDistinctUsers_Week2_unemployment_AbsoluteDelta","NumPopularTweets_Week2_unemployment_AbsoluteDelta","NumVerifiedTweets_Week2_unemployment_AbsoluteDelta"
"1/14/2011",2346,2233,2122,70,1,373,354,328,8,0,5655,5090,4812,160,262,867,828,786,20,0,675,656,637,14,0,165,161,161,3,0,1688,1616,1530,43,0,220,217,203,2,0,974,843,785,45,9,109,109,106,0,0,3212,2985,2904,86,40,404,388,380,13,0,11561,10790,10540,297,122,2232,2017,1961,72,44,8375,7474,7246,317,45,1450,1235,1211,53,64,7503,7080,6863,231,56,1826,1699,1659,35,2,36218,32227,29070,1414,861,3019,2838,2624,100,1,1973,1879,1794,62,1,373,354,328,8,0,4788,4262,4026,140,262,867,828,786,20,0,510,495,476,11,0,165,161,161,3,0,1468,1399,1327,41,0,220,217,203,2,0,865,734,679,45,9,109,109,106,0,0,2808,2597,2524,73,40,404,388,380,13,0,9329,8773,8579,225,78,2232,2017,1961,72,44,6925,6239,6035,264,-19,1450,1235,1211,53,64,5677,5381,5204,196,54,1826,1699,1659,35,2,33199,29389,26446,1314,860,3019,2838,2624,100,1
"1/21/2011",2312,2196,2122,69,15,2346,2233,2122,70,1,7829,7553,4963,152,6,5655,5090,4812,160,262,603,588,540,11,1,675,656,637,14,0,1691,1641,1549,39,2,1688,1616,1530,43,0,1405,1332,1260,27,2,974,843,785,45,9,3235,2974,2927,85,1,3212,2985,2904,86,40,10763,10058,9828,251,201,11561,10790,10540,297,122,6894,5556,5414,200,909,8375,7474,7246,317,45,10987,10271,10025,291,174,7503,7080,6863,231,56,27979,25278,22800,973,508,36218,32227,29070,1414,861,-34,-37,0,-1,14,1973,1879,1794,62,1,2174,2463,151,-8,-256,4788,4262,4026,140,262,-72,-68,-97,-3,1,510,495,476,11,0,3,25,19,-4,2,1468,1399,1327,41,0,431,489,475,-18,-7,865,734,679,45,9,23,-11,23,-1,-39,2808,2597,2524,73,40,-798,-732,-712,-46,79,9329,8773,8579,225,78,-1481,-1918,-1832,-117,864,6925,6239,6035,264,-19,3484,3191,3162,60,118,5677,5381,5204,196,54,-8239,-6949,-6270,-441,-353,33199,29389,26446,1314,860
"1/28/2011",2544,2204,2104,98,0,2312,2196,2122,69,15,7208,6907,4842,147,12,7829,7553,4963,152,6,521,501,492,14,0,603,588,540,11,1,3715,3556,3336,91,11,1691,1641,1549,39,2,718,688,653,17,0,1405,1332,1260,27,2,2510,2339,2288,60,1,3235,2974,2927,85,1,10097,9472,9186,268,22,10763,10058,9828,251,201,5691,5162,4957,218,134,6894,5556,5414,200,909,6706,6309,6163,196,109,10987,10271,10025,291,174,26429,23771,21756,1027,111,27979,25278,22800,973,508,232,8,-18,29,-15,-34,-37,0,-1,14,-621,-646,-121,-5,6,2174,2463,151,-8,-256,-82,-87,-48,3,-1,-72,-68,-97,-3,1,2024,1915,1787,52,9,3,25,19,-4,2,-687,-644,-607,-10,-2,431,489,475,-18,-7,-725,-635,-639,-25,0,23,-11,23,-1,-39,-666,-586,-642,17,-179,-798,-732,-712,-46,79,-1203,-394,-457,18,-775,-1481,-1918,-1832,-117,864,-4281,-3962,-3862,-95,-65,3484,3191,3162,60,118,-1550,-1507,-1044,54,-397,-8239,-6949,-6270,-441,-353
"2/4/2011",1917,1737,1696,74,49,2544,2204,2104,98,0,6141,5672,4995,162,114,7208,6907,4842,147,12,827,817,793,8,0,521,501,492,14,0,3364,3175,2937,65,86,3715,3556,3336,91,11,518,509,488,8,1,718,688,653,17,0,2875,2724,2602,82,17,2510,2339,2288,60,1,11202,10266,10001,290,244,10097,9472,9186,268,22,7810,6014,5797,284,846,5691,5162,4957,218,134,6894,6469,6335,187,120,6706,6309,6163,196,109,30158,26413,24299,1173,171,26429,23771,21756,1027,111,-627,-467,-408,-24,49,232,8,-18,29,-15,-1067,-1235,153,15,102,-621,-646,-121,-5,6,306,316,301,-6,0,-82,-87,-48,3,-1,-351,-381,-399,-26,75,2024,1915,1787,52,9,-200,-179,-165,-9,1,-687,-644,-607,-10,-2,365,385,314,22,16,-725,-635,-639,-25,0,1105,794,815,22,222,-666,-586,-642,17,-179,2119,852,840,66,712,-1203,-394,-457,18,-775,188,160,172,-9,11,-4281,-3962,-3862,-95,-65,3729,2642,2543,146,60,-1550,-1507,-1044,54,-397
"2/11/2011",2014,1827,1772,75,20,1917,1737,1696,74,49,6637,5959,5622,172,14,6141,5672,4995,162,114,533,486,476,8,0,827,817,793,8,0,3606,3455,3216,90,2,3364,3175,2937,65,86,597,581,561,15,0,518,509,488,8,1,3529,3315,2847,71,53,2875,2724,2602,82,17,10458,9255,9014,253,230,11202,10266,10001,290,244,6525,5587,5387,317,8,7810,6014,5797,284,846,7404,7016,6846,203,9,6894,6469,6335,187,120,39630,34814,31516,1520,788,30158,26413,24299,1173,171,97,90,76,1,-29,-627,-467,-408,-24,49,496,287,627,10,-100,-1067,-1235,153,15,102,-294,-331,-317,0,0,306,316,301,-6,0,242,280,279,25,-84,-351,-381,-399,-26,75,79,72,73,7,-1,-200,-179,-165,-9,1,654,591,245,-11,36,365,385,314,22,16,-744,-1011,-987,-37,-14,1105,794,815,22,222,-1285,-427,-410,33,-838,2119,852,840,66,712,510,547,511,16,-111,188,160,172,-9,11,9472,8401,7217,347,617,3729,2642,2543,146,60
"2/18/2011",3693,3483,3355,115,2,2014,1827,1772,75,20,6688,6029,5808,165,75,6637,5959,5622,172,14,440,427,411,7,0,533,486,476,8,0,3953,3798,3564,100,0,3606,3455,3216,90,2,796,759,728,20,12,597,581,561,15,0,4694,3440,3167,101,936,3529,3315,2847,71,53,11990,11059,10580,343,172,10458,9255,9014,253,230,8209,7012,6664,347,110,6525,5587,5387,317,8,10033,9489,8435,252,89,7404,7016,6846,203,9,41434,37871,34014,1613,360,39630,34814,31516,1520,788,1679,1656,1583,40,-18,97,90,76,1,-29,51,70,186,-7,61,496,287,627,10,-100,-93,-59,-65,-1,0,-294,-331,-317,0,0,347,343,348,10,-2,242,280,279,25,-84,199,178,167,5,12,79,72,73,7,-1,1165,125,320,30,883,654,591,245,-11,36,1532,1804,1566,90,-58,-744,-1011,-987,-37,-14,1684,1425,1277,30,102,-1285,-427,-410,33,-838,2629,2473,1589,49,80,510,547,511,16,-111,1804,3057,2498,93,-428,9472,8401,7217,347,617
"2/25/2011",2716,2548,2458,97,6,3693,3483,3355,115,2,5584,5292,5125,142,74,6688,6029,5808,165,75,505,496,471,6,0,440,427,411,7,0,3331,3181,2979,82,1,3953,3798,3564,100,0,899,847,733,28,6,796,759,728,20,12,2967,2783,2647,95,31,4694,3440,3167,101,936,10457,9190,8919,262,677,11990,11059,10580,343,172,5951,5102,4958,285,53,8209,7012,6664,347,110,8843,8327,7950,237,19,10033,9489,8435,252,89,37987,33271,29762,1651,1045,41434,37871,34014,1613,360,-977,-935,-897,-18,4,1679,1656,1583,40,-18,-1104,-737,-683,-23,-1,51,70,186,-7,61,65,69,60,-1,0,-93,-59,-65,-1,0,-622,-617,-585,-18,1,347,343,348,10,-2,103,88,5,8,-6,199,178,167,5,12,-1727,-657,-520,-6,-905,1165,125,320,30,883,-1533,-1869,-1661,-81,505,1532,1804,1566,90,-58,-2258,-1910,-1706,-62,-57,1684,1425,1277,30,102,-1190,-1162,-485,-15,-70,2629,2473,1589,49,80,-3447,-4600,-4252,38,685,1804,3057,2498,93,-428
"3/4/2011",2715,2516,2407,97,6,2716,2548,2458,97,6,4362,4117,4000,125,8,5584,5292,5125,142,74,361,347,340,9,0,505,496,471,6,0,3195,3016,2774,87,12,3331,3181,2979,82,1,1527,1442,1389,54,6,899,847,733,28,6,2527,2403,2313,59,8,2967,2783,2647,95,31,9088,7844,7646,237,14,10457,9190,8919,262,677,6482,5258,5106,266,561,5951,5102,4958,285,53,9695,8697,8447,389,100,8843,8327,7950,237,19,24370,21374,18979,1037,300,37987,33271,29762,1651,1045,-1,-32,-51,0,0,-977,-935,-897,-18,4,-1222,-1175,-1125,-17,-66,-1104,-737,-683,-23,-1,-144,-149,-131,3,0,65,69,60,-1,0,-136,-165,-205,5,11,-622,-617,-585,-18,1,628,595,656,26,0,103,88,5,8,-6,-440,-380,-334,-36,-23,-1727,-657,-520,-6,-905,-1369,-1346,-1273,-25,-663,-1533,-1869,-1661,-81,505,531,156,148,-19,508,-2258,-1910,-1706,-62,-57,852,370,497,152,81,-1190,-1162,-485,-15,-70,-13617,-11897,-10783,-614,-745,-3447,-4600,-4252,38,685
"3/11/2011",668,459,444,30,7,2715,2516,2407,97,6,1522,1334,1301,55,20,4362,4117,4000,125,8,135,126,123,2,0,361,347,340,9,0,883,842,791,17,0,3195,3016,2774,87,12,318,288,274,23,3,1527,1442,1389,54,6,1068,868,848,35,45,2527,2403,2313,59,8,2942,2572,2523,102,165,9088,7844,7646,237,14,2184,1803,1773,84,88,6482,5258,5106,266,561,4081,3211,3140,184,247,9695,8697,8447,389,100,13203,8298,7660,603,524,24370,21374,18979,1037,300,-2047,-2057,-1963,-67,1,-1,-32,-51,0,0,-2840,-2783,-2699,-70,12,-1222,-1175,-1125,-17,-66,-226,-221,-217,-7,0,-144,-149,-131,3,0,-2312,-2174,-1983,-70,-12,-136,-165,-205,5,11,-1209,-1154,-1115,-31,-3,628,595,656,26,0,-1459,-1535,-1465,-24,37,-440,-380,-334,-36,-23,-6146,-5272,-5123,-135,151,-1369,-1346,-1273,-25,-663,-4298,-3455,-3333,-182,-473,531,156,148,-19,508,-5614,-5486,-5307,-205,147,852,370,497,152,81,-11167,-13076,-11319,-434,224,-13617,-11897,-10783,-614,-745
"3/18/2011",298,126,125,14,0,668,459,444,30,7,374,227,227,22,91,1522,1334,1301,55,20,15,14,14,1,0,135,126,123,2,0,109,92,90,9,0,883,842,791,17,0,173,126,124,7,0,318,288,274,23,3,236,151,149,19,3,1068,868,848,35,45,2428,622,620,56,1495,2942,2572,2523,102,165,3402,331,329,47,2316,2184,1803,1773,84,88,1028,524,523,50,110,4081,3211,3140,184,247,4444,1607,1567,205,300,13203,8298,7660,603,524,-370,-333,-319,-16,-7,-2047,-2057,-1963,-67,1,-1148,-1107,-1074,-33,71,-2840,-2783,-2699,-70,12,-120,-112,-109,-1,0,-226,-221,-217,-7,0,-774,-750,-701,-8,0,-2312,-2174,-1983,-70,-12,-145,-162,-150,-16,-3,-1209,-1154,-1115,-31,-3,-832,-717,-699,-16,-42,-1459,-1535,-1465,-24,37,-514,-1950,-1903,-46,1330,-6146,-5272,-5123,-135,151,1218,-1472,-1444,-37,2228,-4298,-3455,-3333,-182,-473,-3053,-2687,-2617,-134,-137,-5614,-5486,-5307,-205,147,-8759,-6691,-6093,-398,-224,-11167,-13076,-11319,-434,224
