#Field:candidate	WeekId	NumTweets_Week1	NumDistinctTweets_Week1	NumDistinctUsers_Week1	NumPopularTweets_Week1	NumVerifiedTweets_Week1	NumTweets_Week2	NumDistinctTweets_Week2	NumDistinctUsers_Week2	NumPopularTweets_Week2	NumVerifiedTweets_Week2
axed	01/03/2014	5262	2830	2705	467	102	9546	5227	5008	663	1583
been fired	01/03/2014	30404	20617	19882	2822	1520	61603	35311	33459	5122	5256
canned	01/03/2014	14358	10822	9787	1046	519	22190	14713	13257	2052	711
downsized	01/03/2014	495	409	398	24	49	648	451	436	46	6
fired	01/03/2014	40828	28407	27550	3217	4596	65067	41804	40360	5229	2343
laid off	01/03/2014	23387	19070	18521	1897	1032	24287	18068	17602	1986	448
lost job	01/03/2014	10669	7268	7080	908	398	14123	9636	9158	1133	945
outsourced	01/03/2014	3138	2345	2244	226	55	3327	2449	2348	281	244
pink slip	01/03/2014	28929	13859	10581	2357	21	25624	14682	10876	2502	132
unemployment	01/03/2014	126932	71751	63476	10215	17269	120973	67908	61399	10982	18374
axed	01/04/2013	16051	14867	4675	174	201	4903	3983	3839	217	136
been fired	01/04/2013	24342	17725	17219	1129	3270	42912	39812	39320	1118	409
canned	01/04/2013	13702	10172	9379	465	143	18308	15060	14062	930	262
downsized	01/04/2013	675	647	546	17	0	677	646	603	21	7
fired	01/04/2013	56918	34951	33878	2108	13851	41160	35878	33401	1825	1004
laid off	01/04/2013	26426	20487	19566	1157	2825	24010	21926	20850	1193	159
lost job	01/04/2013	6838	5406	5302	296	787	9284	7527	7367	434	780
outsourced	01/04/2013	1514	1264	1198	68	47	2071	1727	1614	108	18
pink slip	01/04/2013	3541	2166	2036	197	1	4241	2490	2369	181	72
unemployment	01/04/2013	60149	46508	39298	3163	2480	73849	60456	51372	4075	2593
axed	01/06/2012	3382	2756	2631	178	1	3367	2914	2742	164	7
been fired	01/06/2012	11411	9846	9532	561	11	12267	10302	10069	668	129
canned	01/06/2012	7383	6908	6513	258	12	9169	8193	7816	478	18
downsized	01/06/2012	524	480	469	23	0	453	436	420	11	0
fired	01/06/2012	23160	19941	19372	859	1151	21954	19512	19043	916	181
laid off	01/06/2012	16049	14639	14213	693	9	13669	12473	12144	661	12
lost job	01/06/2012	5871	5192	4979	223	9	5408	5010	4740	223	5
outsourced	01/06/2012	2022	1882	1785	45	2	3278	1711	1653	61	1
pink slip	01/06/2012	1193	1102	1059	54	3	1262	1165	1126	65	2
unemployment	01/06/2012	43459	34707	31590	1943	2217	48210	39292	36471	2684	230
axed	01/07/2011	373	354	328	8	0	0	0	0	0	0
been fired	01/07/2011	1450	1235	1211	53	64	0	0	0	0	0
canned	01/07/2011	867	828	786	20	0	0	0	0	0	0
downsized	01/07/2011	165	161	161	3	0	0	0	0	0	0
fired	01/07/2011	2232	2017	1961	72	44	0	0	0	0	0
laid off	01/07/2011	1826	1699	1659	35	2	0	0	0	0	0
lost job	01/07/2011	404	388	380	13	0	0	0	0	0	0
outsourced	01/07/2011	220	217	203	2	0	0	0	0	0	0
pink slip	01/07/2011	109	109	106	0	0	0	0	0	0	0
unemployment	01/07/2011	3019	2838	2624	100	1	0	0	0	0	0
axed	01/10/2014	5774	4103	3971	384	392	5262	2830	2705	467	102
been fired	01/10/2014	104732	50653	48550	7589	28542	30404	20617	19882	2822	1520
canned	01/10/2014	18521	13374	12212	1386	695	14358	10822	9787	1046	519
downsized	01/10/2014	526	435	419	40	2	495	409	398	24	49
fired	01/10/2014	69923	50087	48084	6058	5363	40828	28407	27550	3217	4596
laid off	01/10/2014	26503	20130	19649	2313	612	23387	19070	18521	1897	1032
lost job	01/10/2014	14876	9686	9451	1245	1803	10669	7268	7080	908	398
outsourced	01/10/2014	3481	2438	2321	265	110	3138	2345	2244	226	55
pink slip	01/10/2014	37108	18338	14583	2981	80	28929	13859	10581	2357	21
unemployment	01/10/2014	122625	72028	63731	10628	13085	126932	71751	63476	10215	17269
axed	01/11/2013	5996	4072	3811	166	238	16051	14867	4675	174	201
been fired	01/11/2013	57210	33188	31539	1961	17406	24342	17725	17219	1129	3270
canned	01/11/2013	14029	12632	11665	547	314	13702	10172	9379	465	143
downsized	01/11/2013	560	522	479	14	4	675	647	546	17	0
fired	01/11/2013	52714	43424	42310	2454	3531	56918	34951	33878	2108	13851
laid off	01/11/2013	25391	22019	21163	1243	487	26426	20487	19566	1157	2825
lost job	01/11/2013	7967	7173	7037	422	55	6838	5406	5302	296	787
outsourced	01/11/2013	1657	1507	1397	71	3	1514	1264	1198	68	47
pink slip	01/11/2013	3154	2640	2503	175	38	3541	2166	2036	197	1
unemployment	01/11/2013	94162	73755	64780	4705	5031	60149	46508	39298	3163	2480
axed	01/13/2012	7882	5096	4902	238	1198	3382	2756	2631	178	1
been fired	01/13/2012	19421	16890	16394	958	25	11411	9846	9532	561	11
canned	01/13/2012	11035	9603	9203	380	600	7383	6908	6513	258	12
downsized	01/13/2012	811	793	590	13	1	524	480	469	23	0
fired	01/13/2012	31950	28283	27530	1128	54	23160	19941	19372	859	1151
laid off	01/13/2012	20946	19252	18614	888	22	16049	14639	14213	693	9
lost job	01/13/2012	8489	7371	7182	310	4	5871	5192	4979	223	9
outsourced	01/13/2012	2473	2345	2217	65	1	2022	1882	1785	45	2
pink slip	01/13/2012	1848	1650	1583	84	2	1193	1102	1059	54	3
unemployment	01/13/2012	85567	70002	64478	3882	1033	43459	34707	31590	1943	2217
axed	01/14/2011	2346	2233	2122	70	1	373	354	328	8	0
been fired	01/14/2011	8375	7474	7246	317	45	1450	1235	1211	53	64
canned	01/14/2011	5655	5090	4812	160	262	867	828	786	20	0
downsized	01/14/2011	675	656	637	14	0	165	161	161	3	0
fired	01/14/2011	11561	10790	10540	297	122	2232	2017	1961	72	44
laid off	01/14/2011	7503	7080	6863	231	56	1826	1699	1659	35	2
lost job	01/14/2011	3212	2985	2904	86	40	404	388	380	13	0
outsourced	01/14/2011	1688	1616	1530	43	0	220	217	203	2	0
pink slip	01/14/2011	974	843	785	45	9	109	109	106	0	0
unemployment	01/14/2011	36218	32227	29070	1414	861	3019	2838	2624	100	1
axed	01/17/2014	8129	4873	4655	591	870	5774	4103	3971	384	392
been fired	01/17/2014	34626	22452	21646	3059	2811	104732	50653	48550	7589	28542
canned	01/17/2014	18226	13612	12036	1457	528	18521	13374	12212	1386	695
downsized	01/17/2014	795	616	600	65	60	526	435	419	40	2
fired	01/17/2014	56237	36616	35403	4638	4376	69923	50087	48084	6058	5363
laid off	01/17/2014	28976	21182	20514	2460	3337	26503	20130	19649	2313	612
lost job	01/17/2014	11435	8312	8136	1035	447	14876	9686	9451	1245	1803
outsourced	01/17/2014	3257	2261	2093	278	103	3481	2438	2321	265	110
pink slip	01/17/2014	28858	16520	13173	2692	295	37108	18338	14583	2981	80
unemployment	01/17/2014	305830	149806	126419	26679	59300	122625	72028	63731	10628	13085
axed	01/18/2013	4168	3518	3383	195	86	5996	4072	3811	166	238
been fired	01/18/2013	32629	25353	24520	1858	2216	57210	33188	31539	1961	17406
canned	01/18/2013	15448	13015	12138	560	750	14029	12632	11665	547	314
downsized	01/18/2013	820	769	717	26	6	560	522	479	14	4
fired	01/18/2013	50278	39877	38791	2273	5156	52714	43424	42310	2454	3531
laid off	01/18/2013	27685	24457	23564	1442	195	25391	22019	21163	1243	487
lost job	01/18/2013	10150	8522	8377	486	306	7967	7173	7037	422	55
outsourced	01/18/2013	1980	1753	1614	91	4	1657	1507	1397	71	3
pink slip	01/18/2013	2317	1986	1901	109	40	3154	2640	2503	175	38
unemployment	01/18/2013	102314	76783	69149	6318	6022	94162	73755	64780	4705	5031
axed	01/20/2012	4031	3637	3489	167	12	7882	5096	4902	238	1198
been fired	01/20/2012	20961	16919	16414	962	516	19421	16890	16394	958	25
canned	01/20/2012	10835	10208	9771	342	9	11035	9603	9203	380	600
downsized	01/20/2012	779	715	697	23	1	811	793	590	13	1
fired	01/20/2012	32526	30218	29317	1188	17	31950	28283	27530	1128	54
laid off	01/20/2012	24334	20711	20118	849	25	20946	19252	18614	888	22
lost job	01/20/2012	8322	7797	7469	272	8	8489	7371	7182	310	4
outsourced	01/20/2012	3090	2831	2604	93	4	2473	2345	2217	65	1
pink slip	01/20/2012	4418	3778	3509	238	15	1848	1650	1583	84	2
unemployment	01/20/2012	70554	58461	54143	3136	741	85567	70002	64478	3882	1033
