#Field:candidate	WeekId	NumTweets_Week1	NumDistinctTweets_Week1	NumDistinctUsers_Week1	NumPopularTweets_Week1	NumVerifiedTweets_Week1	NumTweets_Week2	NumDistinctTweets_Week2	NumDistinctUsers_Week2	NumPopularTweets_Week2	NumVerifiedTweets_Week2
all	01/03/2014	283091	264217	146950	12002	1365	357819	319355	177502	15731	2505
all old	01/03/2014	19424	17642	13912	930	246	27542	23700	18662	1722	516
hashtags	01/03/2014	254891	237116	133501	10634	944	307122	285260	160111	13361	1655
job opening	01/03/2014	8402	7443	5399	224	156	11318	9640	6876	356	124
job opportunity	01/03/2014	5787	5414	4946	197	55	7040	6270	5709	365	70
job posting	01/03/2014	1672	1432	1176	177	10	2589	2229	1782	237	40
we are hiring	01/03/2014	2449	1769	1635	276	127	4738	2784	2565	561	668
all	01/04/2013	241571	238392	137776	1843	371	313097	306992	173382	4255	647
all old	01/04/2013	15678	15125	10214	254	153	24879	23580	16976	640	186
hashtags	01/04/2013	262394	259822	144636	1801	250	342985	336810	180605	4486	742
job opening	01/04/2013	8065	7805	4903	60	110	9938	9764	6562	133	16
job opportunity	01/04/2013	4084	3949	2492	69	34	6433	6151	3938	151	15
job posting	01/04/2013	2225	2180	1518	21	10	3302	3134	2343	71	20
we are hiring	01/04/2013	1290	1126	1087	67	23	3205	2689	2572	225	87
all	01/06/2012	344397	341764	147439	1959	86	261745	258122	135414	2604	100
all old	01/06/2012	36090	35659	11808	311	22	10698	9979	8005	331	24
hashtags	01/06/2012	241136	239500	115682	1288	56	196199	193850	107656	1766	81
job opening	01/06/2012	4341	4273	3129	38	7	4113	3999	3024	71	2
job opportunity	01/06/2012	2009	1939	1720	48	8	2139	2060	1846	61	6
job posting	01/06/2012	1847	1766	1485	8	2	1767	1715	1392	30	1
we are hiring	01/06/2012	23668	23438	4598	173	0	1953	1682	1255	140	2
all	01/07/2011	28999	28825	12364	157	3	0	0	0	0	0
all old	01/07/2011	955	944	764	5	0	0	0	0	0	0
hashtags	01/07/2011	21951	21819	9853	118	2	0	0	0	0	0
job opening	01/07/2011	231	224	186	5	0	0	0	0	0	0
job opportunity	01/07/2011	216	212	156	3	0	0	0	0	0	0
job posting	01/07/2011	260	260	214	0	0	0	0	0	0	0
we are hiring	01/07/2011	68	66	65	2	0	0	0	0	0	0
all	01/10/2014	323843	289200	160424	14576	1904	283091	264217	146950	12002	1365
all old	01/10/2014	25476	21663	16543	1523	716	19424	17642	13912	930	246
hashtags	01/10/2014	272973	255424	143276	12162	942	254891	237116	133501	10634	944
job opening	01/10/2014	10191	8953	6403	307	623	8402	7443	5399	224	156
job opportunity	01/10/2014	6617	5968	5432	277	83	5787	5414	4946	197	55
job posting	01/10/2014	2584	2201	1466	310	7	1672	1432	1176	177	10
we are hiring	01/10/2014	3725	2410	2204	485	123	2449	1769	1635	276	127
all	01/11/2013	269521	264191	149958	2697	455	241571	238392	137776	1843	371
all old	01/11/2013	21021	19717	14120	505	119	15678	15125	10214	254	153
hashtags	01/11/2013	288960	284342	154442	2604	714	262394	259822	144636	1801	250
job opening	01/11/2013	9736	9240	5972	100	71	8065	7805	4903	60	110
job opportunity	01/11/2013	5977	5611	3616	154	36	4084	3949	2492	69	34
job posting	01/11/2013	2642	2563	1857	39	6	2225	2180	1518	21	10
we are hiring	01/11/2013	2628	2179	2108	168	78	1290	1126	1087	67	23
all	01/13/2012	439835	434829	183851	3494	176	344397	341764	147439	1959	86
all old	01/13/2012	66736	65557	20096	658	29	36090	35659	11808	311	22
hashtags	01/13/2012	283214	280137	137928	2146	117	241136	239500	115682	1288	56
job opening	01/13/2012	5624	5449	4466	91	10	4341	4273	3129	38	7
job opportunity	01/13/2012	3663	3491	3034	107	18	2009	1939	1720	48	8
job posting	01/13/2012	2492	2445	1978	33	0	1847	1766	1485	8	2
we are hiring	01/13/2012	49207	48695	9798	342	9	23668	23438	4598	173	0
all	01/14/2011	202713	200565	98165	1606	86	28999	28825	12364	157	3
all old	01/14/2011	9558	9069	7189	264	25	955	944	764	5	0
hashtags	01/14/2011	149893	148566	77674	1059	54	21951	21819	9853	118	2
job opening	01/14/2011	2076	1997	1760	53	11	231	224	186	5	0
job opportunity	01/14/2011	1871	1818	1574	33	4	216	212	156	3	0
job posting	01/14/2011	1766	1727	1461	29	1	260	260	214	0	0
we are hiring	01/14/2011	1808	1618	1097	81	40	68	66	65	2	0
all	01/17/2014	388837	350253	194210	20609	2855	323843	289200	160424	14576	1904
all old	01/17/2014	35556	28734	21806	2592	951	25476	21663	16543	1523	716
hashtags	01/17/2014	337667	310027	173017	16981	2369	272973	255424	143276	12162	942
job opening	01/17/2014	13073	11267	8190	477	623	10191	8953	6403	307	623
job opportunity	01/17/2014	7966	6817	6248	506	72	6617	5968	5432	277	83
job posting	01/17/2014	4584	3987	2206	432	14	2584	2201	1466	310	7
we are hiring	01/17/2014	7050	3753	3550	1001	350	3725	2410	2204	485	123
all	01/18/2013	365230	324174	184214	4045	876	269521	264191	149958	2697	455
all old	01/18/2013	28193	26136	19863	859	362	21021	19717	14120	505	119
hashtags	01/18/2013	355157	349061	187943	3973	753	288960	284342	154442	2604	714
job opening	01/18/2013	12129	11784	8200	186	66	9736	9240	5972	100	71
job opportunity	01/18/2013	8402	7888	5514	276	72	5977	5611	3616	154	36
job posting	01/18/2013	3201	3102	2358	61	11	2642	2563	1857	39	6
we are hiring	01/18/2013	4096	3498	3380	279	74	2628	2179	2108	168	78
all	01/20/2012	393021	387323	187246	3741	248	439835	434829	183851	3494	176
all old	01/20/2012	26543	25627	18125	500	34	66736	65557	20096	658	29
hashtags	01/20/2012	297696	293851	149125	2703	163	283214	280137	137928	2146	117
job opening	01/20/2012	7608	7453	5746	98	12	5624	5449	4466	91	10
job opportunity	01/20/2012	3810	3653	3225	107	15	3663	3491	3034	107	18
job posting	01/20/2012	2757	2703	2233	34	2	2492	2445	1978	33	0
we are hiring	01/20/2012	12478	11906	6922	244	7	49207	48695	9798	342	9
all	01/21/2011	235309	232880	107034	1825	125	202713	200565	98165	1606	86
all old	01/21/2011	29078	28588	11103	274	36	9558	9069	7189	264	25
hashtags	01/21/2011	161379	159839	82347	1232	51	149893	148566	77674	1059	54
job opening	01/21/2011	2032	1984	1778	39	2	2076	1997	1760	53	11
job opportunity	01/21/2011	2100	2032	1789	45	11	1871	1818	1574	33	4
job posting	01/21/2011	2096	2042	1733	43	0	1766	1727	1461	29	1
we are hiring	01/21/2011	16053	15810	4410	109	0	1808	1618	1097	81	40
all	01/24/2014	346487	307985	170003	19774	3244	388837	350253	194210	20609	2855
all old	01/24/2014	30512	24093	18986	2487	1182	35556	28734	21806	2592	951
hashtags	01/24/2014	320541	292786	156815	17385	2389	337667	310027	173017	16981	2369
job opening	01/24/2014	11091	10017	7830	465	261	13073	11267	8190	477	623
job opportunity	01/24/2014	7267	6002	5377	541	111	7966	6817	6248	506	72
job posting	01/24/2014	4118	3493	2197	428	29	4584	3987	2206	432	14
we are hiring	01/24/2014	6794	3843	3580	935	603	7050	3753	3550	1001	350
all	01/25/2013	361757	353639	204948	4708	1084	365230	324174	184214	4045	876
all old	01/25/2013	38944	36867	29007	927	392	28193	26136	19863	859	362
hashtags	01/25/2013	365257	356127	196041	4309	820	355157	349061	187943	3973	753
job opening	01/25/2013	12510	12246	7921	159	30	12129	11784	8200	186	66
job opportunity	01/25/2013	16838	16425	13915	250	51	8402	7888	5514	276	72
job posting	01/25/2013	4280	3946	2880	85	191	3201	3102	2358	61	11
we are hiring	01/25/2013	4059	3406	3309	280	43	4096	3498	3380	279	74
all	01/27/2012	412055	377991	186446	6270	548	393021	387323	187246	3741	248
all old	01/27/2012	78740	59130	19777	1387	148	26543	25627	18125	500	34
hashtags	01/27/2012	362104	345771	177508	5453	646	297696	293851	149125	2703	163
job opening	01/27/2012	27833	27048	7855	317	18	7608	7453	5746	98	12
job opportunity	01/27/2012	3988	3370	3010	201	9	3810	3653	3225	107	15
job posting	01/27/2012	2954	2719	2249	88	5	2757	2703	2233	34	2
we are hiring	01/27/2012	47988	29238	6785	790	614	12478	11906	6922	244	7
all	01/28/2011	212322	210035	93386	1756	132	235309	232880	107034	1825	125
all old	01/28/2011	31933	31438	10379	344	18	29078	28588	11103	274	36
hashtags	01/28/2011	141724	140339	71696	1117	93	161379	159839	82347	1232	51
job opening	01/28/2011	1686	1606	1402	48	1	2032	1984	1778	39	2
job opportunity	01/28/2011	1703	1635	1463	44	0	2100	2032	1789	45	11
job posting	01/28/2011	1723	1667	1375	32	21	2096	2042	1733	43	0
we are hiring	01/28/2011	18780	18550	4793	138	2	16053	15810	4410	109	0
all	01/31/2014	296288	267234	151319	18037	2324	346487	307985	170003	19774	3244
all old	01/31/2014	25484	19553	16363	2246	859	30512	24093	18986	2487	1182
hashtags	01/31/2014	324172	295781	155750	18206	2244	320541	292786	156815	17385	2389
job opening	01/31/2014	8991	8227	6860	389	111	11091	10017	7830	465	261
job opportunity	01/31/2014	6945	5656	4894	508	248	7267	6002	5377	541	111
job posting	01/31/2014	3341	2652	2082	437	53	4118	3493	2197	428	29
we are hiring	01/31/2014	6728	3895	3562	983	315	6794	3843	3580	935	603
all	02/01/2013	391652	383139	206022	5336	864	361757	353639	204948	4708	1084
all old	02/01/2013	33043	30658	21970	949	314	38944	36867	29007	927	392
hashtags	02/01/2013	346117	339396	183477	4179	925	365257	356127	196041	4309	820
job opening	02/01/2013	11168	10716	7354	159	19	12510	12246	7921	159	30
job opportunity	02/01/2013	8382	7998	5208	233	66	16838	16425	13915	250	51
job posting	02/01/2013	4559	4319	3086	95	52	4280	3946	2880	85	191
we are hiring	02/01/2013	4037	3345	3243	249	156	4059	3406	3309	280	43
all	02/03/2012	499333	379104	187097	10134	2191	412055	377991	186446	6270	548
all old	02/03/2012	81747	68692	22443	1964	179	78740	59130	19777	1387	148
hashtags	02/03/2012	449833	337847	176087	9094	1381	362104	345771	177508	5453	646
job opening	02/03/2012	36588	34222	10212	478	33	27833	27048	7855	317	18
job opportunity	02/03/2012	4790	3337	2917	360	19	3988	3370	3010	201	9
job posting	02/03/2012	3384	2964	2408	110	4	2954	2719	2249	88	5
we are hiring	02/03/2012	42033	32435	7252	999	64	47988	29238	6785	790	614
all	02/04/2011	226053	223810	97660	1660	311	212322	210035	93386	1756	132
all old	02/04/2011	38988	38393	10408	260	36	31933	31438	10379	344	18
hashtags	02/04/2011	147663	145896	74940	1179	350	141724	140339	71696	1117	93
job opening	02/04/2011	1691	1629	1432	46	0	1686	1606	1402	48	1
job opportunity	02/04/2011	1639	1572	1389	46	3	1703	1635	1463	44	0
job posting	02/04/2011	1779	1721	1448	24	1	1723	1667	1375	32	21
we are hiring	02/04/2011	23804	23421	4590	109	5	18780	18550	4793	138	2
all	02/07/2014	336759	304909	156013	18793	2918	296288	267234	151319	18037	2324
all old	02/07/2014	25616	19847	16423	2323	562	25484	19553	16363	2246	859
hashtags	02/07/2014	371323	339735	162132	19602	3851	324172	295781	155750	18206	2244
job opening	02/07/2014	9283	8274	6764	471	104	8991	8227	6860	389	111
job opportunity	02/07/2014	7324	5893	4918	562	183	6945	5656	4894	508	248
job posting	02/07/2014	3035	2434	1929	412	45	3341	2652	2082	437	53
we are hiring	02/07/2014	6683	3912	3596	949	397	6728	3895	3562	983	315
all	02/08/2013	367694	358318	193971	6052	923	391652	383139	206022	5336	864
all old	02/08/2013	32099	29875	21857	922	370	33043	30658	21970	949	314
hashtags	02/08/2013	325012	317118	171841	5032	693	346117	339396	183477	4179	925
job opening	02/08/2013	11039	10514	7500	150	301	11168	10716	7354	159	19
job opportunity	02/08/2013	8190	7764	5140	219	33	8382	7998	5208	233	66
job posting	02/08/2013	4352	4174	2906	103	37	4559	4319	3086	95	52
we are hiring	02/08/2013	3825	3198	3087	246	61	4037	3345	3243	249	156
all	02/10/2012	452052	374884	192766	10477	1563	499333	379104	187097	10134	2191
all old	02/10/2012	45690	29547	15915	1778	55	81747	68692	22443	1964	179
hashtags	02/10/2012	340326	290722	158233	7244	854	449833	337847	176087	9094	1381
job opening	02/10/2012	9147	7627	5675	348	18	36588	34222	10212	478	33
job opportunity	02/10/2012	5702	4618	3333	314	4	4790	3337	2917	360	19
job posting	02/10/2012	2925	2671	2225	114	4	3384	2964	2408	110	4
we are hiring	02/10/2012	31629	15622	5218	942	390	42033	32435	7252	999	64
all	02/11/2011	235903	233458	108630	1839	377	226053	223810	97660	1660	311
all old	02/11/2011	12395	11937	7967	262	49	38988	38393	10408	260	36
hashtags	02/11/2011	174310	172479	86601	1291	383	147663	145896	74940	1179	350
job opening	02/11/2011	2021	1934	1720	55	26	1691	1629	1432	46	0
job opportunity	02/11/2011	1967	1901	1687	50	1	1639	1572	1389	46	3
job posting	02/11/2011	2097	2038	1733	37	2	1779	1721	1448	24	1
we are hiring	02/11/2011	3583	3430	1487	71	12	23804	23421	4590	109	5
all	02/14/2014	334323	300481	159203	19328	3991	336759	304909	156013	18793	2918
all old	02/14/2014	24541	18877	15555	2303	845	25616	19847	16423	2323	562
hashtags	02/14/2014	367807	335472	165849	20135	2394	371323	339735	162132	19602	3851
job opening	02/14/2014	9007	8133	6371	436	175	9283	8274	6764	471	104
job opportunity	02/14/2014	6782	5476	4888	515	177	7324	5893	4918	562	183
job posting	02/14/2014	3174	2561	1876	398	32	3035	2434	1929	412	45
we are hiring	02/14/2014	6770	3833	3562	951	233	6683	3912	3596	949	397
all	02/15/2013	383732	372408	206776	6534	990	367694	358318	193971	6052	923
all old	02/15/2013	34525	31898	23208	1029	794	32099	29875	21857	922	370
hashtags	02/15/2013	341957	329131	183309	5374	753	325012	317118	171841	5032	693
job opening	02/15/2013	11365	11141	7565	154	56	11039	10514	7500	150	301
job opportunity	02/15/2013	8287	7792	5268	246	140	8190	7764	5140	219	33
job posting	02/15/2013	5001	4807	3504	118	20	4352	4174	2906	103	37
we are hiring	02/15/2013	3672	3062	2986	237	89	3825	3198	3087	246	61
all	02/17/2012	461690	423917	200410	9283	709	452052	374884	192766	10477	1563
all old	02/17/2012	72582	59736	21880	2033	109	45690	29547	15915	1778	55
hashtags	02/17/2012	328756	308391	162487	6208	471	340326	290722	158233	7244	854
