"WeekId","NumTweets_Week1_axed","NumDistinctTweets_Week1_axed","NumDistinctUsers_Week1_axed","NumPopularTweets_Week1_axed","NumVerifiedTweets_Week1_axed","NumTweets_Week2_axed","NumDistinctTweets_Week2_axed","NumDistinctUsers_Week2_axed","NumPopularTweets_Week2_axed","NumVerifiedTweets_Week2_axed","NumTweets_Week1_canned","NumDistinctTweets_Week1_canned","NumDistinctUsers_Week1_canned","NumPopularTweets_Week1_canned","NumVerifiedTweets_Week1_canned","NumTweets_Week2_canned","NumDistinctTweets_Week2_canned","NumDistinctUsers_Week2_canned","NumPopularTweets_Week2_canned","NumVerifiedTweets_Week2_canned","NumTweets_Week1_downsized","NumDistinctTweets_Week1_downsized","NumDistinctUsers_Week1_downsized","NumPopularTweets_Week1_downsized","NumVerifiedTweets_Week1_downsized","NumTweets_Week2_downsized","NumDistinctTweets_Week2_downsized","NumDistinctUsers_Week2_downsized","NumPopularTweets_Week2_downsized","NumVerifiedTweets_Week2_downsized","NumTweets_Week1_outsourced","NumDistinctTweets_Week1_outsourced","NumDistinctUsers_Week1_outsourced","NumPopularTweets_Week1_outsourced","NumVerifiedTweets_Week1_outsourced","NumTweets_Week2_outsourced","NumDistinctTweets_Week2_outsourced","NumDistinctUsers_Week2_outsourced","NumPopularTweets_Week2_outsourced","NumVerifiedTweets_Week2_outsourced","NumTweets_Week1_pinkslip","NumDistinctTweets_Week1_pinkslip","NumDistinctUsers_Week1_pinkslip","NumPopularTweets_Week1_pinkslip","NumVerifiedTweets_Week1_pinkslip","NumTweets_Week2_pinkslip","NumDistinctTweets_Week2_pinkslip","NumDistinctUsers_Week2_pinkslip","NumPopularTweets_Week2_pinkslip","NumVerifiedTweets_Week2_pinkslip","NumTweets_Week1_lostjob","NumDistinctTweets_Week1_lostjob","NumDistinctUsers_Week1_lostjob","NumPopularTweets_Week1_lostjob","NumVerifiedTweets_Week1_lostjob","NumTweets_Week2_lostjob","NumDistinctTweets_Week2_lostjob","NumDistinctUsers_Week2_lostjob","NumPopularTweets_Week2_lostjob","NumVerifiedTweets_Week2_lostjob","NumTweets_Week1_fired","NumDistinctTweets_Week1_fired","NumDistinctUsers_Week1_fired","NumPopularTweets_Week1_fired","NumVerifiedTweets_Week1_fired","NumTweets_Week2_fired","NumDistinctTweets_Week2_fired","NumDistinctUsers_Week2_fired","NumPopularTweets_Week2_fired","NumVerifiedTweets_Week2_fired","NumTweets_Week1_beenfired","NumDistinctTweets_Week1_beenfired","NumDistinctUsers_Week1_beenfired","NumPopularTweets_Week1_beenfired","NumVerifiedTweets_Week1_beenfired","NumTweets_Week2_beenfired","NumDistinctTweets_Week2_beenfired","NumDistinctUsers_Week2_beenfired","NumPopularTweets_Week2_beenfired","NumVerifiedTweets_Week2_beenfired","NumTweets_Week1_laidoff","NumDistinctTweets_Week1_laidoff","NumDistinctUsers_Week1_laidoff","NumPopularTweets_Week1_laidoff","NumVerifiedTweets_Week1_laidoff","NumTweets_Week2_laidoff","NumDistinctTweets_Week2_laidoff","NumDistinctUsers_Week2_laidoff","NumPopularTweets_Week2_laidoff","NumVerifiedTweets_Week2_laidoff","NumTweets_Week1_unemployment","NumDistinctTweets_Week1_unemployment","NumDistinctUsers_Week1_unemployment","NumPopularTweets_Week1_unemployment","NumVerifiedTweets_Week1_unemployment","NumTweets_Week2_unemployment","NumDistinctTweets_Week2_unemployment","NumDistinctUsers_Week2_unemployment","NumPopularTweets_Week2_unemployment","NumVerifiedTweets_Week2_unemployment"
2011-01-07,373,354,328,8,0,0,0,0,0,0,867,828,786,20,0,0,0,0,0,0,165,161,161,3,0,0,0,0,0,0,220,217,203,2,0,0,0,0,0,0,109,109,106,0,0,0,0,0,0,0,404,388,380,13,0,0,0,0,0,0,2232,2017,1961,72,44,0,0,0,0,0,1450,1235,1211,53,64,0,0,0,0,0,1826,1699,1659,35,2,0,0,0,0,0,3019,2838,2624,100,1,0,0,0,0,0
2011-01-14,2346,2233,2122,70,1,373,354,328,8,0,5655,5090,4812,160,262,867,828,786,20,0,675,656,637,14,0,165,161,161,3,0,1688,1616,1530,43,0,220,217,203,2,0,974,843,785,45,9,109,109,106,0,0,3212,2985,2904,86,40,404,388,380,13,0,11561,10790,10540,297,122,2232,2017,1961,72,44,8375,7474,7246,317,45,1450,1235,1211,53,64,7503,7080,6863,231,56,1826,1699,1659,35,2,36218,32227,29070,1414,861,3019,2838,2624,100,1
2011-01-21,2312,2196,2122,69,15,2346,2233,2122,70,1,7829,7553,4963,152,6,5655,5090,4812,160,262,603,588,540,11,1,675,656,637,14,0,1691,1641,1549,39,2,1688,1616,1530,43,0,1405,1332,1260,27,2,974,843,785,45,9,3235,2974,2927,85,1,3212,2985,2904,86,40,10763,10058,9828,251,201,11561,10790,10540,297,122,6894,5556,5414,200,909,8375,7474,7246,317,45,10987,10271,10025,291,174,7503,7080,6863,231,56,27979,25278,22800,973,508,36218,32227,29070,1414,861
2011-01-28,2544,2204,2104,98,0,2312,2196,2122,69,15,7208,6907,4842,147,12,7829,7553,4963,152,6,521,501,492,14,0,603,588,540,11,1,3715,3556,3336,91,11,1691,1641,1549,39,2,718,688,653,17,0,1405,1332,1260,27,2,2510,2339,2288,60,1,3235,2974,2927,85,1,10097,9472,9186,268,22,10763,10058,9828,251,201,5691,5162,4957,218,134,6894,5556,5414,200,909,6706,6309,6163,196,109,10987,10271,10025,291,174,26429,23771,21756,1027,111,27979,25278,22800,973,508
2011-02-04,1917,1737,1696,74,49,2544,2204,2104,98,0,6141,5672,4995,162,114,7208,6907,4842,147,12,827,817,793,8,0,521,501,492,14,0,3364,3175,2937,65,86,3715,3556,3336,91,11,518,509,488,8,1,718,688,653,17,0,2875,2724,2602,82,17,2510,2339,2288,60,1,11202,10266,10001,290,244,10097,9472,9186,268,22,7810,6014,5797,284,846,5691,5162,4957,218,134,6894,6469,6335,187,120,6706,6309,6163,196,109,30158,26413,24299,1173,171,26429,23771,21756,1027,111
2011-02-11,2014,1827,1772,75,20,1917,1737,1696,74,49,6637,5959,5622,172,14,6141,5672,4995,162,114,533,486,476,8,0,827,817,793,8,0,3606,3455,3216,90,2,3364,3175,2937,65,86,597,581,561,15,0,518,509,488,8,1,3529,3315,2847,71,53,2875,2724,2602,82,17,10458,9255,9014,253,230,11202,10266,10001,290,244,6525,5587,5387,317,8,7810,6014,5797,284,846,7404,7016,6846,203,9,6894,6469,6335,187,120,39630,34814,31516,1520,788,30158,26413,24299,1173,171
2011-02-18,3693,3483,3355,115,2,2014,1827,1772,75,20,6688,6029,5808,165,75,6637,5959,5622,172,14,440,427,411,7,0,533,486,476,8,0,3953,3798,3564,100,0,3606,3455,3216,90,2,796,759,728,20,12,597,581,561,15,0,4694,3440,3167,101,936,3529,3315,2847,71,53,11990,11059,10580,343,172,10458,9255,9014,253,230,8209,7012,6664,347,110,6525,5587,5387,317,8,10033,9489,8435,252,89,7404,7016,6846,203,9,41434,37871,34014,1613,360,39630,34814,31516,1520,788
2011-02-25,2716,2548,2458,97,6,3693,3483,3355,115,2,5584,5292,5125,142,74,6688,6029,5808,165,75,505,496,471,6,0,440,427,411,7,0,3331,3181,2979,82,1,3953,3798,3564,100,0,899,847,733,28,6,796,759,728,20,12,2967,2783,2647,95,31,4694,3440,3167,101,936,10457,9190,8919,262,677,11990,11059,10580,343,172,5951,5102,4958,285,53,8209,7012,6664,347,110,8843,8327,7950,237,19,10033,9489,8435,252,89,37987,33271,29762,1651,1045,41434,37871,34014,1613,360
2011-03-04,2715,2516,2407,97,6,2716,2548,2458,97,6,4362,4117,4000,125,8,5584,5292,5125,142,74,361,347,340,9,0,505,496,471,6,0,3195,3016,2774,87,12,3331,3181,2979,82,1,1527,1442,1389,54,6,899,847,733,28,6,2527,2403,2313,59,8,2967,2783,2647,95,31,9088,7844,7646,237,14,10457,9190,8919,262,677,6482,5258,5106,266,561,5951,5102,4958,285,53,9695,8697,8447,389,100,8843,8327,7950,237,19,24370,21374,18979,1037,300,37987,33271,29762,1651,1045
2011-03-11,668,459,444,30,7,2715,2516,2407,97,6,1522,1334,1301,55,20,4362,4117,4000,125,8,135,126,123,2,0,361,347,340,9,0,883,842,791,17,0,3195,3016,2774,87,12,318,288,274,23,3,1527,1442,1389,54,6,1068,868,848,35,45,2527,2403,2313,59,8,2942,2572,2523,102,165,9088,7844,7646,237,14,2184,1803,1773,84,88,6482,5258,5106,266,561,4081,3211,3140,184,247,9695,8697,8447,389,100,13203,8298,7660,603,524,24370,21374,18979,1037,300
