"WeekId","NumTweets_Week1_axed","NumDistinctTweets_Week1_axed","NumDistinctUsers_Week1_axed","NumPopularTweets_Week1_axed","NumVerifiedTweets_Week1_axed","NumTweets_Week2_axed","NumDistinctTweets_Week2_axed","NumDistinctUsers_Week2_axed","NumPopularTweets_Week2_axed","NumVerifiedTweets_Week2_axed","NumTweets_Week1_canned","NumDistinctTweets_Week1_canned","NumDistinctUsers_Week1_canned","NumPopularTweets_Week1_canned","NumVerifiedTweets_Week1_canned","NumTweets_Week2_canned","NumDistinctTweets_Week2_canned","NumDistinctUsers_Week2_canned","NumPopularTweets_Week2_canned","NumVerifiedTweets_Week2_canned","NumTweets_Week1_downsized","NumDistinctTweets_Week1_downsized","NumDistinctUsers_Week1_downsized","NumPopularTweets_Week1_downsized","NumVerifiedTweets_Week1_downsized","NumTweets_Week2_downsized","NumDistinctTweets_Week2_downsized","NumDistinctUsers_Week2_downsized","NumPopularTweets_Week2_downsized","NumVerifiedTweets_Week2_downsized","NumTweets_Week1_outsourced","NumDistinctTweets_Week1_outsourced","NumDistinctUsers_Week1_outsourced","NumPopularTweets_Week1_outsourced","NumVerifiedTweets_Week1_outsourced","NumTweets_Week2_outsourced","NumDistinctTweets_Week2_outsourced","NumDistinctUsers_Week2_outsourced","NumPopularTweets_Week2_outsourced","NumVerifiedTweets_Week2_outsourced","NumTweets_Week1_pinkslip","NumDistinctTweets_Week1_pinkslip","NumDistinctUsers_Week1_pinkslip","NumPopularTweets_Week1_pinkslip","NumVerifiedTweets_Week1_pinkslip","NumTweets_Week2_pinkslip","NumDistinctTweets_Week2_pinkslip","NumDistinctUsers_Week2_pinkslip","NumPopularTweets_Week2_pinkslip","NumVerifiedTweets_Week2_pinkslip","NumTweets_Week1_lostjob","NumDistinctTweets_Week1_lostjob","NumDistinctUsers_Week1_lostjob","NumPopularTweets_Week1_lostjob","NumVerifiedTweets_Week1_lostjob","NumTweets_Week2_lostjob","NumDistinctTweets_Week2_lostjob","NumDistinctUsers_Week2_lostjob","NumPopularTweets_Week2_lostjob","NumVerifiedTweets_Week2_lostjob","NumTweets_Week1_fired","NumDistinctTweets_Week1_fired","NumDistinctUsers_Week1_fired","NumPopularTweets_Week1_fired","NumVerifiedTweets_Week1_fired","NumTweets_Week2_fired","NumDistinctTweets_Week2_fired","NumDistinctUsers_Week2_fired","NumPopularTweets_Week2_fired","NumVerifiedTweets_Week2_fired","NumTweets_Week1_beenfired","NumDistinctTweets_Week1_beenfired","NumDistinctUsers_Week1_beenfired","NumPopularTweets_Week1_beenfired","NumVerifiedTweets_Week1_beenfired","NumTweets_Week2_beenfired","NumDistinctTweets_Week2_beenfired","NumDistinctUsers_Week2_beenfired","NumPopularTweets_Week2_beenfired","NumVerifiedTweets_Week2_beenfired","NumTweets_Week1_laidoff","NumDistinctTweets_Week1_laidoff","NumDistinctUsers_Week1_laidoff","NumPopularTweets_Week1_laidoff","NumVerifiedTweets_Week1_laidoff","NumTweets_Week2_laidoff","NumDistinctTweets_Week2_laidoff","NumDistinctUsers_Week2_laidoff","NumPopularTweets_Week2_laidoff","NumVerifiedTweets_Week2_laidoff","NumTweets_Week1_unemployment","NumDistinctTweets_Week1_unemployment","NumDistinctUsers_Week1_unemployment","NumPopularTweets_Week1_unemployment","NumVerifiedTweets_Week1_unemployment","NumTweets_Week2_unemployment","NumDistinctTweets_Week2_unemployment","NumDistinctUsers_Week2_unemployment","NumPopularTweets_Week2_unemployment","NumVerifiedTweets_Week2_unemployment"
"2011-01-07",1973,1879,1794,62,1,373,354,328,8,0,4788,4262,4026,140,262,867,828,786,20,0,510,495,476,11,0,165,161,161,3,0,1468,1399,1327,41,0,220,217,203,2,0,865,734,679,45,9,109,109,106,0,0,2808,2597,2524,73,40,404,388,380,13,0,9329,8773,8579,225,78,2232,2017,1961,72,44,6925,6239,6035,264,-19,1450,1235,1211,53,64,5677,5381,5204,196,54,1826,1699,1659,35,2,33199,29389,26446,1314,860,3019,2838,2624,100,1
"2011-01-14",-34,-37,0,-1,14,1973,1879,1794,62,1,2174,2463,151,-8,-256,4788,4262,4026,140,262,-72,-68,-97,-3,1,510,495,476,11,0,3,25,19,-4,2,1468,1399,1327,41,0,431,489,475,-18,-7,865,734,679,45,9,23,-11,23,-1,-39,2808,2597,2524,73,40,-798,-732,-712,-46,79,9329,8773,8579,225,78,-1481,-1918,-1832,-117,864,6925,6239,6035,264,-19,3484,3191,3162,60,118,5677,5381,5204,196,54,-8239,-6949,-6270,-441,-353,33199,29389,26446,1314,860
"2011-01-21",232,8,-18,29,-15,-34,-37,0,-1,14,-621,-646,-121,-5,6,2174,2463,151,-8,-256,-82,-87,-48,3,-1,-72,-68,-97,-3,1,2024,1915,1787,52,9,3,25,19,-4,2,-687,-644,-607,-10,-2,431,489,475,-18,-7,-725,-635,-639,-25,0,23,-11,23,-1,-39,-666,-586,-642,17,-179,-798,-732,-712,-46,79,-1203,-394,-457,18,-775,-1481,-1918,-1832,-117,864,-4281,-3962,-3862,-95,-65,3484,3191,3162,60,118,-1550,-1507,-1044,54,-397,-8239,-6949,-6270,-441,-353
"2011-01-28",-627,-467,-408,-24,49,232,8,-18,29,-15,-1067,-1235,153,15,102,-621,-646,-121,-5,6,306,316,301,-6,0,-82,-87,-48,3,-1,-351,-381,-399,-26,75,2024,1915,1787,52,9,-200,-179,-165,-9,1,-687,-644,-607,-10,-2,365,385,314,22,16,-725,-635,-639,-25,0,1105,794,815,22,222,-666,-586,-642,17,-179,2119,852,840,66,712,-1203,-394,-457,18,-775,188,160,172,-9,11,-4281,-3962,-3862,-95,-65,3729,2642,2543,146,60,-1550,-1507,-1044,54,-397
"2011-02-04",97,90,76,1,-29,-627,-467,-408,-24,49,496,287,627,10,-100,-1067,-1235,153,15,102,-294,-331,-317,0,0,306,316,301,-6,0,242,280,279,25,-84,-351,-381,-399,-26,75,79,72,73,7,-1,-200,-179,-165,-9,1,654,591,245,-11,36,365,385,314,22,16,-744,-1011,-987,-37,-14,1105,794,815,22,222,-1285,-427,-410,33,-838,2119,852,840,66,712,510,547,511,16,-111,188,160,172,-9,11,9472,8401,7217,347,617,3729,2642,2543,146,60
"2011-02-11",1679,1656,1583,40,-18,97,90,76,1,-29,51,70,186,-7,61,496,287,627,10,-100,-93,-59,-65,-1,0,-294,-331,-317,0,0,347,343,348,10,-2,242,280,279,25,-84,199,178,167,5,12,79,72,73,7,-1,1165,125,320,30,883,654,591,245,-11,36,1532,1804,1566,90,-58,-744,-1011,-987,-37,-14,1684,1425,1277,30,102,-1285,-427,-410,33,-838,2629,2473,1589,49,80,510,547,511,16,-111,1804,3057,2498,93,-428,9472,8401,7217,347,617
"2011-02-18",-977,-935,-897,-18,4,1679,1656,1583,40,-18,-1104,-737,-683,-23,-1,51,70,186,-7,61,65,69,60,-1,0,-93,-59,-65,-1,0,-622,-617,-585,-18,1,347,343,348,10,-2,103,88,5,8,-6,199,178,167,5,12,-1727,-657,-520,-6,-905,1165,125,320,30,883,-1533,-1869,-1661,-81,505,1532,1804,1566,90,-58,-2258,-1910,-1706,-62,-57,1684,1425,1277,30,102,-1190,-1162,-485,-15,-70,2629,2473,1589,49,80,-3447,-4600,-4252,38,685,1804,3057,2498,93,-428
"2011-02-25",-1,-32,-51,0,0,-977,-935,-897,-18,4,-1222,-1175,-1125,-17,-66,-1104,-737,-683,-23,-1,-144,-149,-131,3,0,65,69,60,-1,0,-136,-165,-205,5,11,-622,-617,-585,-18,1,628,595,656,26,0,103,88,5,8,-6,-440,-380,-334,-36,-23,-1727,-657,-520,-6,-905,-1369,-1346,-1273,-25,-663,-1533,-1869,-1661,-81,505,531,156,148,-19,508,-2258,-1910,-1706,-62,-57,852,370,497,152,81,-1190,-1162,-485,-15,-70,-13617,-11897,-10783,-614,-745,-3447,-4600,-4252,38,685
"2011-03-04",-2047,-2057,-1963,-67,1,-1,-32,-51,0,0,-2840,-2783,-2699,-70,12,-1222,-1175,-1125,-17,-66,-226,-221,-217,-7,0,-144,-149,-131,3,0,-2312,-2174,-1983,-70,-12,-136,-165,-205,5,11,-1209,-1154,-1115,-31,-3,628,595,656,26,0,-1459,-1535,-1465,-24,37,-440,-380,-334,-36,-23,-6146,-5272,-5123,-135,151,-1369,-1346,-1273,-25,-663,-4298,-3455,-3333,-182,-473,531,156,148,-19,508,-5614,-5486,-5307,-205,147,852,370,497,152,81,-11167,-13076,-11319,-434,224,-13617,-11897,-10783,-614,-745
"2011-03-11",-370,-333,-319,-16,-7,-2047,-2057,-1963,-67,1,-1148,-1107,-1074,-33,71,-2840,-2783,-2699,-70,12,-120,-112,-109,-1,0,-226,-221,-217,-7,0,-774,-750,-701,-8,0,-2312,-2174,-1983,-70,-12,-145,-162,-150,-16,-3,-1209,-1154,-1115,-31,-3,-832,-717,-699,-16,-42,-1459,-1535,-1465,-24,37,-514,-1950,-1903,-46,1330,-6146,-5272,-5123,-135,151,1218,-1472,-1444,-37,2228,-4298,-3455,-3333,-182,-473,-3053,-2687,-2617,-134,-137,-5614,-5486,-5307,-205,147,-8759,-6691,-6093,-398,-224,-11167,-13076,-11319,-434,224
