"WeekId","NumTweets_Week1_all","NumDistinctTweets_Week1_all","NumDistinctUsers_Week1_all","NumPopularTweets_Week1_all","NumVerifiedTweets_Week1_all","NumTweets_Week2_all","NumDistinctTweets_Week2_all","NumDistinctUsers_Week2_all","NumPopularTweets_Week2_all","NumVerifiedTweets_Week2_all","NumTweets_Week1_all_old","NumDistinctTweets_Week1_all_old","NumDistinctUsers_Week1_all_old","NumPopularTweets_Week1_all_old","NumVerifiedTweets_Week1_all_old","NumTweets_Week2_all_old","NumDistinctTweets_Week2_all_old","NumDistinctUsers_Week2_all_old","NumPopularTweets_Week2_all_old","NumVerifiedTweets_Week2_all_old","NumTweets_Week1_hashtags","NumDistinctTweets_Week1_hashtags","NumDistinctUsers_Week1_hashtags","NumPopularTweets_Week1_hashtags","NumVerifiedTweets_Week1_hashtags","NumTweets_Week2_hashtags","NumDistinctTweets_Week2_hashtags","NumDistinctUsers_Week2_hashtags","NumPopularTweets_Week2_hashtags","NumVerifiedTweets_Week2_hashtags","NumTweets_Week1_job_opening","NumDistinctTweets_Week1_job_opening","NumDistinctUsers_Week1_job_opening","NumPopularTweets_Week1_job_opening","NumVerifiedTweets_Week1_job_opening","NumTweets_Week2_job_opening","NumDistinctTweets_Week2_job_opening","NumDistinctUsers_Week2_job_opening","NumPopularTweets_Week2_job_opening","NumVerifiedTweets_Week2_job_opening","NumTweets_Week1_job_opportunity","NumDistinctTweets_Week1_job_opportunity","NumDistinctUsers_Week1_job_opportunity","NumPopularTweets_Week1_job_opportunity","NumVerifiedTweets_Week1_job_opportunity","NumTweets_Week2_job_opportunity","NumDistinctTweets_Week2_job_opportunity","NumDistinctUsers_Week2_job_opportunity","NumPopularTweets_Week2_job_opportunity","NumVerifiedTweets_Week2_job_opportunity","NumTweets_Week1_job_posting","NumDistinctTweets_Week1_job_posting","NumDistinctUsers_Week1_job_posting","NumPopularTweets_Week1_job_posting","NumVerifiedTweets_Week1_job_posting","NumTweets_Week2_job_posting","NumDistinctTweets_Week2_job_posting","NumDistinctUsers_Week2_job_posting","NumPopularTweets_Week2_job_posting","NumVerifiedTweets_Week2_job_posting","NumTweets_Week1_we_are_hiring","NumDistinctTweets_Week1_we_are_hiring","NumDistinctUsers_Week1_we_are_hiring","NumPopularTweets_Week1_we_are_hiring","NumVerifiedTweets_Week1_we_are_hiring","NumTweets_Week2_we_are_hiring","NumDistinctTweets_Week2_we_are_hiring","NumDistinctUsers_Week2_we_are_hiring","NumPopularTweets_Week2_we_are_hiring","NumVerifiedTweets_Week2_we_are_hiring"
2010-12-31,28999,28825,12364,157,3,0,0,0,0,0,955,944,764,5,0,0,0,0,0,0,21951,21819,9853,118,2,0,0,0,0,0,231,224,186,5,0,0,0,0,0,0,216,212,156,3,0,0,0,0,0,0,260,260,214,0,0,0,0,0,0,0,68,66,65,2,0,0,0,0,0,0
2011-01-07,202713,200565,98165,1606,86,28999,28825,12364,157,3,9558,9069,7189,264,25,955,944,764,5,0,149893,148566,77674,1059,54,21951,21819,9853,118,2,2076,1997,1760,53,11,231,224,186,5,0,1871,1818,1574,33,4,216,212,156,3,0,1766,1727,1461,29,1,260,260,214,0,0,1808,1618,1097,81,40,68,66,65,2,0
2011-01-14,235309,232880,107034,1825,125,202713,200565,98165,1606,86,29078,28588,11103,274,36,9558,9069,7189,264,25,161379,159839,82347,1232,51,149893,148566,77674,1059,54,2032,1984,1778,39,2,2076,1997,1760,53,11,2100,2032,1789,45,11,1871,1818,1574,33,4,2096,2042,1733,43,0,1766,1727,1461,29,1,16053,15810,4410,109,0,1808,1618,1097,81,40
2011-01-21,212322,210035,93386,1756,132,235309,232880,107034,1825,125,31933,31438,10379,344,18,29078,28588,11103,274,36,141724,140339,71696,1117,93,161379,159839,82347,1232,51,1686,1606,1402,48,1,2032,1984,1778,39,2,1703,1635,1463,44,0,2100,2032,1789,45,11,1723,1667,1375,32,21,2096,2042,1733,43,0,18780,18550,4793,138,2,16053,15810,4410,109,0
2011-01-28,226053,223810,97660,1660,311,212322,210035,93386,1756,132,38988,38393,10408,260,36,31933,31438,10379,344,18,147663,145896,74940,1179,350,141724,140339,71696,1117,93,1691,1629,1432,46,0,1686,1606,1402,48,1,1639,1572,1389,46,3,1703,1635,1463,44,0,1779,1721,1448,24,1,1723,1667,1375,32,21,23804,23421,4590,109,5,18780,18550,4793,138,2
2011-02-04,235903,233458,108630,1839,377,226053,223810,97660,1660,311,12395,11937,7967,262,49,38988,38393,10408,260,36,174310,172479,86601,1291,383,147663,145896,74940,1179,350,2021,1934,1720,55,26,1691,1629,1432,46,0,1967,1901,1687,50,1,1639,1572,1389,46,3,2097,2038,1733,37,2,1779,1721,1448,24,1,3583,3430,1487,71,12,23804,23421,4590,109,5
2011-02-11,276679,273518,122149,2146,576,235903,233458,108630,1839,377,16462,15851,10933,318,25,12395,11937,7967,262,49,204668,202510,96196,1442,493,174310,172479,86601,1291,383,3394,3247,2796,83,10,2021,1934,1720,55,26,2615,2535,2181,53,2,1967,1901,1687,50,1,2300,2236,1867,43,3,2097,2038,1733,37,2,4655,4437,2461,104,6,3583,3430,1487,71,12
2011-02-18,198943,196179,100751,1561,514,276679,273518,122149,2146,576,11297,10642,9082,305,51,16462,15851,10933,318,25,237440,234926,110544,1727,512,204668,202510,96196,1442,493,3705,3439,2989,81,0,3394,3247,2796,83,10,2147,2098,1832,36,1,2615,2535,2181,53,2,2326,2261,1841,35,11,2300,2236,1867,43,3,1543,1390,1326,86,5,4655,4437,2461,104,6
2011-02-25,157345,155229,84555,1289,350,198943,196179,100751,1561,514,8961,8515,7105,236,7,11297,10642,9082,305,51,203723,201081,97545,1531,424,237440,234926,110544,1727,512,2688,2529,2208,67,4,3705,3439,2989,81,0,1635,1573,1396,40,1,2147,2098,1832,36,1,1847,1828,1398,10,0,2326,2261,1841,35,11,1293,1127,1104,78,2,1543,1390,1326,86,5
2011-03-04,48934,48003,28675,454,243,157345,155229,84555,1289,350,2736,2581,2193,79,5,8961,8515,7105,236,7,62754,61664,33204,531,301,203723,201081,97545,1531,424,709,688,574,16,0,2688,2529,2208,67,4,474,450,418,13,0,1635,1573,1396,40,1,651,638,529,8,0,1847,1828,1398,10,0,380,332,327,21,4,1293,1127,1104,78,2
