"WeekId","NumTweets_Week1_all","NumDistinctTweets_Week1_all","NumDistinctUsers_Week1_all","NumPopularTweets_Week1_all","NumVerifiedTweets_Week1_all","NumTweets_Week2_all","NumDistinctTweets_Week2_all","NumDistinctUsers_Week2_all","NumPopularTweets_Week2_all","NumVerifiedTweets_Week2_all","NumTweets_Week1_all_old","NumDistinctTweets_Week1_all_old","NumDistinctUsers_Week1_all_old","NumPopularTweets_Week1_all_old","NumVerifiedTweets_Week1_all_old","NumTweets_Week2_all_old","NumDistinctTweets_Week2_all_old","NumDistinctUsers_Week2_all_old","NumPopularTweets_Week2_all_old","NumVerifiedTweets_Week2_all_old","NumTweets_Week1_hashtags","NumDistinctTweets_Week1_hashtags","NumDistinctUsers_Week1_hashtags","NumPopularTweets_Week1_hashtags","NumVerifiedTweets_Week1_hashtags","NumTweets_Week2_hashtags","NumDistinctTweets_Week2_hashtags","NumDistinctUsers_Week2_hashtags","NumPopularTweets_Week2_hashtags","NumVerifiedTweets_Week2_hashtags","NumTweets_Week1_job_opening","NumDistinctTweets_Week1_job_opening","NumDistinctUsers_Week1_job_opening","NumPopularTweets_Week1_job_opening","NumVerifiedTweets_Week1_job_opening","NumTweets_Week2_job_opening","NumDistinctTweets_Week2_job_opening","NumDistinctUsers_Week2_job_opening","NumPopularTweets_Week2_job_opening","NumVerifiedTweets_Week2_job_opening","NumTweets_Week1_job_opportunity","NumDistinctTweets_Week1_job_opportunity","NumDistinctUsers_Week1_job_opportunity","NumPopularTweets_Week1_job_opportunity","NumVerifiedTweets_Week1_job_opportunity","NumTweets_Week2_job_opportunity","NumDistinctTweets_Week2_job_opportunity","NumDistinctUsers_Week2_job_opportunity","NumPopularTweets_Week2_job_opportunity","NumVerifiedTweets_Week2_job_opportunity","NumTweets_Week1_job_posting","NumDistinctTweets_Week1_job_posting","NumDistinctUsers_Week1_job_posting","NumPopularTweets_Week1_job_posting","NumVerifiedTweets_Week1_job_posting","NumTweets_Week2_job_posting","NumDistinctTweets_Week2_job_posting","NumDistinctUsers_Week2_job_posting","NumPopularTweets_Week2_job_posting","NumVerifiedTweets_Week2_job_posting","NumTweets_Week1_we_are_hiring","NumDistinctTweets_Week1_we_are_hiring","NumDistinctUsers_Week1_we_are_hiring","NumPopularTweets_Week1_we_are_hiring","NumVerifiedTweets_Week1_we_are_hiring","NumTweets_Week2_we_are_hiring","NumDistinctTweets_Week2_we_are_hiring","NumDistinctUsers_Week2_we_are_hiring","NumPopularTweets_Week2_we_are_hiring","NumVerifiedTweets_Week2_we_are_hiring"
"2011-01-07",173714,171740,85801,1449,83,28999,28825,12364,157,3,8603,8125,6425,259,25,955,944,764,5,0,127942,126747,67821,941,52,21951,21819,9853,118,2,1845,1773,1574,48,11,231,224,186,5,0,1655,1606,1418,30,4,216,212,156,3,0,1506,1467,1247,29,1,260,260,214,0,0,1740,1552,1032,79,40,68,66,65,2,0
"2011-01-14",32596,32315,8869,219,39,173714,171740,85801,1449,83,19520,19519,3914,10,11,8603,8125,6425,259,25,11486,11273,4673,173,-3,127942,126747,67821,941,52,-44,-13,18,-14,-9,1845,1773,1574,48,11,229,214,215,12,7,1655,1606,1418,30,4,330,315,272,14,-1,1506,1467,1247,29,1,14245,14192,3313,28,-40,1740,1552,1032,79,40
"2011-01-21",-22987,-22845,-13648,-69,7,32596,32315,8869,219,39,2855,2850,-724,70,-18,19520,19519,3914,10,11,-19655,-19500,-10651,-115,42,11486,11273,4673,173,-3,-346,-378,-376,9,-1,-44,-13,18,-14,-9,-397,-397,-326,-1,-11,229,214,215,12,7,-373,-375,-358,-11,21,330,315,272,14,-1,2727,2740,383,29,2,14245,14192,3313,28,-40
"2011-01-28",13731,13775,4274,-96,179,-22987,-22845,-13648,-69,7,7055,6955,29,-84,18,2855,2850,-724,70,-18,5939,5557,3244,62,257,-19655,-19500,-10651,-115,42,5,23,30,-2,-1,-346,-378,-376,9,-1,-64,-63,-74,2,3,-397,-397,-326,-1,-11,56,54,73,-8,-20,-373,-375,-358,-11,21,5024,4871,-203,-29,3,2727,2740,383,29,2
"2011-02-04",9850,9648,10970,179,66,13731,13775,4274,-96,179,-26593,-26456,-2441,2,13,7055,6955,29,-84,18,26647,26583,11661,112,33,5939,5557,3244,62,257,330,305,288,9,26,5,23,30,-2,-1,328,329,298,4,-2,-64,-63,-74,2,3,318,317,285,13,1,56,54,73,-8,-20,-20221,-19991,-3103,-38,7,5024,4871,-203,-29,3
"2011-02-11",40776,40060,13519,307,199,9850,9648,10970,179,66,4067,3914,2966,56,-24,-26593,-26456,-2441,2,13,30358,30031,9595,151,110,26647,26583,11661,112,33,1373,1313,1076,28,-16,330,305,288,9,26,648,634,494,3,1,328,329,298,4,-2,203,198,134,6,1,318,317,285,13,1,1072,1007,974,33,-6,-20221,-19991,-3103,-38,7
"2011-02-18",-77736,-77339,-21398,-585,-62,40776,40060,13519,307,199,-5165,-5209,-1851,-13,26,4067,3914,2966,56,-24,32772,32416,14348,285,19,30358,30031,9595,151,110,311,192,193,-2,-10,1373,1313,1076,28,-16,-468,-437,-349,-17,-1,648,634,494,3,1,26,25,-26,-8,8,203,198,134,6,1,-3112,-3047,-1135,-18,-1,1072,1007,974,33,-6
"2011-02-25",-41598,-40950,-16196,-272,-164,-77736,-77339,-21398,-585,-62,-2336,-2127,-1977,-69,-44,-5165,-5209,-1851,-13,26,-33717,-33845,-12999,-196,-88,32772,32416,14348,285,19,-1017,-910,-781,-14,4,311,192,193,-2,-10,-512,-525,-436,4,0,-468,-437,-349,-17,-1,-479,-433,-443,-25,-11,26,25,-26,-8,8,-250,-263,-222,-8,-3,-3112,-3047,-1135,-18,-1
"2011-03-04",-108411,-107226,-55880,-835,-107,-41598,-40950,-16196,-272,-164,-6225,-5934,-4912,-157,-2,-2336,-2127,-1977,-69,-44,-140969,-139417,-64341,-1000,-123,-33717,-33845,-12999,-196,-88,-1979,-1841,-1634,-51,-4,-1017,-910,-781,-14,4,-1161,-1123,-978,-27,-1,-512,-525,-436,4,0,-1196,-1190,-869,-2,0,-479,-433,-443,-25,-11,-913,-795,-777,-57,2,-250,-263,-222,-8,-3
"2011-03-11",-40503,-40019,-21908,-274,-178,-108411,-107226,-55880,-835,-107,-2231,-2167,-1788,-46,-5,-6225,-5934,-4912,-157,-2,-51889,-51536,-25005,-314,52,-140969,-139417,-64341,-1000,-123,-571,-576,-466,-11,2,-1979,-1841,-1634,-51,-4,-254,-361,-330,-9,0,-1161,-1123,-978,-27,-1,-558,-546,-440,-7,0,-1196,-1190,-869,-2,0,-291,-276,-271,-8,-4,-913,-795,-777,-57,2
