Date,Label,OneWeekBefore,TwoWeekBefore,OneWeekDelta,TwoWeekDelta
1/17/1997,32,323,347,-24,0
1/24/1997,-4,355,323,32,-24
1/31/1997,-26,351,355,-4,32
2/7/1997,-16,325,351,-26,-4
2/14/1997,0,309,325,-16,-26
2/21/1997,7,309,309,0,-16
2/28/1997,-6,316,309,7,0
3/7/1997,-3,310,316,-6,7
3/14/1997,5,307,310,-3,-6
3/21/1997,-2,312,307,5,-3
3/28/1997,4,310,312,-2,5
4/4/1997,0,314,310,4,-2
4/11/1997,18,314,314,0,4
4/18/1997,-8,332,314,18,0
4/25/1997,23,324,332,-8,18
5/2/1997,0,347,324,23,-8
5/9/1997,-28,347,347,0,23
5/16/1997,3,319,347,-28,0
5/23/1997,0,322,319,3,-28
5/30/1997,16,322,322,0,3
6/6/1997,1,338,322,16,0
6/13/1997,8,339,338,1,16
6/20/1997,-15,347,339,8,1
6/27/1997,5,332,347,-15,8
7/4/1997,40,337,332,5,-15
7/11/1997,-28,377,337,40,5
7/18/1997,-50,349,377,-28,40
7/25/1997,-22,299,349,-50,-28
8/1/1997,23,277,299,-22,-50
8/8/1997,16,300,277,23,-22
8/15/1997,21,316,300,16,23
8/22/1997,-10,337,316,21,16
8/29/1997,2,327,337,-10,21
9/5/1997,-11,329,327,2,-10
9/12/1997,-12,318,329,-11,2
9/19/1997,0,306,318,-12,-11
9/26/1997,2,306,306,0,-12
10/3/1997,-4,308,306,2,0
10/10/1997,2,304,308,-4,2
10/17/1997,9,306,304,2,-4
10/24/1997,-18,315,306,9,2
10/31/1997,18,297,315,-18,9
11/7/1997,-5,315,297,18,-18
11/14/1997,23,310,315,-5,18
11/21/1997,-30,333,310,23,-5
11/28/1997,0,303,333,-30,23
12/5/1997,8,303,303,0,-30
12/12/1997,8,311,303,8,0
12/19/1997,-12,319,311,8,8
12/26/1997,11,307,319,-12,8
1/2/1998,16,318,307,11,-12
1/9/1998,1,334,318,16,11
1/16/1998,-9,335,334,1,16
1/23/1998,-26,326,335,-9,1
1/30/1998,3,300,326,-26,-9
2/6/1998,0,303,300,3,-26
2/13/1998,-2,303,303,0,3
2/20/1998,19,301,303,-2,0
2/27/1998,-16,320,301,19,-2
3/6/1998,-6,304,320,-16,19
3/13/1998,10,298,304,-6,-16
3/20/1998,5,308,298,10,-6
3/27/1998,-4,313,308,5,10
4/3/1998,-1,309,313,-4,5
4/10/1998,-19,308,309,-1,-4
4/17/1998,28,289,308,-19,-1
4/24/1998,2,317,289,28,-19
5/1/1998,-11,319,317,2,28
5/8/1998,-1,308,319,-11,2
5/15/1998,6,307,308,-1,-11
5/22/1998,-1,313,307,6,-1
5/29/1998,27,312,313,-1,6
6/5/1998,-24,339,312,27,-1
6/12/1998,12,315,339,-24,27
6/19/1998,37,327,315,12,-24
6/26/1998,26,364,327,37,12
7/3/1998,2,390,364,26,37
7/10/1998,-56,392,390,2,26
7/17/1998,-21,336,392,-56,2
7/24/1998,-11,315,336,-21,-56
7/31/1998,3,304,315,-11,-21
8/7/1998,-6,307,304,3,-11
8/14/1998,0,301,307,-6,3
8/21/1998,-4,301,301,0,-6
8/28/1998,5,297,301,-4,0
9/4/1998,10,302,297,5,-4
9/11/1998,-13,312,302,10,5
9/18/1998,-7,299,312,-13,10
9/25/1998,-3,292,299,-7,-13
10/2/1998,11,289,292,-3,-7
10/9/1998,3,300,289,11,-3
10/16/1998,15,303,300,3,11
10/23/1998,-17,318,303,15,3
10/30/1998,11,301,318,-17,15
11/6/1998,9,312,301,11,-17
11/13/1998,11,321,312,9,11
11/20/1998,-32,332,321,11,9
11/27/1998,13,300,332,-32,11
12/4/1998,1,313,300,13,-32
12/11/1998,-18,314,313,1,13
12/18/1998,-9,296,314,-18,1
12/25/1998,81,287,296,-9,-18
1/1/1999,-18,368,287,81,-9
1/8/1999,2,350,368,-18,81
1/15/1999,-6,352,350,2,-18
1/22/1999,-45,346,352,-6,2
1/29/1999,-9,301,346,-45,-6
2/5/1999,-11,292,301,-9,-45
2/12/1999,7,281,292,-11,-9
2/19/1999,5,288,281,7,-11
2/26/1999,-7,293,288,5,7
3/5/1999,3,286,293,-7,5
3/12/1999,9,289,286,3,-7
3/19/1999,-9,298,289,9,3
3/26/1999,0,289,298,-9,9
4/2/1999,10,289,289,0,-9
4/9/1999,17,299,289,10,0
4/16/1999,-2,316,299,17,10
4/23/1999,-20,314,316,-2,17
4/30/1999,7,294,314,-20,-2
5/7/1999,2,301,294,7,-20
5/14/1999,-4,303,301,2,7
5/21/1999,1,299,303,-4,2
5/28/1999,5,300,299,1,-4
6/4/1999,18,305,300,5,1
6/11/1999,-26,323,305,18,5
6/18/1999,5,297,323,-26,18
6/25/1999,-3,302,297,5,-26
7/2/1999,-5,299,302,-3,5
7/9/1999,16,294,299,-5,-3
7/16/1999,3,310,294,16,-5
7/23/1999,-38,313,310,3,16
7/30/1999,4,275,313,-38,3
8/6/1999,5,279,275,4,-38
8/13/1999,3,284,279,5,4
8/20/1999,-4,287,284,3,5
8/27/1999,6,283,287,-4,3
9/3/1999,-3,289,283,6,-4
9/10/1999,2,286,289,-3,6
9/17/1999,-16,288,286,2,-3
9/24/1999,27,272,288,-16,2
10/1/1999,13,299,272,27,-16
10/8/1999,-27,312,299,13,27
10/15/1999,13,285,312,-27,13
10/22/1999,-20,298,285,13,-27
10/29/1999,10,278,298,-20,13
11/5/1999,-3,288,278,10,-20
11/12/1999,2,285,288,-3,10
11/19/1999,-13,287,285,2,-3
11/26/1999,17,274,287,-13,2
12/3/1999,2,291,274,17,-13
12/10/1999,-27,293,291,2,17
12/17/1999,15,266,293,-27,2
12/24/1999,-7,281,266,15,-27
12/31/1999,35,274,281,-7,15
1/7/2000,0,309,274,35,-7
1/14/2000,-37,309,309,0,35
1/21/2000,-6,272,309,-37,0
1/28/2000,8,266,272,-6,-37
2/4/2000,27,274,266,8,-6
2/11/2000,-18,301,274,27,8
2/18/2000,-5,283,301,-18,27
2/25/2000,-3,278,283,-5,-18
3/3/2000,5,275,278,-3,-5
3/10/2000,-18,280,275,5,-3
3/17/2000,4,262,280,-18,5
3/24/2000,0,266,262,4,-18
3/31/2000,-6,266,266,0,4
4/7/2000,4,260,266,-6,0
4/14/2000,-7,264,260,4,-6
4/21/2000,26,257,264,-7,4
4/28/2000,20,283,257,26,-7
5/5/2000,-6,303,283,20,26
5/12/2000,-21,297,303,-6,20
5/19/2000,8,276,297,-21,-6
5/26/2000,2,284,276,8,-21
6/2/2000,23,286,284,2,8
6/9/2000,-13,309,286,23,2
6/16/2000,6,296,309,-13,23
6/23/2000,4,302,296,6,-13
6/30/2000,-10,306,302,4,6
7/7/2000,23,296,306,-10,4
7/14/2000,-8,319,296,23,-10
7/21/2000,-39,311,319,-8,23
7/28/2000,4,272,311,-39,-8
8/4/2000,17,276,272,4,-39
8/11/2000,20,293,276,17,4
8/18/2000,1,313,293,20,17
8/25/2000,4,314,313,1,20
9/1/2000,-2,318,314,4,1
9/8/2000,8,316,318,-2,4
9/15/2000,-16,324,316,8,-2
9/22/2000,-21,308,324,-16,8
9/29/2000,12,287,308,-21,-16
10/6/2000,7,299,287,12,-21
10/13/2000,1,306,299,7,12
10/20/2000,-2,307,306,1,7
10/27/2000,3,305,307,-2,1
11/3/2000,36,308,305,3,-2
11/10/2000,-18,344,308,36,3
11/17/2000,10,326,344,-18,36
11/24/2000,22,336,326,10,-18
12/1/2000,-6,358,336,22,10
12/8/2000,-32,352,358,-6,22
12/15/2000,34,320,352,-32,-6
12/22/2000,-21,354,320,34,-32
12/29/2000,42,333,354,-21,34
1/5/2001,-30,375,333,42,-21
1/12/2001,-39,345,375,-30,42
1/19/2001,10,306,345,-39,-30
1/26/2001,30,316,306,10,-39
2/2/2001,15,346,316,30,10
2/9/2001,-9,361,346,15,30
2/16/2001,-4,352,361,-9,15
2/23/2001,24,348,352,-4,-9
3/2/2001,-2,372,348,24,-4
3/9/2001,5,370,372,-2,24
3/16/2001,4,375,370,5,-2
3/23/2001,-17,379,375,4,5
3/30/2001,21,362,379,-17,4
4/6/2001,9,383,362,21,-17
4/13/2001,-7,392,383,9,21
4/20/2001,23,385,392,-7,9
4/27/2001,13,408,385,23,-7
5/4/2001,-37,421,408,13,23
5/11/2001,-4,384,421,-37,13
5/18/2001,27,380,384,-4,-37
5/25/2001,12,407,380,27,-4
6/1/2001,13,419,407,12,27
6/8/2001,-4,432,419,13,12
6/15/2001,-28,428,432,-4,13
6/22/2001,-12,400,428,-28,-4
6/29/2001,11,388,400,-12,-28
7/6/2001,46,399,388,11,-12
7/13/2001,-31,445,399,46,11
7/20/2001,-48,414,445,-31,46
7/27/2001,-20,366,414,-48,-31
8/3/2001,39,346,366,-20,-48
8/10/2001,-5,385,346,39,-20
8/17/2001,13,380,385,-5,39
8/24/2001,6,393,380,13,-5
8/31/2001,3,399,393,6,13
9/7/2001,29,402,399,3,6
9/14/2001,-44,431,402,29,3
9/21/2001,63,387,431,-44,29
9/28/2001,78,450,387,63,-44
10/5/2001,-60,528,450,78,63
10/12/2001,22,468,528,-60,78
10/19/2001,14,490,468,22,-60
10/26/2001,-5,504,490,14,22
11/2/2001,-49,499,504,-5,14
11/9/2001,-6,450,499,-49,-5
11/16/2001,-17,444,450,-6,-49
11/23/2001,61,427,444,-17,-6
11/30/2001,-13,488,427,61,-17
12/7/2001,-81,475,488,-13,61
12/14/2001,-10,394,475,-81,-13
12/21/2001,8,384,394,-10,-81
12/28/2001,55,392,384,8,-10
1/4/2002,-52,447,392,55,8
1/11/2002,-11,395,447,-52,55
1/18/2002,-8,384,395,-11,-52
1/25/2002,14,376,384,-8,-11
2/1/2002,-14,390,376,14,-8
2/8/2002,-3,376,390,-14,14
2/15/2002,10,373,376,-3,-14
2/22/2002,-5,383,373,10,-3
3/1/2002,-2,378,383,-5,10
3/8/2002,1,376,378,-2,-5
3/15/2002,-6,377,376,1,-2
3/22/2002,23,371,377,-6,1
3/29/2002,66,394,371,23,-6
4/5/2002,-22,460,394,66,23
4/12/2002,7,438,460,-22,66
4/19/2002,-24,445,438,7,-22
4/26/2002,-3,421,445,-24,7
5/3/2002,-7,418,421,-3,-24
5/10/2002,7,411,418,-7,-3
5/17/2002,-2,418,411,7,-7
5/24/2002,-6,416,418,-2,7
5/31/2002,-27,410,416,-6,-2
6/7/2002,7,383,410,-27,-6
6/14/2002,3,390,383,7,-27
6/21/2002,-5,393,390,3,7
6/28/2002,-6,388,393,-5,3
7/5/2002,21,382,388,-6,-5
7/12/2002,-24,403,382,21,-6
7/19/2002,-17,379,403,-24,21
