Date,Consensus,DeltaConsensus
3/21/1997,315,3
3/28/1997,312,2
4/4/1997,313,-1
4/11/1997,316,2
4/18/1997,329,-3
4/25/1997,328,4
5/2/1997,334,-13
5/9/1997,335,-12
5/16/1997,323,4
5/23/1997,321,-1
5/30/1997,322,0
6/6/1997,325,-13
6/13/1997,331,-8
6/20/1997,342,-5
6/27/1997,334,2
7/4/1997,340,3
7/11/1997,352,-25
7/18/1997,331,-18
7/25/1997,300,1
8/1/1997,308,31
8/8/1997,316,16
8/15/1997,329,13
8/22/1997,330,-7
8/29/1997,324,-3
9/5/1997,325,-4
9/12/1997,319,1
9/19/1997,311,5
9/26/1997,309,3
10/3/1997,311,3
10/10/1997,305,1
10/17/1997,306,0
10/24/1997,310,-5
10/31/1997,305,8
11/7/1997,309,-6
11/14/1997,312,2
11/21/1997,321,-12
11/28/1997,309,6
12/5/1997,311,8
12/12/1997,313,2
12/19/1997,316,-3
12/26/1997,312,5
1/2/1998,318,0
1/9/1998,320,-14
1/16/1998,330,-5
1/23/1998,325,-1
1/30/1998,313,13
2/6/1998,306,3
2/13/1998,303,0
2/20/1998,304,3
2/27/1998,315,-5
3/6/1998,307,3
3/13/1998,303,5
3/20/1998,308,0
3/27/1998,310,-3
4/3/1998,315,6
4/10/1998,307,-1
4/17/1998,307,18
4/24/1998,316,-1
5/1/1998,319,0
5/8/1998,307,-1
5/15/1998,309,2
5/22/1998,312,-1
5/29/1998,310,-2
6/5/1998,320,-19
6/12/1998,325,10
6/19/1998,352.5,25.5
6/26/1998,400,36
7/3/1998,415,25
7/10/1998,365,-27
7/17/1998,327,-9
7/24/1998,305,-10
7/31/1998,315,11
8/7/1998,310,3
8/14/1998,308,7
8/21/1998,301.5,0.5
8/28/1998,300,3
9/4/1998,305.5,3.5
9/11/1998,315,3
9/18/1998,305,6
9/25/1998,300,8
10/2/1998,299.5,10.5
10/9/1998,302,2
10/16/1998,305,2
10/23/1998,315,-3
10/30/1998,306.5,5.5
11/6/1998,315,3
11/13/1998,320,-1
11/20/1998,325,-7
11/27/1998,312.5,12.5
12/4/1998,315,2
12/11/1998,315,1
12/18/1998,306,10
12/25/1998,303.5,16.5
1/1/1999,323,-45
1/8/1999,335,-15
1/15/1999,340,-12
1/22/1999,336,-10
1/29/1999,310,9
2/5/1999,300,8
2/12/1999,290,9
2/19/1999,300,12
2/26/1999,295,2
3/5/1999,290,4
3/12/1999,294,5
3/19/1999,300,2
3/26/1999,291,2
4/2/1999,290,1
4/9/1999,295,-4
4/16/1999,305,-11
4/23/1999,310,-4
4/30/1999,295,1
5/7/1999,300,-1
5/14/1999,300,-3
5/21/1999,300,1
5/28/1999,297,-3
6/4/1999,305,0
6/11/1999,310,-13
6/18/1999,305,8
6/25/1999,305,3
7/2/1999,300,1
7/9/1999,308.5,14.5
7/16/1999,310,0
7/23/1999,310,-3
7/30/1999,295,20
8/6/1999,290,11
8/13/1999,290,6
8/20/1999,290,3
8/27/1999,290,7
9/3/1999,291,2
9/10/1999,290,4
9/17/1999,290,2
9/24/1999,300,28
10/1/1999,295,-4
10/8/1999,303,-9
10/15/1999,290,5
10/22/1999,295,-3
10/29/1999,287,9
11/5/1999,290,2
11/12/1999,290,5
11/19/1999,290,3
11/26/1999,285,11
12/3/1999,290,-1
12/10/1999,290,-3
12/17/1999,280,14
12/24/1999,285,4
12/31/1999,285,11
1/7/2000,300,-9
1/14/2000,295,-14
1/21/2000,276,4
1/28/2000,270,4
2/4/2000,275,1
2/11/2000,280,-21
2/18/2000,285,2
