Date,Label
1/3/1997,347
1/10/1997,323
1/17/1997,355
1/24/1997,351
1/31/1997,325
2/7/1997,309
2/14/1997,309
2/21/1997,316
2/28/1997,310
3/7/1997,307
3/14/1997,312
3/21/1997,310
3/28/1997,314
4/4/1997,314
4/11/1997,332
4/18/1997,324
4/25/1997,347
5/2/1997,347
5/9/1997,319
5/16/1997,322
5/23/1997,322
5/30/1997,338
6/6/1997,339
6/13/1997,347
6/20/1997,332
6/27/1997,337
7/4/1997,377
7/11/1997,349
7/18/1997,299
7/25/1997,277
8/1/1997,300
8/8/1997,316
8/15/1997,337
8/22/1997,327
8/29/1997,329
9/5/1997,318
9/12/1997,306
9/19/1997,306
9/26/1997,308
10/3/1997,304
10/10/1997,306
10/17/1997,315
10/24/1997,297
10/31/1997,315
11/7/1997,310
11/14/1997,333
11/21/1997,303
11/28/1997,303
12/5/1997,311
12/12/1997,319
12/19/1997,307
12/26/1997,318
1/2/1998,334
1/9/1998,335
1/16/1998,326
1/23/1998,300
1/30/1998,303
2/6/1998,303
2/13/1998,301
2/20/1998,320
2/27/1998,304
3/6/1998,298
3/13/1998,308
3/20/1998,313
3/27/1998,309
4/3/1998,308
4/10/1998,289
4/17/1998,317
4/24/1998,319
5/1/1998,308
5/8/1998,307
5/15/1998,313
5/22/1998,312
5/29/1998,339
6/5/1998,315
6/12/1998,327
6/19/1998,364
6/26/1998,390
7/3/1998,392
7/10/1998,336
7/17/1998,315
7/24/1998,304
7/31/1998,307
8/7/1998,301
8/14/1998,301
8/21/1998,297
8/28/1998,302
9/4/1998,312
9/11/1998,299
9/18/1998,292
9/25/1998,289
10/2/1998,300
10/9/1998,303
10/16/1998,318
10/23/1998,301
10/30/1998,312
11/6/1998,321
11/13/1998,332
11/20/1998,300
11/27/1998,313
12/4/1998,314
12/11/1998,296
12/18/1998,287
12/25/1998,368
1/1/1999,350
1/8/1999,352
1/15/1999,346
1/22/1999,301
1/29/1999,292
2/5/1999,281
2/12/1999,288
2/19/1999,293
2/26/1999,286
3/5/1999,289
3/12/1999,298
3/19/1999,289
3/26/1999,289
4/2/1999,299
4/9/1999,316
4/16/1999,314
4/23/1999,294
4/30/1999,301
5/7/1999,303
5/14/1999,299
5/21/1999,300
5/28/1999,305
6/4/1999,323
6/11/1999,297
6/18/1999,302
6/25/1999,299
7/2/1999,294
7/9/1999,310
7/16/1999,313
7/23/1999,275
7/30/1999,279
8/6/1999,284
8/13/1999,287
8/20/1999,283
8/27/1999,289
9/3/1999,286
9/10/1999,288
9/17/1999,272
9/24/1999,299
10/1/1999,312
10/8/1999,285
10/15/1999,298
10/22/1999,278
10/29/1999,288
11/5/1999,285
11/12/1999,287
11/19/1999,274
11/26/1999,291
12/3/1999,293
12/10/1999,266
12/17/1999,281
12/24/1999,274
12/31/1999,309
1/7/2000,309
1/14/2000,272
1/21/2000,266
1/28/2000,274
2/4/2000,301
2/11/2000,283
2/18/2000,278
2/25/2000,275
3/3/2000,280
3/10/2000,262
3/17/2000,266
3/24/2000,266
3/31/2000,260
4/7/2000,264
4/14/2000,257
4/21/2000,283
4/28/2000,303
5/5/2000,297
5/12/2000,276
5/19/2000,284
5/26/2000,286
6/2/2000,309
6/9/2000,296
6/16/2000,302
6/23/2000,306
6/30/2000,296
7/7/2000,319
7/14/2000,311
7/21/2000,272
7/28/2000,276
8/4/2000,293
8/11/2000,313
8/18/2000,314
8/25/2000,318
9/1/2000,316
9/8/2000,324
9/15/2000,308
9/22/2000,287
9/29/2000,299
10/6/2000,306
10/13/2000,307
10/20/2000,305
10/27/2000,308
11/3/2000,344
11/10/2000,326
11/17/2000,336
11/24/2000,358
12/1/2000,352
12/8/2000,320
12/15/2000,354
12/22/2000,333
12/29/2000,375
1/5/2001,345
1/12/2001,306
1/19/2001,316
1/26/2001,346
2/2/2001,361
2/9/2001,352
2/16/2001,348
2/23/2001,372
3/2/2001,370
3/9/2001,375
3/16/2001,379
3/23/2001,362
3/30/2001,383
4/6/2001,392
4/13/2001,385
4/20/2001,408
4/27/2001,421
5/4/2001,384
5/11/2001,380
5/18/2001,407
5/25/2001,419
6/1/2001,432
6/8/2001,428
6/15/2001,400
6/22/2001,388
6/29/2001,399
7/6/2001,445
7/13/2001,414
7/20/2001,366
7/27/2001,346
8/3/2001,385
8/10/2001,380
8/17/2001,393
8/24/2001,399
8/31/2001,402
9/7/2001,431
9/14/2001,387
9/21/2001,450
9/28/2001,528
10/5/2001,468
10/12/2001,490
10/19/2001,504
10/26/2001,499
11/2/2001,450
11/9/2001,444
11/16/2001,427
11/23/2001,488
11/30/2001,475
12/7/2001,394
12/14/2001,384
12/21/2001,392
12/28/2001,447
1/4/2002,395
1/11/2002,384
1/18/2002,376
1/25/2002,390
2/1/2002,376
2/8/2002,373
2/15/2002,383
2/22/2002,378
3/1/2002,376
3/8/2002,377
3/15/2002,371
3/22/2002,394
3/29/2002,460
4/5/2002,438
4/12/2002,445
4/19/2002,421
4/26/2002,418
5/3/2002,411
5/10/2002,418
5/17/2002,416
5/24/2002,410
5/31/2002,383
6/7/2002,390
6/14/2002,393
6/21/2002,388
6/28/2002,382
7/5/2002,403
7/12/2002,379
7/19/2002,362
7/26/2002,387
8/2/2002,376
8/9/2002,388
8/16/2002,389
8/23/2002,403
8/30/2002,403
9/6/2002,426
9/13/2002,424
9/20/2002,406
9/27/2002,417
10/4/2002,384
10/11/2002,411
10/18/2002,389
10/25/2002,410
11/1/2002,390
11/8/2002,388
11/15/2002,376
11/22/2002,364
11/29/2002,355
12/6/2002,441
12/13/2002,433
12/20/2002,378
12/27/2002,403
