"","Features","L1","medianL1","L2","medianL2","Win","DirectionalWin","WeightedWin","Prediction"
"1","PC1","13.1429240956678","12.5182487941815","16.0232549902189","12.5182860816612","17","20","-101.645267444042","-0.706492911986708"
"2","PC1+PC2","12.7837258156195","12.0008885934983","15.7908175817757","12.003839640823","17","20","-88.7141293623036","2.03095309586581"
"3","PC1+PC2+PC3","13.0459231757297","11.5577889939969","15.873282511578","11.573532773344","16","18","-98.1532343262707","2.41072218431477"
"4","PC1+PC2+PC3+PC4","12.6150899720068","10.4655032499147","15.6539297774925","10.4661101700547","16","18","-82.6432389922437","1.74165180600984"
"5","PC1+PC2+PC3+PC4+PC5","12.4790807696196","11.4671062149107","15.8549641618218","11.467295508273","18","20","-77.7469077063049","3.69454331802885"
"6","PC1+PC2+PC3+PC4+PC5+PC6","12.7172717400173","11.3884288815259","16.1858668624402","11.3888507858538","16","19","-86.3217826406211","3.89517181378038"
"7","PC1+PC2+PC3+PC4+PC5+PC6+PC7","12.4074297960842","11.1673553347274","15.7903841988713","11.1798420830852","17","20","-75.167472659032","-1.91445626392234"
"8","PC1+PC2+PC3+PC4+PC5+PC6+PC7+PC8","14.8795116076241","12.4363260339106","19.8863773492855","12.4941310011365","13","18","-164.162417874467","-7.37542900974747"
"9","PC1+PC2+PC3+PC4+PC5+PC6+PC7+PC8+PC9","15.7403693856968","13.6688702098899","20.7105507602415","13.694789149276","13","18","-195.153297885083","-6.30854608913072"
"10","PC1+PC2+PC3+PC4+PC5+PC6+PC7+PC8+PC9+PC10","16.770503859014","14.3367368339282","22.1920566465347","14.3438817052556","12","17","-232.238138924505","-4.2760324758011"
"11","PC1+PC2+PC3+PC4+PC5+PC6+PC7+PC8+PC9+PC10+PC11","15.7090541635915","14.6171193923651","20.0012510501666","14.6200797052388","11","15","-194.025949889296","-16.7926742812475"
"12","PC1+PC2+PC3+PC4+PC5+PC6+PC7+PC8+PC9+PC10+PC11+PC12","15.9214091427234","10.6111524039584","21.9745879410161","10.6153870325922","14","20","-201.670729138042","-9.89329445389145"
"13","PC1+PC2+PC3+PC4+PC5+PC6+PC7+PC8+PC9+PC10+PC11+PC12+PC13","16.1697463695268","10.4622822328919","21.532100714697","10.4623626065814","14","19","-210.610869302966","-8.96390179216469"
"14","PC1+PC2+PC3+PC4+PC5+PC6+PC7+PC8+PC9+PC10+PC11+PC12+PC13+PC14","16.2964884463","10.5535579045559","21.6830000310795","10.5545942877684","15","19","-215.173584066799","-8.68091062928502"
"15","PC1+PC2+PC3+PC4+PC5+PC6+PC7+PC8+PC9+PC10+PC11+PC12+PC13+PC14+PC15","16.3703915305531","10.644471991943","21.8576237640977","10.64515959472","14","19","-217.834095099913","-8.21713172115734"
"16","PC1+PC2+PC3+PC4+PC5+PC6+PC7+PC8+PC9+PC10+PC11+PC12+PC13+PC14+PC15+PC16","16.5262262967584","10.8293533951953","22.0185796881399","10.8298604322","12","18","-223.444146683302","-8.33306886758389"
"17","PC1+PC2+PC3+PC4+PC5+PC6+PC7+PC8+PC9+PC10+PC11+PC12+PC13+PC14+PC15+PC16+PC17","15.5792667639124","10.6114265806571","20.1335558610689","10.6813700926822","12","17","-189.353603500845","12.5194700436075"
"18","PC1+PC2+PC3+PC4+PC5+PC6+PC7+PC8+PC9+PC10+PC11+PC12+PC13+PC14+PC15+PC16+PC17+PC18","17.3644849369436","16.0562438117938","22.1873567397121","16.1173211443927","10","16","-253.621457729969","15.0452284715618"
"19","PC1+PC2+PC3+PC4+PC5+PC6+PC7+PC8+PC9+PC10+PC11+PC12+PC13+PC14+PC15+PC16+PC17+PC18+PC19","18.6384731093554","13.6954754246611","23.5137277507536","13.71987420094","7","12","-299.485031936796","3.36686527963182"
"20","PC1+PC2+PC3+PC4+PC5+PC6+PC7+PC8+PC9+PC10+PC11+PC12+PC13+PC14+PC15+PC16+PC17+PC18+PC19+PC20","19.1612604893927","14.5114800501319","24.1909302120771","14.6005718035626","7","12","-318.305377618138","3.21573896177375"
"21","PC1+PC2+PC3+PC4+PC5+PC6+PC7+PC8+PC9+PC10+PC11+PC12+PC13+PC14+PC15+PC16+PC17+PC18+PC19+PC20+PC21","19.5450984399222","14.9114070889722","24.3520548296048","14.9910952511732","8","13","-332.123543837199","-1.85813090577589"
"22","PC1+PC2+PC3+PC4+PC5+PC6+PC7+PC8+PC9+PC10+PC11+PC12+PC13+PC14+PC15+PC16+PC17+PC18+PC19+PC20+PC21+PC22","16.6448901079005","15.3008003816173","20.6464433714186","15.3072260655427","9","11","-227.716043884417","18.4030453143021"
"23","PC1+PC2+PC3+PC4+PC5+PC6+PC7+PC8+PC9+PC10+PC11+PC12+PC13+PC14+PC15+PC16+PC17+PC18+PC19+PC20+PC21+PC22+PC23","16.5431054333292","13.6860102171124","20.5434499999429","13.6888678117755","10","13","-224.051795599853","17.2595553642136"
"24","PC1+PC2+PC3+PC4+PC5+PC6+PC7+PC8+PC9+PC10+PC11+PC12+PC13+PC14+PC15+PC16+PC17+PC18+PC19+PC20+PC21+PC22+PC23+PC24","17.2560867038533","14.6084113021127","21.6172289185664","14.6097446788148","10","16","-249.71912133872","30.5592649469119"
"25","PC1+PC2+PC3+PC4+PC5+PC6+PC7+PC8+PC9+PC10+PC11+PC12+PC13+PC14+PC15+PC16+PC17+PC18+PC19+PC20+PC21+PC22+PC23+PC24+PC25","17.5039133005222","14.7769985412793","22.2399248968226","14.7777859938975","13","19","-258.640878818797","33.0442937068553"
"26","PC1+PC2+PC3+PC4+PC5+PC6+PC7+PC8+PC9+PC10+PC11+PC12+PC13+PC14+PC15+PC16+PC17+PC18+PC19+PC20+PC21+PC22+PC23+PC24+PC25+PC26","17.7907322478193","14.8753528601811","22.5736641537215","14.8753634923071","11","17","-268.966360921496","32.8987004842534"
"27","PC1+PC2+PC3+PC4+PC5+PC6+PC7+PC8+PC9+PC10+PC11+PC12+PC13+PC14+PC15+PC16+PC17+PC18+PC19+PC20+PC21+PC22+PC23+PC24+PC25+PC26+PC27","17.3614225338248","14.7053757520107","22.1462621650656","14.7053907663558","11","18","-253.511211217693","35.1384116365194"
"28","PC1+PC2+PC3+PC4+PC5+PC6+PC7+PC8+PC9+PC10+PC11+PC12+PC13+PC14+PC15+PC16+PC17+PC18+PC19+PC20+PC21+PC22+PC23+PC24+PC25+PC26+PC27+PC28","17.7854958998778","14.2891773427392","22.3590280559929","14.2924554989507","12","17","-268.777852395602","37.8049310100272"
"29","PC1+PC2+PC3+PC4+PC5+PC6+PC7+PC8+PC9+PC10+PC11+PC12+PC13+PC14+PC15+PC16+PC17+PC18+PC19+PC20+PC21+PC22+PC23+PC24+PC25+PC26+PC27+PC28+PC29","17.9293192162577","14.5587601082207","22.701493145987","14.5667686070392","11","16","-273.955491785277","37.3575188689543"
