Date	INJCJC Index px last	Date	INJCJCNS Index px last	Date	INJCJC Index bn survey median	Date	INJCJC Index actual release
1/6/1967	208	1/6/1967	346	3/21/1997	315	1/3/1997	347
1/13/1967	207	1/13/1967	334	3/28/1997	312	1/10/1997	323
1/20/1967	217	1/20/1967	277	4/4/1997	313	1/17/1997	355
1/27/1967	204	1/27/1967	252	4/11/1997	316	1/24/1997	351
2/3/1967	216	2/3/1967	274	4/18/1997	329	1/31/1997	325
2/10/1967	229	2/10/1967	276	4/25/1997	328	2/7/1997	309
2/17/1967	229	2/17/1967	247	5/2/1997	334	2/14/1997	309
2/24/1967	242	2/24/1967	248	5/9/1997	335	2/21/1997	316
3/3/1967	310	3/3/1967	326	5/16/1997	323	2/28/1997	310
3/10/1967	241	3/10/1967	240	5/23/1997	321	3/7/1997	307
3/17/1967	245	3/17/1967	225	5/30/1997	322	3/14/1997	312
3/24/1967	247	3/24/1967	215	6/6/1997	325	3/21/1997	310
3/31/1967	259	3/31/1967	223	6/13/1997	331	3/28/1997	314
4/7/1967	257	4/7/1967	251	6/20/1997	342	4/4/1997	314
4/14/1967	299	4/14/1967	289	6/27/1997	334	4/11/1997	332
4/21/1967	245	4/21/1967	218	7/4/1997	340	4/18/1997	324
4/28/1967	255	4/28/1967	216	7/11/1997	352	4/25/1997	347
5/5/1967	254	5/5/1967	221	7/18/1997	331	5/2/1997	347
5/12/1967	231	5/12/1967	188	7/25/1997	300	5/9/1997	319
5/19/1967	230	5/19/1967	177	8/1/1997	308	5/16/1997	322
5/26/1967	228	5/26/1967	170	8/8/1997	316	5/23/1997	322
6/2/1967	248	6/2/1967	175	8/15/1997	329	5/30/1997	338
6/9/1967	238	6/9/1967	188	8/22/1997	330	6/6/1997	339
6/16/1967	224	6/16/1967	176	8/29/1997	324	6/13/1997	347
6/23/1967	218	6/23/1967	178	9/5/1997	325	6/20/1997	332
6/30/1967	209	6/30/1967	206	9/12/1997	319	6/27/1997	337
7/7/1967	240	7/7/1967	322	9/19/1997	311	7/4/1997	377
7/14/1967	241	7/14/1967	309	9/26/1997	309	7/11/1997	349
7/21/1967	240	7/21/1967	282	10/3/1997	311	7/18/1997	299
7/28/1967	209	7/28/1967	243	10/10/1997	305	7/25/1997	277
8/4/1967	221	8/4/1967	250	10/17/1997	306	8/1/1997	300
8/11/1967	202	8/11/1967	193	10/24/1997	310	8/8/1997	316
8/18/1967	215	8/18/1967	174	10/31/1997	305	8/15/1997	337
8/25/1967	213	8/25/1967	160	11/7/1997	309	8/22/1997	327
9/1/1967	218	9/1/1967	163	11/14/1997	312	8/29/1997	329
9/8/1967	231	9/8/1967	156	11/21/1997	321	9/5/1997	318
9/15/1967	220	9/15/1967	165	11/28/1997	309	9/12/1997	306
9/22/1967	209	9/22/1967	155	12/5/1997	311	9/19/1997	306
9/29/1967	204	9/29/1967	154	12/12/1997	313	9/26/1997	308
10/6/1967	231	10/6/1967	195	12/19/1997	316	10/3/1997	304
10/13/1967	206	10/13/1967	159	12/26/1997	312	10/10/1997	306
10/20/1967	223	10/20/1967	181	1/2/1998	318	10/17/1997	315
10/27/1967	207	10/27/1967	174	1/9/1998	320	10/24/1997	297
11/3/1967	222	11/3/1967	204	1/16/1998	330	10/31/1997	315
11/10/1967	214	11/10/1967	201	1/23/1998	325	11/7/1997	310
11/17/1967	198	11/17/1967	209	1/30/1998	313	11/14/1997	333
11/24/1967	191	11/24/1967	200	2/6/1998	306	11/21/1997	303
12/1/1967	196	12/1/1967	228	2/13/1998	303	11/28/1997	303
12/8/1967	221	12/8/1967	258	2/20/1998	304	12/5/1997	311
12/15/1967	204	12/15/1967	241	2/27/1998	315	12/12/1997	319
12/22/1967	219	12/22/1967	289	3/6/1998	307	12/19/1997	307
12/29/1967	216	12/29/1967	332	3/13/1998	303	12/26/1997	318
1/5/1968	222	1/5/1968	357	3/20/1998	308	1/2/1998	334
1/12/1968	222	1/12/1968	373	3/27/1998	310	1/9/1998	335
1/19/1968	221	1/19/1968	293	4/3/1998	315	1/16/1998	326
1/26/1968	198	1/26/1968	242	4/10/1998	307	1/23/1998	300
2/2/1968	244	2/2/1968	308	4/17/1998	307	1/30/1998	303
