candidate,MonthId,Label,NumTweets_Month1,NormalizedNumTweets_Month1,NumTweetsText_Month1,NormalizedNumTweetsText_Month1,NumTweetsTitle_Month1,NormalizedNumTweetsTitle_Month1,NumTweetsVerified_Month1,NormalizedNumTweetsVerified_Month1,NumTweets_Month2,NormalizedNumTweets_Month2,NumTweetsText_Month2,NormalizedNumTweetsText_Month2,NumTweetsTitle_Month2,NormalizedNumTweetsTitle_Month2,NumTweetsVerified_Month2,NormalizedNumTweetsVerified_Month2,NumTweets_Month3,NormalizedNumTweets_Month3,NumTweetsText_Month3,NormalizedNumTweetsText_Month3,NumTweetsTitle_Month3,NormalizedNumTweetsTitle_Month3,NumTweetsVerified_Month3,NormalizedNumTweetsVerified_Month3,NumTweets_Month4,NormalizedNumTweets_Month4,NumTweetsText_Month4,NormalizedNumTweetsText_Month4,NumTweetsTitle_Month4,NormalizedNumTweetsTitle_Month4,NumTweetsVerified_Month4,NormalizedNumTweetsVerified_Month4,NumTweets_Week1,NormalizedNumTweets_Week1,NumTweetsText_Week1,NormalizedNumTweetsText_Week1,NumTweetsTitle_Week1,NormalizedNumTweetsTitle_Week1,NumTweetsVerified_Week1,NormalizedNumTweetsVerified_Week1,NumTweets_Week2,NormalizedNumTweets_Week2,NumTweetsText_Week2,NormalizedNumTweetsText_Week2,NumTweetsTitle_Week2,NormalizedNumTweetsTitle_Week2,NumTweetsVerified_Week2,NormalizedNumTweetsVerified_Week2,NumTweets_Week3,NormalizedNumTweets_Week3,NumTweetsText_Week3,NormalizedNumTweetsText_Week3,NumTweetsTitle_Week3,NormalizedNumTweetsTitle_Week3,NumTweetsVerified_Week3,NormalizedNumTweetsVerified_Week3,NumTweets_Week4,NormalizedNumTweets_Week4,NumTweetsText_Week4,NormalizedNumTweetsText_Week4,NumTweetsTitle_Week4,NormalizedNumTweetsTitle_Week4,NumTweetsVerified_Week4,NormalizedNumTweetsVerified_Week4,OneMonthBefore,TwoMonthBefore,ThreeMonthBefore
job posting,201201,133188,788814,1.640075515,727147,1.511859565,61667,0.128215951,1458,0.003031425,152706,0.375454548,113723,0.279607989,38983,0.095846559,241,0.000592541,74575,0.204376101,56648,0.155246361,17927,0.04912974,563,0.001542927,89690,0.285742504,68199,0.217274535,21491,0.068467969,1452,0.004625913,390438,2.884505419,370120,2.734398664,20318,0.150106755,1108,0.008185761,84704,0.677480244,68116,0.544805963,16588,0.132674281,183,0.001463672,165899,1.330694388,149462,1.198851377,16437,0.131843011,146,0.001171082,192677,1.607906134,179741,1.499954102,12936,0.107952032,66,0.000550776,132828,132632,132468
job posting,201202,133414,800374,1.4367076,685009,1.229622197,115365,0.207085403,2737,0.004913039,772568,1.621672453,713071,1.496784228,59497,0.124888225,1243,0.002609141,152934,0.375091974,113977,0.279544496,38957,0.095547478,241,0.000591086,75222,0.206237405,57148,0.15668362,18074,0.049553786,588,0.001612129,226776,1.47977814,197995,1.291973899,28781,0.187804241,713,0.004652529,154614,1.0484793,121061,0.820947343,33553,0.227531957,411,0.002787102,259449,1.851646469,219966,1.569862544,39483,0.281783925,521,0.003718295,199497,1.457682725,176144,1.287047253,23353,0.170635472,1096,0.008008242,133188,132828,132632
job posting,201203,133657,984477,1.61308489,870903,1.426991662,113574,0.186093228,2274,0.003725994,790878,1.414606139,671191,1.200527653,119687,0.214078486,2805,0.005017171,788814,1.640075515,727147,1.511859565,61667,0.128215951,1458,0.003031425,152706,0.375454548,113723,0.279607989,38983,0.095846559,241,0.000592541,444622,2.759416368,410313,2.546487597,34309,0.212928771,708,0.004393995,428663,2.736892175,400749,2.558669169,27914,0.178223005,735,0.004692767,121543,0.776553196,99723,0.637142529,21820,0.139410667,374,0.002389532,91453,0.581987922,70684,0.449818314,20769,0.132169608,385,0.00245006,133414,133188,132828
job posting,201204,133753,2688185,3.887868458,2485525,3.594765334,202660,0.293103124,2370,0.003427684,984477,1.61308489,870903,1.426991662,113574,0.186093228,2274,0.003725994,790878,1.414606139,671191,1.200527653,119687,0.214078486,2805,0.005017171,788814,1.640075515,727147,1.511859565,61667,0.128215951,1458,0.003031425,193351,1.038304568,112820,0.605849059,80531,0.432455509,581,0.003119999,232160,1.254403596,164358,0.888056798,67802,0.366346798,802,0.004333355,390683,2.167186252,352004,1.952627141,38679,0.214559111,846,0.004692908,1869210,10.94487774,1846452,10.8116217,22758,0.133256043,302,0.001768316,133657,133414,133188
job posting,201205,133863,1371665,1.814722155,968662,1.281546436,403003,0.533175719,3182,0.004209808,2643050,3.78980257,2437394,3.494917631,205656,0.294884939,2164,0.003102905,1035623,1.693312252,926277,1.514524294,109346,0.178787958,2164,0.003538283,796146,1.42197622,670466,1.197502353,125680,0.224473867,2681,0.004788466,665190,3.375502375,617595,3.133981854,47595,0.241520521,630,0.003196931,620977,3.240060316,567621,2.961665693,53356,0.278394624,629,0.003281922,365154,1.867117313,128217,0.655603336,236937,1.211513977,1392,0.00711762,211240,1.077777097,136644,0.697177493,74596,0.380599604,621,0.003168432,133753,133657,133414
job posting,201206,133951,1049079,1.157046478,859055,0.947465884,190024,0.209580594,1596,0.001760255,1371665,1.814722155,968662,1.281546436,403003,0.533175719,3182,0.004209808,2643050,3.78980257,2437394,3.494917631,205656,0.294884939,2164,0.003102905,1035623,1.693312252,926277,1.514524294,109346,0.178787958,2164,0.003538283,141124,0.552242836,81350,0.318336744,59774,0.233906092,632,0.002473126,146045,0.598827316,100829,0.41342846,45216,0.185398856,269,0.001102979,222169,0.956396525,176900,0.761521838,45269,0.194874687,424,0.001825242,525992,2.499273014,485036,2.304668865,40956,0.194604149,182,0.000864781,133863,133753,133657
job posting,201207,134111,2674979,2.584188698,1465923,1.416168744,1209056,1.168019955,1834,0.001771753,1015813,1.115443278,828952,0.910255073,186861,0.205188205,1458,0.001601,1373155,1.818273907,968915,1.282996357,404240,0.53527755,3137,0.004153883,2599796,3.705709378,2391865,3.409327717,207931,0.296381661,2247,0.003202839,2159250,7.643876933,1098986,3.89047759,1060264,3.753399344,445,0.001575327,240657,0.845965916,180544,0.634654593,60113,0.211311323,709,0.002492302,234466,0.893533992,177791,0.677549418,56675,0.215984573,641,0.002442807,112219,0.452360989,63701,0.25678225,48518,0.195578739,398,0.00160436,133951,133863,133753
job posting,201208,134261,558699,0.474759603,412593,0.350604689,146106,0.124154914,3559,0.003024293,2688533,2.575558693,1475708,1.41369757,1212825,1.161861124,1910,0.00182974,1023050,1.114293961,836555,0.911165813,186495,0.203128148,1510,0.001644674,1357349,1.800713467,952923,1.264185761,404426,0.536527706,3049,0.004044925,119775,0.38639091,85103,0.274539976,34672,0.111850934,1067,0.003442113,118053,0.378257401,88419,0.283306152,29634,0.094951249,526,0.001685373,173538,0.57422034,151746,0.502112734,21792,0.072107606,1069,0.003537217,158256,0.53445906,107469,0.3629422,50787,0.171516861,787,0.002657841,134111,133951,133863
job posting,201209,134422,2920834,2.330529517,2677363,2.136264334,243471,0.194265183,5498,0.004386847,558699,0.474759603,412593,0.350604689,146106,0.124154914,3559,0.003024293,2688533,2.575558693,1475708,1.41369757,1212825,1.161861124,1910,0.00182974,1023050,1.114293961,836555,0.911165813,186495,0.203128148,1510,0.001644674,158832,0.46939638,93614,0.276657554,65218,0.192738825,709,0.002095308,260123,0.789893536,187657,0.569842157,72466,0.22005138,985,0.002991066,342896,1.051260669,273511,0.83853809,69385,0.212722579,2574,0.007891445,2202215,7.091086775,2147573,6.915140665,54642,0.17594611,1319,0.004247153,134261,134111,133951
job posting,201210,134647,1957734,1.427250631,1574630,1.147955576,383104,0.279295055,5953,0.004339927,2929337,2.330295044,2676208,2.12893028,253129,0.201364764,5564,0.004426176,550989,0.467990429,407057,0.345739716,143932,0.122250714,3506,0.002977872,2683197,2.561654193,1464411,1.398076466,1218786,1.163577728,2076,0.001981962,265046,0.709206308,208866,0.558880665,56180,0.150325643,1353,0.003620338,1376996,3.831737004,1260748,3.508256207,116248,0.323480797,3080,0.008570649,240141,0.689656064,88080,0.252955164,152061,0.436700899,1160,0.00333138,159604,0.464575547,92331,0.268757204,67273,0.195818343,1005,0.002925355,134422,134261,134111
