candidate,MonthId,NumTweets_Month1,NormalizedNumTweets_Month1,NumTweetsText_Month1,NormalizedNumTweetsText_Month1,NumTweetsTitle_Month1,NormalizedNumTweetsTitle_Month1,NumTweetsVerified_Month1,NormalizedNumTweetsVerified_Month1,NumTweets_Month2,NormalizedNumTweets_Month2,NumTweetsText_Month2,NormalizedNumTweetsText_Month2,NumTweetsTitle_Month2,NormalizedNumTweetsTitle_Month2,NumTweetsVerified_Month2,NormalizedNumTweetsVerified_Month2,NumTweets_Month3,NormalizedNumTweets_Month3,NumTweetsText_Month3,NormalizedNumTweetsText_Month3,NumTweetsTitle_Month3,NormalizedNumTweetsTitle_Month3,NumTweetsVerified_Month3,NormalizedNumTweetsVerified_Month3,NumTweets_Month4,NormalizedNumTweets_Month4,NumTweetsText_Month4,NormalizedNumTweetsText_Month4,NumTweetsTitle_Month4,NormalizedNumTweetsTitle_Month4,NumTweetsVerified_Month4,NormalizedNumTweetsVerified_Month4,NumTweets_Week1,NormalizedNumTweets_Week1,NumTweetsText_Week1,NormalizedNumTweetsText_Week1,NumTweetsTitle_Week1,NormalizedNumTweetsTitle_Week1,NumTweetsVerified_Week1,NormalizedNumTweetsVerified_Week1,NumTweets_Week2,NormalizedNumTweets_Week2,NumTweetsText_Week2,NormalizedNumTweetsText_Week2,NumTweetsTitle_Week2,NormalizedNumTweetsTitle_Week2,NumTweetsVerified_Week2,NormalizedNumTweetsVerified_Week2,NumTweets_Week3,NormalizedNumTweets_Week3,NumTweetsText_Week3,NormalizedNumTweetsText_Week3,NumTweetsTitle_Week3,NormalizedNumTweetsTitle_Week3,NumTweetsVerified_Week3,NormalizedNumTweetsVerified_Week3,NumTweets_Week4,NormalizedNumTweets_Week4,NumTweetsText_Week4,NormalizedNumTweetsText_Week4,NumTweetsTitle_Week4,NormalizedNumTweetsTitle_Week4,NumTweetsVerified_Week4,NormalizedNumTweetsVerified_Week4
job posting,201104,97669,0.000188573,60019,0.000115881,37650,7.27E-05,544,1.05E-06,32170,0.000161824,19557,9.84E-05,12613,6.34E-05,77,3.87E-07,243765,0.000262034,191702,0.000206069,52063,5.60E-05,479,5.15E-07,245697,0.000368902,215948,0.000324236,29749,4.47E-05,219,3.29E-07,25887,0.000179589,15015,0.000104165,10872,7.54E-05,28,1.94E-07,28951,0.000207011,18008,0.000128764,10943,7.82E-05,228,1.63E-06,24798,0.000147205,14880,8.83E-05,9918,5.89E-05,54,3.21E-07,24753,0.000190101,15628,0.000120022,9125,7.01E-05,169,1.30E-06
job posting,201105,68610,0.000205154,39699,0.000118706,28911,8.64E-05,181,5.41E-07,99209,0.000185065,60822,0.000113458,38387,7.16E-05,546,1.02E-06,27259,0.00016313,16486,9.87E-05,10773,6.45E-05,142,8.50E-07,205588,0.000223376,152578,0.00016578,53010,5.76E-05,486,5.28E-07,9826,0.000467955,6128,0.000291841,3698,0.000176114,25,1.19E-06,18207,0.000354539,10601,0.00020643,7606,0.000148109,32,6.23E-07,20554,0.000165967,12077,9.75E-05,8477,6.84E-05,24,1.94E-07,21522,0.000159436,12027,8.91E-05,9495,7.03E-05,103,7.63E-07
job posting,201106,45578,0.000947357,31262,0.000649793,14316,0.000297564,425,8.83E-06,68610,0.000205154,39699,0.000118706,28911,8.64E-05,181,5.41E-07,99209,0.000185065,60822,0.000113458,38387,7.16E-05,546,1.02E-06,27259,0.00016313,16486,9.87E-05,10773,6.45E-05,142,8.50E-07,16038,0.001412971,11627,0.001024355,4411,0.000388615,72,6.34E-06,11036,0.000839258,7468,0.000567921,3568,0.000271337,231,1.76E-05,16180,0.001296419,11069,0.000886902,5111,0.000409518,175,1.40E-05,4688,0.000372611,2959,0.000235187,1729,0.000137424,24,1.91E-06
job posting,201107,101268,0.002090391,70005,0.001445055,31263,0.000645336,471,9.72E-06,46613,0.000980163,32158,0.000676208,14455,0.000303955,439,9.23E-06,68381,0.000215185,39687,0.000124889,28694,9.03E-05,182,5.73E-07,103484,0.000186282,63204,0.000113774,40280,7.25E-05,482,8.68E-07,36732,0.003142653,24783,0.002120341,11949,0.001022312,97,8.30E-06,29558,0.002260829,19967,0.001527233,9591,0.000733595,184,1.41E-05,16771,0.001306534,11713,0.000912494,5058,0.00039404,116,9.04E-06,20019,0.001632156,14336,0.001168819,5683,0.000463337,60,4.89E-06
job posting,201108,132868,0.002409386,95188,0.001726109,37680,0.000683277,761,1.38E-05,104975,0.002163239,72331,0.001490538,32644,0.000672701,464,9.56E-06,46820,0.000989597,32306,0.000682826,14514,0.000306771,438,9.26E-06,65081,0.000216925,37818,0.000126053,27263,9.09E-05,178,5.93E-07,35379,0.002159584,26435,0.00161363,8944,0.000545954,123,7.51E-06,42112,0.002733281,30144,0.001956497,11968,0.000776783,366,2.38E-05,26999,0.002062862,19252,0.001470952,7747,0.000591911,172,1.31E-05,31753,0.002502904,22128,0.001744221,9625,0.000758683,192,1.51E-05
job posting,201109,125790,0.002084564,93981,0.001557432,31809,0.000527132,1048,1.74E-05,132868,0.002409386,95188,0.001726109,37680,0.000683277,761,1.38E-05,104975,0.002163239,72331,0.001490538,32644,0.000672701,464,9.56E-06,46820,0.000989597,32306,0.000682826,14514,0.000306771,438,9.26E-06,30605,0.001919899,23500,0.001474191,7105,0.000445708,394,2.47E-05,31330,0.001936617,23136,0.001430117,8194,0.0005065,381,2.36E-05,30738,0.002024579,22043,0.001451877,8695,0.000572702,177,1.17E-05,35709,0.002390659,27140,0.001816979,8569,0.000573681,166,1.11E-05
job posting,201110,90464,0.001307066,68474,0.000989344,21990,0.000317722,1428,2.06E-05,123260,0.002051896,91822,0.001528551,31438,0.000523345,1035,1.72E-05,131380,0.002359645,94575,0.00169861,36805,0.000661035,765,1.37E-05,110478,0.002268799,76157,0.001563976,34321,0.000704823,477,9.80E-06,25476,0.001265022,19411,0.000963862,6065,0.00030116,819,4.07E-05,24531,0.001342071,18224,0.00099702,6307,0.000345051,230,1.26E-05,17786,0.001001849,13437,0.000756879,4349,0.00024497,124,6.98E-06,27434,0.001648133,21280,0.001278423,6154,0.000369709,373,2.24E-05
job posting,201111,80627,0.000863656,61664,0.000660529,18963,0.000203127,604,6.47E-06,90464,0.001307066,68474,0.000989344,21990,0.000317722,1428,2.06E-05,123260,0.002051896,91822,0.001528551,31438,0.000523345,1035,1.72E-05,131380,0.002359645,94575,0.00169861,36805,0.000661035,765,1.37E-05,27203,0.000977345,21236,0.000762964,5967,0.000214381,137,4.92E-06,19930,0.000772406,14931,0.000578665,4999,0.000193741,39,1.51E-06,20110,0.000875732,15291,0.000665879,4819,0.000209853,351,1.53E-05,17266,0.000827473,12959,0.00062106,4307,0.000206413,81,3.88E-06
job posting,201112,152934,0.000597723,113977,0.000445465,38957,0.000152258,241,9.42E-07,75222,0.000797225,57148,0.000605671,18074,0.000191554,588,6.23E-06,89937,0.001282863,68183,0.000972563,21754,0.000310299,1450,2.07E-05,120276,0.002013039,89429,0.001496758,30847,0.000516281,1026,1.72E-05,36151,0.000388798,26687,0.000287014,9464,0.000101784,51,5.48E-07,51308,0.000615083,38034,0.000455954,13274,0.000159129,93,1.11E-06,48984,0.000741845,36026,0.000545601,12958,0.000196244,79,1.20E-06,20868,0.000656838,16157,0.000508556,4711,0.000148283,25,7.87E-07
job posting,201201,788814,0.002452201,727147,0.002260495,61667,0.000191705,1458,4.53E-06,152706,0.00058654,113723,0.000436807,38983,0.000149733,241,9.26E-07,74575,0.000780106,56648,0.000592577,17927,0.000187529,563,5.89E-06,89690,0.001263646,68199,0.000960859,21491,0.000302788,1452,2.05E-05,390438,0.004121769,370120,0.003907276,20318,0.000214493,1108,1.17E-05,84704,0.000953859,68116,0.00076706,16588,0.000186799,183,2.06E-06,165899,0.001979468,149462,0.001783346,16437,0.000196122,146,1.74E-06,192677,0.00271338,179741,0.002531209,12936,0.000182172,66,9.29E-07
