MonthId,NumTweets_Month1_Absolute,NumDistinctTweets_Month1_Absolute,NumDistinctUsers_Month1_Absolute,NumPopularTweets_Month1_Absolute,NumVerifiedTweets_Month1_Absolute,NumTweets_Month2_Absolute,NumDistinctTweets_Month2_Absolute,NumDistinctUsers_Month2_Absolute,NumPopularTweets_Month2_Absolute,NumVerifiedTweets_Month2_Absolute,NumTweets_Week1_Absolute,NumDistinctTweets_Week1_Absolute,NumDistinctUsers_Week1_Absolute,NumPopularTweets_Week1_Absolute,NumVerifiedTweets_Week1_Absolute,NumTweets_Week2_Absolute,NumDistinctTweets_Week2_Absolute,NumDistinctUsers_Week2_Absolute,NumPopularTweets_Week2_Absolute,NumVerifiedTweets_Week2_Absolute,NumTweets_Month1_Log,NumDistinctTweets_Month1_Log,NumDistinctUsers_Month1_Log,NumPopularTweets_Month1_Log,NumVerifiedTweets_Month1_Log,NumTweets_Month2_Log,NumDistinctTweets_Month2_Log,NumDistinctUsers_Month2_Log,NumPopularTweets_Month2_Log,NumVerifiedTweets_Month2_Log,NumTweets_Week1_Log,NumDistinctTweets_Week1_Log,NumDistinctUsers_Week1_Log,NumPopularTweets_Week1_Log,NumVerifiedTweets_Week1_Log,NumTweets_Week2_Log,NumDistinctTweets_Week2_Log,NumDistinctUsers_Week2_Log,NumPopularTweets_Week2_Log,NumVerifiedTweets_Week2_Log,NumTweets_Month1_Delta,NumDistinctTweets_Month1_Delta,NumDistinctUsers_Month1_Delta,NumPopularTweets_Month1_Delta,NumVerifiedTweets_Month1_Delta,NumTweets_Month2_Delta,NumDistinctTweets_Month2_Delta,NumDistinctUsers_Month2_Delta,NumPopularTweets_Month2_Delta,NumVerifiedTweets_Month2_Delta,NumTweets_Week1_Delta,NumDistinctTweets_Week1_Delta,NumDistinctUsers_Week1_Delta,NumPopularTweets_Week1_Delta,NumVerifiedTweets_Week1_Delta,NumTweets_Week2_Delta,NumDistinctTweets_Week2_Delta,NumDistinctUsers_Week2_Delta,NumPopularTweets_Week2_Delta,NumVerifiedTweets_Week2_Delta,NumTweets_Month1_LogDelta,NumDistinctTweets_Month1_LogDelta,NumDistinctUsers_Month1_LogDelta,NumPopularTweets_Month1_LogDelta,NumVerifiedTweets_Month1_LogDelta,NumTweets_Month2_LogDelta,NumDistinctTweets_Month2_LogDelta,NumDistinctUsers_Month2_LogDelta,NumPopularTweets_Month2_LogDelta,NumVerifiedTweets_Month2_LogDelta,NumTweets_Week1_LogDelta,NumDistinctTweets_Week1_LogDelta,NumDistinctUsers_Week1_LogDelta,NumPopularTweets_Week1_LogDelta,NumVerifiedTweets_Week1_LogDelta,NumTweets_Week2_LogDelta,NumDistinctTweets_Week2_LogDelta,NumDistinctUsers_Week2_LogDelta,NumPopularTweets_Week2_LogDelta,NumVerifiedTweets_Week2_LogDelta
201103,29222,27287,19995,822,76,231993,224397,97280,3714,456,387,219,216,41,7,1120,925,870,66,33,10.28267713,10.21416568,9.903237521,6.711740395,4.33073334,12.35446248,12.32117208,11.4853487,8.219864742,6.12249281,5.958424693,5.38907173,5.375278408,3.713572067,1.945910149,7.021083964,6.829793738,6.768493212,4.189654742,3.496507561,-223284,-217776,-76875,-2861,-377,33497,30208,32936,1200,238,-35358,-33384,-24622,-948,-81,-48229,-46161,-28499,-1034,-96,-2.156513161,-2.195104922,-1.577887631,-1.499742521,-1.785158785,0.15593825,0.144584893,0.413349729,0.390234353,0.737997747,-4.525740985,-5.033298898,-4.74485161,-3.183122265,-2.531426665,-3.785588817,-3.929937258,-3.519201764,-2.813410717,-1.363304843
201104,91223,86318,61483,2371,538,29222,27287,19995,822,76,24362,23781,17081,408,29,26412,24627,18263,764,224,11.42106234,11.36579343,11.02651599,7.771067086,6.28785856,10.28267713,10.21416568,9.903237521,6.711740395,4.33073334,10.10077982,10.07664222,9.745722014,6.011267174,3.36729583,10.18157373,10.11159868,9.812632434,6.638567789,5.411646052,62001,59031,41488,1549,462,-202771,-197110,-77285,-2892,-380,23975,23562,16865,367,22,25292,23702,17393,698,191,1.138385208,1.151627753,1.123278472,1.059326691,1.95712522,-2.071785349,-2.107006406,-1.582111176,-1.508124347,-1.791759469,4.142355127,4.687570492,4.370443606,2.297695108,1.421385681,3.160489767,3.281804944,3.044139223,2.448913047,1.91513849
201105,64019,61957,45291,1030,160,92597,87681,62441,2381,538,9248,8496,6959,285,26,16511,16010,12114,286,42,11.06693519,11.03419588,10.72086362,6.937314081,5.075173815,11.43601202,11.38146051,11.04197739,7.775275846,6.28785856,9.132162591,9.047350743,8.847791065,5.65248918,3.258096538,9.711782104,9.680968806,9.402117088,5.655991811,3.737669618,-27204,-24361,-16192,-1341,-378,63375,60394,42446,1559,462,-15114,-15285,-10122,-123,-3,-9901,-8617,-6149,-478,-182,-0.354127144,-0.331597555,-0.305652377,-0.833753005,-1.212684745,1.153334893,1.16729483,1.138739869,1.063535451,1.95712522,-0.968617229,-1.029291478,-0.897930949,-0.358777994,-0.109199292,-0.469791627,-0.430629875,-0.410515347,-0.982575978,-1.673976434
201106,43993,40023,32381,1380,370,64019,61957,45291,1030,160,15591,14483,11269,440,75,10644,9620,8027,360,183,10.69178581,10.59720957,10.38532711,7.229838778,5.913503006,11.06693519,11.03419588,10.72086362,6.937314081,5.075173815,9.654449104,9.580730827,9.329810872,6.086774727,4.317488114,9.272751632,9.171599544,8.990566138,5.886104031,5.209486153,-20026,-21934,-12910,350,210,-28578,-25724,-17150,-1351,-378,6343,5987,4310,155,49,-5867,-6390,-4087,74,141,-0.375149384,-0.436986307,-0.335536506,0.292524697,0.83832919,-0.369076829,-0.347264632,-0.321113774,-0.837961765,-1.212684745,0.522286513,0.533380083,0.482019807,0.434285547,1.059391576,-0.439030472,-0.509369262,-0.411550949,0.230112221,1.471816535
201107,99674,94177,69215,2374,427,44988,40998,33016,1382,385,35939,34399,24223,787,101,28739,26948,19274,638,135,11.50966014,11.45293127,11.14497288,7.772331575,6.056784013,10.71415107,10.62127856,10.40474757,7.231287004,5.953243334,10.48957834,10.44578277,10.09505787,6.668228248,4.615120517,10.26601036,10.20166436,9.866512316,6.458338283,4.905274778,55681,54154,36834,994,57,-19031,-20959,-12275,352,225,20348,19916,12954,347,26,18095,17328,11247,278,-48,0.81787433,0.855721702,0.759645771,0.542492797,0.143281008,-0.352784127,-0.412917311,-0.316116045,0.293972923,0.878069519,0.835129232,0.865051946,0.765247002,0.581453522,0.297632403,0.993258732,1.030064818,0.875946178,0.572234252,-0.304211374
201108,132300,126004,88041,3068,768,103150,97518,71408,2456,419,35439,33812,22523,825,126,41151,39373,27733,903,373,11.79282735,11.74406893,11.38555789,8.028781162,6.643789733,11.54393952,11.48779226,11.17616519,7.806289289,6.03787092,10.47556819,10.42857105,10.02229229,6.715383386,4.836281907,10.62500351,10.58083558,10.23037832,6.805722553,5.92157842,32626,31827,18826,694,341,58162,56520,38392,1074,34,-500,-587,-1700,38,25,12412,12425,8459,265,238,0.283167211,0.291137662,0.240585013,0.256449587,0.58700572,0.829788452,0.866513691,0.771417615,0.575002285,0.084627586,-0.014010148,-0.017211725,-0.072765586,0.047155138,0.22116139,0.358993143,0.379171219,0.363866002,0.34738427,1.016303641
201109,125126,117953,81633,2966,1058,132300,126004,88041,3068,768,30078,27811,20267,768,395,30779,29001,21071,723,387,11.73707651,11.67804152,11.30998887,7.994969523,6.964135612,11.79282735,11.74406893,11.38555789,8.028781162,6.643789733,10.31154929,10.2331869,9.916749227,6.643789733,5.978885765,10.33458792,10.27508559,9.955652967,6.583409222,5.958424693,-7174,-8051,-6408,-102,290,29150,28486,16633,612,349,-5361,-6001,-2256,-57,269,-10372,-10372,-6662,-180,14,-0.055750842,-0.066027412,-0.075569023,-0.03381164,0.320345879,0.248887832,0.256276676,0.209392707,0.222491873,0.605918813,-0.164018901,-0.195384143,-0.105543062,-0.071593653,1.142603858,-0.290415589,-0.30574999,-0.274725352,-0.222313331,0.036846273
201110,88383,82231,62617,2438,1359,121990,115039,79618,2860,1045,24640,22476,16979,720,731,23518,21790,16973,707,243,11.38943492,11.31728764,11.04479209,7.79893331,7.214504414,11.71169435,11.65302648,11.28499548,7.958576904,6.951772164,10.11212642,10.02020335,9.739732565,6.579251212,6.59441346,10.06552136,9.989206428,9.739379125,6.561030666,5.493061443,-36743,-35722,-19016,-528,301,-10310,-10965,-8423,-208,277,-5438,-5335,-3288,-48,336,-7261,-7211,-4098,-16,-144,-0.347641586,-0.36075388,-0.265196785,-0.196036213,0.250368802,-0.081132997,-0.091042451,-0.100562417,-0.070204259,0.307982431,-0.199422869,-0.212983553,-0.177016661,-0.064538521,0.615527695,-0.269066554,-0.285879163,-0.216273841,-0.022378556,-0.46536325
201111,79332,73548,54914,2340,590,88383,82231,62617,2438,1359,27263,25333,17603,778,52,19188,17882,13678,535,38,11.28139686,11.20569353,10.9135236,7.757906208,6.380122537,11.38943492,11.31728764,11.04479209,7.79893331,7.214504414,10.21328575,10.13986317,9.775824621,6.656726524,3.951243719,9.862040363,9.791549899,9.523543982,6.282266747,3.63758616,-9051,-8683,-7703,-98,-769,-33607,-32808,-17001,-422,314,2623,2857,624,58,-679,-4330,-3908,-3295,-172,-205,-0.108038065,-0.111594106,-0.131268482,-0.041027102,-0.834381877,-0.322259431,-0.335738841,-0.240203391,-0.159643594,0.26273225,0.101159333,0.11965982,0.036092056,0.077475312,-2.643169741,-0.203481002,-0.197656529,-0.215835144,-0.278763919,-1.855475284
201112,150656,142383,97925,4102,230,74024,68469,51730,2228,504,35139,33274,22749,992,54,49447,47084,32043,1278,89,11.92275437,11.86627589,11.49195716,8.319229939,5.438079309,11.21214464,11.13413637,10.85379316,7.708859601,6.222576268,10.4670669,10.41253159,10.03227647,6.899723107,3.988984047,10.80865667,10.75968852,10.37483403,7.153051635,4.48863637,71324,68835,43011,1762,-360,-14359,-13762,-10887,-210,-855,7876,7941,5146,214,2,30259,29202,18365,743,51,0.641357514,0.660582356,0.578433554,0.56132373,-0.942043228,-0.177290279,-0.183151272,-0.190998923,-0.090073709,-0.991928146,0.253781153,0.272668418,0.256451846,0.242996583,0.037740328,0.946616305,0.96813862,0.851290048,0.870784888,0.85105021
