MonthId_Delta,NumTweets_Month1_Delta,NumDistinctTweets_Month1_Delta,NumDistinctUsers_Month1_Delta,NumPopularTweets_Month1_Delta,NumVerifiedTweets_Month1_Delta,NumTweets_Month2_Delta,NumDistinctTweets_Month2_Delta,NumDistinctUsers_Month2_Delta,NumPopularTweets_Month2_Delta,NumVerifiedTweets_Month2_Delta,NumTweets_Week1_Delta,NumDistinctTweets_Week1_Delta,NumDistinctUsers_Week1_Delta,NumPopularTweets_Week1_Delta,NumVerifiedTweets_Week1_Delta,NumTweets_Week2_Delta,NumDistinctTweets_Week2_Delta,NumDistinctUsers_Week2_Delta,NumPopularTweets_Week2_Delta,NumVerifiedTweets_Week2_Delta
201103,-223284,-217776,-76875,-2861,-377,33497,30208,32936,1200,238,-35358,-33384,-24622,-948,-81,-48229,-46161,-28499,-1034,-96
201104,62001,59031,41488,1549,462,-202771,-197110,-77285,-2892,-380,23975,23562,16865,367,22,25292,23702,17393,698,191
201105,-27204,-24361,-16192,-1341,-378,63375,60394,42446,1559,462,-15114,-15285,-10122,-123,-3,-9901,-8617,-6149,-478,-182
201106,-20026,-21934,-12910,350,210,-28578,-25724,-17150,-1351,-378,6343,5987,4310,155,49,-5867,-6390,-4087,74,141
201107,55681,54154,36834,994,57,-19031,-20959,-12275,352,225,20348,19916,12954,347,26,18095,17328,11247,278,-48
201108,32626,31827,18826,694,341,58162,56520,38392,1074,34,-500,-587,-1700,38,25,12412,12425,8459,265,238
201109,-7174,-8051,-6408,-102,290,29150,28486,16633,612,349,-5361,-6001,-2256,-57,269,-10372,-10372,-6662,-180,14
201110,-36743,-35722,-19016,-528,301,-10310,-10965,-8423,-208,277,-5438,-5335,-3288,-48,336,-7261,-7211,-4098,-16,-144
201111,-9051,-8683,-7703,-98,-769,-33607,-32808,-17001,-422,314,2623,2857,624,58,-679,-4330,-3908,-3295,-172,-205
201112,71324,68835,43011,1762,-360,-14359,-13762,-10887,-210,-855,7876,7941,5146,214,2,30259,29202,18365,743,51
201201,632632,555353,84671,7156,1138,76150,73518,45986,1833,-274,353505,278111,37876,5617,961,33340,32290,15352,493,101
201202,-17216,-214669,10978,15846,1038,616333,547552,78936,6068,921,-168011,-233183,-10877,1002,-231,58979,26570,309,4619,220
201203,261453,312888,1822,-2590,652,-8945,-217318,16328,17132,1322,220989,297870,6314,-1414,-106,284775,278039,8413,-115,265
201204,1661972,-308797,-18057,2381,-697,269963,323734,2416,-2747,585,-251370,-281885,-7474,1209,-172,-202671,-289660,-9769,487,49
201205,-1294222,-31054,15028,1812,506,1615846,-333695,-16162,3043,-903,501993,23948,1916,521,131,387522,-5096,654,672,-150
201206,-357401,-147171,-17414,-4684,-1383,-1248096,-6156,13133,1150,712,-557265,-41584,-7611,-2430,-152,-470685,-11342,-2860,-1677,-301
201207,633752,8428,12132,818,234,-389760,-156370,-22926,-5928,-1516,1013072,1011,3455,2162,-73,87328,5243,5166,1393,396
201208,-1096745,-10129,-1457,4560,1820,677432,25826,23888,2743,441,-1024363,-10596,-4093,44,636,-107191,-15489,-7878,240,-112
201209,2351881,32654,343,3907,752,-1108066,-18328,-7701,3879,1746,33602,34323,9372,484,-298,137812,22648,6965,1144,404
201210,-1002504,51104,32686,5885,1429,2357554,39110,3159,4412,808,115091,2564,7774,2331,666,1051358,2440,7500,2790,1676
