MonthId_LogDelta,NumTweets_Month1_LogDelta,NumDistinctTweets_Month1_LogDelta,NumDistinctUsers_Month1_LogDelta,NumPopularTweets_Month1_LogDelta,NumVerifiedTweets_Month1_LogDelta,NumTweets_Month2_LogDelta,NumDistinctTweets_Month2_LogDelta,NumDistinctUsers_Month2_LogDelta,NumPopularTweets_Month2_LogDelta,NumVerifiedTweets_Month2_LogDelta,NumTweets_Week1_LogDelta,NumDistinctTweets_Week1_LogDelta,NumDistinctUsers_Week1_LogDelta,NumPopularTweets_Week1_LogDelta,NumVerifiedTweets_Week1_LogDelta,NumTweets_Week2_LogDelta,NumDistinctTweets_Week2_LogDelta,NumDistinctUsers_Week2_LogDelta,NumPopularTweets_Week2_LogDelta,NumVerifiedTweets_Week2_LogDelta
201103,-2.156513161,-2.195104922,-1.577887631,-1.499742521,-1.785158785,0.15593825,0.144584893,0.413349729,0.390234353,0.737997747,-4.525740985,-5.033298898,-4.74485161,-3.183122265,-2.531426665,-3.785588817,-3.929937258,-3.519201764,-2.813410717,-1.363304843
201104,1.138385208,1.151627753,1.123278472,1.059326691,1.95712522,-2.071785349,-2.107006406,-1.582111176,-1.508124347,-1.791759469,4.142355127,4.687570492,4.370443606,2.297695108,1.421385681,3.160489767,3.281804944,3.044139223,2.448913047,1.91513849
201105,-0.354127144,-0.331597555,-0.305652377,-0.833753005,-1.212684745,1.153334893,1.16729483,1.138739869,1.063535451,1.95712522,-0.968617229,-1.029291478,-0.897930949,-0.358777994,-0.109199292,-0.469791627,-0.430629875,-0.410515347,-0.982575978,-1.673976434
201106,-0.375149384,-0.436986307,-0.335536506,0.292524697,0.83832919,-0.369076829,-0.347264632,-0.321113774,-0.837961765,-1.212684745,0.522286513,0.533380083,0.482019807,0.434285547,1.059391576,-0.439030472,-0.509369262,-0.411550949,0.230112221,1.471816535
201107,0.81787433,0.855721702,0.759645771,0.542492797,0.143281008,-0.352784127,-0.412917311,-0.316116045,0.293972923,0.878069519,0.835129232,0.865051946,0.765247002,0.581453522,0.297632403,0.993258732,1.030064818,0.875946178,0.572234252,-0.304211374
201108,0.283167211,0.291137662,0.240585013,0.256449587,0.58700572,0.829788452,0.866513691,0.771417615,0.575002285,0.084627586,-0.014010148,-0.017211725,-0.072765586,0.047155138,0.22116139,0.358993143,0.379171219,0.363866002,0.34738427,1.016303641
201109,-0.055750842,-0.066027412,-0.075569023,-0.03381164,0.320345879,0.248887832,0.256276676,0.209392707,0.222491873,0.605918813,-0.164018901,-0.195384143,-0.105543062,-0.071593653,1.142603858,-0.290415589,-0.30574999,-0.274725352,-0.222313331,0.036846273
201110,-0.347641586,-0.36075388,-0.265196785,-0.196036213,0.250368802,-0.081132997,-0.091042451,-0.100562417,-0.070204259,0.307982431,-0.199422869,-0.212983553,-0.177016661,-0.064538521,0.615527695,-0.269066554,-0.285879163,-0.216273841,-0.022378556,-0.46536325
201111,-0.108038065,-0.111594106,-0.131268482,-0.041027102,-0.834381877,-0.322259431,-0.335738841,-0.240203391,-0.159643594,0.26273225,0.101159333,0.11965982,0.036092056,0.077475312,-2.643169741,-0.203481002,-0.197656529,-0.215835144,-0.278763919,-1.855475284
201112,0.641357514,0.660582356,0.578433554,0.56132373,-0.942043228,-0.177290279,-0.183151272,-0.190998923,-0.090073709,-0.991928146,0.253781153,0.272668418,0.256451846,0.242996583,0.037740328,0.946616305,0.96813862,0.851290048,0.870784888,0.85105021
201201,1.648501352,1.589320198,0.623074183,1.009604327,1.783025789,0.707405257,0.729354416,0.636027428,0.600324927,-0.784496959,2.403352133,2.236253777,0.980186161,1.896464528,2.933659845,0.515369655,0.522237618,0.391437987,0.326248003,0.758387702
201202,-0.022224284,-0.367685447,0.058383806,0.878602331,0.564615798,1.630049209,1.580287754,0.592116383,0.913973348,1.6103071,-0.56616307,-1.381734866,-0.197737087,0.141162213,-0.258234871,0.537906767,0.288739794,0.006498514,1.28318991,0.769133088
201203,0.293632117,0.499387291,0.0093684,-0.100436936,0.23979549,-0.011738448,-0.378576162,0.088404861,0.990054513,0.764800859,0.693953625,1.570485392,0.119487959,-0.205529265,-0.145261732,1.101530683,1.287687628,0.162423545,-0.018160783,0.498555531
201204,0.962201189,-0.490954146,-0.096965114,0.092696013,-0.258675849,0.304802895,0.522095555,0.012441712,-0.106212726,0.212329119,-0.842104803,-1.384498447,-0.143081634,0.178225179,-0.292610619,-0.644642967,-1.403873218,-0.191260656,0.074745219,0.070078702
201205,-0.656262659,-0.065867652,0.081341851,0.0652006,0.194180929,0.944901999,-0.543415148,-0.086336054,0.117012204,-0.349970384,1.29159043,0.226545871,0.038675954,0.067984171,0.230232986,1.004672798,-0.055541378,0.014012013,0.094745368,-0.232161996
201206,-0.295917138,-0.389596429,-0.094887639,-0.178129291,-0.658525042,-0.638963468,-0.01340665,0.070712791,0.040884409,0.285475463,-1.63481332,-0.433870853,-0.163343899,-0.366072165,-0.272620765,-1.469058611,-0.135950305,-0.062778444,-0.255647566,-0.743157601
201207,0.476622415,0.026915502,0.067045693,0.033483809,0.146419679,-0.32759168,-0.419825439,-0.126900222,-0.231301937,-0.752421128,2.140695253,0.013120431,0.077469499,0.331678938,-0.163125542,0.482819412,0.065148209,0.11067463,0.216695851,0.896312265
201208,-1.067389022,-0.032436765,-0.007818388,0.168533173,0.722400772,0.515046575,0.082651362,0.131888617,0.113701766,0.282487256,-2.228051521,-0.146892589,-0.092455451,0.005728436,0.933615516,-0.634998668,-0.206196849,-0.174081084,0.033015378,-0.18321882
201209,1.627488909,0.101007105,0.001846077,0.124768921,0.192725137,-1.074138639,-0.057943614,-0.04064873,0.141487862,0.680229281,0.240327242,0.413792789,0.200322101,0.060937667,-0.334565658,0.760998536,0.288808746,0.155391247,0.14393045,0.545409169
201210,-0.419356254,0.140071717,0.161913544,0.162700551,0.287507232,1.629425352,0.119823564,0.016874724,0.139816657,0.205694286,0.5491079,0.024998621,0.14026627,0.250540545,0.635518068,1.62229411,0.026666207,0.144078428,0.282866182,1.009422777
201211,-0.418242191,-0.111938108,-0.058846875,-0.036374259,-0.594805469,-0.421292697,0.121255258,0.146884897,0.147652815,0.274538083,-0.687377863,-0.306143318,-0.260988131,-0.25212969,-1.011424374,-1.848451989,0.011014638,-0.009256413,-0.079270311,-0.867988254
201212,-1.005462915,-0.067502618,-0.100263712,-0.768495467,-0.006997484,-0.429250393,-0.138789756,-0.08392579,-0.070638104,-0.61045824,-0.496971,0.039037103,-0.054639259,-1.471283628,0.065751378,-0.706586446,-0.017886253,-0.039652731,-1.137500393,-0.127997629
201301,-0.093886291,0.136182306,0.183952994,-0.632324542,0.081196011,-1.001679715,-0.041615431,-0.080372688,-0.754405218,-0.011332483,0.347743246,0.334767473,0.455021096,0.478887862,0.566346334,0.483118075,0.361769878,0.510073843,-0.081982572,0.232544806
201302,0.044109235,0.086931253,0.105917113,0.361485092,0.782204237,-0.140328655,0.082891245,0.129339287,-0.711420846,0.011654389,-0.030811387,-0.052723269,-0.001788201,0.275228611,0.370103468,-0.373770392,-0.242207599,-0.319603639,0.185283724,0.985294452
201303,0.015941729,0.002113111,0.084721791,0.114861138,-0.667237274,0.096591952,0.140503462,0.167262451,0.466573298,0.861178728,-0.073767823,-0.078657098,-0.081770428,-0.093457261,-0.727220792,-0.053746762,-0.044970437,0.041341776,-0.035859871,-1.057838898
201304,-0.110724035,-0.092996754,-0.177476271,-0.088649737,-0.000262364,0.017126378,0.002796424,0.083178052,0.109042831,-0.656682373,0.135669798,0.162905751,0.093728456,0.048082311,0.258499306,0.149718119,0.167857692,0.062900015,0.046025822,-0.189169095
201305,0.11934336,0.125397331,0.106582873,0.065371689,0.347210194,-0.089061648,-0.071285425,-0.15298202,-0.06460077,0.023847683,-0.055706713,-0.061811213,-0.08630527,-0.010280834,0.101709211,-0.05921278,-0.064448204,-0.078260332,0.027564417,0.60247738
201306,-0.111808754,-0.119502577,-0.089081597,-0.029019662,-0.276556846,0.097680973,0.103686002,0.082088621,0.041322723,0.323100148,-0.300172784,-0.3193446,-0.167663396,-0.056971393,0.05892868,-0.181640887,-0.19627969,-0.120214496,-0.005712817,-0.458038461
201307,-0.092258125,-0.107591652,0.00725931,0.094351438,0.227729596,-0.116082079,-0.124271838,-0.087210001,-0.024462248,-0.271435508,0.130445211,0.105394982,0.138415544,0.401436434,0.203752091,-0.004009207,-0.025617297,0.059005273,0.1665732,0.258909786
201308,0.140036497,0.056010022,0.028166582,0.630882578,0.390029877,-0.083903046,-0.10101338,0.007382965,0.106409283,0.240171192,0.124196917,0.047628049,0.004966817,0.360011467,0.388443421,0.07680732,0.012649834,-0.064274746,0.449175344,0.180436542
201309,0.000165145,-0.011900314,-0.031281112,0.162746888,0.245305845,0.135954743,0.054201011,0.026171331,0.614267319,0.372466944,0.095048155,0.094085545,0.012933711,0.281308648,0.34425913,0.190401437,0.169100479,0.116150183,0.437401371,0.618177081
201310,-0.089809009,-0.109135936,-0.189660016,-0.022931686,-0.114397849,0.024660674,0.012073749,-0.008437312,0.192826057,0.272874857,-0.167689331,-0.172607685,-0.23805454,-0.313251742,-0.14808546,-0.256826159,-0.313673492,-0.333644666,-0.245233495,-0.024446377
201311,0.099284971,0.152959819,0.165390843,-0.249426835,0.149763001,-0.114304537,-0.133109999,-0.212503816,-0.053010855,-0.14196686,0.13845619,0.195885176,0.242344784,-0.109214897,0.266628663,0.135394874,0.244091877,0.246022192,-0.27621644,-0.626697429
201312,-0.045179719,-0.042782076,0.016587773,-0.129239227,-0.314999925,0.086032173,0.140923952,0.156749977,-0.274455533,0.117281773,-0.197243367,-0.21081929,-0.122239118,-0.27206572,-0.380945491,-0.029117218,-0.035827254,0.06675752,-0.005524028,0.209769939
201401,0.032187361,-0.009888254,0.007642622,0.23041055,0.440496838,-0.037020094,-0.034247804,0.022985774,-0.114241661,-0.28101914,0.108224218,0.019060903,0.061143907,0.569019805,0.565459846,0.125044882,0.057954092,0.023320853,0.347989853,0.594570803
201402,0.017206013,-0.031624846,-0.009050345,0.198259438,0.065515035,0.018333993,-0.017088788,-0.005051794,0.184370693,0.393267328,0.09471451,0.084780611,0.005785872,0.016123105,0.045025448,-0.11770377,-0.140623878,-0.081512725,-0.009607061,-0.30750651
201403,0.150348546,0.188763383,0.092683378,0.002305185,-0.091763262,0.018629269,-0.036207934,-0.01194526,0.230866267,0.088113913,0.238718492,0.309792772,0.172322868,0.075194646,-0.211798752,0.271161575,0.320884884,0.147709567,0.047974938,0.204505985
201404,0.084839052,0.095472452,0.054110396,0.087383363,0.183267737,0.167871831,0.2040486,0.110515575,0.025769344,-0.068632186,-0.107758091,-0.130369972,-0.078947298,-0.047348601,0.216084855,-0.028954529,-0.035514773,-0.006566594,0.092416373,0.032994522
201405,-0.026827431,-0.018159306,-0.017076763,-0.099616363,-0.155352332,0.078626976,0.089399934,0.049817567,0.083542212,0.177093949,0.009252961,0.042701174,-0.001134343,-0.08785041,-0.255332111,-0.109627634,-0.096345865,-0.076159296,-0.19205418,-0.069933163
201406,0.120027918,0.152045091,0.223066406,-0.001877828,0.229680093,-0.020615354,-0.012086788,-0.012783934,-0.095775212,-0.149178544,0.189474589,0.211187129,0.332909753,0.115255182,0.248626977,0.285290788,0.302653929,0.388148816,0.141212342,0.570176677
201407,0.082629185,0.063404315,-0.06392702,0.103550483,0.229658413,0.144529127,0.175741647,0.246126334,0.024040699,0.261230615,0.052518402,0.047192326,-0.157962055,0.038895497,-0.030603481,0.108034892,0.068728404,-0.157465722,0.165378428,-0.125056766
201408,0.264187387,0.315767712,0.275340864,0.004764597,-0.073230745,0.054757658,0.037175631,-0.095718114,0.071450352,0.186745399,0.47369227,0.522774468,0.581268823,0.013461838,0.497642548,0.306619597,0.398688082,0.383942683,-0.070797975,0.030668147
