MonthId,Autos,Bus,ClothesAndShoes,Commerce,ConsumerElectronics,Education,Finance,Flight,Health,Hotel,Jobs,Nightlife,Nutrition,RealEstate,Restaurant,Sports,TravelGuide,University
201004,123538.3,2433.658,36553.06,2081633,29211.93,24834.56,131301.1,13537.72,142521.6,29468.95,55664.91,6453.611,156.6216,5023.938,35910.51,16971.35,21726.22,18830.73
201005,122261.8,2113.614,38996.18,2016933,28001.07,25102.4,141198,13162.64,137337.5,32467.7,53457.18,6202.81,146.6589,4882.879,34894.04,17678.87,21032.61,18711.95
201006,121901.6,2727.17,33556.05,1979791,31276.32,28285.16,142432.6,12132.44,128212.8,33231.65,55248.13,6539.392,183.452,4329.019,35272,20475.03,26106.11,19949.28
201007,104376.6,3653.772,26029.23,1583253,49532.6,29442.05,97985.07,10390.09,104360,39306.61,59058.58,7575.501,602.3842,3325.576,30378.86,16698.51,25823.59,18513.97
201008,109423.7,4343.032,26546.27,1472879,50246.82,32136.37,85739.73,10814.15,99771.86,43072.54,60641.14,8291.056,514.9596,3354.476,29739.43,15006.21,24707.72,20569.43
201009,107330.2,3961.069,26619.42,1503986,44334.43,40553.04,86883.97,10769.16,99627.68,41058.16,60282.52,8341.405,690.7913,3164.463,30879.97,14289,23081.61,23766.41
201010,101582.8,3337.579,23054.02,1557916,36755.24,33487.44,95759.01,9841.272,104774.9,34976.79,53255.72,7177.589,584.176,2964.743,27057.52,14997.17,21369.28,18867.09
201011,96332.39,2844.722,22129.31,1550204,33406.54,30617.27,100872.1,9303.111,107859.2,32811.35,45593.19,6876.132,460.2572,2755.998,27458.32,15059.1,20081.26,18482.38
201012,90832.43,2726.3,24278.63,1520912,38560.83,29506.35,98952.35,8930.983,103214.1,29712.8,42704.66,6353.994,451.6184,2488.509,26075.89,14647.18,17992.84,17838
201101,88146.34,2587.826,28070.09,1536298,36734.24,26242.95,94353.43,8223.946,92327.38,28195.33,32882.89,6280.774,443.8905,2118.15,26865.5,14893.35,17009.66,15246.99
201102,91131.84,2295.158,21411.1,1621164,28935.03,31552.69,90745.49,11267.88,99832.81,28777.87,32669.16,5993.275,468.1991,2838.661,25174.7,13646.53,19774.04,16804.42
201103,91131.2,2408.332,22731.84,1613776,24770.19,28608.79,92051.03,11402.75,99423.33,28697.86,28769.8,5779.311,381.9758,2521.383,27183.66,14496.24,18939.49,14446.56
201104,80172.07,2328.487,21752.58,1587735,22520.23,23806.15,88066.39,11450.15,97841.53,23591.33,25165.69,5101.64,316.9747,2552.322,23719.02,14381.04,15426.6,13018.5
201105,80229.24,2642.324,22688.71,1520534,21667.7,25598.02,87004.14,10650.2,91997.54,23839.17,24850.47,4909.254,331.7063,2601.872,22646.64,14114.51,14718.05,13866.94
201106,78229.27,2742.587,20172.93,1545817,23341.48,28407.24,91937.29,8709.435,87151.69,26714.83,27198.14,5144.399,288.3485,2426.387,23310.35,11692.86,15867.36,14768.03
201107,73572.05,3067.309,15721.84,1378920,23857.96,25208.98,68326.44,8249.544,78704.25,26509.96,24792,4796.945,338.5882,2208.329,21220.98,9465.459,14927.9,13361.73
201108,76726.52,3401.441,16774.63,1377542,22604.45,25463.78,61330.25,8514.718,72350.3,29025.97,23420.18,4930.294,430.9518,2303.54,21385.13,9024.335,14943.08,13636.55
201109,69618.47,3126.078,17057.41,1390491,20694.16,30689.66,66591.03,7890.762,68953.49,26093.6,23533.88,4666.049,354.7661,1977.463,20403.03,8813.472,13328.39,15892.89
201110,67679.57,2565.591,15622.96,1453607,17952.67,26882.15,72943.23,7132.923,70674.91,23722.02,21187.13,4152.121,348.972,1694.776,19547.28,8826.084,11937.75,12462.82
201111,65126.01,2280.489,15461.68,1445458,18862.88,23897.46,75906.36,6799.264,73328.89,22326.6,20314.95,4282.755,320.4251,1845.961,19323.98,9239.184,11416.51,11990.15
201112,59951.68,2043.523,18038.35,1403161,19486.17,22497.52,76474.98,5608.353,69009.17,18296.33,17084.6,3935.385,253.2905,1758.962,18543.37,9903.348,10009.67,11976.58
201201,56954.25,2039.692,20555.62,1374396,18727.52,19370.08,75544.85,5529.418,63582.08,18223.43,14925.07,4094.943,292.4959,1632.065,19310.95,9541.902,10279.36,9825.063
201202,57589.95,2004.21,14467.62,1394898,15452.37,25947.73,76488.24,6816.628,69333.24,19551.89,18580.16,3973.715,338.3732,2151.706,19518.64,9394.916,13225.47,12535.71
201203,59868.06,2030.033,14710.28,1397920,14265.46,22481.12,79534.01,6752.845,69839.11,19842.08,16576.12,4124.251,311.9683,2065.857,20780.97,9751.622,12896.68,11124.88
201204,57589.43,2259.018,15496.54,1356913,13929.87,19695.03,79827.52,6670.539,67856.35,19594.43,16162.26,3843.438,267.7684,2131.791,18764.5,9528.708,11843.94,10445.93
201205,58202.08,2284.601,13344.76,1300323,13836.02,22005.34,78387.21,4799.156,67246.42,19425.08,16826.91,3274.595,238.9126,2178.584,18469.43,8202.166,11673.86,11033.28
201206,55875.2,2496.835,12759.88,1360922,14559.71,21360.95,88917.99,4371.01,64400.38,20141.96,16086.93,3412.238,221.4934,1867.98,19251.34,7228.74,11763.93,10422.58
201207,46311.14,2443.624,10163.73,1165007,12726.97,18888.25,62095.02,4391.688,51399.65,15895.9,14226.94,2916.4,115.8206,1661.361,15278.82,6446.079,10374.49,8230.855
201208,48857.23,2418.121,10224.74,1156836,12414.62,19665.79,52774.11,4062.125,49551.54,16299.58,14448.08,2906.534,110.1323,1848.307,15294.02,6523.342,9800.176,9046.807
201209,46223.6,2027.31,9402.553,1080610,10515.05,21014.77,54276.14,3381.916,46962.2,14499.18,14574.26,2552.909,165.4947,1440.417,14442.48,6088.061,9204.878,10107.44
201210,44516.41,1682.334,9471.509,1134685,9928.006,18660.5,64894.36,3466.821,49362.3,13817.81,13765.13,2458.059,138.8644,1570.604,13793.86,5501.903,7674.253,8622.361
201211,39636.69,1523.663,8532.51,1122407,9265.013,16763.15,67580.51,3090.245,52797.41,12436.81,13597.08,2309.1,137.3442,1472.158,13379.62,6067.467,7566.808,8313.618
201212,39339.19,1380.92,8917.516,1067717,9855.89,15243.4,65177.05,2964.611,49094.44,11297.49,11550.59,2123.923,90.28522,1136.706,13129.84,5775.294,6482.775,7885.896
201301,39530.7,1212.764,9885.684,1027749,9387.638,13185.43,70480.26,2828.78,45368.82,11507.72,10329.56,2273.557,118.869,1406.867,13651.87,5641.009,6900.418,7094.52
