#Field:candidate	MonthId	NumTweets_Month1	NumDistinctTweets_Month1	NumDistinctUsers_Month1	NumPopularTweets_Month1	NumVerifiedTweets_Month1	NumTweets_Month2	NumDistinctTweets_Month2	NumDistinctUsers_Month2	NumPopularTweets_Month2	NumVerifiedTweets_Month2	NumTweets_Week1	NumDistinctTweets_Week1	NumDistinctUsers_Week1	NumPopularTweets_Week1	NumVerifiedTweets_Week1	NumTweets_Week2	NumDistinctTweets_Week2	NumDistinctUsers_Week2	NumPopularTweets_Week2	NumVerifiedTweets_Week2
all	201101	1470451	1434662	509094	11624	2106	0	0	0	0	0	547025	535193	168625	4329	1010	473170	461277	173961	3961	568
all old	201101	279258	262546	71844	2835	717	0	0	0	0	0	153517	148274	26830	1182	210	75671	70010	24306	948	246
hashtags	201101	1206173	1192339	449990	9341	1429	0	0	0	0	0	399063	393860	146222	3352	812	402319	397703	153807	3181	334
job opening	201101	31343	25701	18433	682	186	0	0	0	0	0	9913	8343	5924	227	51	10444	8350	6311	225	66
job opportunity	201101	24339	20232	15075	457	81	0	0	0	0	0	7763	6555	5030	183	18	7788	6668	4981	150	45
job posting	201101	26167	23865	16144	351	97	0	0	0	0	0	8439	7561	5013	126	85	8950	8184	5628	130	6
we are hiring	201101	198075	193905	23513	1359	353	0	0	0	0	0	127775	126312	11356	652	56	48712	47189	7800	445	129
all	201102	2032662	1967626	729353	16581	8403	1298559	1266154	466487	10594	1677	503600	485112	199402	4472	1905	589506	569101	214413	4974	3057
all old	201102	275562	245063	96870	3803	1510	209293	194189	64344	2568	672	42696	33603	24838	1014	309	56559	47086	29369	1135	412
hashtags	201102	1779676	1753565	652648	13667	7153	1102919	1090449	413783	8544	1033	467101	459703	180077	3699	1632	540020	531600	191243	4131	2701
job opening	201102	48932	37671	28023	1050	345	28577	23516	16839	635	168	14901	11099	8343	269	66	16314	12567	9274	363	108
job opportunity	201102	36850	29654	22271	669	302	22252	18548	13812	415	81	10059	8016	5990	190	27	12241	9631	7099	186	198
job posting	201102	39137	34851	22708	495	109	23929	21841	14815	334	93	10399	9283	5988	119	60	10975	10138	6555	162	18
we are hiring	201102	151672	144605	25870	1607	754	135139	131341	20089	1197	330	7633	5679	5071	442	156	17316	15283	7066	431	88
all	201103	437025	417542	186096	4283	4155	2042282	1975837	743222	16946	8983	4495	3673	2978	188	355	16172	14569	10899	380	621
all old	201103	33929	27287	19995	850	249	255249	224397	97280	3837	1522	425	219	216	43	21	1334	925	870	72	99
hashtags	201103	408184	398218	171078	3634	3954	1810091	1782972	666619	14021	7733	4118	3514	2823	151	334	15041	13918	10278	326	522
job opening	201103	10806	8363	6300	251	84	49714	38294	28501	1074	345	75	52	50	4	0	375	264	254	21	9
job opportunity	201103	7977	6424	4980	174	52	37553	30232	22733	693	314	146	63	63	13	0	333	226	213	12	33
job posting	201103	9410	8658	5237	90	81	39553	35282	22976	503	109	88	61	60	6	21	368	281	255	9	57
we are hiring	201103	5926	4176	3884	339	32	129449	122307	25079	1585	754	119	46	46	21	0	266	169	164	30	0
all	201104	1414796	1357316	566105	12748	10060	437025	417542	186096	4283	4155	396180	384508	161697	2233	742	400307	382451	164853	3824	3494
all old	201104	105540	86319	61484	2449	1745	33929	27287	19995	850	249	27803	23781	17081	420	98	31307	24628	18264	793	735
hashtags	201104	1324125	1297839	519643	10938	8507	408184	398218	171078	3634	3954	372240	368228	149044	1942	652	373489	365388	150826	3240	2859
job opening	201104	34893	27927	18681	721	787	10806	8363	6300	251	84	9375	8109	5367	132	43	11532	8562	5955	239	497
job opportunity	201104	24844	20278	16110	481	271	7977	6424	4980	174	52	6939	5698	4494	86	15	6090	5065	4272	147	65
job posting	201104	31123	28256	16036	272	159	9410	8658	5237	90	81	8329	7749	4373	35	6	9039	8079	4794	87	48
we are hiring	201104	18921	14467	12291	989	528	5926	4176	3884	339	32	4434	3595	3284	171	34	5819	4182	3690	323	125
all	201105	981683	945453	426834	5347	2769	1436993	1378740	575771	12858	10072	146773	137760	77067	1503	577	249598	240471	112463	1457	834
all old	201105	74381	61958	45292	1077	560	107170	87682	62442	2460	1745	10684	8496	6959	295	79	19536	16011	12115	298	182
