#Field:candidate	MonthId	NumTweets_Month1	NumDistinctTweets_Month1	NumDistinctUsers_Month1	NumPopularTweets_Month1	NumVerifiedTweets_Month1	NumTweets_Month2	NumDistinctTweets_Month2	NumDistinctUsers_Month2	NumPopularTweets_Month2	NumVerifiedTweets_Month2	NumTweets_Week1	NumDistinctTweets_Week1	NumDistinctUsers_Week1	NumPopularTweets_Week1	NumVerifiedTweets_Week1	NumTweets_Week2	NumDistinctTweets_Week2	NumDistinctUsers_Week2	NumPopularTweets_Week2	NumVerifiedTweets_Week2
all	201101	2106	456	391	296	2106	0	0	0	0	0	1010	258	204	126	1010	568	104	99	80	568
all old	201101	717	55	54	80	717	0	0	0	0	0	210	20	20	30	210	246	19	19	22	246
hashtags	201101	1429	409	345	224	1429	0	0	0	0	0	812	241	187	96	812	334	86	81	62	334
job opening	201101	186	13	13	21	186	0	0	0	0	0	51	3	3	6	51	66	6	6	6	66
job opportunity	201101	81	13	13	16	81	0	0	0	0	0	18	2	2	3	18	45	7	7	7	45
job posting	201101	97	8	8	6	97	0	0	0	0	0	85	5	5	6	85	6	2	2	0	6
we are hiring	201101	353	21	21	37	353	0	0	0	0	0	56	10	10	15	56	129	4	4	9	129
all	201102	8403	2422	1262	754	8403	1677	358	321	243	1677	1905	565	347	199	1905	3057	895	399	258	3057
all old	201102	1510	148	115	168	1510	672	49	48	71	672	309	35	34	37	309	412	45	34	48	412
hashtags	201102	7153	2298	1169	622	7153	1033	314	278	180	1033	1632	537	321	166	1632	2701	859	371	222	2701
job opening	201102	345	32	25	50	345	168	12	12	18	168	66	4	4	3	66	108	14	10	20	108
job opportunity	201102	302	23	20	18	302	81	13	13	16	81	27	7	7	0	27	198	8	8	9	198
job posting	201102	109	17	17	21	109	93	7	7	6	93	60	6	6	9	60	18	4	4	6	18
we are hiring	201102	754	78	55	79	754	330	17	17	31	330	156	19	18	25	156	88	19	12	13	88
all	201103	4155	923	363	248	4155	8983	2688	1293	768	8983	355	23	21	25	355	621	42	38	43	621
all old	201103	249	25	25	40	249	1522	149	116	172	1522	21	1	1	3	21	99	3	3	9	99
hashtags	201103	3954	904	344	224	3954	7733	2564	1200	636	7733	334	22	20	22	334	522	39	35	34	522
job opening	201103	84	10	10	20	84	345	32	25	50	345	0	0	0	0	0	9	1	1	3	9
job opportunity	201103	52	4	4	7	52	314	24	21	22	314	0	0	0	0	0	33	1	1	3	33
job posting	201103	81	3	3	6	81	109	17	17	21	109	21	1	1	3	21	57	1	1	3	57
we are hiring	201103	32	8	8	7	32	754	78	55	79	754	0	0	0	0	0	0	0	0	0	0
all	201104	10060	1372	1052	844	10060	4155	923	363	248	4155	742	254	221	111	742	3494	438	316	227	3494
all old	201104	1745	97	90	106	1745	249	25	25	40	249	98	20	19	15	98	735	36	31	41	735
hashtags	201104	8507	1298	981	766	8507	3954	904	344	224	3954	652	236	204	96	652	2859	412	290	194	2859
job opening	201104	787	41	35	39	787	84	10	10	20	84	43	6	6	3	43	497	20	15	19	497
job opportunity	201104	271	20	20	23	271	52	4	4	7	52	15	4	4	3	15	65	4	4	6	65
job posting	201104	159	9	9	9	159	81	3	3	6	81	6	1	1	3	6	48	5	5	3	48
we are hiring	201104	528	28	27	35	528	32	8	8	7	32	34	9	8	6	34	125	7	7	13	125
all	201105	2769	773	632	319	2769	10072	1381	1061	842	10072	577	117	98	87	577	834	232	188	87	834
all old	201105	560	70	70	61	560	1745	97	90	106	1745	79	15	15	15	79	182	19	19	13	182
hashtags	201105	2291	716	575	274	2291	8519	1307	990	764	8519	502	103	84	72	502	694	219	175	78	694
job opening	201105	137	21	21	18	137	787	41	35	39	787	6	2	2	0	6	68	8	8	4	68
job opportunity	201105	100	19	19	10	100	271	20	20	23	271	18	4	4	3	18	23	3	3	0	23
job posting	201105	24	5	5	6	24	159	9	9	9	159	6	1	1	3	6	0	0	0	0	0
we are hiring	201105	299	26	26	27	299	528	28	27	35	528	49	8	8	9	49	91	9	9	9	91
all	201106	4682	582	516	479	4682	2769	773	632	319	2769	1215	201	187	193	1215	1481	160	142	135	1481
all old	201106	1218	100	99	115	1218	560	70	70	61	560	239	35	34	47	239	587	32	32	31	587
hashtags	201106	3568	503	440	380	3568	2291	716	575	274	2291	1032	175	162	154	1032	922	136	118	108	922
job opening	201106	284	28	28	29	284	137	21	21	18	137	74	11	11	10	74	29	6	6	0	29
job opportunity	201106	121	21	21	13	121	100	19	19	10	100	32	7	7	7	32	76	10	10	6	76
job posting	201106	73	12	11	0	73	24	5	5	6	24	13	4	3	0	13	18	3	3	0	18
