"","MonthId","NumTweets_Month1_all","NumDistinctTweets_Month1_all","NumDistinctUsers_Month1_all","NumPopularTweets_Month1_all","NumVerifiedTweets_Month1_all","NumTweets_Month2_all","NumDistinctTweets_Month2_all","NumDistinctUsers_Month2_all","NumPopularTweets_Month2_all","NumVerifiedTweets_Month2_all","NumTweets_Week1_all","NumDistinctTweets_Week1_all","NumDistinctUsers_Week1_all","NumPopularTweets_Week1_all","NumVerifiedTweets_Week1_all","NumTweets_Week2_all","NumDistinctTweets_Week2_all","NumDistinctUsers_Week2_all","NumPopularTweets_Week2_all","NumVerifiedTweets_Week2_all","NumTweets_Month1_allold","NumDistinctTweets_Month1_allold","NumDistinctUsers_Month1_allold","NumPopularTweets_Month1_allold","NumVerifiedTweets_Month1_allold","NumTweets_Month2_allold","NumDistinctTweets_Month2_allold","NumDistinctUsers_Month2_allold","NumPopularTweets_Month2_allold","NumVerifiedTweets_Month2_allold","NumTweets_Week1_allold","NumDistinctTweets_Week1_allold","NumDistinctUsers_Week1_allold","NumPopularTweets_Week1_allold","NumVerifiedTweets_Week1_allold","NumTweets_Week2_allold","NumDistinctTweets_Week2_allold","NumDistinctUsers_Week2_allold","NumPopularTweets_Week2_allold","NumVerifiedTweets_Week2_allold","NumTweets_Month1_opening","NumDistinctTweets_Month1_opening","NumDistinctUsers_Month1_opening","NumPopularTweets_Month1_opening","NumVerifiedTweets_Month1_opening","NumTweets_Month2_opening","NumDistinctTweets_Month2_opening","NumDistinctUsers_Month2_opening","NumPopularTweets_Month2_opening","NumVerifiedTweets_Month2_opening","NumTweets_Week1_opening","NumDistinctTweets_Week1_opening","NumDistinctUsers_Week1_opening","NumPopularTweets_Week1_opening","NumVerifiedTweets_Week1_opening","NumTweets_Week2_opening","NumDistinctTweets_Week2_opening","NumDistinctUsers_Week2_opening","NumPopularTweets_Week2_opening","NumVerifiedTweets_Week2_opening","NumTweets_Month1_posting","NumDistinctTweets_Month1_posting","NumDistinctUsers_Month1_posting","NumPopularTweets_Month1_posting","NumVerifiedTweets_Month1_posting","NumTweets_Month2_posting","NumDistinctTweets_Month2_posting","NumDistinctUsers_Month2_posting","NumPopularTweets_Month2_posting","NumVerifiedTweets_Month2_posting","NumTweets_Week1_posting","NumDistinctTweets_Week1_posting","NumDistinctUsers_Week1_posting","NumPopularTweets_Week1_posting","NumVerifiedTweets_Week1_posting","NumTweets_Week2_posting","NumDistinctTweets_Week2_posting","NumDistinctUsers_Week2_posting","NumPopularTweets_Week2_posting","NumVerifiedTweets_Week2_posting","NumTweets_Month1_opportunity","NumDistinctTweets_Month1_opportunity","NumDistinctUsers_Month1_opportunity","NumPopularTweets_Month1_opportunity","NumVerifiedTweets_Month1_opportunity","NumTweets_Month2_opportunity","NumDistinctTweets_Month2_opportunity","NumDistinctUsers_Month2_opportunity","NumPopularTweets_Month2_opportunity","NumVerifiedTweets_Month2_opportunity","NumTweets_Week1_opportunity","NumDistinctTweets_Week1_opportunity","NumDistinctUsers_Week1_opportunity","NumPopularTweets_Week1_opportunity","NumVerifiedTweets_Week1_opportunity","NumTweets_Week2_opportunity","NumDistinctTweets_Week2_opportunity","NumDistinctUsers_Week2_opportunity","NumPopularTweets_Week2_opportunity","NumVerifiedTweets_Week2_opportunity","NumTweets_Month1_hiring","NumDistinctTweets_Month1_hiring","NumDistinctUsers_Month1_hiring","NumPopularTweets_Month1_hiring","NumVerifiedTweets_Month1_hiring","NumTweets_Month2_hiring","NumDistinctTweets_Month2_hiring","NumDistinctUsers_Month2_hiring","NumPopularTweets_Month2_hiring","NumVerifiedTweets_Month2_hiring","NumTweets_Week1_hiring","NumDistinctTweets_Week1_hiring","NumDistinctUsers_Week1_hiring","NumPopularTweets_Week1_hiring","NumVerifiedTweets_Week1_hiring","NumTweets_Week2_hiring","NumDistinctTweets_Week2_hiring","NumDistinctUsers_Week2_hiring","NumPopularTweets_Week2_hiring","NumVerifiedTweets_Week2_hiring","NumTweets_Month1_hashtags","NumDistinctTweets_Month1_hashtags","NumDistinctUsers_Month1_hashtags","NumPopularTweets_Month1_hashtags","NumVerifiedTweets_Month1_hashtags","NumTweets_Month2_hashtags","NumDistinctTweets_Month2_hashtags","NumDistinctUsers_Month2_hashtags","NumPopularTweets_Month2_hashtags","NumVerifiedTweets_Month2_hashtags","NumTweets_Week1_hashtags","NumDistinctTweets_Week1_hashtags","NumDistinctUsers_Week1_hashtags","NumPopularTweets_Week1_hashtags","NumVerifiedTweets_Week1_hashtags","NumTweets_Week2_hashtags","NumDistinctTweets_Week2_hashtags","NumDistinctUsers_Week2_hashtags","NumPopularTweets_Week2_hashtags","NumVerifiedTweets_Week2_hashtags"
"1",201101,357978,350095,139860,3243,987,0,0,0,0,0,111843,109211,43913,1174,371,121884,119170,48166,1141,334,25062,21543,14821,838,383,0,0,0,0,0,8082,6950,4845,299,111,8489,7197,4992,315,126,7003,5894,4324,279,81,0,0,0,0,0,2357,1953,1441,100,30,2354,1942,1451,85,48,9176,8614,6436,167,60,0,0,0,0,0,3010,2778,2035,67,57,2946,2761,2110,70,0,5876,5133,2553,112,21,0,0,0,0,0,1862,1613,873,45,0,2026,1784,850,39,15,3065,2035,1808,288,221,0,0,0,0,0,880,638,592,90,24,1172,747,676,122,63,339528,335728,129019,2643,624,0,0,0,0,0,105956,104564,40414,961,260,115619,114338,44493,890,220
"2",201102,517689,502355,196109,4916,3866,329821,322661,129166,2976,881,139029,134836,54720,1268,774,157768,152934,56857,1481,1485,35916,29556,20563,1302,926,22894,19698,13532,782,377,10071,8028,5693,328,188,11060,9329,6364,392,137,11415,8858,6297,468,237,6343,5384,3949,263,81,3686,2684,1840,110,24,3603,2864,1962,139,66,11830,11077,8382,201,60,8397,7865,5863,160,60,2908,2709,2125,38,42,3569,3365,2537,65,9,7519,6389,3331,199,98,5387,4716,2343,102,21,1828,1552,858,37,14,2283,1968,993,60,7,5201,3448,2941,438,531,2825,1857,1648,265,215,1660,1136,977,144,108,1628,1198,975,131,55,490944,482859,181425,4071,3140,312999,309569,119282,2419,524,131340,129490,50675,1048,606,149526,146748,52229,1215,1380
"3",201103,122876,118140,51285,1279,1881,528504,512689,200709,5070,4156,1357,935,795,72,238,4454,4020,2921,108,292,8459,6870,4893,324,129,36551,30057,20958,1342,938,129,67,66,14,0,351,239,217,28,42,2943,2284,1561,129,54,11725,9094,6447,480,237,27,18,17,2,0,133,92,85,16,9,2543,2403,1929,29,3,11848,11097,8449,202,60,26,24,24,0,0,86,79,76,2,0,1811,1495,811,54,49,7680,6524,3413,211,110,45,17,17,6,0,92,47,37,6,33,1175,747,689,113,23,5347,3558,3036,453,531,31,8,8,6,0,40,26,25,4,0,116591,113661,47830,1074,1800,501337,492904,185776,4202,3430,1249,886,747,61,238,4191,3867,2775,89,250
"4",201104,360017,347848,143118,3759,4290,122876,118140,51285,1279,1881,97477,95635,40457,666,269,100956,97243,42050,1185,1139,23016,18375,13741,954,1097,8459,6870,4893,324,129,5811,5106,3891,179,67,6774,5171,4023,296,316,7058,5255,3979,397,457,2943,2284,1561,129,54,1538,1332,1032,83,31,2203,1477,1178,127,197,8038,7443,5718,93,135,2543,2403,1929,29,3,2320,2217,1764,10,0,2371,2195,1698,33,33,4381,3625,2271,127,106,1811,1495,811,54,49,1168,1017,624,23,12,1116,891,610,32,35,3591,2203,2032,342,399,1175,747,689,113,23,800,584,536,65,24,1092,646,598,105,51,342306,335307,133146,3165,3301,116591,113661,47830,1074,1800,93036,92118,37613,564,206,95643,93579,39047,1000,867
"5",201105,242271,236293,108367,1515,1245,364864,352613,145264,3791,4288,35931,34175,19606,440,318,62032,60467,28144,386,334,15576,13130,9956,396,440,23298,18616,13939,965,1097,2532,1986,1574,90,52,4119,3447,2604,114,140,4266,3478,2718,147,92,7135,5309,4030,405,457,663,426,347,17,3,1107,855,700,37,53,5539,5183,4124,39,24,8154,7554,5814,94,135,799,745,629,10,6,1429,1319,1038,12,0,3469,2982,1828,44,56,4423,3671,2299,126,106,635,557,357,9,3,980,857,495,12,12,2408,1588,1448,168,268,3638,2235,2059,345,399,504,278,267,55,40,609,433,404,53,75,229980,227486,101209,1250,864,346955,339915,135160,3195,3299,33790,32825,18451,363,270,58692,58153,26239,302,225
"6",201106,172680,162583,82772,2460,2476,242271,236293,108367,1515,1245,50205,47457,23555,784,581,47976,45109,22742,626,701,11823,9053,6943,445,468,15576,13130,9956,396,440,3961,3210,2381,166,101,2949,2227,1784,94,269,3068,2130,1674,85,90,4266,3478,2718,147,92,1012,831,620,28,33,679,494,413,12,13,4145,3841,2987,50,57,5539,5183,4124,39,24,1595,1490,1042,24,9,1015,946,772,13,18,2464,1984,1284,92,81,3469,2982,1828,44,56,656,515,382,35,29,654,523,347,23,46,2186,1174,1117,222,240,2408,1588,1448,168,268,706,389,368,81,30,624,284,280,48,192,162890,156134,77552,2108,2088,229980,227486,101209,1250,864,47067,45153,21800,657,524,45506,43496,21371,546,448
"7",201107,305180,288543,142091,4169,2929,175159,164884,83328,2505,2570,108384,103181,46579,1399,703,84190,79159,38796,1135,787,24964,20316,14894,798,1052,12070,9248,7087,455,520,8727,7522,5322,246,212,7478,5771,4126,188,319,6641,5425,3927,162,125,3135,2185,1732,86,93,2471,2084,1412,50,30,1804,1432,1027,31,20,9900,9359,6624,109,81,4311,4003,3083,54,57,3699,3477,2407,35,33,2848,2683,1839,32,30,4436,3580,2583,175,215,2419,1951,1273,92,85,1450,1240,849,49,37,1348,1104,772,40,17,4046,2078,1958,361,635,2245,1182,1119,227,285,1130,773,726,115,112,1497,584,542,88,252,285198,274304,131331,3533,2053,165206,158310,78018,2143,2134,101442,97978,42761,1202,515,78063,75138,35808,982,484
"8",201108,418764,401293,172008,5009,3321,312843,295856,145087,4263,2891,113315,108221,46011,1451,1052,137626,132801,51628,1505,1143,34029,29121,19071,1051,1250,25649,20927,15311,827,1030,10263,9102,4940,307,291,10360,8882,6062,300,490,11300,9892,5427,246,471,6862,5633,4064,171,125,4556,4333,1445,66,73,2822,2375,1729,83,178,12239,11458,7856,131,216,10077,9510,6714,110,93,2931,2693,1961,38,75,4183,3954,2554,42,27,5988,5020,3290,200,130,4618,3736,2686,183,208,1638,1370,866,66,58,1979,1731,1055,54,33,4645,2983,2797,490,497,4155,2182,2050,372,608,1160,781,745,139,85,1417,889,822,129,268,393634,383128,158630,4160,2195,292307,281232,134054,3605,2033,107190,103798,42630,1205,813,129191,126663,47316,1259,693
"9",201109,454332,428201,177489,6069,10199,418764,401293,172008,5009,3321,110741,105277,44274,1542,1392,116807,110577,46293,1544,2240,37193,31423,18447,1055,1995,34029,29121,19071,1051,1250,8223,6500,4407,278,504,8795,7223,4769,256,790,13249,12137,4880,245,347,11300,9892,5427,246,471,2329,2108,1189,57,54,2298,2147,1216,43,7,12115,11245,7705,127,330,12239,11458,7856,131,216,2941,2622,1806,37,192,3193,2868,1980,37,185,6671,5721,3725,163,245,5988,5020,3290,200,130,1375,1133,825,41,87,1860,1622,1048,44,65,5231,2577,2438,529,1073,4645,2983,2797,490,497,1602,676,637,146,171,1461,653,617,134,533,429419,410520,164574,5242,8543,393634,383128,158630,4160,2195,104356,100985,41134,1324,956,110334,106048,42988,1348,1593
"10",201110,347201,326600,151463,4938,8950,451362,425680,175917,5871,10068,88881,82770,39634,1340,3346,94362,89080,40773,1409,1888,25212,20085,14040,890,2500,36147,30497,18040,1008,1966,6941,5248,3824,266,904,6753,5257,3732,288,678,7927,6949,3940,206,372,12515,11425,4664,230,339,1945,1708,1043,60,86,2149,1792,1101,85,153,8449,7903,5667,83,155,12075,11213,7663,125,330,2319,2098,1529,30,78,2064,1962,1395,26,32,4055,3204,2535,179,165,6548,5635,3662,155,239,1130,835,691,58,99,1106,872,657,49,13,4828,2159,2050,429,1808,5080,2476,2344,507,1058,1559,653,607,120,641,1445,663,615,129,480,328168,313432,141362,4236,6637,426855,408268,163251,5083,8445,83563,79267,36903,1132,2478,89152,85580,38087,1180,1313
