"","MonthId","NumTweets_Month1_all","NumDistinctTweets_Month1_all","NumDistinctUsers_Month1_all","NumPopularTweets_Month1_all","NumVerifiedTweets_Month1_all","NumTweets_Month2_all","NumDistinctTweets_Month2_all","NumDistinctUsers_Month2_all","NumPopularTweets_Month2_all","NumVerifiedTweets_Month2_all","NumTweets_Week1_all","NumDistinctTweets_Week1_all","NumDistinctUsers_Week1_all","NumPopularTweets_Week1_all","NumVerifiedTweets_Week1_all","NumTweets_Week2_all","NumDistinctTweets_Week2_all","NumDistinctUsers_Week2_all","NumPopularTweets_Week2_all","NumVerifiedTweets_Week2_all","NumTweets_Month1_allold","NumDistinctTweets_Month1_allold","NumDistinctUsers_Month1_allold","NumPopularTweets_Month1_allold","NumVerifiedTweets_Month1_allold","NumTweets_Month2_allold","NumDistinctTweets_Month2_allold","NumDistinctUsers_Month2_allold","NumPopularTweets_Month2_allold","NumVerifiedTweets_Month2_allold","NumTweets_Week1_allold","NumDistinctTweets_Week1_allold","NumDistinctUsers_Week1_allold","NumPopularTweets_Week1_allold","NumVerifiedTweets_Week1_allold","NumTweets_Week2_allold","NumDistinctTweets_Week2_allold","NumDistinctUsers_Week2_allold","NumPopularTweets_Week2_allold","NumVerifiedTweets_Week2_allold","NumTweets_Month1_opening","NumDistinctTweets_Month1_opening","NumDistinctUsers_Month1_opening","NumPopularTweets_Month1_opening","NumVerifiedTweets_Month1_opening","NumTweets_Month2_opening","NumDistinctTweets_Month2_opening","NumDistinctUsers_Month2_opening","NumPopularTweets_Month2_opening","NumVerifiedTweets_Month2_opening","NumTweets_Week1_opening","NumDistinctTweets_Week1_opening","NumDistinctUsers_Week1_opening","NumPopularTweets_Week1_opening","NumVerifiedTweets_Week1_opening","NumTweets_Week2_opening","NumDistinctTweets_Week2_opening","NumDistinctUsers_Week2_opening","NumPopularTweets_Week2_opening","NumVerifiedTweets_Week2_opening","NumTweets_Month1_posting","NumDistinctTweets_Month1_posting","NumDistinctUsers_Month1_posting","NumPopularTweets_Month1_posting","NumVerifiedTweets_Month1_posting","NumTweets_Month2_posting","NumDistinctTweets_Month2_posting","NumDistinctUsers_Month2_posting","NumPopularTweets_Month2_posting","NumVerifiedTweets_Month2_posting","NumTweets_Week1_posting","NumDistinctTweets_Week1_posting","NumDistinctUsers_Week1_posting","NumPopularTweets_Week1_posting","NumVerifiedTweets_Week1_posting","NumTweets_Week2_posting","NumDistinctTweets_Week2_posting","NumDistinctUsers_Week2_posting","NumPopularTweets_Week2_posting","NumVerifiedTweets_Week2_posting","NumTweets_Month1_opportunity","NumDistinctTweets_Month1_opportunity","NumDistinctUsers_Month1_opportunity","NumPopularTweets_Month1_opportunity","NumVerifiedTweets_Month1_opportunity","NumTweets_Month2_opportunity","NumDistinctTweets_Month2_opportunity","NumDistinctUsers_Month2_opportunity","NumPopularTweets_Month2_opportunity","NumVerifiedTweets_Month2_opportunity","NumTweets_Week1_opportunity","NumDistinctTweets_Week1_opportunity","NumDistinctUsers_Week1_opportunity","NumPopularTweets_Week1_opportunity","NumVerifiedTweets_Week1_opportunity","NumTweets_Week2_opportunity","NumDistinctTweets_Week2_opportunity","NumDistinctUsers_Week2_opportunity","NumPopularTweets_Week2_opportunity","NumVerifiedTweets_Week2_opportunity","NumTweets_Month1_hiring","NumDistinctTweets_Month1_hiring","NumDistinctUsers_Month1_hiring","NumPopularTweets_Month1_hiring","NumVerifiedTweets_Month1_hiring","NumTweets_Month2_hiring","NumDistinctTweets_Month2_hiring","NumDistinctUsers_Month2_hiring","NumPopularTweets_Month2_hiring","NumVerifiedTweets_Month2_hiring","NumTweets_Week1_hiring","NumDistinctTweets_Week1_hiring","NumDistinctUsers_Week1_hiring","NumPopularTweets_Week1_hiring","NumVerifiedTweets_Week1_hiring","NumTweets_Week2_hiring","NumDistinctTweets_Week2_hiring","NumDistinctUsers_Week2_hiring","NumPopularTweets_Week2_hiring","NumVerifiedTweets_Week2_hiring","NumTweets_Month1_hashtags","NumDistinctTweets_Month1_hashtags","NumDistinctUsers_Month1_hashtags","NumPopularTweets_Month1_hashtags","NumVerifiedTweets_Month1_hashtags","NumTweets_Month2_hashtags","NumDistinctTweets_Month2_hashtags","NumDistinctUsers_Month2_hashtags","NumPopularTweets_Month2_hashtags","NumVerifiedTweets_Month2_hashtags","NumTweets_Week1_hashtags","NumDistinctTweets_Week1_hashtags","NumDistinctUsers_Week1_hashtags","NumPopularTweets_Week1_hashtags","NumVerifiedTweets_Week1_hashtags","NumTweets_Week2_hashtags","NumDistinctTweets_Week2_hashtags","NumDistinctUsers_Week2_hashtags","NumPopularTweets_Week2_hashtags","NumVerifiedTweets_Week2_hashtags"
"1",201101,987,211,177,133,987,0,0,0,0,0,371,92,65,55,371,334,67,63,40,334,383,20,19,35,383,0,0,0,0,0,111,5,5,15,111,126,7,7,10,126,81,5,5,6,81,0,0,0,0,0,30,1,1,3,30,48,3,3,3,48,60,2,2,3,60,0,0,0,0,0,57,1,1,3,57,0,0,0,0,0,21,4,4,4,21,0,0,0,0,0,0,0,0,0,0,15,2,2,4,15,221,9,9,22,221,0,0,0,0,0,24,3,3,9,24,63,2,2,3,63,624,193,160,106,624,0,0,0,0,0,260,87,60,40,260,220,61,57,34,220
"2",201102,3866,978,393,342,3866,881,184,163,116,881,774,214,107,75,774,1485,374,127,112,1485,926,102,69,102,926,377,19,18,32,377,188,18,17,15,188,137,29,18,22,137,237,25,18,37,237,81,5,5,6,81,24,2,2,0,24,66,11,7,13,66,60,7,7,12,60,60,2,2,3,60,42,3,3,6,42,9,2,2,3,9,98,13,10,9,98,21,4,4,4,21,14,3,3,0,14,7,2,2,0,7,531,58,35,44,531,215,8,8,19,215,108,11,10,9,108,55,14,7,6,55,3140,892,337,264,3140,524,167,147,92,524,606,201,95,60,606,1380,351,112,94,1380
"3",201103,1881,402,134,143,1881,4156,1103,408,348,4156,238,13,12,16,238,292,27,23,30,292,129,15,15,31,129,938,103,70,106,938,0,0,0,0,0,42,2,2,6,42,54,6,6,17,54,237,25,18,37,237,0,0,0,0,0,9,1,1,3,9,3,1,1,0,3,60,7,7,12,60,0,0,0,0,0,0,0,0,0,0,49,3,3,7,49,110,14,11,13,110,0,0,0,0,0,33,1,1,3,33,23,5,5,7,23,531,58,35,44,531,0,0,0,0,0,0,0,0,0,0,1800,393,125,128,1800,3430,1017,352,270,3430,238,13,12,16,238,250,25,21,24,250
"4",201104,4290,429,390,441,4290,1881,402,134,143,1881,269,74,70,53,269,1139,117,106,121,1139,1097,63,56,67,1097,129,15,15,31,129,67,15,14,9,67,316,20,15,19,316,457,29,23,30,457,54,6,6,17,54,31,5,5,3,31,197,12,7,10,197,135,5,5,6,135,3,1,1,0,3,0,0,0,0,0,33,3,3,3,33,106,13,13,9,106,49,3,3,7,49,12,3,3,3,12,35,3,3,3,35,399,17,16,22,399,23,5,5,7,23,24,7,6,3,24,51,2,2,3,51,3301,384,347,390,3301,1800,393,125,128,1800,206,60,57,44,206,867,106,95,106,867
"5",201105,1245,247,242,168,1245,4288,428,389,441,4288,318,43,43,50,318,334,74,73,45,334,440,46,46,48,440,1097,63,56,67,1097,52,8,8,12,52,140,12,12,13,140,92,14,14,11,92,457,29,23,30,457,3,1,1,0,3,53,6,6,4,53,24,5,5,6,24,135,5,5,6,135,6,1,1,3,6,0,0,0,0,0,56,10,10,4,56,106,13,13,9,106,3,1,1,0,3,12,1,1,0,12,268,17,17,27,268,399,17,16,22,399,40,5,5,9,40,75,5,5,9,75,864,211,206,132,864,3299,383,346,390,3299,270,36,36,38,270,225,66,65,36,225
"6",201106,2476,248,233,242,2476,1245,247,242,168,1245,581,88,82,92,581,701,68,64,58,701,468,56,55,42,468,440,46,46,48,440,101,19,18,20,101,269,20,20,12,269,90,15,15,11,90,92,14,14,11,92,33,5,5,4,33,13,4,4,0,13,57,10,9,0,57,24,5,5,6,24,9,3,2,0,9,18,3,3,0,18,81,15,15,10,81,56,10,10,4,56,29,6,6,7,29,46,7,7,3,46,240,16,16,21,240,268,17,17,27,268,30,5,5,9,30,192,6,6,9,192,2088,208,194,212,2088,864,211,206,132,864,524,75,70,80,524,448,54,50,46,448
"7",201107,2929,427,395,369,2929,2570,252,237,249,2570,703,161,142,118,703,787,105,99,100,787,1052,106,100,107,1052,520,59,58,45,520,212,37,32,22,212,319,22,21,24,319,125,29,27,20,125,93,16,16,11,93,30,8,7,4,30,20,6,5,0,20,81,17,13,9,81,57,10,9,0,57,33,10,6,3,33,30,3,3,3,30,215,27,27,23,215,85,16,16,10,85,37,7,7,3,37,17,4,4,3,17,635,34,34,55,635,285,17,17,24,285,112,12,12,12,112,252,9,9,18,252,2053,341,315,282,2053,2134,210,196,216,2134,515,130,117,100,515,484,87,81,76,484
"8",201108,3321,570,533,436,3321,2891,432,400,371,2891,1052,166,154,135,1052,1143,178,166,123,1143,1250,137,135,122,1250,1030,105,99,107,1030,291,39,39,39,291,490,53,52,41,490,471,48,48,45,471,125,29,27,20,125,73,11,11,16,73,178,21,21,16,178,216,25,24,19,216,93,18,14,9,93,75,3,3,3,75,27,8,7,3,27,130,23,22,14,130,208,25,25,23,208,58,13,13,7,58,33,4,4,7,33,497,45,45,52,497,608,34,34,55,608,85,12,12,13,85,268,21,21,19,268,2195,458,423,338,2195,2033,346,320,284,2033,813,137,125,108,813,693,134,123,86,693
"9",201109,10199,796,734,834,10199,3321,570,533,436,3321,1392,188,178,180,1392,2240,237,212,282,2240,1995,137,131,178,1995,1250,137,135,122,1250,504,34,30,46,504,790,31,30,54,790,347,34,34,38,347,471,48,48,45,471,54,7,7,3,54,7,2,2,0,7,330,33,28,27,330,216,25,24,19,216,192,13,9,15,192,185,10,9,12,185,245,27,27,20,245,130,23,22,14,130,87,5,5,3,87,65,5,5,7,65,1073,44,43,93,1073,497,45,45,52,497,171,10,10,25,171,533,14,14,35,533,8543,694,639,720,8543,2195,458,423,338,2195,956,162,156,150,956,1593,217,194,252,1593
"10",201110,8950,685,644,805,8950,10068,779,718,819,10068,3346,237,215,266,3346,1888,167,158,226,1888,2500,144,135,193,2500,1966,133,127,169,1966,904,53,46,60,904,678,43,42,78,678,372,45,44,53,372,339,33,33,32,339,86,11,11,16,86,153,18,17,35,153,155,29,23,9,155,330,33,28,27,330,78,17,11,6,78,32,5,5,3,32,165,19,17,21,165,239,25,25,20,239,99,9,8,12,99,13,3,3,3,13,1808,53,53,110,1808,1058,43,42,90,1058,641,17,17,26,641,480,19,19,37,480,6637,568,539,652,6637,8445,682,628,714,8445,2478,190,176,218,2478,1313,137,131,172,1313
