#Field:candidate	MonthId	NumTweets_Month1	NumDistinctTweets_Month1	NumDistinctUsers_Month1	NumPopularTweets_Month1	NumVerifiedTweets_Month1	NumTweets_Month2	NumDistinctTweets_Month2	NumDistinctUsers_Month2	NumPopularTweets_Month2	NumVerifiedTweets_Month2	NumTweets_Week1	NumDistinctTweets_Week1	NumDistinctUsers_Week1	NumPopularTweets_Week1	NumVerifiedTweets_Week1	NumTweets_Week2	NumDistinctTweets_Week2	NumDistinctUsers_Week2	NumPopularTweets_Week2	NumVerifiedTweets_Week2
all	201101	530633	514999	199144	5215	1195	0	0	0	0	0	168872	163551	62385	1906	565	178349	173041	68404	1841	346
all old	201101	37151	31164	20573	1099	427	0	0	0	0	0	12251	10220	6804	397	143	12440	10369	6954	417	138
hashtags	201101	501510	494993	184241	4395	796	0	0	0	0	0	159501	157080	57526	1611	430	168529	166227	63297	1504	220
job opening	201101	10206	8571	6050	336	84	0	0	0	0	0	3432	2864	2013	123	33	3376	2794	2035	107	48
job opportunity	201101	7598	6400	3563	145	24	0	0	0	0	0	2379	2013	1210	58	0	2465	2139	1170	53	18
job posting	201101	14448	13139	8381	218	60	0	0	0	0	0	4928	4331	2683	85	57	4710	4254	2768	83	0
we are hiring	201101	5001	3464	3039	409	259	0	0	0	0	0	1560	1158	1045	135	53	1906	1300	1128	175	72
all	201102	784800	756876	288697	7566	5134	486760	472577	183668	4753	994	211969	204740	81239	1939	1069	236409	227772	84032	2273	1919
all old	201102	55291	44530	29310	1683	1102	33784	28396	18741	1022	404	15678	12534	8135	442	221	16641	13574	8986	502	233
hashtags	201102	740788	728518	267958	6397	4240	460251	454346	170093	3994	610	199203	196293	75459	1624	868	223109	219060	77506	1915	1718
job opening	201102	15818	12207	8774	563	294	9234	7807	5516	316	84	5039	3669	2563	138	54	4910	3844	2723	168	93
job opportunity	201102	10441	8394	4999	261	152	6968	5877	3266	134	24	2591	2089	1329	58	14	3395	2686	1544	81	61
job posting	201102	20726	18930	11435	266	66	13117	11942	7622	205	60	5643	5245	2971	52	45	5740	5334	3355	82	9
we are hiring	201102	8426	5516	4755	599	590	4563	3144	2755	375	236	2441	1685	1460	195	108	2633	1878	1566	174	70
all	201103	188040	179584	75598	1832	2112	799992	771478	295535	7795	5428	1938	1431	1198	97	240	6563	5959	4293	145	298
all old	201103	13741	11229	6963	413	138	56312	45399	29851	1738	1114	195	98	96	21	0	512	368	331	33	42
hashtags	201103	176874	172933	70857	1547	2022	755178	742487	274447	6589	4534	1767	1365	1134	79	240	6155	5752	4100	122	256
job opening	201103	3781	2919	2054	147	60	16194	12501	8965	578	294	34	22	21	3	0	157	110	103	17	9
job opportunity	201103	2393	1905	1175	78	49	10675	8580	5121	279	164	71	24	24	10	0	104	57	47	6	33
job posting	201103	5707	5306	2793	45	3	20948	19176	11547	269	66	42	40	39	0	0	184	163	145	3	0
we are hiring	201103	1884	1204	1089	144	26	8615	5658	4871	618	590	48	12	12	8	0	68	44	43	7	0
all	201104	552448	524741	209097	5622	5498	188040	179584	75598	1832	2112	149439	143540	58846	990	507	154912	146398	61045	1699	1651
all old	201104	41792	33923	20544	1221	1487	13741	11229	6963	413	138	11008	9624	5832	218	79	12469	9492	6034	381	580
hashtags	201104	517147	506694	195204	4793	4119	176874	172933	70857	1547	2022	140108	138439	54912	857	432	144230	141159	56886	1438	1115
job opening	201104	13947	11229	6117	456	733	3781	2919	2054	147	60	3485	3119	1655	98	43	4505	3256	1905	148	461
job opportunity	201104	6094	4840	3341	171	214	2393	1905	1175	78	49	1646	1378	925	29	12	1543	1206	900	48	35
job posting	201104	19827	18418	8730	130	135	5707	5306	2793	45	3	5718	5386	2629	15	0	5603	5189	2583	43	33
we are hiring	201104	5908	3601	3327	471	405	1884	1204	1089	144	26	1373	999	911	79	24	1933	1003	934	143	51
all	201105	379447	362899	161751	2233	1694	560785	532680	212426	5665	5518	54192	51216	29411	661	372	96317	92475	42200	577	471
all old	201105	29190	24819	15295	509	473	42461	34505	20868	1231	1487	3884	3064	2366	124	58	7221	6053	3974	146	161
hashtags	201105	354436	350172	151670	1872	1291	524925	514401	198353	4835	4139	50817	49312	27777	554	318	90089	89190	39493	465	352
job opening	201105	9853	8633	4606	163	95	14186	11441	6209	463	733	950	652	530	22	3	2208	1826	1178	40	53
job opportunity	201105	4679	3871	2631	64	73	6173	4911	3388	171	214	814	683	480	15	6	1291	1083	701	17	23
job posting	201105	14312	13391	6597	53	24	20248	18813	8904	131	135	1383	1298	959	14	6	3244	3024	1632	17	0
we are hiring	201105	4010	2655	2399	232	281	5978	3648	3368	474	405	806	461	433	74	43	1013	695	652	72	85
all	201106	263866	246854	124912	3602	3019	379447	362899	161751	2233	1694	77491	72803	35782	1113	729	73967	68887	34474	936	996
all old	201106	17836	13583	10294	613	751	29190	24819	15295	509	473	5771	4659	3419	214	113	4626	3365	2663	141	488
hashtags	201106	248788	237806	117488	3115	2352	354436	350172	151670	1872	1291	72841	69684	33351	944	660	69963	66557	32493	820	524
job opening	201106	4576	3297	2563	111	153	9853	8633	4606	163	95	1513	1255	926	34	36	1016	752	630	18	25
job opportunity	201106	3334	2620	1833	129	85	4679	3871	2631	64	73	969	748	566	43	29	874	697	490	32	46
job posting	201106	6234	5762	4171	73	57	14312	13391	6597	53	24	2209	2040	1371	31	9	1508	1396	1062	22	18
we are hiring	201106	3740	2037	1909	304	456	4010	2655	2399	232	281	1094	649	605	108	39	1252	549	522	71	399
all	201107	493387	462019	216662	6929	3412	268616	251326	125986	3677	3125	173900	162786	70655	2322	814	135110	126104	58626	1899	896
all old	201107	36998	30065	21294	1088	1151	18026	13756	10428	620	803	13803	11713	7669	334	257	10619	8247	5878	270	328
hashtags	201107	462947	442791	201863	6058	2437	253480	242167	118488	3184	2410	162375	155656	65341	2052	581	126279	120649	54490	1680	584
job opening	201107	9927	8123	5853	209	128	4633	3358	2623	111	156	3679	3093	2093	64	30	2770	2216	1573	46	20
job opportunity	201107	6122	4823	3631	243	263	3285	2590	1823	129	89	2064	1667	1199	70	79	1795	1448	1055	59	23
job posting	201107	14550	13691	8725	145	84	6366	5890	4253	78	57	5993	5675	3238	46	33	3930	3631	2402	47	33
we are hiring	201107	6470	3632	3356	500	680	3790	2050	1914	306	501	2093	1357	1235	157	115	2147	1004	923	121	252
all	201108	652044	619150	261788	8025	4608	505713	473500	221278	7078	3376	172756	163998	69102	2220	1275	214821	205519	78586	2316	1966
all old	201108	48654	40915	26923	1415	1889	38202	31119	21941	1131	1129	13710	11937	6946	411	348	15239	12558	8524	408	1051
hashtags	201108	614319	594997	243507	6863	2843	474207	453651	206039	6171	2419	163730	158130	64487	1889	979	202139	197485	72710	1978	955
job opening	201108	15754	13156	7736	314	1071	10266	8422	6052	222	128	5471	5078	1985	86	118	4593	3401	2463	109	736
job opportunity	201108	8192	6730	4696	267	142	6357	5020	3768	252	256	2235	1832	1238	87	67	2670	2293	1507	77	33
job posting	201108	17613	16611	10507	171	219	14971	14081	8888	147	96	4191	3887	2653	53	75	5806	5511	3350	48	27
we are hiring	201108	7287	4764	4409	683	521	6684	3809	3514	519	653	1847	1237	1170	188	88	2216	1448	1332	182	271
all	201109	695778	653867	266439	9314	11801	652044	619150	261788	8025	4608	171588	162396	66547	2439	1659	179612	169208	70094	2317	2807
all old	201109	50349	42135	25699	1456	2229	48654	40915	26923	1415	1889	11280	9011	6123	369	507	12288	10091	6686	356	877
hashtags	201109	659883	630740	249052	8171	9911	614319	594997	243507	6863	2843	162656	156831	62357	2148	1220	170213	163251	65657	2040	2073
job opening	201109	17405	15532	7060	340	485	15754	13156	7736	314	1071	3291	2918	1728	83	54	3332	3005	1789	64	34
job opportunity	201109	8942	7419	5138	240	299	8192	6730	4696	267	142	1920	1532	1143	58	87	2448	2033	1398	59	119
job posting	201109	16536	15383	10023	178	360	17613	16611	10507	171	219	3973	3589	2362	51	192	4430	4047	2614	53	185
we are hiring	201109	7586	4203	3895	709	1085	7287	4764	4409	683	521	2135	1049	970	181	174	2102	1106	1009	182	539
all	201110	536298	503536	225723	7352	11597	691899	650431	263810	9113	11656	135714	126349	58783	1997	4137	146762	138240	60842	2017	2701
all old	201110	34977	27474	19478	1222	3163	48971	40957	25083	1388	2194	9829	7164	5299	363	1409	9236	7216	5144	378	719
hashtags	201110	509277	486499	212313	6380	8693	656671	627713	246805	8029	9805	127991	121829	55155	1714	2828	139542	133738	57295	1716	2093
job opening	201110	10768	9343	5648	261	390	16557	14737	6777	319	471	2650	2303	1483	72	89	3013	2486	1594	106	165
job opportunity	201110	5875	4535	3660	247	176	8760	7283	5032	228	293	1576	1172	1001	75	102	1599	1231	946	67	21
job posting	201110	11652	10643	7345	143	326	16409	15273	9923	173	360	3341	2820	1996	45	246	2801	2657	1794	36	32
we are hiring	201110	6768	3252	3086	579	2271	7356	4061	3760	678	1070	2280	944	890	173	972	1841	931	874	170	501
all	201111	475021	453415	204532	4572	6324	536298	503536	225723	7352	11597	150567	146163	61239	765	443	121778	117449	52804	769	556
all old	201111	29097	24405	17005	805	1383	34977	27474	19478	1222	3163	9183	8266	5291	135	140	6632	5748	3993	123	109
hashtags	201111	452974	438353	192770	3931	5045	509277	486499	212313	6380	8693	143830	141119	57529	661	331	116589	113819	50023	669	463
job opening	201111	9829	8377	4959	186	602	10768	9343	5648	261	390	3178	2965	1511	31	45	2135	1876	1171	33	51
job opportunity	201111	4740	3831	3125	164	99	5875	4535	3660	247	176	1475	1246	981	30	31	1168	950	744	27	21
job posting	201111	10307	9758	6550	103	162	11652	10643	7345	143	326	3378	3230	2036	16	15	2588	2502	1603	12	9
we are hiring	201111	4299	2815	2609	357	520	6768	3252	3086	579	2271	1179	934	850	58	49	752	575	534	51	28
all	201112	889843	864318	324041	4460	2078	454024	433860	198519	4095	5591	221516	215701	82922	1132	467	300649	291799	102708	1423	734
all old	201112	51150	46188	29465	627	694	27236	23004	16104	735	1130	12692	11639	7126	144	151	16765	15064	9748	199	287
hashtags	201112	849550	833922	302946	3950	1524	433336	419659	187350	3506	4561	212014	208099	77722	1012	356	286971	281469	95520	1257	491
job opening	201112	15458	13972	8010	146	291	9230	7824	4641	175	599	4027	3728	1788	32	62	4966	4393	2663	49	136
