#Field:candidate	MonthId	NumTweets_Month1	NumDistinctTweets_Month1	NumDistinctUsers_Month1	NumPopularTweets_Month1	NumVerifiedTweets_Month1	NumTweets_Month2	NumDistinctTweets_Month2	NumDistinctUsers_Month2	NumPopularTweets_Month2	NumVerifiedTweets_Month2	NumTweets_Week1	NumDistinctTweets_Week1	NumDistinctUsers_Week1	NumPopularTweets_Week1	NumVerifiedTweets_Week1	NumTweets_Week2	NumDistinctTweets_Week2	NumDistinctUsers_Week2	NumPopularTweets_Week2	NumVerifiedTweets_Week2
all	201101	1195	295	261	156	1195	0	0	0	0	0	565	173	146	75	565	346	69	65	43	346
all old	201101	427	29	28	44	427	0	0	0	0	0	143	12	12	21	143	138	9	9	13	138
hashtags	201101	796	270	237	120	796	0	0	0	0	0	430	163	136	54	430	220	61	57	34	220
job opening	201101	84	6	6	6	84	0	0	0	0	0	33	2	2	3	33	48	3	3	3	48
job opportunity	201101	24	5	5	4	24	0	0	0	0	0	0	0	0	0	0	18	3	3	4	18
job posting	201101	60	2	2	3	60	0	0	0	0	0	57	1	1	3	57	0	0	0	0	0
we are hiring	201101	259	16	16	31	259	0	0	0	0	0	53	9	9	15	53	72	3	3	6	72
all	201102	5134	1501	915	425	5134	994	232	211	124	994	1069	339	231	92	1069	1919	533	286	150	1919
all old	201102	1102	114	81	123	1102	404	25	24	38	404	221	20	19	18	221	233	34	23	34	233
hashtags	201102	4240	1405	850	326	4240	610	209	189	94	610	868	324	218	74	868	1718	505	266	120	1718
job opening	201102	294	27	20	43	294	84	6	6	6	84	54	3	3	3	54	93	12	8	16	93
job opportunity	201102	152	15	12	15	152	24	5	5	4	24	14	3	3	0	14	61	4	4	6	61
job posting	201102	66	9	9	12	66	60	2	2	3	60	45	4	4	6	45	9	2	2	3	9
we are hiring	201102	590	64	41	53	590	236	12	12	25	236	108	11	10	9	108	70	16	9	9	70
all	201103	2112	510	242	151	2112	5428	1627	931	433	5428	240	14	13	16	240	298	30	26	30	298
all old	201103	138	18	18	31	138	1114	115	82	127	1114	0	0	0	0	0	42	2	2	6	42
hashtags	201103	2022	498	230	136	2022	4534	1531	866	334	4534	240	14	13	16	240	256	28	24	24	256
job opening	201103	60	8	8	17	60	294	27	20	43	294	0	0	0	0	0	9	1	1	3	9
job opportunity	201103	49	3	3	7	49	164	16	13	19	164	0	0	0	0	0	33	1	1	3	33
job posting	201103	3	1	1	0	3	66	9	9	12	66	0	0	0	0	0	0	0	0	0	0
we are hiring	201103	26	6	6	7	26	590	64	41	53	590	0	0	0	0	0	0	0	0	0	0
