MonthId,NumTweets_Month1_all,NumDistinctTweets_Month1_all,NumDistinctUsers_Month1_all,NumPopularTweets_Month1_all,NumVerifiedTweets_Month1_all,NumTweets_Month2_all,NumDistinctTweets_Month2_all,NumDistinctUsers_Month2_all,NumPopularTweets_Month2_all,NumVerifiedTweets_Month2_all,NumTweets_Week1_all,NumDistinctTweets_Week1_all,NumDistinctUsers_Week1_all,NumPopularTweets_Week1_all,NumVerifiedTweets_Week1_all,NumTweets_Week2_all,NumDistinctTweets_Week2_all,NumDistinctUsers_Week2_all,NumPopularTweets_Week2_all,NumVerifiedTweets_Week2_all,NumTweets_Month1_allold,NumDistinctTweets_Month1_allold,NumDistinctUsers_Month1_allold,NumPopularTweets_Month1_allold,NumVerifiedTweets_Month1_allold,NumTweets_Month2_allold,NumDistinctTweets_Month2_allold,NumDistinctUsers_Month2_allold,NumPopularTweets_Month2_allold,NumVerifiedTweets_Month2_allold,NumTweets_Week1_allold,NumDistinctTweets_Week1_allold,NumDistinctUsers_Week1_allold,NumPopularTweets_Week1_allold,NumVerifiedTweets_Week1_allold,NumTweets_Week2_allold,NumDistinctTweets_Week2_allold,NumDistinctUsers_Week2_allold,NumPopularTweets_Week2_allold,NumVerifiedTweets_Week2_allold,NumTweets_Month1_opening,NumDistinctTweets_Month1_opening,NumDistinctUsers_Month1_opening,NumPopularTweets_Month1_opening,NumVerifiedTweets_Month1_opening,NumTweets_Month2_opening,NumDistinctTweets_Month2_opening,NumDistinctUsers_Month2_opening,NumPopularTweets_Month2_opening,NumVerifiedTweets_Month2_opening,NumTweets_Week1_opening,NumDistinctTweets_Week1_opening,NumDistinctUsers_Week1_opening,NumPopularTweets_Week1_opening,NumVerifiedTweets_Week1_opening,NumTweets_Week2_opening,NumDistinctTweets_Week2_opening,NumDistinctUsers_Week2_opening,NumPopularTweets_Week2_opening,NumVerifiedTweets_Week2_opening,NumTweets_Month1_posting,NumDistinctTweets_Month1_posting,NumDistinctUsers_Month1_posting,NumPopularTweets_Month1_posting,NumVerifiedTweets_Month1_posting,NumTweets_Month2_posting,NumDistinctTweets_Month2_posting,NumDistinctUsers_Month2_posting,NumPopularTweets_Month2_posting,NumVerifiedTweets_Month2_posting,NumTweets_Week1_posting,NumDistinctTweets_Week1_posting,NumDistinctUsers_Week1_posting,NumPopularTweets_Week1_posting,NumVerifiedTweets_Week1_posting,NumTweets_Week2_posting,NumDistinctTweets_Week2_posting,NumDistinctUsers_Week2_posting,NumPopularTweets_Week2_posting,NumVerifiedTweets_Week2_posting,NumTweets_Month1_opportunity,NumDistinctTweets_Month1_opportunity,NumDistinctUsers_Month1_opportunity,NumPopularTweets_Month1_opportunity,NumVerifiedTweets_Month1_opportunity,NumTweets_Month2_opportunity,NumDistinctTweets_Month2_opportunity,NumDistinctUsers_Month2_opportunity,NumPopularTweets_Month2_opportunity,NumVerifiedTweets_Month2_opportunity,NumTweets_Week1_opportunity,NumDistinctTweets_Week1_opportunity,NumDistinctUsers_Week1_opportunity,NumPopularTweets_Week1_opportunity,NumVerifiedTweets_Week1_opportunity,NumTweets_Week2_opportunity,NumDistinctTweets_Week2_opportunity,NumDistinctUsers_Week2_opportunity,NumPopularTweets_Week2_opportunity,NumVerifiedTweets_Week2_opportunity,NumTweets_Month1_hiring,NumDistinctTweets_Month1_hiring,NumDistinctUsers_Month1_hiring,NumPopularTweets_Month1_hiring,NumVerifiedTweets_Month1_hiring,NumTweets_Month2_hiring,NumDistinctTweets_Month2_hiring,NumDistinctUsers_Month2_hiring,NumPopularTweets_Month2_hiring,NumVerifiedTweets_Month2_hiring,NumTweets_Week1_hiring,NumDistinctTweets_Week1_hiring,NumDistinctUsers_Week1_hiring,NumPopularTweets_Week1_hiring,NumVerifiedTweets_Week1_hiring,NumTweets_Week2_hiring,NumDistinctTweets_Week2_hiring,NumDistinctUsers_Week2_hiring,NumPopularTweets_Week2_hiring,NumVerifiedTweets_Week2_hiring,NumTweets_Month1_hashtags,NumDistinctTweets_Month1_hashtags,NumDistinctUsers_Month1_hashtags,NumPopularTweets_Month1_hashtags,NumVerifiedTweets_Month1_hashtags,NumTweets_Month2_hashtags,NumDistinctTweets_Month2_hashtags,NumDistinctUsers_Month2_hashtags,NumPopularTweets_Month2_hashtags,NumVerifiedTweets_Month2_hashtags,NumTweets_Week1_hashtags,NumDistinctTweets_Week1_hashtags,NumDistinctUsers_Week1_hashtags,NumPopularTweets_Week1_hashtags,NumVerifiedTweets_Week1_hashtags,NumTweets_Week2_hashtags,NumDistinctTweets_Week2_hashtags,NumDistinctUsers_Week2_hashtags,NumPopularTweets_Week2_hashtags,NumVerifiedTweets_Week2_hashtags
201101,1470454,1434663,509095,11625,2106,0,0,0,0,0,547025,535193,168625,4329,1010,473170,461277,173961,3961,568,279258,262546,71844,2835,717,0,0,0,0,0,153517,148274,26830,1182,210,75671,70010,24306,948,246,31343,25701,18433,682,186,0,0,0,0,0,9913,8343,5924,227,51,10444,8350,6311,225,66,26167,23865,16144,351,97,0,0,0,0,0,8439,7561,5013,126,85,8950,8184,5628,130,6,24339,20232,15075,457,81,0,0,0,0,0,7763,6555,5030,183,18,7788,6668,4981,150,45,198075,193905,23513,1359,353,0,0,0,0,0,127775,126312,11356,652,56,48712,47189,7800,445,129,1206176,1192340,449991,9342,1429,0,0,0,0,0,399063,393860,146222,3352,812,402319,397703,153807,3181,334
201102,2032663,1967626,729353,16582,8403,1298562,1266155,466488,10595,1677,503600,485112,199402,4472,1905,589507,569101,214413,4975,3057,275563,245063,96870,3804,1510,209293,194189,64344,2568,672,42696,33603,24838,1014,309,56560,47086,29369,1136,412,48933,37671,28023,1051,345,28577,23516,16839,635,168,14901,11099,8343,269,66,16315,12567,9274,364,108,39137,34851,22708,495,109,23929,21841,14815,334,93,10399,9283,5988,119,60,10975,10138,6555,162,18,36850,29654,22271,669,302,22252,18548,13812,415,81,10059,8016,5990,190,27,12241,9631,7099,186,198,151672,144605,25870,1607,754,135139,131341,20089,1197,330,7633,5679,5071,442,156,17316,15283,7066,431,88,1779676,1753565,652648,13667,7153,1102922,1090450,413784,8545,1033,467101,459703,180077,3699,1632,540020,531600,191243,4131,2701
201103,437028,417543,186097,4285,4155,2042283,1975837,743222,16947,8983,4495,3673,2978,188,355,16172,14569,10899,380,621,33929,27287,19995,850,249,255250,224397,97280,3838,1522,425,219,216,43,21,1334,925,870,72,99,10806,8363,6300,251,84,49715,38294,28501,1075,345,75,52,50,4,0,375,264,254,21,9,9410,8658,5237,90,81,39553,35282,22976,503,109,88,61,60,6,21,368,281,255,9,57,7977,6424,4980,174,52,37553,30232,22733,693,314,146,63,63,13,0,333,226,213,12,33,5926,4176,3884,339,32,129449,122307,25079,1585,754,119,46,46,21,0,266,169,164,30,0,408187,398219,171079,3636,3954,1810091,1782972,666619,14021,7733,4118,3514,2823,151,334,15041,13918,10278,326,522
201104,1414797,1357316,566105,12750,10060,437028,417543,186097,4285,4155,396181,384508,161697,2234,742,400307,382451,164853,3824,3494,105540,86319,61484,2450,1745,33929,27287,19995,850,249,27803,23781,17081,420,98,31307,24628,18264,793,735,34893,27927,18681,722,787,10806,8363,6300,251,84,9375,8109,5367,132,43,11532,8562,5955,239,497,31123,28256,16036,272,159,9410,8658,5237,90,81,8329,7749,4373,35,6,9039,8079,4794,87,48,24844,20278,16110,481,271,7977,6424,4980,174,52,6939,5698,4494,86,15,6090,5065,4272,147,65,18921,14467,12291,989,528,5926,4176,3884,339,32,4434,3595,3284,171,34,5819,4182,3690,323,125,1324126,1297839,519643,10939,8507,408187,398219,171079,3636,3954,372241,368228,149044,1943,652,373489,365388,150826,3240,2859
201105,981696,945457,426838,5352,2769,1436994,1378740,575771,12860,10072,146777,137762,77069,1505,577,249601,240472,112464,1458,834,74384,61959,45293,1078,560,107170,87682,62442,2461,1745,10684,8496,6959,295,79,19539,16012,12116,299,182,26862,22561,15353,283,137,35480,28422,19000,728,787,3088,2423,2055,59,6,7004,5675,4198,75,68,21885,19924,11764,127,24,31693,28783,16302,272,159,2522,2265,1800,43,6,5514,4820,3114,41,0,17686,14202,10744,198,100,25256,20609,16375,483,271,3100,2438,1805,56,18,4462,3634,2687,43,23,11833,9332,8785,474,299,19128,14631,12443,992,528,2075,1449,1393,138,49,3132,2525,2401,140,91,916762,903334,392681,4529,2291,1344902,1318385,528626,11047,8519,137231,131481,71683,1258,502,232200,229226,103090,1214,694
201106,686715,621509,326903,7936,4682,981696,945457,426838,5352,2769,194161,179321,93859,2394,1215,191835,169705,90584,2103,1481,50573,40025,32383,1465,1218,74384,61959,45293,1078,560,17691,14484,11270,474,239,12391,9620,8027,383,587,17479,13873,10830,290,284,26862,22561,15353,283,137,7197,6115,4438,87,74,3704,2967,2392,72,29,11397,10250,7884,153,73,21885,19924,11764,127,24,4052,3589,2616,58,13,2637,2398,1944,38,18,11314,9048,7310,301,121,17686,14202,10744,198,100,3457,2720,2283,99,32,2815,2271,1830,71,76,10520,7180,6804,728,740,11833,9332,8785,474,299,3030,2153,2071,233,120,3282,2061,1968,205,464,644899,592913,302920,6767,3568,916762,903334,392681,4529,2291,181196,170205,86376,2019,1032,181006,162243,84282,1794,922
201107,1277783,1173921,589720,17486,6054,697079,630372,329511,8081,4878,450432,414667,197324,6015,1555,353504,323238,161400,5034,1402,115403,94177,69215,2487,1431,51769,41000,33018,1470,1264,41523,34399,24223,816,340,34003,26948,19274,671,454,49580,40544,27298,571,140,18462,14677,11316,294,284,18039,14836,9428,200,36,13692,10797,7101,150,20,24238,21960,15649,296,162,11552,10401,7997,156,73,9455,8676,5683,104,51,7017,6121,4527,84,87,23976,19279,14698,593,367,11334,9055,7344,301,122,8069,6578,5147,191,100,7710,6248,4074,167,62,17870,12972,12291,1038,766,10562,7189,6807,726,785,6058,4526,4228,324,153,5645,3929,3754,273,285,1193299,1117130,543715,15563,4826,654843,601487,305331,6906,3722,419863,394474,181321,5383,1247,328137,306624,148223,4514,976
201108,1665225,1564441,729751,19162,8811,1308975,1203558,603538,17964,5986,440887,412366,193036,4795,2709,545987,521094,221895,5251,3034,151189,126007,88045,3222,2436,119224,97518,71408,2569,1415,39924,33812,22523,865,396,47006,39373,27733,953,1161,67300,56516,35087,737,1150,51025,41845,28054,592,146,16649,15179,8561,186,131,21033,17412,11249,221,790,28598,26365,18475,347,282,25110,22749,16088,301,174,6996,6327,4762,90,84,9242,8568,5738,109,50,33616,26903,19543,758,190,24876,20050,15251,616,360,10690,8063,5156,215,75,10202,8445,6154,227,57,22210,17113,16214,1411,898,18484,13493,12782,1071,739,5706,4457,4286,380,110,6660,5188,4914,405,280,1559351,1492961,672296,16644,6543,1221601,1144836,556073,15972,4770,415276,395046,178576,4134,2373,511749,497433,203543,4497,1945
201109,1686316,1574822,730487,19041,18966,1665225,1564441,729751,19162,8811,410725,386588,181741,4667,3340,434144,405661,190956,4804,4550,142246,117952,81632,3155,3330,151189,126007,88045,3222,2436,33803,27811,20267,823,1218,35174,29001,21071,784,1232,58645,50808,30791,726,1324,67300,56516,35087,737,1150,13907,11743,7421,197,657,13741,11873,7869,148,208,26252,24156,17481,345,405,28598,26365,18475,347,282,6634,5984,4410,102,225,7128,6478,4698,108,203,35779,27823,19533,699,361,33616,26903,19543,758,190,6864,5627,4420,155,91,8545,6767,5059,188,174,21939,16015,14791,1405,1240,22210,17113,16214,1411,898,6521,4660,4249,376,245,5825,4079,3702,343,647,1589589,1509311,677253,16641,16011,1559351,1492961,672296,16644,6543,386540,369962,168189,4012,2202,409393,388835,177352,4224,3477
201110,1282659,1201194,606116,15034,20035,1675310,1565620,722923,18559,18592,324865,303591,154636,4032,6154,344136,321313,160161,4186,5506,100651,82231,62617,2622,4139,138518,115038,79617,3039,3292,28838,22476,16979,783,2142,27004,21790,16973,773,798,41456,36059,24163,589,460,57194,49489,29796,682,1310,11618,10095,6380,167,92,11770,9698,7016,215,189,19708,17517,13380,277,350,25993,23913,17267,341,405,5997,4923,3838,82,264,4704,4392,3298,73,35,20964,16795,14059,591,265,34228,26837,19098,671,355,5403,4307,3762,192,109,5554,4439,3652,158,51,18832,12591,11783,1178,3064,21455,15638,14398,1363,1222,5900,3323,3181,346,1677,5049,3482,3219,328,523,1211676,1152175,564800,13006,16183,1580680,1501301,670865,16246,15679,304665,290449,143405,3435,4116,324420,307848,148726,3597,4823
