"MonthId","NumTweets_Month1_all","NumDistinctTweets_Month1_all","NumDistinctUsers_Month1_all","NumPopularTweets_Month1_all","NumVerifiedTweets_Month1_all","NumTweets_Month2_all","NumDistinctTweets_Month2_all","NumDistinctUsers_Month2_all","NumPopularTweets_Month2_all","NumVerifiedTweets_Month2_all","NumTweets_Week1_all","NumDistinctTweets_Week1_all","NumDistinctUsers_Week1_all","NumPopularTweets_Week1_all","NumVerifiedTweets_Week1_all","NumTweets_Week2_all","NumDistinctTweets_Week2_all","NumDistinctUsers_Week2_all","NumPopularTweets_Week2_all","NumVerifiedTweets_Week2_all","NumTweets_Month1_allold","NumDistinctTweets_Month1_allold","NumDistinctUsers_Month1_allold","NumPopularTweets_Month1_allold","NumVerifiedTweets_Month1_allold","NumTweets_Month2_allold","NumDistinctTweets_Month2_allold","NumDistinctUsers_Month2_allold","NumPopularTweets_Month2_allold","NumVerifiedTweets_Month2_allold","NumTweets_Week1_allold","NumDistinctTweets_Week1_allold","NumDistinctUsers_Week1_allold","NumPopularTweets_Week1_allold","NumVerifiedTweets_Week1_allold","NumTweets_Week2_allold","NumDistinctTweets_Week2_allold","NumDistinctUsers_Week2_allold","NumPopularTweets_Week2_allold","NumVerifiedTweets_Week2_allold","NumTweets_Month1_opening","NumDistinctTweets_Month1_opening","NumDistinctUsers_Month1_opening","NumPopularTweets_Month1_opening","NumVerifiedTweets_Month1_opening","NumTweets_Month2_opening","NumDistinctTweets_Month2_opening","NumDistinctUsers_Month2_opening","NumPopularTweets_Month2_opening","NumVerifiedTweets_Month2_opening","NumTweets_Week1_opening","NumDistinctTweets_Week1_opening","NumDistinctUsers_Week1_opening","NumPopularTweets_Week1_opening","NumVerifiedTweets_Week1_opening","NumTweets_Week2_opening","NumDistinctTweets_Week2_opening","NumDistinctUsers_Week2_opening","NumPopularTweets_Week2_opening","NumVerifiedTweets_Week2_opening","NumTweets_Month1_posting","NumDistinctTweets_Month1_posting","NumDistinctUsers_Month1_posting","NumPopularTweets_Month1_posting","NumVerifiedTweets_Month1_posting","NumTweets_Month2_posting","NumDistinctTweets_Month2_posting","NumDistinctUsers_Month2_posting","NumPopularTweets_Month2_posting","NumVerifiedTweets_Month2_posting","NumTweets_Week1_posting","NumDistinctTweets_Week1_posting","NumDistinctUsers_Week1_posting","NumPopularTweets_Week1_posting","NumVerifiedTweets_Week1_posting","NumTweets_Week2_posting","NumDistinctTweets_Week2_posting","NumDistinctUsers_Week2_posting","NumPopularTweets_Week2_posting","NumVerifiedTweets_Week2_posting","NumTweets_Month1_opportunity","NumDistinctTweets_Month1_opportunity","NumDistinctUsers_Month1_opportunity","NumPopularTweets_Month1_opportunity","NumVerifiedTweets_Month1_opportunity","NumTweets_Month2_opportunity","NumDistinctTweets_Month2_opportunity","NumDistinctUsers_Month2_opportunity","NumPopularTweets_Month2_opportunity","NumVerifiedTweets_Month2_opportunity","NumTweets_Week1_opportunity","NumDistinctTweets_Week1_opportunity","NumDistinctUsers_Week1_opportunity","NumPopularTweets_Week1_opportunity","NumVerifiedTweets_Week1_opportunity","NumTweets_Week2_opportunity","NumDistinctTweets_Week2_opportunity","NumDistinctUsers_Week2_opportunity","NumPopularTweets_Week2_opportunity","NumVerifiedTweets_Week2_opportunity","NumTweets_Month1_hiring","NumDistinctTweets_Month1_hiring","NumDistinctUsers_Month1_hiring","NumPopularTweets_Month1_hiring","NumVerifiedTweets_Month1_hiring","NumTweets_Month2_hiring","NumDistinctTweets_Month2_hiring","NumDistinctUsers_Month2_hiring","NumPopularTweets_Month2_hiring","NumVerifiedTweets_Month2_hiring","NumTweets_Week1_hiring","NumDistinctTweets_Week1_hiring","NumDistinctUsers_Week1_hiring","NumPopularTweets_Week1_hiring","NumVerifiedTweets_Week1_hiring","NumTweets_Week2_hiring","NumDistinctTweets_Week2_hiring","NumDistinctUsers_Week2_hiring","NumPopularTweets_Week2_hiring","NumVerifiedTweets_Week2_hiring","NumTweets_Month1_hashtags","NumDistinctTweets_Month1_hashtags","NumDistinctUsers_Month1_hashtags","NumPopularTweets_Month1_hashtags","NumVerifiedTweets_Month1_hashtags","NumTweets_Month2_hashtags","NumDistinctTweets_Month2_hashtags","NumDistinctUsers_Month2_hashtags","NumPopularTweets_Month2_hashtags","NumVerifiedTweets_Month2_hashtags","NumTweets_Week1_hashtags","NumDistinctTweets_Week1_hashtags","NumDistinctUsers_Week1_hashtags","NumPopularTweets_Week1_hashtags","NumVerifiedTweets_Week1_hashtags","NumTweets_Week2_hashtags","NumDistinctTweets_Week2_hashtags","NumDistinctUsers_Week2_hashtags","NumPopularTweets_Week2_hashtags","NumVerifiedTweets_Week2_hashtags"
201102,562209,532963,220258,4957,6297,1298562,1266155,466488,10595,1677,-43425,-50081,30777,143,895,116337,107824,40452,1014,2489,-3695,-17483,25026,969,793,209293,194189,64344,2568,672,-110821,-114671,-1992,-168,99,-19111,-22924,5063,188,166,17590,11970,9590,369,159,28577,23516,16839,635,168,4988,2756,2419,42,15,5871,4217,2963,139,42,12970,10986,6564,144,12,23929,21841,14815,334,93,1960,1722,975,-7,-25,2025,1954,927,32,12,12511,9422,7196,212,221,22252,18548,13812,415,81,2296,1461,960,7,9,4453,2963,2118,36,153,-46403,-49300,2357,248,401,135139,131341,20089,1197,330,-120142,-120633,-6285,-210,100,-31396,-31906,-734,-14,-41,573500,561225,202657,4325,5724,1102922,1090450,413784,8545,1033,68038,65843,33855,347,820,137701,133897,37436,950,2367
201103,-1595635,-1550083,-543256,-12297,-4248,743721,709682,276734,6352,7306,-499105,-481439,-196424,-4284,-1550,-573335,-554532,-203514,-4595,-2436,-241634,-217776,-76875,-2954,-1261,45957,30208,32936,1270,850,-42271,-33384,-24622,-971,-288,-55226,-46161,-28499,-1064,-313,-38127,-29308,-21723,-800,-261,21138,14778,11662,440,177,-14826,-11047,-8293,-265,-66,-15940,-12303,-9020,-343,-99,-29727,-26193,-17471,-405,-28,15624,13441,8161,169,16,-10311,-9222,-5928,-113,-39,-10607,-9857,-6300,-153,39,-28873,-23230,-17291,-495,-250,15301,11684,8921,278,233,-9913,-7953,-5927,-177,-27,-11908,-9405,-6886,-174,-165,-145746,-140429,-21986,-1268,-722,-5690,-9034,4990,388,424,-7514,-5633,-5025,-421,-156,-17050,-15114,-6902,-401,-88,-1371489,-1355346,-481569,-10031,-3199,707169,692522,252835,5476,6700,-462983,-456189,-177254,-3548,-1298,-524979,-517682,-180965,-3805,-2179
201104,977769,939773,380008,8465,5905,-1605255,-1558294,-557125,-12662,-4828,391686,380835,158719,2046,387,384135,367882,153954,3444,2873,71611,59032,41489,1600,1496,-221321,-197110,-77285,-2988,-1273,27378,23562,16865,377,77,29973,23703,17394,721,636,24087,19564,12381,471,703,-38909,-29931,-22201,-824,-261,9300,8057,5317,128,43,11157,8298,5701,218,488,21713,19598,10799,182,78,-30143,-26624,-17739,-413,-28,8241,7688,4313,29,-15,8671,7798,4539,78,-9,16867,13854,11130,307,219,-29576,-23808,-17753,-519,-262,6793,5635,4431,73,15,5757,4839,4059,135,32,12995,10291,8407,650,496,-123523,-118131,-21195,-1246,-722,4315,3549,3238,150,34,5553,4013,3526,293,125,915939,899620,348564,7303,4553,-1401904,-1384753,-495540,-10385,-3779,368123,364714,146221,1792,318,358448,351470,140548,2914,2337
201105,-433101,-411859,-139267,-7398,-7291,999966,961197,389674,8575,5917,-249404,-246746,-84628,-729,-165,-150706,-141979,-52389,-2366,-2660,-31156,-24360,-16191,-1372,-1185,73241,60395,42447,1611,1496,-17119,-15285,-10122,-125,-19,-11768,-8616,-6148,-494,-553,-8031,-5366,-3328,-439,-650,24674,20059,12700,477,703,-6287,-5686,-3312,-73,-37,-4528,-2887,-1757,-164,-429,-9238,-8332,-4272,-145,-135,22283,20125,11065,182,78,-5807,-5484,-2573,8,0,-3525,-3259,-1680,-46,-48,-7158,-6076,-5366,-283,-171,17279,14185,11395,309,219,-3839,-3260,-2689,-30,3,-1628,-1431,-1585,-104,-42,-7088,-5135,-3506,-515,-229,13202,10455,8559,653,496,-2359,-2146,-1891,-33,15,-2687,-1657,-1289,-183,-34,-407364,-394505,-126962,-6410,-6216,936715,920166,357547,7411,4565,-235010,-236747,-77361,-685,-150,-141289,-136162,-47736,-2026,-2165
201106,-294981,-323948,-99935,2584,1913,-455298,-433283,-148933,-7508,-7303,47384,41559,16790,889,638,-57766,-70767,-21880,645,647,-23811,-21934,-12910,387,658,-32786,-25723,-17149,-1383,-1185,7007,5988,4311,179,160,-7148,-6392,-4089,84,405,-9383,-8688,-4523,7,147,-8618,-5861,-3647,-445,-650,4109,3692,2383,28,68,-3300,-2708,-1806,-3,-39,-10488,-9674,-3880,26,49,-9808,-8859,-4538,-145,-135,1530,1324,816,15,7,-2877,-2422,-1170,-3,18,-6372,-5154,-3434,103,21,-7570,-6407,-5631,-285,-171,357,282,478,43,14,-1647,-1363,-857,28,53,-1313,-2152,-1981,254,441,-7295,-5299,-3658,-518,-229,955,704,678,95,71,150,-464,-433,65,373,-271863,-310421,-89761,2238,1277,-428140,-415051,-135945,-6518,-6228,43965,38724,14693,761,530,-51194,-66983,-18808,580,228
201107,591068,552412,262817,9550,1372,-284617,-315085,-97327,2729,2109,256271,235346,103465,3621,340,161669,153533,70816,2931,-79,64830,54152,36832,1022,213,-22615,-20959,-12275,392,704,23832,19915,12953,342,101,21612,17328,11247,288,-133,32101,26671,16468,281,-144,-8400,-7884,-4037,11,147,10842,8721,4990,113,-38,9988,7830,4709,78,-9,12841,11710,7765,143,89,-10333,-9523,-3767,29,49,5403,5087,3067,46,38,4380,3723,2583,46,69,12662,10231,7388,292,246,-6352,-5147,-3400,103,22,4612,3858,2864,92,68,4895,3977,2244,96,-14,7350,5792,5487,310,26,-1271,-2143,-1978,252,486,3028,2373,2157,91,33,2363,1868,1786,68,-179,548400,524217,240795,8796,1258,-261919,-301847,-87350,2377,1431,238667,224269,94945,3364,215,147131,144381,63941,2720,54
201108,387442,390520,140031,1676,2757,611896,573186,274027,9883,1108,-9545,-2301,-4288,-1220,1154,192483,197856,60495,217,1632,35786,31830,18830,735,1005,67455,56518,38390,1099,151,-1599,-587,-1700,49,56,13003,12425,8459,282,707,17720,15972,7789,166,1010,32563,27168,16738,298,-138,-1390,343,-867,-14,95,7341,6615,4148,71,770,4360,4405,2826,51,120,13558,12348,8091,145,101,-2459,-2349,-921,-14,33,2225,2447,1211,25,-37,9640,7624,4845,165,-177,13542,10995,7907,315,238,2621,1485,9,24,-25,2492,2197,2080,60,-5,4340,4141,3923,373,132,7922,6304,5975,345,-46,-352,-69,58,56,-43,1015,1259,1160,132,-5,366052,375831,128581,1081,1717,566758,543349,250742,9066,1048,-4587,572,-2745,-1249,1126,183612,190809,55320,-17,969
201109,21091,10381,736,-121,10155,356250,360883,126213,1198,2825,-30162,-25778,-11295,-128,631,-111843,-115433,-30939,-447,1516,-8943,-8055,-6413,-67,894,31965,28489,16637,653,1021,-6121,-6001,-2256,-42,822,-11832,-10372,-6662,-169,71,-8655,-5708,-4296,-11,174,16275,14671,7033,145,1004,-2742,-3436,-1140,11,526,-7292,-5539,-3380,-73,-582,-2346,-2209,-994,-2,123,3488,3616,2387,46,108,-362,-343,-352,12,141,-2114,-2090,-1040,-1,153,2163,920,-10,-59,171,8740,6853,4292,142,-170,-3826,-2436,-736,-60,16,-1657,-1678,-1095,-39,117,-271,-1098,-1423,-6,342,3726,3620,3432,340,159,815,203,-37,-4,135,-835,-1109,-1212,-62,367,30238,16350,4957,-3,9468,337750,348125,116223,672,1773,-28736,-25084,-10387,-122,-171,-102356,-108598,-26191,-273,1532
201110,-403657,-373628,-124371,-4007,1069,10085,1179,-6828,-603,9781,-85860,-82997,-27105,-635,2814,-90008,-84348,-30795,-618,956,-41595,-35721,-19015,-533,809,-12671,-10969,-8428,-183,856,-4965,-5335,-3288,-40,924,-8170,-7211,-4098,-11,-434,-17189,-14749,-6628,-137,-864,-10106,-7027,-5291,-55,160,-2289,-1648,-1041,-30,-565,-1971,-2175,-853,67,-19,-6544,-6639,-4101,-68,-55,-2605,-2452,-1208,-6,123,-637,-1061,-572,-20,39,-2424,-2086,-1400,-35,-168,-14815,-11028,-5474,-108,-96,612,-66,-445,-87,165,-1461,-1320,-658,37,18,-2991,-2328,-1407,-30,-123,-3107,-3424,-3008,-227,1824,-755,-1475,-1816,-48,324,-621,-1337,-1068,-30,1432,-776,-597,-483,-15,-124,-377913,-357136,-112453,-3635,172,21329,8340,-1431,-398,9136,-81875,-79513,-24784,-577,1914,-84973,-80987,-28626,-627,1346
201111,-135597,-116720,-61560,-2664,-9610,-392651,-364426,-116807,-3525,1443,38186,41900,11274,-218,-5339,-53537,-45687,-21327,-1497,-4616,-12149,-8683,-7703,-196,-2037,-37867,-32807,-17000,-417,847,906,2857,624,-5,-1720,-5698,-3908,-3295,-228,-665,-2207,-2299,-2147,-61,236,-15738,-13430,-5633,-93,-850,1759,1964,581,-13,-44,-2476,-1723,-1456,-91,-123,-2954,-2330,-2153,-41,85,-6285,-6396,-3887,-64,-55,-602,71,-338,-19,-246,-542,-502,-479,-30,-23,-2823,-2195,-1652,-12,126,-13264,-10042,-5039,-80,-90,700,511,290,-2,186,-880,-592,-417,-36,-27,-4108,-1813,-1818,-82,-2484,-2623,-3047,-2615,-185,1842,-887,400,163,29,-1616,-1792,-1063,-981,-71,-492,-126830,-112150,-56829,-2517,-7688,-369004,-349126,-106065,-3240,504,37855,39771,10685,-236,-3695,-49397,-43527,-19227,-1351,-4050
