#Field:candidate	MonthId	NumTweets_Month1	NumDistinctTweets_Month1	NumDistinctUsers_Month1	NumPopularTweets_Month1	NumVerifiedTweets_Month1	NumTweets_Month2	NumDistinctTweets_Month2	NumDistinctUsers_Month2	NumPopularTweets_Month2	NumVerifiedTweets_Month2	NumTweets_Week1	NumDistinctTweets_Week1	NumDistinctUsers_Week1	NumPopularTweets_Week1	NumVerifiedTweets_Week1	NumTweets_Week2	NumDistinctTweets_Week2	NumDistinctUsers_Week2	NumPopularTweets_Week2	NumVerifiedTweets_Week2
all	201101	760439	752795	339647	5822	439	0	0	0	0	0	272837	270073	112615	2115	222	247635	244968	115674	1997	129
all old	201101	96953	95318	33403	978	82	0	0	0	0	0	55132	54497	13337	425	21	25761	25189	11105	319	37
hashtags	201101	519502	514606	262849	3869	310	0	0	0	0	0	171931	170121	85685	1384	202	173375	171708	89599	1327	58
job opening	201101	6582	6359	5609	153	14	0	0	0	0	0	2099	2015	1764	52	1	2118	2065	1860	43	2
job opportunity	201101	6396	6183	5395	143	15	0	0	0	0	0	2047	1960	1742	61	0	2183	2095	1839	54	11
job posting	201101	6378	6222	5215	110	22	0	0	0	0	0	2063	2003	1659	36	21	2213	2157	1820	44	2
we are hiring	201101	53923	53180	12603	388	42	0	0	0	0	0	34817	34524	6558	188	2	13399	13095	4086	133	0
all	201102	1004449	993067	459457	7762	1835	679343	672305	310949	5344	346	207949	204877	108833	1757	391	304897	301335	137980	2402	752
all old	201102	90489	87986	41731	1246	162	71524	70039	29435	887	79	12382	11626	9866	343	51	17322	16617	12178	361	26
hashtags	201102	827863	818857	399081	6133	1805	474947	470563	241570	3526	200	261582	258649	123489	1990	422	240466	237843	113615	1749	645
job opening	201102	11580	10988	9573	287	36	6025	5811	5126	145	14	3863	3731	3216	90	0	4113	3780	3267	105	10
job opportunity	201102	8924	8645	7555	197	8	5890	5697	4982	125	15	2263	2199	1927	46	2	3003	2921	2516	55	3
job posting	201102	9155	8902	7401	144	17	5845	5696	4783	104	22	2507	2441	1975	34	11	2624	2551	2131	51	3
we are hiring	201102	40135	39181	11123	405	29	36709	36044	10365	330	42	1759	1589	1526	106	6	4305	4054	2504	114	7
all	201103	177865	174556	100247	1648	827	1003853	992231	465076	7845	1972	1753	1570	1392	76	36	6626	6136	5233	147	226
all old	201103	10026	9380	7962	302	18	82921	80381	41410	1253	162	160	75	74	9	7	411	327	320	27	0
hashtags	201103	229927	225780	116257	1970	1173	850420	841056	409840	6378	1955	2269	1973	1715	78	131	8236	7845	6424	168	68
job opening	201103	2962	2775	2426	70	6	11898	11244	9784	297	36	22	18	18	1	0	86	84	84	2	0
job opportunity	201103	1939	1730	1574	51	0	9094	8798	7699	208	8	21	13	13	5	0	59	58	58	1	0
job posting	201103	2153	2125	1681	16	0	9243	8992	7468	142	17	10	10	10	0	0	69	68	65	1	0
we are hiring	201103	1420	1197	1180	96	5	34101	33135	10379	408	29	22	14	14	6	0	71	51	51	11	0
all	201104	577186	568018	316295	4826	2224	177865	174556	100247	1648	827	162408	161362	90730	833	134	162987	159896	91217	1409	877
all old	201104	30827	29079	24558	815	206	10026	9380	7962	302	18	8117	7914	6762	137	15	9025	8382	7269	267	64
