"MonthId","NumTweets_Month1_all","NumDistinctTweets_Month1_all","NumDistinctUsers_Month1_all","NumPopularTweets_Month1_all","NumVerifiedTweets_Month1_all","NumTweets_Month2_all","NumDistinctTweets_Month2_all","NumDistinctUsers_Month2_all","NumPopularTweets_Month2_all","NumVerifiedTweets_Month2_all","NumTweets_Week1_all","NumDistinctTweets_Week1_all","NumDistinctUsers_Week1_all","NumPopularTweets_Week1_all","NumVerifiedTweets_Week1_all","NumTweets_Week2_all","NumDistinctTweets_Week2_all","NumDistinctUsers_Week2_all","NumPopularTweets_Week2_all","NumVerifiedTweets_Week2_all","NumTweets_Month1_allold","NumDistinctTweets_Month1_allold","NumDistinctUsers_Month1_allold","NumPopularTweets_Month1_allold","NumVerifiedTweets_Month1_allold","NumTweets_Month2_allold","NumDistinctTweets_Month2_allold","NumDistinctUsers_Month2_allold","NumPopularTweets_Month2_allold","NumVerifiedTweets_Month2_allold","NumTweets_Week1_allold","NumDistinctTweets_Week1_allold","NumDistinctUsers_Week1_allold","NumPopularTweets_Week1_allold","NumVerifiedTweets_Week1_allold","NumTweets_Week2_allold","NumDistinctTweets_Week2_allold","NumDistinctUsers_Week2_allold","NumPopularTweets_Week2_allold","NumVerifiedTweets_Week2_allold","NumTweets_Month1_opening","NumDistinctTweets_Month1_opening","NumDistinctUsers_Month1_opening","NumPopularTweets_Month1_opening","NumVerifiedTweets_Month1_opening","NumTweets_Month2_opening","NumDistinctTweets_Month2_opening","NumDistinctUsers_Month2_opening","NumPopularTweets_Month2_opening","NumVerifiedTweets_Month2_opening","NumTweets_Week1_opening","NumDistinctTweets_Week1_opening","NumDistinctUsers_Week1_opening","NumPopularTweets_Week1_opening","NumVerifiedTweets_Week1_opening","NumTweets_Week2_opening","NumDistinctTweets_Week2_opening","NumDistinctUsers_Week2_opening","NumPopularTweets_Week2_opening","NumVerifiedTweets_Week2_opening","NumTweets_Month1_posting","NumDistinctTweets_Month1_posting","NumDistinctUsers_Month1_posting","NumPopularTweets_Month1_posting","NumVerifiedTweets_Month1_posting","NumTweets_Month2_posting","NumDistinctTweets_Month2_posting","NumDistinctUsers_Month2_posting","NumPopularTweets_Month2_posting","NumVerifiedTweets_Month2_posting","NumTweets_Week1_posting","NumDistinctTweets_Week1_posting","NumDistinctUsers_Week1_posting","NumPopularTweets_Week1_posting","NumVerifiedTweets_Week1_posting","NumTweets_Week2_posting","NumDistinctTweets_Week2_posting","NumDistinctUsers_Week2_posting","NumPopularTweets_Week2_posting","NumVerifiedTweets_Week2_posting","NumTweets_Month1_opportunity","NumDistinctTweets_Month1_opportunity","NumDistinctUsers_Month1_opportunity","NumPopularTweets_Month1_opportunity","NumVerifiedTweets_Month1_opportunity","NumTweets_Month2_opportunity","NumDistinctTweets_Month2_opportunity","NumDistinctUsers_Month2_opportunity","NumPopularTweets_Month2_opportunity","NumVerifiedTweets_Month2_opportunity","NumTweets_Week1_opportunity","NumDistinctTweets_Week1_opportunity","NumDistinctUsers_Week1_opportunity","NumPopularTweets_Week1_opportunity","NumVerifiedTweets_Week1_opportunity","NumTweets_Week2_opportunity","NumDistinctTweets_Week2_opportunity","NumDistinctUsers_Week2_opportunity","NumPopularTweets_Week2_opportunity","NumVerifiedTweets_Week2_opportunity","NumTweets_Month1_hiring","NumDistinctTweets_Month1_hiring","NumDistinctUsers_Month1_hiring","NumPopularTweets_Month1_hiring","NumVerifiedTweets_Month1_hiring","NumTweets_Month2_hiring","NumDistinctTweets_Month2_hiring","NumDistinctUsers_Month2_hiring","NumPopularTweets_Month2_hiring","NumVerifiedTweets_Month2_hiring","NumTweets_Week1_hiring","NumDistinctTweets_Week1_hiring","NumDistinctUsers_Week1_hiring","NumPopularTweets_Week1_hiring","NumVerifiedTweets_Week1_hiring","NumTweets_Week2_hiring","NumDistinctTweets_Week2_hiring","NumDistinctUsers_Week2_hiring","NumPopularTweets_Week2_hiring","NumVerifiedTweets_Week2_hiring","NumTweets_Month1_hashtags","NumDistinctTweets_Month1_hashtags","NumDistinctUsers_Month1_hashtags","NumPopularTweets_Month1_hashtags","NumVerifiedTweets_Month1_hashtags","NumTweets_Month2_hashtags","NumDistinctTweets_Month2_hashtags","NumDistinctUsers_Month2_hashtags","NumPopularTweets_Month2_hashtags","NumVerifiedTweets_Month2_hashtags","NumTweets_Week1_hashtags","NumDistinctTweets_Week1_hashtags","NumDistinctUsers_Week1_hashtags","NumPopularTweets_Week1_hashtags","NumVerifiedTweets_Week1_hashtags","NumTweets_Week2_hashtags","NumDistinctTweets_Week2_hashtags","NumDistinctUsers_Week2_hashtags","NumPopularTweets_Week2_hashtags","NumVerifiedTweets_Week2_hashtags"
201102,244010,240272,119810,1940,1396,679343,672305,310949,5344,346,-64888,-65196,-3782,-358,169,57262,56367,22306,405,623,-6464,-7332,8328,268,80,71524,70039,29435,887,79,-42750,-42871,-3471,-82,30,-8439,-8572,1073,42,-11,4998,4629,3964,134,22,6025,5811,5126,145,14,1764,1716,1452,38,-1,1995,1715,1407,62,8,2777,2680,2186,34,-5,5845,5696,4783,104,22,444,438,316,-2,-10,411,394,311,7,1,2528,2462,2160,54,-7,5890,5697,4982,125,15,216,239,185,-15,2,820,826,677,1,-8,-13788,-13999,-1480,17,-13,36709,36044,10365,330,42,-33058,-32935,-5032,-82,4,-9094,-9041,-1582,-19,7,308361,304251,136232,2264,1495,474947,470563,241570,3526,200,89651,88528,37804,606,220,67091,66135,24016,422,587
201103,-826584,-818511,-359210,-6114,-1008,324510,319926,154127,2501,1626,-206196,-203307,-107441,-1681,-355,-298271,-295199,-132747,-2255,-526,-80463,-78606,-33769,-944,-144,11397,10342,11975,366,83,-12222,-11551,-9792,-334,-44,-16911,-16290,-11858,-334,-26,-8618,-8213,-7147,-217,-30,5873,5433,4658,152,22,-3841,-3713,-3198,-89,0,-4027,-3696,-3183,-103,-10,-7002,-6777,-5720,-128,-17,3398,3296,2685,38,-5,-2497,-2431,-1965,-34,-11,-2555,-2483,-2066,-50,-3,-6985,-6915,-5981,-146,-8,3204,3101,2717,83,-7,-2242,-2186,-1914,-41,-2,-2944,-2863,-2458,-54,-3,-38715,-37984,-9943,-309,-24,-2608,-2909,14,78,-13,-1737,-1575,-1512,-100,-6,-4234,-4003,-2453,-103,-7,-597936,-593077,-282824,-4163,-632,375473,370493,168270,2852,1755,-259313,-256676,-121774,-1912,-291,-232230,-229998,-107191,-1581,-577
201104,399321,393462,216048,3178,1397,-825988,-817675,-364829,-6197,-1145,160655,159792,89338,757,98,156361,153760,85984,1262,651,20801,19699,16596,513,188,-72895,-71001,-33448,-951,-144,7957,7839,6688,128,8,8614,8055,6949,240,64,6648,6282,5024,156,140,-8936,-8469,-7358,-227,-30,2726,2673,2184,44,0,2899,2646,2209,78,96,4573,4516,3747,43,2,-7090,-6867,-5787,-126,-17,1859,1851,1514,6,0,1845,1818,1545,18,2,3776,3813,3457,69,3,-7155,-7068,-6125,-157,-8,1566,1547,1416,20,1,1347,1300,1208,28,0,3208,2770,2415,180,16,-32681,-31938,-9199,-312,-24,1026,967,931,38,2,1293,1100,1017,73,0,515064,509231,247482,4016,918,-620493,-615276,-293583,-4408,-782,207269,206166,102510,1008,68,201711,199203,98688,1647,494
201105,-135883,-130415,-64249,-2365,-1582,408363,402431,221280,3226,1402,-86526,-86846,-42205,-69,15,-37140,-35107,-20078,-680,-687,-9706,-8643,-6986,-467,-151,21263,20161,17008,519,188,-4932,-5013,-4145,-39,-8,-3618,-3141,-2702,-158,-40,-2372,-1963,-1531,-134,-141,6789,6423,5145,158,140,-1964,-1945,-1520,-22,1,-1143,-928,-721,-58,-94,-2396,-2338,-1829,-40,-2,4695,4638,3839,43,2,-1366,-1363,-1056,-1,0,-936,-914,-759,-15,-2,-1635,-1549,-1514,-63,3,3866,3906,3544,69,3,-860,-866,-826,-3,0,-299,-279,-325,-15,0,-1795,-1469,-1152,-169,-17,3243,2807,2452,178,16,-538,-604,-569,-15,2,-656,-488,-417,-57,0,-272662,-265482,-111813,-3889,-1540,526762,520831,253603,4073,919,-150677,-150109,-65083,-568,-86,-103299,-101122,-43668,-1308,-410
201106,-98359,-101961,-46475,1452,510,-144925,-139384,-69481,-2413,-1587,21742,21176,9614,402,155,-31629,-32561,-14120,291,60,-6620,-7172,-5674,101,121,-10168,-9105,-7398,-473,-151,1882,1800,1547,42,10,-1847,-2015,-1634,-2,76,-2133,-2525,-1855,5,36,-2513,-2104,-1652,-136,-141,1279,1234,1039,2,7,-700,-814,-683,9,0,-2027,-2062,-1533,16,6,-2518,-2460,-1921,-40,-2,313,303,259,4,1,-423,-441,-361,7,2,-1181,-1272,-1010,43,1,-1725,-1642,-1601,-63,3,170,140,178,12,3,-379,-393,-323,10,2,-160,-502,-487,92,57,-1830,-1506,-1189,-167,-17,349,238,229,44,16,-27,-89,-85,15,24,-206258,-208454,-85056,786,111,-284360,-277082,-117934,-3946,-1541,17177,16668,8226,324,96,-33745,-34454,-15129,288,93
201107,302659,292709,166287,5066,79,-93615,-97360,-44830,1527,533,130134,126166,67504,1955,65,83365,80576,44753,1517,37,18454,17605,14362,309,-29,-6357,-6898,-5434,104,121,6699,6496,5150,120,18,6379,5827,4520,108,-66,8193,8300,6260,83,-28,-1904,-2292,-1651,2,36,2770,2727,1864,43,-2,2352,2368,1724,12,-1,2625,2601,2238,23,-2,-1984,-2022,-1504,19,6,1143,1126,961,14,2,767,774,669,3,-2,3186,3062,2517,71,23,-1146,-1233,-978,43,2,1201,1156,1026,26,14,1180,1145,777,24,1,1629,1562,1541,86,43,-149,-511,-497,87,72,591,636,614,14,-12,632,506,500,31,42,234947,226573,134349,3801,553,-202443,-204769,-83552,850,162,100080,97039,54307,1449,58,64596,62337,36136,1213,-19
201108,167643,168321,76955,277,752,313994,303763,173429,5252,50,-25219,-23073,-12112,-926,251,77891,78797,31234,-158,301,8827,8755,6463,274,63,19311,18414,14972,330,-28,-888,-980,-1151,44,24,2849,3191,2742,66,19,4884,4704,2880,66,219,8382,8473,6346,94,-27,-177,-121,-332,-16,5,2189,2040,1618,19,214,760,736,642,7,5,2757,2728,2350,20,-1,-573,-570,-444,-6,-3,503,489,391,6,5,1643,1580,1327,25,-6,3368,3226,2657,79,20,77,99,-195,-11,-12,419,420,571,5,7,1035,957,935,66,-12,1768,1709,1686,100,19,-76,-75,-61,-2,-7,281,286,276,28,-26,204931,205467,90507,810,177,243374,234873,139810,3901,482,21255,22419,6604,-365,316,112325,112633,44240,173,164
201109,-37265,-37097,-20919,-726,2271,151564,152666,68168,16,758,-12354,-11870,-6942,-97,-77,-55362,-55318,-21133,-233,290,-2781,-3241,-2772,-70,66,7707,7672,5613,250,62,-1199,-1528,-810,-52,3,-3156,-3166,-2430,-48,45,-1847,-1839,-1447,-15,-27,4466,4298,2590,58,218,-692,-908,-418,15,170,-1894,-1703,-1224,-11,-215,-435,-451,-361,-4,44,585,569,501,7,4,-85,-120,-125,-3,51,-376,-421,-294,5,43,-113,-51,-329,-19,-3,1426,1377,1155,17,-4,-608,-566,-264,-14,-6,-489,-485,-444,-12,-2,-233,-269,-346,-36,98,885,819,800,57,-3,53,65,26,3,15,-217,-284,-300,-31,73,55035,53329,19205,430,2475,192689,193482,83542,646,197,-11040,-10851,-6200,0,15,-53921,-54056,-19548,-220,506
201110,-158880,-157066,-69462,-1718,302,-41396,-40754,-24728,-934,2214,-33392,-34041,-15567,-276,820,-33869,-34383,-16619,-287,670,-9407,-8982,-6122,-140,306,-3621,-4001,-3403,-105,61,-1566,-1270,-999,-10,136,-1858,-1782,-1298,5,-25,-4197,-3924,-2273,-39,-153,-2263,-2236,-1800,-30,-32,-658,-466,-352,-15,-170,-564,-575,-348,18,12,285,278,258,28,-38,-442,-461,-378,-2,45,283,304,289,14,-48,-95,-44,-68,-5,-46,-2681,-2690,-1770,-5,12,-334,-265,-450,-24,-3,-305,-355,-252,17,20,-544,-546,-400,0,-8,-323,-521,-453,30,-20,-374,-364,-449,-50,98,-70,-247,-209,14,116,61,-61,-44,33,-93,-203572,-200723,-85205,-2089,-17,50570,49260,15634,243,2360,-46932,-46922,-20536,-427,368,-47468,-46957,-20840,-347,41
201111,-59387,-55622,-35112,-1170,-2159,-154749,-153409,-65653,-1510,359,19983,20701,7921,-18,-1249,-24652,-22560,-12408,-611,-1315,-2717,-2708,-2684,8,-199,-8567,-8222,-5491,-105,311,1082,1130,643,32,-103,-1337,-1268,-1193,-59,-57,-885,-917,-915,-13,-30,-3781,-3527,-1920,-24,-148,710,716,352,3,-4,-579,-520,-512,-33,-7,-767,-817,-822,-26,87,292,288,275,26,-39,-41,-24,-127,-8,-2,-157,-158,-160,-6,0,-627,-678,-576,-18,-27,-2460,-2476,-1649,0,12,147,119,108,-2,-18,-162,-204,-178,-5,3,-645,-467,-463,-27,-121,-182,-426,-350,44,-20,123,134,117,5,-126,-530,-296,-287,-36,-18,-58825,-55511,-33386,-1071,-2011,-199107,-196654,-81634,-1902,98,18454,19124,8003,-7,-878,-21966,-20681,-11248,-554,-789
