"MonthId","NumTweets_Month1_all","NumDistinctTweets_Month1_all","NumDistinctUsers_Month1_all","NumPopularTweets_Month1_all","NumVerifiedTweets_Month1_all","NumTweets_Month2_all","NumDistinctTweets_Month2_all","NumDistinctUsers_Month2_all","NumPopularTweets_Month2_all","NumVerifiedTweets_Month2_all","NumTweets_Week1_all","NumDistinctTweets_Week1_all","NumDistinctUsers_Week1_all","NumPopularTweets_Week1_all","NumVerifiedTweets_Week1_all","NumTweets_Week2_all","NumDistinctTweets_Week2_all","NumDistinctUsers_Week2_all","NumPopularTweets_Week2_all","NumVerifiedTweets_Week2_all","NumTweets_Month1_allold","NumDistinctTweets_Month1_allold","NumDistinctUsers_Month1_allold","NumPopularTweets_Month1_allold","NumVerifiedTweets_Month1_allold","NumTweets_Month2_allold","NumDistinctTweets_Month2_allold","NumDistinctUsers_Month2_allold","NumPopularTweets_Month2_allold","NumVerifiedTweets_Month2_allold","NumTweets_Week1_allold","NumDistinctTweets_Week1_allold","NumDistinctUsers_Week1_allold","NumPopularTweets_Week1_allold","NumVerifiedTweets_Week1_allold","NumTweets_Week2_allold","NumDistinctTweets_Week2_allold","NumDistinctUsers_Week2_allold","NumPopularTweets_Week2_allold","NumVerifiedTweets_Week2_allold","NumTweets_Month1_opening","NumDistinctTweets_Month1_opening","NumDistinctUsers_Month1_opening","NumPopularTweets_Month1_opening","NumVerifiedTweets_Month1_opening","NumTweets_Month2_opening","NumDistinctTweets_Month2_opening","NumDistinctUsers_Month2_opening","NumPopularTweets_Month2_opening","NumVerifiedTweets_Month2_opening","NumTweets_Week1_opening","NumDistinctTweets_Week1_opening","NumDistinctUsers_Week1_opening","NumPopularTweets_Week1_opening","NumVerifiedTweets_Week1_opening","NumTweets_Week2_opening","NumDistinctTweets_Week2_opening","NumDistinctUsers_Week2_opening","NumPopularTweets_Week2_opening","NumVerifiedTweets_Week2_opening","NumTweets_Month1_posting","NumDistinctTweets_Month1_posting","NumDistinctUsers_Month1_posting","NumPopularTweets_Month1_posting","NumVerifiedTweets_Month1_posting","NumTweets_Month2_posting","NumDistinctTweets_Month2_posting","NumDistinctUsers_Month2_posting","NumPopularTweets_Month2_posting","NumVerifiedTweets_Month2_posting","NumTweets_Week1_posting","NumDistinctTweets_Week1_posting","NumDistinctUsers_Week1_posting","NumPopularTweets_Week1_posting","NumVerifiedTweets_Week1_posting","NumTweets_Week2_posting","NumDistinctTweets_Week2_posting","NumDistinctUsers_Week2_posting","NumPopularTweets_Week2_posting","NumVerifiedTweets_Week2_posting","NumTweets_Month1_opportunity","NumDistinctTweets_Month1_opportunity","NumDistinctUsers_Month1_opportunity","NumPopularTweets_Month1_opportunity","NumVerifiedTweets_Month1_opportunity","NumTweets_Month2_opportunity","NumDistinctTweets_Month2_opportunity","NumDistinctUsers_Month2_opportunity","NumPopularTweets_Month2_opportunity","NumVerifiedTweets_Month2_opportunity","NumTweets_Week1_opportunity","NumDistinctTweets_Week1_opportunity","NumDistinctUsers_Week1_opportunity","NumPopularTweets_Week1_opportunity","NumVerifiedTweets_Week1_opportunity","NumTweets_Week2_opportunity","NumDistinctTweets_Week2_opportunity","NumDistinctUsers_Week2_opportunity","NumPopularTweets_Week2_opportunity","NumVerifiedTweets_Week2_opportunity","NumTweets_Month1_hiring","NumDistinctTweets_Month1_hiring","NumDistinctUsers_Month1_hiring","NumPopularTweets_Month1_hiring","NumVerifiedTweets_Month1_hiring","NumTweets_Month2_hiring","NumDistinctTweets_Month2_hiring","NumDistinctUsers_Month2_hiring","NumPopularTweets_Month2_hiring","NumVerifiedTweets_Month2_hiring","NumTweets_Week1_hiring","NumDistinctTweets_Week1_hiring","NumDistinctUsers_Week1_hiring","NumPopularTweets_Week1_hiring","NumVerifiedTweets_Week1_hiring","NumTweets_Week2_hiring","NumDistinctTweets_Week2_hiring","NumDistinctUsers_Week2_hiring","NumPopularTweets_Week2_hiring","NumVerifiedTweets_Week2_hiring","NumTweets_Month1_hashtags","NumDistinctTweets_Month1_hashtags","NumDistinctUsers_Month1_hashtags","NumPopularTweets_Month1_hashtags","NumVerifiedTweets_Month1_hashtags","NumTweets_Month2_hashtags","NumDistinctTweets_Month2_hashtags","NumDistinctUsers_Month2_hashtags","NumPopularTweets_Month2_hashtags","NumVerifiedTweets_Month2_hashtags","NumTweets_Week1_hashtags","NumDistinctTweets_Week1_hashtags","NumDistinctUsers_Week1_hashtags","NumPopularTweets_Week1_hashtags","NumVerifiedTweets_Week1_hashtags","NumTweets_Week2_hashtags","NumDistinctTweets_Week2_hashtags","NumDistinctUsers_Week2_hashtags","NumPopularTweets_Week2_hashtags","NumVerifiedTweets_Week2_hashtags"
201101,1412205,1395908,478679,11204,2053,704,138,133,140,8,527416,521430,157774,4121,956,453445,448014,163370,3772,474,254536,249631,59656,2635,569,441,38,38,38,0,145374,143581,22389,1105,178,67100,65361,19895,861,162,24078,22884,15824,629,171,29,9,9,9,0,7795,7399,5072,208,51,7839,7470,5468,200,51,22345,21813,14336,325,93,13,6,6,6,0,7217,6994,4504,118,82,7487,7311,4851,118,3,18704,17970,12913,436,75,19,7,7,7,0,6016,5733,4241,173,15,6190,5928,4273,144,39,190419,187918,17652,1258,230,380,16,16,16,0,124816,123887,8974,612,30,45931,44977,5646,401,69,1176754,1164558,429802,9072,1516,281,107,102,109,8,388608,384121,139120,3203,782,392428,388495,147004,3061,324
201102,1933173,1904964,681113,15834,7912,1245763,1230952,438919,10241,1646,473566,465734,185252,4256,1712,557710,548867,198672,4725,2923,234662,226667,79587,3532,1326,187045,182516,53318,2390,538,31169,28941,20380,946,246,42926,40548,23256,1032,377,35185,32790,23581,1008,300,22057,20988,14498,585,153,10466,9676,6998,252,39,11537,10672,7566,351,96,33231,32278,20481,465,94,20402,19890,13095,309,89,8904,8686,5438,114,60,9605,9323,5864,150,18,27471,26244,18973,629,270,17175,16489,11831,397,75,7461,7105,5108,180,21,8812,8392,5894,172,184,140254,136764,18176,1446,666,128324,126007,14865,1111,221,4751,3839,3268,404,130,13423,12602,4441,365,79,1728013,1706285,618723,13146,6834,1076166,1065120,395427,8326,1136,450205,444200,169585,3539,1498,523739,516752,180506,3971,2602
201103,411555,401015,174070,4107,4010,1940842,1911646,693938,16177,8484,4182,3443,2768,180,334,15078,13810,10215,358,607,25852,23856,16726,796,210,213953,205807,79808,3556,1338,355,193,190,40,0,1039,793,738,69,99,7773,7305,5322,239,72,35765,33284,23929,1029,300,55,47,45,4,0,257,229,219,19,9,8397,8216,4824,83,60,33631,32670,20712,472,94,63,58,57,3,0,322,253,227,9,57,6216,5727,4311,161,52,28016,26748,19368,650,282,133,54,54,13,0,280,202,189,12,33,3756,2894,2618,316,26,118015,114509,17426,1421,666,108,37,37,21,0,193,122,117,29,0,393363,384485,161656,3501,3848,1756860,1734248,631728,13486,7406,3894,3306,2635,146,334,14319,13266,9701,306,508
201104,1293844,1267218,515719,12110,9571,411555,401015,174070,4107,4010,363885,360820,148680,2140,693,362210,353517,149172,3615,3314,81884,75796,51481,2305,1621,25852,23856,16726,796,210,21791,21178,14621,395,89,23700,21240,15022,744,682,26916,25033,15999,690,731,7773,7305,5322,239,72,7589,7415,4742,126,34,8441,7521,4983,228,470,27516,26999,14867,258,138,8397,8216,4824,83,60,7506,7459,4092,32,6,7885,7742,4476,81,30,19047,18138,14056,457,237,6216,5727,4311,161,52,5266,5161,3987,83,15,4663,4390,3616,141,57,12856,10043,7963,913,519,3756,2894,2618,316,26,2764,2474,2188,157,34,3941,2811,2348,297,125,1238427,1216752,477669,10414,8142,393363,384485,161656,3501,3848,349411,346798,138110,1872,612,346086,339373,137890,3069,2732
201105,907213,898357,397420,5142,2461,1314564,1287774,524883,12213,9583,132522,129616,72075,1449,537,226146,223784,103452,1392,700,56650,54347,37976,1007,459,83188,77089,52380,2315,1621,8214,7429,5915,278,79,14310,13748,9931,280,114,20846,20158,13080,265,88,27403,25505,16297,696,731,2414,2129,1772,55,6,5013,4844,3399,70,33,19186,18991,10881,122,24,28030,27513,15125,258,138,2203,2139,1675,42,6,4633,4558,2866,38,0,13169,12882,9483,183,67,19352,18460,14312,459,237,2315,2234,1608,51,18,3337,3275,2344,41,3,7444,6234,5728,441,280,13005,10179,8091,915,519,1396,979,926,131,49,1937,1681,1567,131,78,869726,862818,369518,4376,2062,1258335,1236491,486200,10516,8154,126438,124246,67566,1216,462,216411,214524,95975,1165,610
201106,606514,589753,303185,7610,4278,907213,898357,397420,5142,2461,175944,171472,87451,2295,1109,165831,161255,83842,2004,1255,38254,33809,26383,1355,990,56650,54347,37976,1007,459,13779,12573,9440,437,213,9150,7928,6379,350,439,13473,12230,9285,270,261,20846,20158,13080,265,88,5865,5601,3964,80,60,2774,2556,1992,66,16,9787,9513,7199,144,30,19186,18991,10881,122,24,3430,3328,2377,53,9,2285,2206,1764,37,9,8519,7891,6178,284,94,13169,12882,9483,183,67,2532,2341,1916,92,24,2165,2018,1582,69,61,6746,4421,4073,664,605,7444,6234,5728,441,280,2036,1382,1305,215,120,2003,1206,1121,181,353,579359,566516,284282,6525,3372,869726,862818,369518,4376,2062,167384,163969,81487,1944,932,158758,155273,78958,1722,844
201107,1138829,1103033,536127,16756,5065,615991,598845,305757,7756,4476,400627,388836,178212,5821,1362,312554,302256,145559,4832,1299,89223,83002,58450,2363,1275,39312,34810,27041,1365,1036,32156,30467,20473,775,292,25668,23619,16055,637,417,38884,37727,24668,543,122,14289,13034,9769,276,261,14139,13816,8484,190,36,10384,10059,6412,146,20,21100,20476,14229,280,129,9935,9657,7305,146,30,8334,8107,5140,100,45,5876,5661,4088,80,66,18207,17015,12494,576,302,8535,7910,6223,285,95,6121,5739,4345,187,73,5964,5664,3501,163,59,11500,8233,7614,975,726,6824,4455,4101,665,650,3739,2977,2710,301,138,3566,2354,2195,251,272,1086230,1055692,499039,14931,3966,588475,575302,286643,6663,3528,382352,371983,165306,5222,1098,297001,288529,135134,4343,906
201108,1491622,1454492,656594,18397,8462,1166257,1129774,547906,17212,4982,389895,380831,174049,4595,2551,489206,479451,197048,5022,2852,117961,110382,73125,3022,2264,92185,85852,60182,2440,1250,31338,29533,18455,816,371,36476,34036,22634,893,1096,54086,52009,30901,694,1077,40075,38892,25301,562,128,14523,14140,7603,175,131,16531,15530,9483,214,738,25331,24601,16828,324,247,21851,21211,14618,286,132,6029,5829,4289,86,84,8203,8024,5229,100,47,24947,23641,16419,716,172,18896,17663,12933,599,295,7428,7065,4230,200,63,7792,7492,5236,212,56,14383,10789,9976,1314,844,11854,8558,7912,1004,699,3550,2667,2516,361,97,4144,3165,2923,375,271,1426882,1396256,611580,16046,6358,1112047,1080917,509739,15322,3904,374674,367103,162964,3973,2232,467980,460326,182930,4318,1828
201109,1529912,1485366,674356,18263,18762,1491622,1454492,656594,18397,8462,376087,366659,169434,4499,3169,393883,383341,176899,4591,4338,113350,104286,68537,2975,3156,117961,110382,73125,3022,2264,27116,24105,16701,781,1193,28299,25821,17999,731,1142,49732,47364,27538,688,1303,54086,52009,30901,694,1077,11749,10824,6551,184,654,11552,11139,7171,137,199,23586,22842,16259,330,368,25331,24601,16828,324,247,5946,5631,4077,100,220,6467,6154,4385,99,189,26075,24756,16629,661,306,24947,23641,16419,716,172,5297,4973,3800,149,89,6387,6001,4318,177,137,14650,9967,8828,1316,1183,14383,10789,9976,1314,844,4301,2829,2449,356,234,4047,2674,2323,321,617,1468143,1431245,631885,16015,15962,1426882,1396256,611580,16046,6358,359971,353221,158922,3877,2064,377661,369165,165806,4057,3348
201110,1173224,1133231,562406,14460,19462,1521827,1478423,668426,17808,18423,295024,283511,142839,3871,6116,313302,302256,148293,4000,5366,80165,71432,52183,2496,4070,110723,101889,67014,2871,3121,22912,19322,13946,744,2200,20915,18734,14032,737,736,34655,33390,21625,551,408,48474,46186,26675,646,1289,9704,9368,5704,155,84,9182,8783,6134,201,158,17159,16435,12337,268,289,23360,22622,16062,326,368,4925,4541,3467,81,244,4311,4197,3112,71,19,15613,14457,11829,568,237,25159,23892,16313,637,300,4012,3644,3142,183,93,4155,3828,3079,154,51,13324,7715,6977,1121,3144,14408,9825,8666,1280,1168,4417,1907,1776,329,1783,3444,2096,1864,312,516,1125653,1093289,529770,12527,15680,1461005,1425060,626723,15636,15662,281258,272975,134077,3305,4024,300631,291407,139359,3434,4746
