"MonthId","NumTweets_Month1_all","NumDistinctTweets_Month1_all","NumDistinctUsers_Month1_all","NumPopularTweets_Month1_all","NumVerifiedTweets_Month1_all","NumTweets_Month2_all","NumDistinctTweets_Month2_all","NumDistinctUsers_Month2_all","NumPopularTweets_Month2_all","NumVerifiedTweets_Month2_all","NumTweets_Week1_all","NumDistinctTweets_Week1_all","NumDistinctUsers_Week1_all","NumPopularTweets_Week1_all","NumVerifiedTweets_Week1_all","NumTweets_Week2_all","NumDistinctTweets_Week2_all","NumDistinctUsers_Week2_all","NumPopularTweets_Week2_all","NumVerifiedTweets_Week2_all","NumTweets_Month1_allold","NumDistinctTweets_Month1_allold","NumDistinctUsers_Month1_allold","NumPopularTweets_Month1_allold","NumVerifiedTweets_Month1_allold","NumTweets_Month2_allold","NumDistinctTweets_Month2_allold","NumDistinctUsers_Month2_allold","NumPopularTweets_Month2_allold","NumVerifiedTweets_Month2_allold","NumTweets_Week1_allold","NumDistinctTweets_Week1_allold","NumDistinctUsers_Week1_allold","NumPopularTweets_Week1_allold","NumVerifiedTweets_Week1_allold","NumTweets_Week2_allold","NumDistinctTweets_Week2_allold","NumDistinctUsers_Week2_allold","NumPopularTweets_Week2_allold","NumVerifiedTweets_Week2_allold","NumTweets_Month1_opening","NumDistinctTweets_Month1_opening","NumDistinctUsers_Month1_opening","NumPopularTweets_Month1_opening","NumVerifiedTweets_Month1_opening","NumTweets_Month2_opening","NumDistinctTweets_Month2_opening","NumDistinctUsers_Month2_opening","NumPopularTweets_Month2_opening","NumVerifiedTweets_Month2_opening","NumTweets_Week1_opening","NumDistinctTweets_Week1_opening","NumDistinctUsers_Week1_opening","NumPopularTweets_Week1_opening","NumVerifiedTweets_Week1_opening","NumTweets_Week2_opening","NumDistinctTweets_Week2_opening","NumDistinctUsers_Week2_opening","NumPopularTweets_Week2_opening","NumVerifiedTweets_Week2_opening","NumTweets_Month1_posting","NumDistinctTweets_Month1_posting","NumDistinctUsers_Month1_posting","NumPopularTweets_Month1_posting","NumVerifiedTweets_Month1_posting","NumTweets_Month2_posting","NumDistinctTweets_Month2_posting","NumDistinctUsers_Month2_posting","NumPopularTweets_Month2_posting","NumVerifiedTweets_Month2_posting","NumTweets_Week1_posting","NumDistinctTweets_Week1_posting","NumDistinctUsers_Week1_posting","NumPopularTweets_Week1_posting","NumVerifiedTweets_Week1_posting","NumTweets_Week2_posting","NumDistinctTweets_Week2_posting","NumDistinctUsers_Week2_posting","NumPopularTweets_Week2_posting","NumVerifiedTweets_Week2_posting","NumTweets_Month1_opportunity","NumDistinctTweets_Month1_opportunity","NumDistinctUsers_Month1_opportunity","NumPopularTweets_Month1_opportunity","NumVerifiedTweets_Month1_opportunity","NumTweets_Month2_opportunity","NumDistinctTweets_Month2_opportunity","NumDistinctUsers_Month2_opportunity","NumPopularTweets_Month2_opportunity","NumVerifiedTweets_Month2_opportunity","NumTweets_Week1_opportunity","NumDistinctTweets_Week1_opportunity","NumDistinctUsers_Week1_opportunity","NumPopularTweets_Week1_opportunity","NumVerifiedTweets_Week1_opportunity","NumTweets_Week2_opportunity","NumDistinctTweets_Week2_opportunity","NumDistinctUsers_Week2_opportunity","NumPopularTweets_Week2_opportunity","NumVerifiedTweets_Week2_opportunity","NumTweets_Month1_hiring","NumDistinctTweets_Month1_hiring","NumDistinctUsers_Month1_hiring","NumPopularTweets_Month1_hiring","NumVerifiedTweets_Month1_hiring","NumTweets_Month2_hiring","NumDistinctTweets_Month2_hiring","NumDistinctUsers_Month2_hiring","NumPopularTweets_Month2_hiring","NumVerifiedTweets_Month2_hiring","NumTweets_Week1_hiring","NumDistinctTweets_Week1_hiring","NumDistinctUsers_Week1_hiring","NumPopularTweets_Week1_hiring","NumVerifiedTweets_Week1_hiring","NumTweets_Week2_hiring","NumDistinctTweets_Week2_hiring","NumDistinctUsers_Week2_hiring","NumPopularTweets_Week2_hiring","NumVerifiedTweets_Week2_hiring","NumTweets_Month1_hashtags","NumDistinctTweets_Month1_hashtags","NumDistinctUsers_Month1_hashtags","NumPopularTweets_Month1_hashtags","NumVerifiedTweets_Month1_hashtags","NumTweets_Month2_hashtags","NumDistinctTweets_Month2_hashtags","NumDistinctUsers_Month2_hashtags","NumPopularTweets_Month2_hashtags","NumVerifiedTweets_Month2_hashtags","NumTweets_Week1_hashtags","NumDistinctTweets_Week1_hashtags","NumDistinctUsers_Week1_hashtags","NumPopularTweets_Week1_hashtags","NumVerifiedTweets_Week1_hashtags","NumTweets_Week2_hashtags","NumDistinctTweets_Week2_hashtags","NumDistinctUsers_Week2_hashtags","NumPopularTweets_Week2_hashtags","NumVerifiedTweets_Week2_hashtags"
201102,520968,509056,202434,4630,5859,1245059,1230814,438786,10101,1638,-53850,-55696,27478,135,756,104265,100853,35302,953,2449,-19874,-22964,19931,897,757,186604,182478,53280,2352,538,-114205,-114640,-2009,-159,68,-24174,-24813,3361,171,215,11107,9906,7757,379,129,22028,20979,14489,576,153,2671,2277,1926,44,-12,3698,3202,2098,151,45,10886,10465,6145,140,1,20389,19884,13089,303,89,1687,1692,934,-4,-22,2118,2012,1013,32,15,8767,8274,6060,193,195,17156,16482,11824,390,75,1445,1372,867,7,6,2622,2464,1621,28,145,-50165,-51154,524,188,436,127944,125991,14849,1095,221,-120065,-120048,-5706,-208,100,-32508,-32375,-1205,-36,10,551259,541727,188921,4074,5318,1075885,1065013,395325,8217,1128,61597,60079,30465,336,716,131311,128257,33502,910,2278
201103,-1521618,-1503949,-507043,-11727,-3902,695079,680694,255019,5936,6838,-469384,-462291,-182484,-4076,-1378,-542632,-535057,-188457,-4367,-2316,-208810,-202811,-62861,-2736,-1116,26908,23291,26490,1166,800,-30814,-28748,-20190,-906,-246,-41887,-39755,-22518,-963,-278,-27412,-25485,-18259,-769,-228,13708,12296,9431,444,147,-10411,-9629,-6953,-248,-39,-11280,-10443,-7347,-332,-87,-24834,-24062,-15657,-382,-34,13229,12780,7617,163,5,-8841,-8628,-5381,-111,-60,-9283,-9070,-5637,-141,39,-21255,-20517,-14662,-468,-218,10841,10259,7537,253,207,-7328,-7051,-5054,-167,-21,-8532,-8190,-5705,-160,-151,-136498,-133870,-15558,-1130,-640,-10309,-11498,2561,310,445,-4643,-3802,-3231,-383,-130,-13230,-12480,-4324,-336,-79,-1334650,-1321800,-457067,-9645,-2986,680694,669128,236301,5160,6270,-446311,-440894,-166950,-3393,-1164,-509420,-503486,-170805,-3665,-2094
201104,882289,866203,341649,8003,5561,-1529287,-1510631,-519868,-12070,-4474,359703,357377,145912,1960,359,347132,339707,138957,3257,2707,56032,51940,34755,1509,1411,-188101,-181951,-63082,-2760,-1128,21436,20985,14431,355,89,22661,20447,14284,675,583,19143,17728,10677,451,659,-27992,-25979,-18607,-790,-228,7534,7368,4697,122,34,8184,7292,4764,209,461,19119,18783,10043,175,78,-25234,-24454,-15888,-389,-34,7443,7401,4035,29,6,7563,7489,4249,72,-27,12831,12411,9745,296,185,-21800,-21021,-15057,-489,-230,5133,5107,3933,70,15,4383,4188,3427,129,24,9100,7149,5345,597,493,-114259,-111615,-14808,-1105,-640,2656,2437,2151,136,34,3748,2689,2231,268,125,845064,832267,316013,6913,4294,-1363497,-1349763,-470072,-9985,-3558,345517,343492,135475,1726,278,331767,326107,128189,2763,2224
201105,-386631,-368861,-118299,-6968,-7110,903009,886759,350813,8106,5573,-231363,-231204,-76605,-691,-156,-136064,-129733,-45720,-2223,-2614,-25234,-21449,-13505,-1298,-1162,57336,53233,35654,1519,1411,-13577,-13749,-8706,-117,-10,-9390,-7492,-5091,-464,-568,-6070,-4875,-2919,-425,-643,19630,18200,10975,457,659,-5175,-5286,-2970,-71,-28,-3428,-2677,-1584,-158,-437,-8330,-8008,-3986,-136,-114,19633,19297,10301,175,78,-5303,-5320,-2417,10,0,-3252,-3184,-1610,-43,-30,-5878,-5256,-4573,-274,-170,13136,12733,10001,298,185,-2951,-2927,-2379,-32,3,-1326,-1115,-1272,-100,-54,-5412,-3809,-2235,-472,-239,9249,7285,5473,599,493,-1368,-1495,-1262,-26,15,-2004,-1130,-781,-166,-47,-368701,-353934,-108151,-6038,-6080,864972,852006,324544,7015,4306,-222973,-222552,-70544,-656,-150,-129675,-124849,-41915,-1904,-2122
201106,-300699,-308604,-94235,2468,1817,-407351,-389417,-127463,-7071,-7122,43422,41856,15376,846,572,-60315,-62529,-19610,612,555,-18396,-20538,-11593,348,531,-26538,-22742,-14404,-1308,-1162,5565,5144,3525,159,134,-5160,-5820,-3552,70,325,-7373,-7928,-3795,5,173,-6557,-5347,-3217,-431,-643,3451,3472,2192,25,54,-2239,-2288,-1407,-4,-17,-9399,-9478,-3682,22,6,-8844,-8522,-4244,-136,-114,1227,1189,702,11,3,-2348,-2352,-1102,-1,9,-4650,-4991,-3305,101,27,-6183,-5578,-4829,-276,-170,217,107,308,41,6,-1172,-1257,-762,28,58,-698,-1813,-1655,223,325,-5561,-3945,-2363,-474,-239,640,403,379,84,71,66,-475,-446,50,275,-290367,-296302,-85236,2149,1310,-388609,-373673,-116682,-6140,-6092,40946,39723,13921,728,470,-57653,-59251,-17017,557,234
201107,532315,513280,232942,9146,787,-291222,-299512,-91663,2614,2015,224683,217364,90761,3526,253,146723,141001,61717,2828,44,50969,49193,32067,1008,285,-17338,-19537,-10935,358,577,18377,17894,11033,338,79,16518,15691,9676,287,-22,25411,25497,15383,273,-139,-6557,-7124,-3311,11,173,8274,8215,4520,110,-24,7610,7503,4420,80,4,11313,10963,7030,136,99,-9251,-9334,-3576,24,6,4904,4779,2763,47,36,3591,3455,2324,43,57,9688,9124,6316,292,208,-4634,-4972,-3260,102,28,3589,3398,2429,95,49,3799,3646,1919,94,-2,4754,3812,3541,311,121,-620,-1779,-1627,224,370,1703,1595,1405,86,18,1563,1148,1074,70,-81,506871,489176,214757,8406,594,-281251,-287516,-82875,2287,1466,214968,208014,83819,3278,166,138243,133256,56176,2621,62
201108,352793,351459,120467,1641,3397,550266,530929,242149,9456,506,-10732,-8005,-4163,-1226,1189,176652,177195,51489,190,1553,28738,27380,14675,659,989,52873,51042,33141,1075,214,-818,-934,-2018,41,79,10808,10417,6579,256,679,15202,14282,6233,151,955,25786,25858,15532,286,-133,384,324,-881,-15,95,6147,5471,3071,68,718,4231,4125,2599,44,118,11916,11554,7313,140,102,-2305,-2278,-851,-14,39,2327,2363,1141,20,-19,6740,6626,3925,140,-130,10361,9753,6710,314,200,1307,1326,-115,13,-10,1828,1828,1735,49,-3,2883,2556,2362,339,118,5030,4103,3811,339,49,-189,-310,-194,60,-41,578,811,728,124,-1,340652,340564,112541,1115,2392,523572,505615,223096,8659,376,-7678,-4880,-2342,-1249,1134,170979,171797,47796,-25,922
201109,38290,30874,17762,-134,10300,325365,324718,108688,1185,3480,-13808,-14172,-4615,-96,618,-95323,-96110,-20149,-431,1486,-4611,-6096,-4588,-47,892,25776,24530,12943,582,1014,-4222,-5428,-1754,-35,822,-8177,-8215,-4635,-162,46,-4354,-4645,-3363,-6,226,14011,13117,5600,132,949,-2774,-3316,-1052,9,523,-4979,-4391,-2312,-77,-539,-1745,-1759,-569,6,121,3480,3390,2210,38,115,-83,-198,-212,14,136,-1736,-1870,-844,-1,142,1128,1115,210,-55,134,6051,5978,3486,117,-123,-2131,-2092,-430,-51,26,-1405,-1491,-918,-35,81,267,-822,-1148,2,339,2529,2231,2064,310,145,751,162,-67,-5,137,-97,-491,-600,-54,346,41261,34989,20305,-31,9604,314835,315339,101841,724,2454,-14703,-13882,-4042,-96,-168,-90319,-91161,-17124,-261,1520
201110,-356688,-352135,-111950,-3803,700,30205,23931,11832,-589,9961,-81063,-83148,-26595,-628,2947,-80581,-81085,-28606,-591,1028,-33185,-32854,-16354,-479,914,-7238,-8493,-6111,-151,857,-4204,-4783,-2755,-37,1007,-7384,-7087,-3967,6,-406,-15077,-13974,-5913,-137,-895,-5612,-5823,-4226,-48,212,-2045,-1456,-847,-29,-570,-2370,-2356,-1037,64,-41,-6427,-6407,-3922,-62,-79,-1971,-1979,-766,2,121,-1021,-1090,-610,-19,24,-2156,-1957,-1273,-28,-170,-10462,-10299,-4800,-93,-69,212,251,-106,-79,128,-1285,-1329,-658,34,4,-2232,-2173,-1239,-23,-86,-1326,-2252,-1851,-195,1961,25,-964,-1310,-34,324,116,-922,-673,-27,1549,-603,-578,-459,-9,-101,-342490,-337956,-102115,-3488,-282,34123,28804,15143,-410,9304,-78713,-80246,-24845,-572,1960,-77030,-77758,-26447,-623,1398
201111,-114501,-102922,-51884,-2515,-9031,-348603,-345192,-106020,-3348,1039,42526,46910,13013,-175,-5349,-42253,-36314,-17161,-1386,-4489,-8986,-7253,-6033,-178,-2049,-30558,-30457,-14831,-375,949,1342,2755,755,5,-1795,-3900,-3072,-2413,-210,-621,-1666,-1985,-1788,-48,252,-13819,-12796,-5050,-95,-881,1867,1921,577,-8,-49,-1504,-1399,-1111,-82,-95,-2174,-2183,-1981,-36,134,-6201,-6187,-3725,-58,-79,-130,150,-232,-20,-226,-525,-510,-483,-29,-7,-1653,-1869,-1281,-4,145,-9546,-9435,-4484,-69,-63,712,424,237,2,213,-592,-524,-352,-33,-39,-3410,-1135,-1016,-89,-2588,-1084,-2110,-1689,-159,1976,-1032,338,233,31,-1737,-1218,-573,-468,-66,-488,-109462,-99604,-48619,-2379,-7058,-335352,-331771,-96953,-3109,18,41916,44921,12363,-205,-3614,-40134,-34886,-15835,-1247,-3956
