"MonthId","NumTweets_Month1_all","NumDistinctTweets_Month1_all","NumDistinctUsers_Month1_all","NumPopularTweets_Month1_all","NumVerifiedTweets_Month1_all","NumTweets_Month2_all","NumDistinctTweets_Month2_all","NumDistinctUsers_Month2_all","NumPopularTweets_Month2_all","NumVerifiedTweets_Month2_all","NumTweets_Week1_all","NumDistinctTweets_Week1_all","NumDistinctUsers_Week1_all","NumPopularTweets_Week1_all","NumVerifiedTweets_Week1_all","NumTweets_Week2_all","NumDistinctTweets_Week2_all","NumDistinctUsers_Week2_all","NumPopularTweets_Week2_all","NumVerifiedTweets_Week2_all","NumTweets_Month1_allold","NumDistinctTweets_Month1_allold","NumDistinctUsers_Month1_allold","NumPopularTweets_Month1_allold","NumVerifiedTweets_Month1_allold","NumTweets_Month2_allold","NumDistinctTweets_Month2_allold","NumDistinctUsers_Month2_allold","NumPopularTweets_Month2_allold","NumVerifiedTweets_Month2_allold","NumTweets_Week1_allold","NumDistinctTweets_Week1_allold","NumDistinctUsers_Week1_allold","NumPopularTweets_Week1_allold","NumVerifiedTweets_Week1_allold","NumTweets_Week2_allold","NumDistinctTweets_Week2_allold","NumDistinctUsers_Week2_allold","NumPopularTweets_Week2_allold","NumVerifiedTweets_Week2_allold","NumTweets_Month1_opening","NumDistinctTweets_Month1_opening","NumDistinctUsers_Month1_opening","NumPopularTweets_Month1_opening","NumVerifiedTweets_Month1_opening","NumTweets_Month2_opening","NumDistinctTweets_Month2_opening","NumDistinctUsers_Month2_opening","NumPopularTweets_Month2_opening","NumVerifiedTweets_Month2_opening","NumTweets_Week1_opening","NumDistinctTweets_Week1_opening","NumDistinctUsers_Week1_opening","NumPopularTweets_Week1_opening","NumVerifiedTweets_Week1_opening","NumTweets_Week2_opening","NumDistinctTweets_Week2_opening","NumDistinctUsers_Week2_opening","NumPopularTweets_Week2_opening","NumVerifiedTweets_Week2_opening","NumTweets_Month1_posting","NumDistinctTweets_Month1_posting","NumDistinctUsers_Month1_posting","NumPopularTweets_Month1_posting","NumVerifiedTweets_Month1_posting","NumTweets_Month2_posting","NumDistinctTweets_Month2_posting","NumDistinctUsers_Month2_posting","NumPopularTweets_Month2_posting","NumVerifiedTweets_Month2_posting","NumTweets_Week1_posting","NumDistinctTweets_Week1_posting","NumDistinctUsers_Week1_posting","NumPopularTweets_Week1_posting","NumVerifiedTweets_Week1_posting","NumTweets_Week2_posting","NumDistinctTweets_Week2_posting","NumDistinctUsers_Week2_posting","NumPopularTweets_Week2_posting","NumVerifiedTweets_Week2_posting","NumTweets_Month1_opportunity","NumDistinctTweets_Month1_opportunity","NumDistinctUsers_Month1_opportunity","NumPopularTweets_Month1_opportunity","NumVerifiedTweets_Month1_opportunity","NumTweets_Month2_opportunity","NumDistinctTweets_Month2_opportunity","NumDistinctUsers_Month2_opportunity","NumPopularTweets_Month2_opportunity","NumVerifiedTweets_Month2_opportunity","NumTweets_Week1_opportunity","NumDistinctTweets_Week1_opportunity","NumDistinctUsers_Week1_opportunity","NumPopularTweets_Week1_opportunity","NumVerifiedTweets_Week1_opportunity","NumTweets_Week2_opportunity","NumDistinctTweets_Week2_opportunity","NumDistinctUsers_Week2_opportunity","NumPopularTweets_Week2_opportunity","NumVerifiedTweets_Week2_opportunity","NumTweets_Month1_hiring","NumDistinctTweets_Month1_hiring","NumDistinctUsers_Month1_hiring","NumPopularTweets_Month1_hiring","NumVerifiedTweets_Month1_hiring","NumTweets_Month2_hiring","NumDistinctTweets_Month2_hiring","NumDistinctUsers_Month2_hiring","NumPopularTweets_Month2_hiring","NumVerifiedTweets_Month2_hiring","NumTweets_Week1_hiring","NumDistinctTweets_Week1_hiring","NumDistinctUsers_Week1_hiring","NumPopularTweets_Week1_hiring","NumVerifiedTweets_Week1_hiring","NumTweets_Week2_hiring","NumDistinctTweets_Week2_hiring","NumDistinctUsers_Week2_hiring","NumPopularTweets_Week2_hiring","NumVerifiedTweets_Week2_hiring","NumTweets_Month1_hashtags","NumDistinctTweets_Month1_hashtags","NumDistinctUsers_Month1_hashtags","NumPopularTweets_Month1_hashtags","NumVerifiedTweets_Month1_hashtags","NumTweets_Month2_hashtags","NumDistinctTweets_Month2_hashtags","NumDistinctUsers_Month2_hashtags","NumPopularTweets_Month2_hashtags","NumVerifiedTweets_Month2_hashtags","NumTweets_Week1_hashtags","NumDistinctTweets_Week1_hashtags","NumDistinctUsers_Week1_hashtags","NumPopularTweets_Week1_hashtags","NumVerifiedTweets_Week1_hashtags","NumTweets_Week2_hashtags","NumDistinctTweets_Week2_hashtags","NumDistinctUsers_Week2_hashtags","NumPopularTweets_Week2_hashtags","NumVerifiedTweets_Week2_hashtags"
201102,506724,494821,194875,4630,5845,1223397,1209160,425938,10101,1626,-58133,-59971,25267,135,744,99813,96402,33194,953,2447,-34992,-38077,10890,897,749,162805,158688,38548,2352,525,-118640,-119071,-4598,-159,62,-28689,-29326,950,171,212,6787,5590,4612,379,123,15970,14923,10770,576,150,1101,711,655,44,-18,2130,1634,1154,151,45,4031,3607,2714,140,5,7798,7296,5478,303,85,222,227,273,-4,-22,741,635,431,32,15,5507,5019,3744,193,188,12296,11628,8534,390,66,433,365,305,7,-1,1292,1132,774,28,148,-51142,-52129,-50,188,433,127177,125224,14242,1095,221,-120326,-120309,-5817,-208,100,-32858,-32723,-1388,-36,7,550216,540686,188735,4074,5314,1075250,1064378,395053,8217,1128,61330,59813,30423,336,714,130996,127943,33464,910,2276
201103,-1492464,-1474810,-490381,-11727,-3879,677935,663559,245837,5936,6824,-458411,-451326,-176452,-4076,-1366,-530908,-523340,-182055,-4367,-2305,-177760,-171773,-43587,-2736,-1098,8714,5102,15604,1166,792,-19114,-17052,-13258,-906,-240,-29351,-27225,-15103,-963,-269,-18895,-16972,-12676,-769,-222,8556,7148,5797,444,141,-7077,-6299,-4677,-248,-33,-7699,-6864,-5115,-332,-84,-9858,-9084,-6759,-382,-37,4817,4365,3304,163,9,-3202,-2989,-2320,-111,-60,-3473,-3260,-2416,-141,39,-14386,-13659,-9968,-468,-202,6935,6358,4754,253,200,-4949,-4677,-3515,-167,-14,-5717,-5377,-3849,-160,-148,-135099,-132473,-14635,-1130,-637,-11405,-12592,1898,310,442,-4118,-3277,-2912,-383,-130,-12622,-11874,-3929,-336,-76,-1333271,-1320423,-456710,-9645,-2982,679540,667976,236055,5160,6266,-445796,-440380,-166808,-3393,-1162,-508866,-502933,-170708,-3665,-2092
201104,864813,848738,332068,8002,5548,-1499455,-1480814,-502909,-12070,-4451,351768,349446,141468,1960,353,339931,332510,134809,3257,2701,34773,30693,23383,1508,1396,-156360,-150222,-43441,-2760,-1110,12330,11883,9349,355,83,14082,11874,9351,675,574,10902,9489,7043,451,656,-19274,-17265,-12915,-790,-222,4550,4386,3223,122,31,5034,4144,3108,209,458,5474,5140,3932,174,78,-9972,-9190,-6878,-389,-37,1804,1762,1406,29,6,2196,2124,1648,72,-30,10043,9632,7788,296,172,-14751,-13983,-10226,-489,-214,3742,3720,2949,70,9,3532,3337,2765,129,24,8420,6469,4734,597,493,-112831,-110189,-13868,-1105,-637,2251,2032,1830,136,34,3407,2348,1939,268,125,843406,830609,315323,6913,4294,-1362080,-1348348,-469709,-9985,-3554,344650,342625,135075,1726,278,331200,325540,127968,2763,2224
201105,-382115,-364347,-115829,-6967,-7110,885049,868810,340975,8105,5560,-227607,-227448,-74897,-691,-156,-133747,-127418,-44297,-2223,-2611,-18016,-14236,-9515,-1297,-1157,35462,31371,23945,1518,1396,-7497,-7669,-5673,-117,-10,-6581,-4687,-3378,-464,-562,-4420,-3225,-2133,-425,-643,11145,9717,7227,457,656,-2928,-3039,-2059,-71,-28,-2282,-1531,-1028,-158,-437,-2855,-2537,-1703,-135,-111,5583,5249,4015,174,78,-1027,-1044,-774,10,0,-939,-873,-618,-43,-27,-5628,-5010,-3835,-274,-164,10260,9866,7981,298,172,-2400,-2378,-1829,-32,6,-1556,-1345,-1135,-100,-54,-5057,-3454,-1928,-472,-239,8556,6592,4849,599,493,-1074,-1201,-1036,-26,15,-1830,-956,-633,-166,-47,-370172,-355405,-109259,-6038,-6080,863271,850305,323827,7015,4306,-223860,-223439,-71293,-656,-150,-129673,-124847,-41949,-1904,-2122
201106,-307894,-315796,-96305,2467,1815,-402351,-384419,-124736,-7070,-7122,40902,39336,14267,845,575,-65343,-67555,-21465,612,552,-5819,-7955,-6519,347,525,-18705,-14914,-10077,-1307,-1157,5068,4647,3144,158,137,-2043,-2698,-2233,70,318,-1636,-2191,-1761,5,173,-4663,-3453,-2317,-431,-643,3081,3100,2016,25,57,-1042,-1091,-880,-4,-17,-963,-1038,-950,21,3,-2964,-2646,-1786,-135,-111,870,834,472,10,3,-444,-446,-374,-1,6,-2887,-3228,-2417,101,27,-5845,-5244,-4028,-276,-164,411,301,288,41,6,-624,-706,-568,28,54,-374,-1489,-1403,223,325,-5193,-3577,-2043,-474,-239,645,408,382,84,71,89,-452,-429,50,275,-305974,-311909,-90615,2149,1310,-390037,-375101,-117763,-6140,-6092,39094,37871,13305,728,470,-64548,-66146,-19684,557,234
201107,517139,498144,222958,9144,771,-299024,-307312,-93978,2612,2016,215829,208516,86668,3527,241,143506,137788,59721,2826,41,35962,34220,23693,1006,277,-4827,-7021,-5914,356,574,11738,11259,7530,339,70,11273,10445,7130,285,-18,20272,20356,13073,271,-133,-947,-1516,-1314,11,176,6248,6189,3646,110,-24,6076,5969,3792,78,7,5598,5246,3176,137,99,-772,-850,-845,22,3,1834,1707,1036,48,36,1884,1748,1097,43,57,5911,5355,4411,292,196,-2873,-3211,-2389,102,28,2261,2074,1700,95,43,1892,1736,1300,94,2,4246,3308,3164,311,115,-295,-1454,-1375,224,370,1426,1320,1194,86,15,1440,1027,970,70,-84,504691,486997,211673,8405,594,-297371,-303636,-88451,2287,1466,211510,204556,82508,3278,166,139633,134646,56351,2621,62
201108,352928,351592,120782,1640,3364,534894,515598,232111,9455,487,-7653,-4916,-2817,-1226,1175,178594,179145,52238,191,1539,23068,21713,11528,660,947,36818,35022,24318,1074,203,1799,1695,-769,41,62,8914,8530,5153,258,666,14271,13361,5450,151,942,20575,20647,13159,284,-130,1822,1770,-470,-16,85,5794,5116,2635,70,718,1292,1202,947,44,95,5572,5209,3195,142,99,-828,-797,-292,-14,33,768,806,401,20,-22,4591,4482,3036,140,-136,6295,5695,4691,314,188,745,768,17,13,-15,1777,1780,1438,49,-7,2994,2669,2412,338,118,4494,3571,3410,339,43,-28,-149,-82,60,-41,595,830,753,124,-4,344661,344576,114675,1114,2388,521891,503935,220259,8658,376,-6838,-4040,-2218,-1249,1134,173911,174731,49315,-25,918
201109,38143,30847,16878,-138,10181,326303,325654,109302,1184,3447,-11027,-11398,-3476,-98,637,-95642,-96317,-20698,-433,1375,541,-923,-2553,-50,882,21220,19977,10298,583,972,-2625,-3833,-1087,-36,833,-4985,-5025,-3160,-162,49,-2050,-2339,-2357,-6,221,13279,12395,4917,132,936,-2735,-3283,-889,10,530,-3948,-3359,-1767,-78,-539,856,834,543,5,134,1127,1051,823,38,95,622,506,252,14,138,-239,-377,-71,-1,148,1041,1056,-224,-59,119,4193,4125,2728,117,-129,-1187,-1147,-419,-52,32,-902,-983,-910,-35,74,455,-634,-965,3,336,2667,2371,2138,309,145,765,176,-32,-5,137,-13,-407,-523,-54,346,37260,31098,18431,-32,9494,318858,319365,103925,723,2450,-13193,-12372,-3237,-96,-168,-93126,-93857,-18723,-263,1410
201110,-340179,-335768,-104579,-3799,849,30527,24369,11302,-593,9848,-78113,-80195,-25617,-628,2937,-76366,-76986,-26593,-590,1148,-23645,-23352,-11425,-477,948,-1575,-2813,-3857,-154,853,-2907,-3489,-2155,-38,1007,-5476,-5173,-2760,5,-412,-13257,-12153,-4994,-135,-897,-3113,-3325,-3074,-47,210,-1779,-1186,-759,-29,-575,-2490,-2468,-1069,65,-53,-3098,-3078,-1783,-62,-79,756,738,446,1,137,-724,-791,-446,-19,21,-1057,-855,-567,-28,-174,-5987,-5862,-2864,-91,-38,398,465,-520,-83,113,-612,-661,-325,33,6,-1314,-1260,-677,-24,-78,-1187,-2119,-1773,-195,1970,204,-785,-1138,-33,321,217,-823,-614,-27,1552,-568,-547,-442,-9,-95,-333732,-329297,-98633,-3489,-168,30122,24913,13404,-411,9194,-76636,-78168,-24196,-573,1960,-74450,-75290,-25383,-622,1512
201111,-110285,-98675,-48659,-2519,-9038,-332563,-329290,-99003,-3344,1182,41919,46318,13502,-176,-5340,-41158,-35210,-16212,-1389,-4485,-6348,-4579,-3795,-182,-2069,-21529,-21462,-10121,-373,977,1347,2777,1110,5,-1800,-2790,-1964,-1575,-211,-617,-1147,-1449,-1246,-49,230,-12194,-11167,-4277,-94,-886,1801,1863,673,-8,-60,-987,-882,-734,-82,-95,-1082,-1094,-898,-38,147,-2998,-2982,-1686,-58,-82,-107,168,-3,-20,-219,-229,-216,-182,-30,-3,-873,-1063,-772,-5,131,-5344,-5271,-2568,-67,-32,661,384,226,3,215,-351,-282,-225,-32,-42,-3227,-952,-875,-89,-2588,-936,-1968,-1600,-159,1985,-1047,323,215,31,-1737,-1141,-496,-408,-66,-488,-107561,-97714,-47236,-2376,-7060,-326594,-323112,-93606,-3110,132,41198,44202,12453,-204,-3614,-39952,-34702,-15529,-1247,-3956
