#Field:candidate	MonthId	NumTweets_Lag_0	NumDistinctTweets_Lag_0	NumDistinctUsers_Lag_0	NumPopularTweets_Lag_0	NumVerifiedTweets_Lag_0	NumTweets_Lag_1	NumDistinctTweets_Lag_1	NumDistinctUsers_Lag_1	NumPopularTweets_Lag_1	NumVerifiedTweets_Lag_1	NumTweets_Lag_2	NumDistinctTweets_Lag_2	NumDistinctUsers_Lag_2	NumPopularTweets_Lag_2	NumVerifiedTweets_Lag_2	NumTweets_Lag_3	NumDistinctTweets_Lag_3	NumDistinctUsers_Lag_3	NumPopularTweets_Lag_3	NumVerifiedTweets_Lag_3
all	201101	1276577	1262218	439033	9958	1790	714478	706106	265826	5787	871	175451	173700	65396	1323	142	0	0	0	0	0
all old	201101	246916	242430	56565	2453	534	90933	88254	31775	1321	371	11178	10680	7416	280	44	0	0	0	0	0
hashtags	201101	1046670	1036106	391937	7938	1268	633764	627651	239783	4724	508	167090	165729	59425	1120	106	0	0	0	0	0
job opening	201101	21964	20874	14847	610	171	13934	13255	9439	386	120	3672	3516	2345	109	3	0	0	0	0	0
job opportunity	201101	17025	16407	11922	376	48	10562	10185	7332	226	48	2999	2919	1975	50	6	0	0	0	0	0
job posting	201101	19746	19264	13649	293	93	12182	11915	8502	178	11	3289	3253	2288	27	8	0	0	0	0	0
we are hiring	201101	189223	186872	17181	1186	222	54709	53336	7059	537	192	1369	1134	973	98	27	0	0	0	0	0
all	201102	1733612	1707752	626090	14101	7693	1752357	1728581	610189	14248	6010	1634315	1614260	574582	13002	3550	1121823	1108846	402484	9081	1399
all old	201102	223650	216123	74817	3292	1197	283535	276327	76707	3464	1180	296348	289981	73259	3197	846	180191	176065	50509	2220	503
hashtags	201102	1536149	1516454	566465	11553	6732	1493933	1476125	547878	11474	5038	1360689	1345911	514148	10435	2860	957165	947656	360599	7271	904
job opening	201102	32216	29868	22083	975	300	29766	28008	20427	918	306	27624	26187	18853	809	219	20156	19188	13619	569	153
job opportunity	201102	24557	23459	17581	561	227	23748	22716	16959	544	219	22023	21187	15699	520	78	15639	15064	10917	341	48
job posting	201102	29862	28957	19457	429	94	28106	27149	18814	457	109	26324	25523	18041	406	99	18058	17596	12475	277	89
we are hiring	201102	138473	135227	17252	1343	580	203447	199927	22042	1562	546	221722	218368	22034	1477	450	127276	125101	14438	1044	213
all	201103	367792	357862	159328	3693	3980	874441	857113	360137	7830	5598	1456334	1431366	566550	12633	7897	1737088	1710283	637606	14417	8263
all old	201103	23448	21616	15535	729	210	56389	52373	37769	1651	380	102270	95919	62422	2785	957	202801	195138	74923	3309	1209
hashtags	201103	351214	342808	147614	3138	3818	833095	819059	331013	6589	5294	1378160	1358387	517991	10496	7068	1560857	1540308	578223	11871	7302
job opening	201103	7054	6605	4944	227	72	18003	16563	12411	515	111	30036	27812	20572	906	289	32741	30310	22397	994	300
job opportunity	201103	5658	5189	3997	145	52	13500	12763	9628	309	69	22042	21029	15729	481	216	25009	23873	17931	579	239
job posting	201103	7644	7478	4539	74	60	17495	17118	10734	182	123	27047	26406	16928	350	87	30242	29331	19667	436	94
we are hiring	201103	3386	2634	2407	286	26	8155	6642	5832	651	81	24394	21855	10565	1062	369	116252	112997	16484	1316	580
all	201104	1162783	1137722	474311	10982	9470	747700	725907	300705	8391	8968	360054	348260	147747	4302	4764	367792	357862	159328	3693	3980
all old	201104	75146	69462	48204	2112	1614	49087	44269	30633	1579	1428	23834	21350	14356	767	808	23448	21616	15535	729	210
hashtags	201104	1111561	1091190	438017	9413	8044	713691	695948	277346	7193	7704	343460	333852	136934	3713	4004	351214	342808	147614	3138	3818
job opening	201104	24902	23078	14879	649	729	15512	13963	9148	467	678	6877	6313	4051	221	182	7054	6605	4944	227	72
