"MonthId","NumTweets_Month1_all","NumDistinctTweets_Month1_all","NumDistinctUsers_Month1_all","NumPopularTweets_Month1_all","NumVerifiedTweets_Month1_all","NumTweets_Month2_all","NumDistinctTweets_Month2_all","NumDistinctUsers_Month2_all","NumPopularTweets_Month2_all","NumVerifiedTweets_Month2_all","NumTweets_Week1_all","NumDistinctTweets_Week1_all","NumDistinctUsers_Week1_all","NumPopularTweets_Week1_all","NumVerifiedTweets_Week1_all","NumTweets_Week2_all","NumDistinctTweets_Week2_all","NumDistinctUsers_Week2_all","NumPopularTweets_Week2_all","NumVerifiedTweets_Week2_all","NumTweets_Month1_allold","NumDistinctTweets_Month1_allold","NumDistinctUsers_Month1_allold","NumPopularTweets_Month1_allold","NumVerifiedTweets_Month1_allold","NumTweets_Month2_allold","NumDistinctTweets_Month2_allold","NumDistinctUsers_Month2_allold","NumPopularTweets_Month2_allold","NumVerifiedTweets_Month2_allold","NumTweets_Week1_allold","NumDistinctTweets_Week1_allold","NumDistinctUsers_Week1_allold","NumPopularTweets_Week1_allold","NumVerifiedTweets_Week1_allold","NumTweets_Week2_allold","NumDistinctTweets_Week2_allold","NumDistinctUsers_Week2_allold","NumPopularTweets_Week2_allold","NumVerifiedTweets_Week2_allold","NumTweets_Month1_opening","NumDistinctTweets_Month1_opening","NumDistinctUsers_Month1_opening","NumPopularTweets_Month1_opening","NumVerifiedTweets_Month1_opening","NumTweets_Month2_opening","NumDistinctTweets_Month2_opening","NumDistinctUsers_Month2_opening","NumPopularTweets_Month2_opening","NumVerifiedTweets_Month2_opening","NumTweets_Week1_opening","NumDistinctTweets_Week1_opening","NumDistinctUsers_Week1_opening","NumPopularTweets_Week1_opening","NumVerifiedTweets_Week1_opening","NumTweets_Week2_opening","NumDistinctTweets_Week2_opening","NumDistinctUsers_Week2_opening","NumPopularTweets_Week2_opening","NumVerifiedTweets_Week2_opening","NumTweets_Month1_posting","NumDistinctTweets_Month1_posting","NumDistinctUsers_Month1_posting","NumPopularTweets_Month1_posting","NumVerifiedTweets_Month1_posting","NumTweets_Month2_posting","NumDistinctTweets_Month2_posting","NumDistinctUsers_Month2_posting","NumPopularTweets_Month2_posting","NumVerifiedTweets_Month2_posting","NumTweets_Week1_posting","NumDistinctTweets_Week1_posting","NumDistinctUsers_Week1_posting","NumPopularTweets_Week1_posting","NumVerifiedTweets_Week1_posting","NumTweets_Week2_posting","NumDistinctTweets_Week2_posting","NumDistinctUsers_Week2_posting","NumPopularTweets_Week2_posting","NumVerifiedTweets_Week2_posting","NumTweets_Month1_opportunity","NumDistinctTweets_Month1_opportunity","NumDistinctUsers_Month1_opportunity","NumPopularTweets_Month1_opportunity","NumVerifiedTweets_Month1_opportunity","NumTweets_Month2_opportunity","NumDistinctTweets_Month2_opportunity","NumDistinctUsers_Month2_opportunity","NumPopularTweets_Month2_opportunity","NumVerifiedTweets_Month2_opportunity","NumTweets_Week1_opportunity","NumDistinctTweets_Week1_opportunity","NumDistinctUsers_Week1_opportunity","NumPopularTweets_Week1_opportunity","NumVerifiedTweets_Week1_opportunity","NumTweets_Week2_opportunity","NumDistinctTweets_Week2_opportunity","NumDistinctUsers_Week2_opportunity","NumPopularTweets_Week2_opportunity","NumVerifiedTweets_Week2_opportunity","NumTweets_Month1_hiring","NumDistinctTweets_Month1_hiring","NumDistinctUsers_Month1_hiring","NumPopularTweets_Month1_hiring","NumVerifiedTweets_Month1_hiring","NumTweets_Month2_hiring","NumDistinctTweets_Month2_hiring","NumDistinctUsers_Month2_hiring","NumPopularTweets_Month2_hiring","NumVerifiedTweets_Month2_hiring","NumTweets_Week1_hiring","NumDistinctTweets_Week1_hiring","NumDistinctUsers_Week1_hiring","NumPopularTweets_Week1_hiring","NumVerifiedTweets_Week1_hiring","NumTweets_Week2_hiring","NumDistinctTweets_Week2_hiring","NumDistinctUsers_Week2_hiring","NumPopularTweets_Week2_hiring","NumVerifiedTweets_Week2_hiring","NumTweets_Month1_hashtags","NumDistinctTweets_Month1_hashtags","NumDistinctUsers_Month1_hashtags","NumPopularTweets_Month1_hashtags","NumVerifiedTweets_Month1_hashtags","NumTweets_Month2_hashtags","NumDistinctTweets_Month2_hashtags","NumDistinctUsers_Month2_hashtags","NumPopularTweets_Month2_hashtags","NumVerifiedTweets_Month2_hashtags","NumTweets_Week1_hashtags","NumDistinctTweets_Week1_hashtags","NumDistinctUsers_Week1_hashtags","NumPopularTweets_Week1_hashtags","NumVerifiedTweets_Week1_hashtags","NumTweets_Week2_hashtags","NumDistinctTweets_Week2_hashtags","NumDistinctUsers_Week2_hashtags","NumPopularTweets_Week2_hashtags","NumVerifiedTweets_Week2_hashtags"
201101,809276,800986,333353,6033,951,0,0,0,0,0,262883,259850,107542,2105,521,269499,266587,113666,2120,187,38646,36438,26301,1200,195,0,0,0,0,0,13456,12691,9318,425,51,12525,11721,8645,407,3,11722,11074,7689,373,69,0,0,0,0,0,3709,3486,2522,122,18,3517,3320,2423,105,3,12026,11800,9101,179,18,0,0,0,0,0,3932,3838,2926,67,18,3984,3902,2965,71,0,7511,7249,4522,176,3,0,0,0,0,0,2342,2236,1463,68,0,2525,2446,1525,59,0,7747,6668,5317,478,105,0,0,0,0,0,3609,3264,2503,171,15,2582,2136,1812,172,0,781439,774931,313024,5124,756,0,0,0,0,0,253118,250684,100266,1792,470,260482,258251,106995,1794,184
201102,1180243,1165271,475265,8542,4887,743014,735465,306897,5574,718,307538,303402,130111,2370,1054,357206,352460,138952,2541,1804,54685,50933,36114,1808,384,34826,32813,23747,1111,168,14305,13357,9341,505,81,15919,14763,10699,560,98,16254,15259,10849,555,82,10659,10118,7007,343,51,4513,4298,2917,122,0,5382,5042,3530,190,30,17953,17501,12608,245,48,10991,10775,8315,170,18,4943,4834,3199,50,42,5166,5005,3623,84,6,10431,9958,6663,296,20,6905,6667,4152,160,3,2806,2664,1836,92,8,3240,3119,2047,71,7,10389,8547,6400,717,238,6586,5562,4571,443,96,2159,1672,1507,242,35,2239,1701,1603,218,55,1142403,1130282,448719,7245,4594,718098,712162,288631,4735,550,297524,294091,123365,1996,992,346580,342626,131130,2156,1750
201103,274767,269045,123324,2274,2207,1200488,1184836,485066,8798,5397,2548,2263,1873,84,116,10181,9368,7128,210,420,12098,11224,7813,401,39,55363,51502,36458,1848,396,149,90,88,19,0,443,383,353,32,0,3522,3298,2362,126,16,16637,15584,11058,568,82,25,22,21,2,0,119,106,100,10,0,4804,4748,2978,34,0,18159,17707,12682,246,48,36,35,34,1,0,168,160,147,3,0,2324,2188,1549,68,12,10605,10107,6783,306,32,42,17,17,4,0,84,77,70,5,0,1516,1057,1004,174,11,10291,8423,6329,733,238,48,17,17,13,0,74,42,40,14,0,267249,262195,117999,1991,2204,1162219,1149488,458410,7477,5104,2434,2203,1814,69,116,9937,9155,6924,193,420
201104,850841,837092,364846,6381,4538,274767,269045,123324,2274,2207,237534,235751,105293,1225,416,235151,230305,104868,1914,2012,36533,33445,24191,1202,616,12098,11224,7813,401,39,9637,9321,6834,207,22,10244,8996,6786,368,212,10730,9812,7204,382,280,3522,3298,2362,126,16,3074,2985,2220,77,4,2907,2575,2023,116,104,13360,13212,8701,101,24,4804,4748,2978,34,0,3712,3694,2551,15,6,3855,3807,2600,26,18,7594,7118,5324,223,175,2324,2188,1549,68,12,1875,1825,1340,39,6,1729,1614,1255,65,30,5031,3476,3190,502,137,1516,1057,1004,174,11,1002,842,782,77,6,1797,1044,954,161,60,829162,817824,348123,5571,4010,267249,262195,117999,1991,2204,232137,230567,100670,1105,398,228881,225041,100122,1667,1820
201105,595550,590666,278896,2961,1229,863185,849330,370722,6447,4556,89420,87809,50453,829,217,149982,148623,72247,811,387,24935,23738,17769,528,127,37020,33934,24571,1209,616,3756,3238,2718,139,25,6142,5869,4486,136,47,8710,8236,6091,158,33,10890,9962,7331,388,280,1258,1014,844,31,3,2051,1942,1498,37,11,8510,8446,6062,48,15,13574,13426,8857,101,24,1181,1156,957,18,6,2188,2174,1550,12,0,4811,4697,3473,84,27,7675,7215,5395,224,175,734,708,582,16,3,1140,1117,850,19,3,3093,2486,2318,239,52,5058,3500,3214,501,137,666,381,363,75,13,799,672,637,68,33,581628,577707,266707,2593,1143,841301,829843,353766,5637,4028,86951,85813,48532,712,196,146400,145266,69104,707,348
201106,394712,386489,208789,4326,1518,595550,590666,278896,2961,1229,112511,110152,59923,1297,534,107205,104993,57395,1102,553,18593,16196,13055,683,466,24935,23738,17769,528,127,7479,6853,5296,242,62,4320,3575,3007,179,327,7512,6741,5127,119,60,8710,8236,6091,158,33,3739,3589,2621,47,27,1353,1213,972,27,6,5008,4883,4044,63,20,8510,8446,6062,48,15,1784,1733,1362,24,9,1199,1168,1025,14,6,3191,2946,2350,131,35,4811,4697,3473,84,27,1006,928,762,47,8,863,790,608,37,27,3019,1760,1669,373,351,3093,2486,2318,239,52,975,626,595,126,18,951,449,435,102,288,383096,376943,200397,3815,1110,581628,577707,266707,2593,1143,108651,106800,57112,1121,504,104064,102512,55213,969,238
201107,693991,673087,364008,9938,1990,399373,391023,210378,4382,1599,242501,235110,121168,3554,705,187861,181758,97970,2944,383,47212,43962,32351,1204,554,19377,16917,13600,693,515,17695,16858,11645,395,153,12654,11616,8499,300,67,23209,22616,15883,278,49,8062,7279,5519,122,60,8620,8452,5584,98,13,5895,5758,4054,73,14,12053,11856,8765,117,39,5156,5024,4160,67,20,5097,5014,3402,44,21,3152,3124,2320,23,0,6870,6339,4795,279,141,3202,2959,2370,131,39,2517,2330,1682,97,44,1972,1864,1331,72,6,5255,3315,3116,537,325,3086,1781,1685,376,396,1550,1146,1063,159,75,1679,912,851,134,47,670432,652158,346879,9076,1570,387493,381275,201824,3864,1146,233890,227184,114996,3264,558,181337,176126,93444,2741,332
201108,907401,886807,446062,10408,3430,709593,688160,371751,10227,1993,235906,231412,116958,2461,775,300606,294854,134851,2873,1409,63535,59282,41502,1603,1430,48768,45512,33251,1229,523,15893,14925,10377,442,189,20463,18881,12774,485,807,31996,30638,19808,342,881,24043,23447,16300,284,49,8069,7852,4892,77,91,10352,9612,6002,96,650,14333,14036,10329,160,111,12388,12194,8950,116,39,3376,3317,2574,46,9,4693,4608,3295,48,33,10248,9648,6735,347,66,7147,6601,4961,286,137,2753,2603,1793,103,15,3385,3253,2156,107,12,7427,5338,4979,771,438,5399,3468,3260,550,298,1779,1235,1185,217,74,2165,1525,1436,238,128,876843,859874,424631,9229,2066,685404,666602,354168,9346,1600,228998,225304,111852,2138,599,290402,286011,128181,2511,647
201109,930309,910113,455444,9237,7398,907401,886807,446062,10408,3430,229478,225532,115360,2378,980,240305,235517,119212,2327,1739,59025,55241,38515,1534,916,63535,59282,41502,1603,1430,13779,12872,9063,399,174,15289,14314,10252,382,329,28382,27815,17752,324,112,31996,30638,19808,342,881,7014,6878,4331,90,12,6966,6896,4654,61,3,12916,12660,9498,145,103,14333,14036,10329,160,111,3054,2976,2284,48,39,3480,3423,2541,40,6,11007,10390,7400,343,117,10248,9648,6735,347,66,2044,1917,1510,70,12,2919,2698,2003,96,80,7060,4700,4142,730,586,7427,5338,4979,771,438,1776,1202,1017,194,113,2001,1372,1129,186,240,902335,885110,435402,8169,6666,876843,859874,424631,9229,2066,222884,219656,110623,2078,865,232895,228838,113926,2080,1503
201110,729488,711381,383664,7497,7567,926565,906890,452216,8970,7344,183053,177444,97443,2047,2689,197257,191911,102014,2147,2263,43009,38877,28988,1259,1611,57765,54140,37584,1473,890,12445,10687,7727,365,991,10932,10028,7612,357,161,21154,20605,13907,267,134,27660,27145,17197,301,107,6135,6013,3756,78,3,5361,5234,3707,92,18,9250,8923,7030,125,57,12787,12535,9395,142,103,2430,2299,1851,32,42,2307,2244,1741,36,0,6425,5814,4834,307,136,10801,10204,7234,331,111,1731,1484,1282,107,72,1690,1551,1295,78,24,6448,3794,3420,567,1285,6860,4583,4033,707,571,2216,954,892,151,874,1637,1062,910,151,120,707793,693243,368575,6582,6040,899065,882233,432506,7940,6642,176638,172614,93424,1789,1702,191698,187076,97997,1903,2134
