Date,Label,OneMonthBefore,TwoMonthBefore,ThreeMonthBefore
4/1/2004,288,308,21,112
5/1/2004,248,288,308,21
6/1/2004,112,248,288,308
7/1/2004,32,112,248,288
8/1/2004,144,32,112,248
9/1/2004,96,144,32,112
10/1/2004,337,96,144,32
11/1/2004,112,337,96,144
12/1/2004,157,112,337,96
1/1/2005,146,157,112,337
2/1/2005,262,146,157,112
3/1/2005,110,262,146,157
4/1/2005,274,110,262,146
5/1/2005,78,274,110,262
6/1/2005,146,78,274,110
7/1/2005,207,146,78,274
8/1/2005,169,207,146,78
9/1/2005,-35,169,207,146
10/1/2005,56,-35,169,207
11/1/2005,215,56,-35,169
12/1/2005,108,215,56,-35
1/1/2006,193,108,215,56
2/1/2006,243,193,108,215
3/1/2006,211,243,193,108
4/1/2006,138,211,243,193
5/1/2006,75,138,211,243
6/1/2006,121,75,138,211
7/1/2006,113,121,75,138
8/1/2006,128,113,121,75
9/1/2006,51,128,113,121
10/1/2006,92,51,128,113
11/1/2006,132,92,51,128
12/1/2006,167,132,92,51
1/1/2007,111,167,132,92
2/1/2007,97,111,167,132
3/1/2007,180,97,111,167
4/1/2007,88,180,97,111
5/1/2007,157,88,180,97
6/1/2007,132,157,88,180
7/1/2007,92,132,157,88
8/1/2007,-4,92,132,157
9/1/2007,110,-4,92,132
10/1/2007,166,110,-4,92
11/1/2007,94,166,110,-4
12/1/2007,18,94,166,110
1/1/2008,-17,18,94,166
2/1/2008,-63,-17,18,94
3/1/2008,-80,-63,-17,18
4/1/2008,-20,-80,-63,-17
5/1/2008,-49,-20,-80,-63
6/1/2008,-62,-49,-20,-80
7/1/2008,-51,-62,-49,-20
8/1/2008,-84,-51,-62,-49
9/1/2008,-159,-84,-51,-62
10/1/2008,-240,-159,-84,-51
11/1/2008,-533,-240,-159,-84
12/1/2008,-524,-533,-240,-159
1/1/2009,-598,-524,-533,-240
2/1/2009,-651,-598,-524,-533
3/1/2009,-663,-651,-598,-524
4/1/2009,-539,-663,-651,-598
5/1/2009,-345,-539,-663,-651
6/1/2009,-467,-345,-539,-663
7/1/2009,-247,-467,-345,-539
8/1/2009,-216,-247,-467,-345
9/1/2009,-263,-216,-247,-467
10/1/2009,-190,-263,-216,-247
11/1/2009,-11,-190,-263,-216
12/1/2009,-85,-11,-190,-263
1/1/2010,-20,-85,-11,-190
2/1/2010,-36,-20,-85,-11
3/1/2010,162,-36,-20,-85
4/1/2010,290,162,-36,-20
5/1/2010,431,290,162,-36
6/1/2010,-125,431,290,162
7/1/2010,-131,-125,431,290
8/1/2010,-54,-131,-125,431
9/1/2010,-95,-54,-131,-125
10/1/2010,151,-95,-54,-131
11/1/2010,39,151,-95,-54
12/1/2010,103,39,151,-95
1/1/2011,36,103,39,151
2/1/2011,192,36,103,39
3/1/2011,216,192,36,103
4/1/2011,244,216,192,36
5/1/2011,54,244,216,192
6/1/2011,18,54,244,216
7/1/2011,117,18,54,244
8/1/2011,0,117,18,54
9/1/2011,103,0,117,18
10/1/2011,80,103,0,117
11/1/2011,120,80,103,0
12/1/2011,200,120,80,103
1/1/2012,243,200,120,80
2/1/2012,227,243,200,120
3/1/2012,120,227,243,200
4/1/2012,115,120,227,243
5/1/2012,69,115,120,227
6/1/2012,80,69,115,120
7/1/2012,163,80,69,115
8/1/2012,96,163,80,69
9/1/2012,114,96,163,80
10/1/2012,171,114,96,163
11/1/2012,146,171,114,96
12/1/2012,155,146,171,114
1/1/2013,157,155,146,171
2/1/2013,236,157,155,146
3/1/2013,88,236,157,155
4/1/2013,165,88,236,157
5/1/2013,175,165,88,236
6/1/2013,195,175,165,88
7/1/2013,162,195,175,165
8/1/2013,169,162,195,175
9/1/2013,148,169,162,195
10/1/2013,204,148,169,162
11/1/2013,203,204,148,169
12/1/2013,74,203,204,148
1/1/2014,113,74,203,204
2/1/2014,175,113,74,203
3/1/2014,192,175,113,74
4/1/2014,288,192,175,113
5/1/2014,217,288,192,175
6/1/2014,288,217,288,192
7/1/2014,209,288,217,288
8/1/2014,142,209,288,217
9/1/2014,258,142,209,288
10/1/2014,200,258,142,209
