Date,Label,OneMonthBefore,TwoMonthBefore,ThreeMonthBefore
4/1/2004,131372,131123,130791,130747
5/1/2004,131679,131372,131123,130791
6/1/2004,131753,131679,131372,131123
7/1/2004,131785,131753,131679,131372
8/1/2004,131917,131785,131753,131679
9/1/2004,132079,131917,131785,131753
10/1/2004,132425,132079,131917,131785
11/1/2004,132490,132425,132079,131917
12/1/2004,132619,132490,132425,132079
1/1/2005,132753,132619,132490,132425
2/1/2005,132992,132753,132619,132490
3/1/2005,133126,132992,132753,132619
4/1/2005,133489,133126,132992,132753
5/1/2005,133664,133489,133126,132992
6/1/2005,133909,133664,133489,133126
7/1/2005,134282,133909,133664,133489
8/1/2005,134478,134282,133909,133664
9/1/2005,134545,134478,134282,133909
10/1/2005,134629,134545,134478,134282
11/1/2005,134966,134629,134545,134478
12/1/2005,135125,134966,134629,134545
1/1/2006,135402,135125,134966,134629
2/1/2006,135717,135402,135125,134966
3/1/2006,135997,135717,135402,135125
4/1/2006,136179,135997,135717,135402
5/1/2006,136202,136179,135997,135717
6/1/2006,136279,136202,136179,135997
7/1/2006,136486,136279,136202,136179
8/1/2006,136670,136486,136279,136202
9/1/2006,136827,136670,136486,136279
10/1/2006,136829,136827,136670,136486
11/1/2006,137039,136829,136827,136670
12/1/2006,137210,137039,136829,136827
1/1/2007,137448,137210,137039,136829
2/1/2007,137536,137448,137210,137039
3/1/2007,137724,137536,137448,137210
4/1/2007,137802,137724,137536,137448
5/1/2007,137946,137802,137724,137536
6/1/2007,138017,137946,137802,137724
7/1/2007,137984,138017,137946,137802
8/1/2007,137968,137984,138017,137946
9/1/2007,138053,137968,137984,138017
10/1/2007,138135,138053,137968,137984
11/1/2007,138253,138135,138053,137968
12/1/2007,138350,138253,138135,138053
1/1/2008,138365,138350,138253,138135
2/1/2008,138279,138365,138350,138253
3/1/2008,138199,138279,138365,138350
4/1/2008,137985,138199,138279,138365
5/1/2008,137803,137985,138199,138279
6/1/2008,137631,137803,137985,138199
7/1/2008,137421,137631,137803,137985
8/1/2008,137162,137421,137631,137803
9/1/2008,136710,137162,137421,137631
10/1/2008,136236,136710,137162,137421
11/1/2008,135471,136236,136710,137162
12/1/2008,134774,135471,136236,136710
1/1/2009,133976,134774,135471,136236
2/1/2009,133275,133976,134774,135471
3/1/2009,132449,133275,133976,134774
4/1/2009,131765,132449,133275,133976
5/1/2009,131411,131765,132449,133275
6/1/2009,130944,131411,131765,132449
7/1/2009,130617,130944,131411,131765
8/1/2009,130401,130617,130944,131411
9/1/2009,130174,130401,130617,130944
10/1/2009,129976,130174,130401,130617
11/1/2009,129970,129976,130174,130401
12/1/2009,129687,129970,129976,130174
1/1/2010,129705,129687,129970,129976
2/1/2010,129655,129705,129687,129970
3/1/2010,129811,129655,129705,129687
4/1/2010,130062,129811,129655,129705
5/1/2010,130578,130062,129811,129655
6/1/2010,130456,130578,130062,129811
7/1/2010,130395,130456,130578,130062
8/1/2010,130353,130395,130456,130578
9/1/2010,130296,130353,130395,130456
10/1/2010,130537,130296,130353,130395
11/1/2010,130674,130537,130296,130353
12/1/2010,130745,130674,130537,130296
1/1/2011,130815,130745,130674,130537
2/1/2011,130983,130815,130745,130674
3/1/2011,131195,130983,130815,130745
4/1/2011,131517,131195,130983,130815
5/1/2011,131619,131517,131195,130983
6/1/2011,131836,131619,131517,131195
7/1/2011,131942,131836,131619,131517
8/1/2011,132064,131942,131836,131619
9/1/2011,132285,132064,131942,131836
10/1/2011,132468,132285,132064,131942
11/1/2011,132632,132468,132285,132064
12/1/2011,132828,132632,132468,132285
1/1/2012,133188,132828,132632,132468
2/1/2012,133414,133188,132828,132632
3/1/2012,133657,133414,133188,132828
4/1/2012,133753,133657,133414,133188
5/1/2012,133863,133753,133657,133414
6/1/2012,133951,133863,133753,133657
7/1/2012,134111,133951,133863,133753
8/1/2012,134261,134111,133951,133863
9/1/2012,134422,134261,134111,133951
10/1/2012,134647,134422,134261,134111
11/1/2012,134850,134647,134422,134261
12/1/2012,135064,134850,134647,134422
1/1/2013,135261,135064,134850,134647
2/1/2013,135541,135261,135064,134850
3/1/2013,135682,135541,135261,135064
4/1/2013,135885,135682,135541,135261
5/1/2013,136084,135885,135682,135541
6/1/2013,136285,136084,135885,135682
7/1/2013,136434,136285,136084,135885
8/1/2013,136636,136434,136285,136084
9/1/2013,136800,136636,136434,136285
10/1/2013,137037,136800,136636,136434
11/1/2013,137311,137037,136800,136636
12/1/2013,137395,137311,137037,136800
1/1/2014,137539,137395,137311,137037
2/1/2014,137761,137539,137395,137311
3/1/2014,137964,137761,137539,137395
4/1/2014,138268,137964,137761,137539
5/1/2014,138497,138268,137964,137761
6/1/2014,138795,138497,138268,137964
7/1/2014,139004,138795,138497,138268
