Date,Label,4-wk Moving Average
1/3/1997,347,
1/10/1997,323,
1/17/1997,355,
1/24/1997,351,344
1/31/1997,325,338.5
2/7/1997,309,335
2/14/1997,309,323.5
2/21/1997,316,314.75
2/28/1997,310,311
3/7/1997,307,310.5
3/14/1997,312,311.25
3/21/1997,310,309.75
3/28/1997,314,310.75
4/4/1997,314,312.5
4/11/1997,332,317.5
4/18/1997,324,321
4/25/1997,347,329.25
5/2/1997,347,337.5
5/9/1997,319,334.25
5/16/1997,322,333.75
5/23/1997,322,327.5
5/30/1997,338,325.25
6/6/1997,339,330.25
6/13/1997,347,336.5
6/20/1997,332,339
6/27/1997,337,338.75
7/4/1997,377,348.25
7/11/1997,349,348.75
7/18/1997,299,340.5
7/25/1997,277,325.5
8/1/1997,300,306.25
8/8/1997,316,298
8/15/1997,337,307.5
8/22/1997,327,320
8/29/1997,329,327.25
9/5/1997,318,327.75
9/12/1997,306,320
9/19/1997,306,314.75
9/26/1997,308,309.5
10/3/1997,304,306
10/10/1997,306,306
10/17/1997,315,308.25
10/24/1997,297,305.5
10/31/1997,315,308.25
11/7/1997,310,309.25
11/14/1997,333,313.75
11/21/1997,303,315.25
11/28/1997,303,312.25
12/5/1997,311,312.5
12/12/1997,319,309
12/19/1997,307,310
12/26/1997,318,313.75
1/2/1998,334,319.5
1/9/1998,335,323.5
1/16/1998,326,328.25
1/23/1998,300,323.75
1/30/1998,303,316
2/6/1998,303,308
2/13/1998,301,301.75
2/20/1998,320,306.75
2/27/1998,304,307
3/6/1998,298,305.75
3/13/1998,308,307.5
3/20/1998,313,305.75
3/27/1998,309,307
4/3/1998,308,309.5
4/10/1998,289,304.75
4/17/1998,317,305.75
4/24/1998,319,308.25
5/1/1998,308,308.25
5/8/1998,307,312.75
5/15/1998,313,311.75
5/22/1998,312,310
5/29/1998,339,317.75
6/5/1998,315,319.75
6/12/1998,327,323.25
6/19/1998,364,336.25
6/26/1998,390,349
7/3/1998,392,368.25
7/10/1998,336,370.5
7/17/1998,315,358.25
7/24/1998,304,336.75
7/31/1998,307,315.5
8/7/1998,301,306.75
8/14/1998,301,303.25
8/21/1998,297,301.5
8/28/1998,302,300.25
9/4/1998,312,303
9/11/1998,299,302.5
9/18/1998,292,301.25
9/25/1998,289,298
10/2/1998,300,295
10/9/1998,303,296
10/16/1998,318,302.5
10/23/1998,301,305.5
10/30/1998,312,308.5
11/6/1998,321,313
11/13/1998,332,316.5
11/20/1998,300,316.25
11/27/1998,313,316.5
12/4/1998,314,314.75
12/11/1998,296,305.75
12/18/1998,287,302.5
12/25/1998,368,316.25
1/1/1999,350,325.25
1/8/1999,352,339.25
1/15/1999,346,354
1/22/1999,301,337.25
1/29/1999,292,322.75
2/5/1999,281,305
2/12/1999,288,290.5
2/19/1999,293,288.5
2/26/1999,286,287
3/5/1999,289,289
3/12/1999,298,291.5
3/19/1999,289,290.5
3/26/1999,289,291.25
4/2/1999,299,293.75
4/9/1999,316,298.25
4/16/1999,314,304.5
4/23/1999,294,305.75
4/30/1999,301,306.25
5/7/1999,303,303
5/14/1999,299,299.25
5/21/1999,300,300.75
5/28/1999,305,301.75
6/4/1999,323,306.75
6/11/1999,297,306.25
6/18/1999,302,306.75
6/25/1999,299,305.25
7/2/1999,294,298
7/9/1999,310,301.25
7/16/1999,313,304
7/23/1999,275,298
7/30/1999,279,294.25
8/6/1999,284,287.75
8/13/1999,287,281.25
8/20/1999,283,283.25
8/27/1999,289,285.75
9/3/1999,286,286.25
9/10/1999,288,286.5
9/17/1999,272,283.75
9/24/1999,299,286.25
10/1/1999,312,292.75
10/8/1999,285,292
10/15/1999,298,298.5
10/22/1999,278,293.25
10/29/1999,288,287.25
11/5/1999,285,287.25
11/12/1999,287,284.5
11/19/1999,274,283.5
11/26/1999,291,284.25
12/3/1999,293,286.25
12/10/1999,266,281
12/17/1999,281,282.75
12/24/1999,274,278.5
12/31/1999,309,282.5
1/7/2000,309,293.25
1/14/2000,272,291
1/21/2000,266,289
1/28/2000,274,280.25
2/4/2000,301,278.25
2/11/2000,283,281
2/18/2000,278,284
2/25/2000,275,284.25
3/3/2000,280,279
3/10/2000,262,273.75
3/17/2000,266,270.75
3/24/2000,266,268.5
3/31/2000,260,263.5
4/7/2000,264,264
4/14/2000,257,261.75
4/21/2000,283,266
4/28/2000,303,276.75
5/5/2000,297,285
5/12/2000,276,289.75
5/19/2000,284,290
5/26/2000,286,285.75
6/2/2000,309,288.75
6/9/2000,296,293.75
6/16/2000,302,298.25
6/23/2000,306,303.25
6/30/2000,296,300
7/7/2000,319,305.75
7/14/2000,311,308
7/21/2000,272,299.5
7/28/2000,276,294.5
8/4/2000,293,288
8/11/2000,313,288.5
8/18/2000,314,299
8/25/2000,318,309.5
9/1/2000,316,315.25
9/8/2000,324,318
9/15/2000,308,316.5
9/22/2000,287,308.75
9/29/2000,299,304.5
10/6/2000,306,300
10/13/2000,307,299.75
10/20/2000,305,304.25
10/27/2000,308,306.5
11/3/2000,344,316
11/10/2000,326,320.75
11/17/2000,336,328.5
11/24/2000,358,341
12/1/2000,352,343
12/8/2000,320,341.5
12/15/2000,354,346
12/22/2000,333,339.75
12/29/2000,375,345.5
1/5/2001,345,351.75
1/12/2001,306,339.75
1/19/2001,316,335.5
1/26/2001,346,328.25
2/2/2001,361,332.25
2/9/2001,352,343.75
2/16/2001,348,351.75
2/23/2001,372,358.25
3/2/2001,370,360.5
3/9/2001,375,366.25
3/16/2001,379,374
3/23/2001,362,371.5
3/30/2001,383,374.75
4/6/2001,392,379
4/13/2001,385,380.5
4/20/2001,408,392
