Date,IJC,DeltaIJC,4wk,Delta4wk
1/1/2011,429.5,20.25,428,15.75
2/1/2011,388,-41.5,399.75,-28.25
3/1/2011,388,0,388,-11.75
4/1/2011,429.5,41.5,406.5,18.5
5/1/2011,422.25,-7.25,435.25,28.75
6/1/2011,424.5,2.25,424.5,-10.75
7/1/2011,405.25,-19.25,409.75,-14.75
8/1/2011,407.25,2,405,-4.75
9/1/2011,410.75,3.5,414,9
10/1/2011,401.5,-9.25,402.5,-11.5
11/1/2011,393.25,-8.25,393.25,-9.25
12/1/2011,370.75,-22.5,373,-20.25
1/1/2012,373.75,3,373.75,0.75
2/1/2012,352,-21.75,352,-21.75
3/1/2012,353.75,1.75,355,3
4/1/2012,379.75,26,377.75,22.75
5/1/2012,372.5,-7.25,372.5,-5.25
6/1/2012,383.25,10.75,384,11.5
7/1/2012,363.5,-19.75,365.75,-18.25
8/1/2012,369.25,5.75,368.25,2.5
9/1/2012,372.5,3.25,372,3.75
10/1/2012,364.75,-7.75,364.75,-7.25
11/1/2012,403,38.25,399.25,34.5
12/1/2012,356.5,-46.5,356,-43.25
1/1/2013,351,-5.5,352,-4
2/1/2013,353.25,2.25,353.25,1.25
3/1/2013,352.5,-0.75,341.25,-12
4/1/2013,340.25,-12.25,355.5,14.25
5/1/2013,350,9.75,344.25,-11.25
6/1/2013,344.25,-5.75,345,0.75
7/1/2013,340.75,-3.5,345,0
8/1/2013,327.5,-13.25,330,-15
9/1/2013,303.5,-24,307.25,-22.75
10/1/2013,355.5,52,347.5,40.25
11/1/2013,319,-36.5,328.5,-19
12/1/2013,356,37,345.75,17.25
1/1/2014,332.75,-23.25,332.5,-13.25
2/1/2014,336.5,3.75,338.5,6
3/1/2014,318,-18.5,317.25,-21.25
4/1/2014,319.25,1.25,314.75,-2.5
5/1/2014,308.75,-10.5,310.5,-4.25
6/1/2014,314,5.25,313.25,2.75
7/1/2014,298,-16,301.25,-12
8/1/2014,302.25,4.25,299.5,-1.75
9/1/2014,293.75,-8.5,298.5,-1
10/1/2014,278,-15.75,281.25,-17.25
11/1/2014,298,20,294.25,13
12/1/2014,289,-9,290.75,-3.5
1/1/2014,296.6666667,7.666666667,298.5,7.75
