Date,Consensus1,Consensus2
4/1/2004,170,
5/1/2004,225,
6/1/2004,250,
7/1/2004,240,
8/1/2004,150,
9/1/2004,147.5,
10/1/2004,175,
11/1/2004,200,
12/1/2004,175,
1/1/2005,200,
2/1/2005,225,
3/1/2005,212.5,
4/1/2005,174,
5/1/2005,175,
6/1/2005,200,
7/1/2005,180,
8/1/2005,190,
9/1/2005,-150,
10/1/2005,120,
11/1/2005,210,
12/1/2005,200,
1/1/2006,250,
2/1/2006,210,
3/1/2006,190,
4/1/2006,200,
5/1/2006,170,
6/1/2006,175,
7/1/2006,141,
8/1/2006,125,
9/1/2006,120,
10/1/2006,122.5,
11/1/2006,100,
12/1/2006,100,
1/1/2007,150,
2/1/2007,95,
3/1/2007,130,
4/1/2007,100,
5/1/2007,131.5,
6/1/2007,125,
7/1/2007,127,
8/1/2007,100,
9/1/2007,100,
10/1/2007,84.5,
11/1/2007,80,
12/1/2007,70,
1/1/2008,70,29.5
2/1/2008,20,-69.6
3/1/2008,-50,-146.2
4/1/2008,-75,-169.4
5/1/2008,-60,-167.7
6/1/2008,-60,-215.2
7/1/2008,-75,-250.5
8/1/2008,-75,-330.4
9/1/2008,-105,-495.5
10/1/2008,-200,-448.1
11/1/2008,-335,-649.8
12/1/2008,-525,-716.9
1/1/2009,-540,-837.9
2/1/2009,-650,-842
3/1/2009,-660,-743.7
4/1/2009,-600,-703.8
5/1/2009,-520,-571.2
6/1/2009,-365,-460.8
7/1/2009,-325,-262.2
8/1/2009,-230,-186.3
9/1/2009,-175,-132.7
10/1/2009,-175,-119.8
11/1/2009,-125,-95.2
12/1/2009,0,-78.1
1/1/2010,15,-17.8
2/1/2010,-67.5,-20.9
3/1/2010,184,59.6
4/1/2010,189.5,156.7
5/1/2010,535.5,226.6
6/1/2010,-130,149.4
7/1/2010,-65,99.3
8/1/2010,-105,110.7
9/1/2010,-5,94.6
10/1/2010,60,91.9
11/1/2010,150,179.7
12/1/2010,150,129.7
1/1/2011,146,166.1
2/1/2011,195.5,111.1
3/1/2011,190,192.1
4/1/2011,185,186.7
5/1/2011,165,211.9
6/1/2011,105,197
7/1/2011,85,221.7
8/1/2011,67.5,201.1
9/1/2011,60,265.9
10/1/2011,95,188.9
11/1/2011,125,259.8
12/1/2011,155,231.4
1/1/2012,140,261.1
2/1/2012,210,283
3/1/2012,205,203.4
4/1/2012,160,221.7
5/1/2012,150,148.4
6/1/2012,100,113
7/1/2012,100,134.5
8/1/2012,130,117.9
9/1/2012,115,137.9
10/1/2012,125,202.2
11/1/2012,85,292.9
12/1/2012,152,240.6
1/1/2013,165,143.7
2/1/2013,165,205.1
3/1/2013,190,144.1
4/1/2013,140,150.9
5/1/2013,162.5,163.4
6/1/2013,166,215.8
7/1/2013,185,187.6
8/1/2013,180,190.2
9/1/2013,180,215
10/1/2013,120,195.9
11/1/2013,185,244.9
12/1/2013,197,191.2
1/1/2014,180,121.2
2/1/2014,148.5,193.1
3/1/2014,200,198.1
4/1/2014,217.5,205
5/1/2014,215,179.4
6/1/2014,215,297
7/1/2014,235,217
8/1/2014,226,202
9/1/2014,215,213
10/1/2014,231,231
