Date,Label
1/1/2004,130747
2/1/2004,130791
3/1/2004,131123
4/1/2004,131372
5/1/2004,131679
6/1/2004,131753
7/1/2004,131785
8/1/2004,131917
9/1/2004,132079
10/1/2004,132425
11/1/2004,132490
12/1/2004,132619
1/1/2005,132753
2/1/2005,132992
3/1/2005,133126
4/1/2005,133489
5/1/2005,133664
6/1/2005,133909
7/1/2005,134282
8/1/2005,134478
9/1/2005,134545
10/1/2005,134629
11/1/2005,134966
12/1/2005,135125
1/1/2006,135402
2/1/2006,135717
3/1/2006,135997
4/1/2006,136179
5/1/2006,136202
6/1/2006,136279
7/1/2006,136486
8/1/2006,136670
9/1/2006,136827
10/1/2006,136829
11/1/2006,137039
12/1/2006,137210
1/1/2007,137448
2/1/2007,137536
3/1/2007,137724
4/1/2007,137802
5/1/2007,137946
6/1/2007,138017
7/1/2007,137984
8/1/2007,137968
9/1/2007,138053
10/1/2007,138135
11/1/2007,138253
12/1/2007,138350
1/1/2008,138365
2/1/2008,138279
3/1/2008,138199
4/1/2008,137985
5/1/2008,137803
6/1/2008,137631
7/1/2008,137421
8/1/2008,137162
9/1/2008,136710
10/1/2008,136236
11/1/2008,135471
12/1/2008,134774
1/1/2009,133976
2/1/2009,133275
3/1/2009,132449
4/1/2009,131765
5/1/2009,131411
6/1/2009,130944
7/1/2009,130617
8/1/2009,130401
9/1/2009,130174
10/1/2009,129976
11/1/2009,129970
12/1/2009,129687
1/1/2010,129705
2/1/2010,129655
3/1/2010,129811
4/1/2010,130062
5/1/2010,130578
6/1/2010,130456
7/1/2010,130395
8/1/2010,130353
9/1/2010,130296
10/1/2010,130537
11/1/2010,130674
12/1/2010,130745
1/1/2011,130815
2/1/2011,130983
3/1/2011,131195
4/1/2011,131517
5/1/2011,131619
6/1/2011,131836
7/1/2011,131942
8/1/2011,132064
9/1/2011,132285
10/1/2011,132468
11/1/2011,132632
12/1/2011,132828
1/1/2012,133188
2/1/2012,133414
3/1/2012,133657
4/1/2012,133753
5/1/2012,133863
6/1/2012,133951
7/1/2012,134111
8/1/2012,134261
9/1/2012,134422
10/1/2012,134647
11/1/2012,134850
12/1/2012,135064
1/1/2013,135261
2/1/2013,135541
3/1/2013,135682
4/1/2013,135885
5/1/2013,136084
6/1/2013,136285
7/1/2013,136434
8/1/2013,136636
9/1/2013,136800
10/1/2013,137037
11/1/2013,137311
12/1/2013,137395
1/1/2014,137539
2/1/2014,137761
3/1/2014,137964
4/1/2014,138268
5/1/2014,138497
6/1/2014,138764
7/1/2014,139007
8/1/2014,139187
9/1/2014,139435
