"","Features","L1","L2","Win1","Win2","WeightedWin1","WeightedWin2","Prediction"
"1","OneMonthBefore+TwoMonthBefore+ThreeMonthBefore","51.9606291050623","65.3607560857958","5","4","7","9","182.561174702798"
"2","NumTweets_Month1+NumDistinctTweets_Month1+NumPopularTweets_Month1+NumDistinctUsers_Month1+NumVerifiedTweets_Month1","45.4962354061536","56.4339824372654","7","6","8","7","276.047094081852"
"3","NumTweets_Month2+NumDistinctTweets_Month2+NumPopularTweets_Month2+NumDistinctUsers_Month2+NumVerifiedTweets_Month2","55.840561770325","66.565953666374","4","4","6","7","231.60241984904"
"4","NumTweets_Month3+NumDistinctTweets_Month3+NumPopularTweets_Month3+NumDistinctUsers_Month3+NumVerifiedTweets_Month3","44.1824562805486","60.2324909849701","8","7","9","8","241.493363171194"
"5","NumTweets_Month4+NumDistinctTweets_Month4+NumPopularTweets_Month4+NumDistinctUsers_Month4+NumVerifiedTweets_Month4","45.8138270880835","63.9888032942979","5","6","6","8","203.702748117226"
"6","NumTweets_Week1+NumDistinctTweets_Week1+NumPopularTweets_Week1+NumDistinctUsers_Week1+NumVerifiedTweets_Week1","44.642955450413","56.4196538566206","7","5","8","7","357.38335141207"
"7","NumTweets_Week2+NumDistinctTweets_Week2+NumPopularTweets_Week2+NumDistinctUsers_Week2+NumVerifiedTweets_Week2","46.552467775251","57.0988503825936","5","6","6","7","273.695803604477"
"8","NumTweets_Week3+NumDistinctTweets_Week3+NumPopularTweets_Week3+NumDistinctUsers_Week3+NumVerifiedTweets_Week3","52.9274891581043","63.2554304017265","6","3","8","6","231.988600587224"
"9","NumTweets_Week4+NumDistinctTweets_Week4+NumPopularTweets_Week4+NumDistinctUsers_Week4+NumVerifiedTweets_Week4","45.6388563598935","56.0260748623084","6","6","7","7","235.702340991282"
"10","NumTweets_Month1+NumTweets_Month2+NumTweets_Month3+NumTweets_Month4+NumTweets_Week1+NumTweets_Week2+NumTweets_Week3+NumTweets_Week4","60.1678660166081","70.0985252514816","4","2","7","7","175.766779418074"
