"","Features","L1","varL1","L2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"1","NumTweets_Month1_Log","61.3416168890409","1647.28249714952","72.6140683220701","4","2","7","7","-31.0569900687368","-20.3362101414673","162.043852669631"
"2","NumTweets_Month1_LogDelta","62.4484542079331","1693.91191606904","73.8414654695468","4","2","7","7","-33.4863610908168","-22.2747760174977","157.42882181333"
"3","NumTweets_Month1_Log+NumTweets_Month1_LogDelta","61.3357397800932","1647.98700479876","72.6135505864448","4","2","7","7","-31.8735490579323","-21.0057429675571","163.056249107302"
"4","NumTweets_Month2_Log","62.4875302015934","1694.76883874166","73.8798317057836","4","2","7","7","-32.4651471259305","-21.6372917394872","156.426325721485"
"5","NumTweets_Month2_LogDelta","63.0774765490075","1722.87793984837","74.5524837009803","4","2","7","7","-33.9655928116998","-23.2813174104638","153.589779238319"
"6","NumTweets_Month2_Log+NumTweets_Month2_LogDelta","62.2467399491321","1687.65915532592","73.6320414403742","4","2","7","7","-32.8086199839145","-22.5359239811671","157.400020997014"
"7","NumTweets_Month1_Log+NumTweets_Month2_Log","61.4148477676093","1649.50253615749","72.6899409670714","4","2","7","7","-32.0520196619409","-21.271444983611","163.18287724022"
"8","NumTweets_Month1_LogDelta+NumTweets_Month2_LogDelta","62.6267213183383","1704.35589018046","74.056954134978","4","2","7","7","-34.0294650002376","-23.1091986716602","156.78037206832"
"9","NumTweets_Month1_Log+NumTweets_Month2_Log+NumTweets_Month1_LogDelta+NumTweets_Month2_LogDelta","70.4119066119029","2060.04442998145","82.7418313402578","4","3","7","7","-35.8116937344145","-33.2475846677504","163.569234125681"
"10","NumTweets_Week1_Log","61.4033663362801","1668.74522038996","72.8014870460639","4","2","7","7","-31.0180473060348","-19.8266550047601","162.075174891018"
"11","NumTweets_Week1_LogDelta","62.6526841056682","1725.36121868201","74.2087592051627","4","2","7","7","-32.9794383361459","-21.6846802869235","157.338848266222"
"12","NumTweets_Week1_Log+NumTweets_Week1_LogDelta","62.2684804379218","1701.13102983499","73.7342102875587","4","2","7","7","-32.5900600025903","-21.7012267814154","161.604127016437"
"13","NumTweets_Month1_Log+NumTweets_Week1_Log","62.1035238960371","1628.83702614211","73.1433406921135","4","2","7","7","-32.3431225262795","-22.5490470652305","161.501737784363"
"14","NumTweets_Month1_LogDelta+NumTweets_Week1_LogDelta","62.5190838890755","1713.80698679465","74.0244931642518","4","2","7","7","-33.1966858517343","-21.8710555618463","157.999348807751"
"15","NumTweets_Month1_Log+NumTweets_Week1_Log+NumTweets_Month1_LogDelta+NumTweets_Week1_LogDelta","65.4878496160064","1652.52466671306","76.1805272044567","4","2","7","7","-35.9831180475774","-27.0283823776368","159.368427745608"
"16","NumTweets_Month2_Log+NumTweets_Week1_Log","61.3916344011045","1673.43593536551","72.8211213535647","4","2","7","7","-31.0762966015036","-19.7525842082799","162.116965888965"
"17","NumTweets_Month2_LogDelta+NumTweets_Week1_LogDelta","62.7863050482306","1730.21222476357","74.3515162878969","4","2","7","7","-33.6150390577046","-22.6692366263608","156.713895650591"
"18","NumTweets_Month2_Log+NumTweets_Week1_Log+NumTweets_Month2_LogDelta+NumTweets_Week1_LogDelta","63.5017416940944","1681.46743599136","74.6579958734644","4","2","7","7","-33.8097356541556","-24.3340189722897","160.897149663625"
"19","NumTweets_Month1_Log+NumTweets_Month2_Log+NumTweets_Week1_Log","62.8469235741971","1624.93105551709","73.7513114253908","4","2","7","7","-34.1727668618818","-24.462781307063","161.467841016066"
"20","NumTweets_Month1_LogDelta+NumTweets_Month2_LogDelta+NumTweets_Week1_LogDelta","62.6673748520709","1720.4129477796","74.1905996267807","4","2","7","7","-33.7555397670551","-22.7465086353573","157.359666319985"
"21","NumTweets_Month1_Log+NumTweets_Month2_Log+NumTweets_Week1_Log+NumTweets_Month1_LogDelta+NumTweets_Month2_LogDelta+NumTweets_Week1_LogDelta","72.5533957964965","2072.02104446495","84.6365634090606","4","2","7","7","-36.9716023546124","-34.5358635193133","162.973665367703"
"22","NumTweets_Week2_Log","61.7947972025359","1671.76006701567","73.1508283575807","4","2","7","7","-31.6527764727628","-20.3516137884176","160.92027412846"
"23","NumTweets_Week2_LogDelta","62.8192448576071","1707.67949173579","74.2403555480742","4","2","7","7","-33.005219705225","-20.8754895967639","155.879041137698"
"24","NumTweets_Week2_Log+NumTweets_Week2_LogDelta","62.3415546535951","1684.58777171185","73.6931129348579","4","2","7","7","-32.4898708541822","-20.6996573461321","160.46001884817"
"25","NumTweets_Month1_Log+NumTweets_Week2_Log","63.0608157598274","1648.38324223839","74.0789069597193","4","2","7","7","-33.2763908844329","-24.8721047115273","159.215286437581"
"26","NumTweets_Month1_LogDelta+NumTweets_Week2_LogDelta","62.4963929544093","1697.10468138972","73.9018161047876","4","2","7","7","-33.3579693977542","-21.8845475715218","157.498860892912"
"27","NumTweets_Month1_Log+NumTweets_Week2_Log+NumTweets_Month1_LogDelta+NumTweets_Week2_LogDelta","67.4382801036311","1703.87662477385","78.1652642122989","4","2","7","7","-36.080868496932","-28.0762449533616","154.498458661412"
