,Features,L1,L2,Win1,Win2,DirectionalWin1,DirectionalWin2,WeightedWin1,WeightedWin2,Prediction
1,NumTweets_Month1_Log,61.34161689,72.61406832,4,2,7,7,-31.05699007,-20.33621014,162.0438527
2,NumTweets_Month1_LogDelta,62.44845421,73.84146547,4,2,7,7,-33.48636109,-22.27477602,157.4288218
3,NumTweets_Month1_Log+NumTweets_Month1_LogDelta,61.33573978,72.61355059,4,2,7,7,-31.87354906,-21.00574297,163.0562491
4,NumTweets_Month2_Log,62.4875302,73.87983171,4,2,7,7,-32.46514713,-21.63729174,156.4263257
5,NumTweets_Month2_LogDelta,63.07747655,74.5524837,4,2,7,7,-33.96559281,-23.28131741,153.5897792
6,NumTweets_Month2_Log+NumTweets_Month2_LogDelta,62.24673995,73.63204144,4,2,7,7,-32.80861998,-22.53592398,157.400021
7,NumTweets_Month1_Log+NumTweets_Month2_Log,61.41484777,72.68994097,4,2,7,7,-32.05201966,-21.27144498,163.1828772
8,NumTweets_Month1_LogDelta+NumTweets_Month2_LogDelta,62.62672132,74.05695413,4,2,7,7,-34.029465,-23.10919867,156.7803721
9,NumTweets_Month1_Log+NumTweets_Month2_Log+NumTweets_Month1_LogDelta+NumTweets_Month2_LogDelta,70.41190661,82.74183134,4,3,7,7,-35.81169373,-33.24758467,163.5692341
10,NumTweets_Week1_Log,61.40336634,72.80148705,4,2,7,7,-31.01804731,-19.826655,162.0751749
11,NumTweets_Week1_LogDelta,62.65268411,74.20875921,4,2,7,7,-32.97943834,-21.68468029,157.3388483
12,NumTweets_Week1_Log+NumTweets_Week1_LogDelta,62.26848044,73.73421029,4,2,7,7,-32.59006,-21.70122678,161.604127
13,NumTweets_Month1_Log+NumTweets_Week1_Log,62.1035239,73.14334069,4,2,7,7,-32.34312253,-22.54904707,161.5017378
14,NumTweets_Month1_LogDelta+NumTweets_Week1_LogDelta,62.51908389,74.02449316,4,2,7,7,-33.19668585,-21.87105556,157.9993488
15,NumTweets_Month1_Log+NumTweets_Week1_Log+NumTweets_Month1_LogDelta+NumTweets_Week1_LogDelta,65.48784962,76.1805272,4,2,7,7,-35.98311805,-27.02838238,159.3684277
16,NumTweets_Month2_Log+NumTweets_Week1_Log,61.3916344,72.82112135,4,2,7,7,-31.0762966,-19.75258421,162.1169659
17,NumTweets_Month2_LogDelta+NumTweets_Week1_LogDelta,62.78630505,74.35151629,4,2,7,7,-33.61503906,-22.66923663,156.7138957
18,NumTweets_Month2_Log+NumTweets_Week1_Log+NumTweets_Month2_LogDelta+NumTweets_Week1_LogDelta,63.50174169,74.65799587,4,2,7,7,-33.80973565,-24.33401897,160.8971497
19,NumTweets_Month1_Log+NumTweets_Month2_Log+NumTweets_Week1_Log,62.84692357,73.75131143,4,2,7,7,-34.17276686,-24.46278131,161.467841
20,NumTweets_Month1_LogDelta+NumTweets_Month2_LogDelta+NumTweets_Week1_LogDelta,62.66737485,74.19059963,4,2,7,7,-33.75553977,-22.74650864,157.3596663
21,NumTweets_Month1_Log+NumTweets_Month2_Log+NumTweets_Week1_Log+NumTweets_Month1_LogDelta+NumTweets_Month2_LogDelta+NumTweets_Week1_LogDelta,72.5533958,84.63656341,4,2,7,7,-36.97160235,-34.53586352,162.9736654
22,NumTweets_Week2_Log,61.7947972,73.15082836,4,2,7,7,-31.65277647,-20.35161379,160.9202741
23,NumTweets_Week2_LogDelta,62.81924486,74.24035555,4,2,7,7,-33.00521971,-20.8754896,155.8790411
24,NumTweets_Week2_Log+NumTweets_Week2_LogDelta,62.34155465,73.69311293,4,2,7,7,-32.48987085,-20.69965735,160.4600188
25,NumTweets_Month1_Log+NumTweets_Week2_Log,63.06081576,74.07890696,4,2,7,7,-33.27639088,-24.87210471,159.2152864
26,NumTweets_Month1_LogDelta+NumTweets_Week2_LogDelta,62.49639295,73.9018161,4,2,7,7,-33.3579694,-21.88454757,157.4988609
27,NumTweets_Month1_Log+NumTweets_Week2_Log+NumTweets_Month1_LogDelta+NumTweets_Week2_LogDelta,67.4382801,78.16526421,4,2,7,7,-36.0808685,-28.07624495,154.4984587
28,NumTweets_Month2_Log+NumTweets_Week2_Log,61.77079653,73.13396095,4,2,7,7,-31.66994177,-20.16888818,161.2005964
29,NumTweets_Month2_LogDelta+NumTweets_Week2_LogDelta,62.95319949,74.4118245,4,2,7,7,-33.92018629,-22.40431983,155.4391472
30,NumTweets_Month2_Log+NumTweets_Week2_Log+NumTweets_Month2_LogDelta+NumTweets_Week2_LogDelta,64.20344423,75.22801704,4,2,7,7,-34.71643529,-24.76437851,158.2915954
31,NumTweets_Month1_Log+NumTweets_Month2_Log+NumTweets_Week2_Log,63.14426575,74.16708281,4,2,7,7,-34.02721013,-25.30280289,160.3408497
32,NumTweets_Month1_LogDelta+NumTweets_Month2_LogDelta+NumTweets_Week2_LogDelta,62.69209649,74.13629218,4,2,7,7,-33.94986717,-22.75744193,156.8451902
