"","Features","L1","L2","Win1","Win2","WeightedWin1","WeightedWin2","Prediction"
"1","Autos","49.6468343427895","62.6656928813556","7","5","8","7","183.540420764404"
"2","Bus","43.9682817709396","61.9812520002305","5","8","5","8","202.575310391678"
"3","Autos+Bus","47.7570964320751","63.591479637763","4","4","5","5","205.150315901132"
"4","ClothesAndShoes","50.3178928890229","63.4391050765116","6","5","8","7","189.836130248272"
"5","Autos+ClothesAndShoes","58.2939685367208","67.6015840213","4","2","7","7","171.56449965877"
"6","Bus+ClothesAndShoes","43.3208437041882","62.2485204815479","5","6","6","7","188.631653875459"
"7","Commerce","48.3840449516753","62.4452893653011","7","6","8","7","209.107657560527"
"8","Autos+Commerce","55.1693237465547","66.3045208207218","5","3","7","7","193.423255646986"
"9","Bus+Commerce","39.5759751163229","59.113676080892","8","6","9","8","156.358652866362"
"10","ClothesAndShoes+Commerce","51.8029087212219","65.4835873076728","6","6","7","7","217.337192070171"
"11","ConsumerElectronics","45.4165326984216","59.106301917729","7","6","8","8","193.900938341364"
"12","Autos+ConsumerElectronics","47.6506218924894","60.979049921073","7","7","8","8","196.098719349361"
"13","Bus+ConsumerElectronics","49.3028968603442","66.3658420116091","5","5","6","6","197.348730448999"
"14","ClothesAndShoes+ConsumerElectronics","44.1727003975797","55.9176069923941","6","6","8","8","180.58600773279"
"15","Commerce+ConsumerElectronics","48.1824244236974","59.5911827605999","4","4","7","8","169.808105562071"
"16","Education","52.9368236427331","67.4707808173598","7","3","8","6","182.150145769375"
"17","Autos+Education","49.8576795551935","64.5757162709988","7","5","8","7","183.475703251283"
"18","Bus+Education","42.4163732753123","56.2279486731585","6","5","8","5","205.605788611163"
"19","ClothesAndShoes+Education","53.7801643810527","69.1602235447714","5","3","6","6","186.574481451541"
"20","Commerce+Education","51.6684549154516","67.444881140712","7","5","8","7","208.199883253447"
"21","ConsumerElectronics+Education","45.8430842105866","61.0357450325892","8","5","9","7","195.312330768773"
"22","Finance","58.8387643355654","71.379828978941","4","2","7","7","191.637154054813"
"23","Autos+Finance","53.2470711687452","63.4611876453629","5","4","8","7","146.140620356066"
"24","Bus+Finance","41.6799833958783","59.7414402567956","6","8","7","8","166.787833163565"
"25","ClothesAndShoes+Finance","51.1917214855856","62.5387600245952","5","4","8","7","158.47599502385"
"26","Commerce+Finance","47.4149115597328","61.0697194218997","4","4","6","7","176.133178453569"
"27","ConsumerElectronics+Finance","45.2671235144594","57.218466254215","5","5","8","8","156.5629616633"
"28","Education+Finance","53.5919370248651","68.6101784603","3","2","6","6","154.510070878352"
"29","Flight","55.6520354111147","67.5569198661767","5","4","8","7","170.39711047457"
"30","Autos+Flight","41.4811129012151","52.9486987207526","8","5","8","6","211.767274596722"
"31","Bus+Flight","49.5400654260628","62.4092929599357","2","4","4","5","214.566954531953"
"32","ClothesAndShoes+Flight","53.9477830057719","65.4388942512544","5","3","7","7","194.308520036229"
"33","Commerce+Flight","50.189082294859","63.00468732958","6","5","7","7","221.339851855844"
"34","ConsumerElectronics+Flight","40.2774493151067","54.2823373181455","7","6","8","7","209.828103699148"
"35","Education+Flight","52.9820861700715","68.1935477782101","6","3","7","6","183.387936946055"
"36","Finance+Flight","58.8510816792","69.2919328366244","5","3","8","7","156.230659012438"
"37","Health","52.6455258220054","65.2407452779733","7","4","8","7","190.819482445748"
"38","Autos+Health","55.1437826699366","65.0247368973789","5","4","8","7","157.183584324043"
"39","Bus+Health","43.0458574412241","59.6135497463711","4","5","6","6","186.647533892909"
"40","ClothesAndShoes+Health","52.0073293301104","64.5151470859891","7","5","8","7","190.188683241309"
"41","Commerce+Health","48.6622510765624","62.48384783447","6","6","7","8","217.408978567673"
"42","ConsumerElectronics+Health","41.5492963568677","55.2103008819505","6","6","8","8","181.956831648863"
"43","Education+Health","52.2715430834601","68.6662548090681","5","3","6","6","183.28798131689"
"44","Finance+Health","53.8464442672099","64.3575611071507","5","3","8","7","144.676017967932"
"45","Flight+Health","53.8861532489399","66.0639867756423","6","4","8","7","197.49113423518"
"46","Hotel","50.6365984085678","65.8005189248773","8","4","9","6","182.917906854695"
"47","Autos+Hotel","58.2717175065721","74.9376209309609","4","2","7","6","181.009486940998"
"48","Bus+Hotel","47.9916497218485","60.7004494225642","2","3","3","4","210.944606937945"
"49","ClothesAndShoes+Hotel","65.4360795924213","76.9555236524421","3","2","6","6","170.906288842718"
"50","Commerce+Hotel","66.3737582257897","78.4185088669887","4","3","7","7","182.822170851296"
"51","ConsumerElectronics+Hotel","59.3569334845871","73.2597554453716","5","2","7","6","189.84725598207"
"52","Education+Hotel","53.2806976599484","67.1331241033173","5","4","8","7","178.845190937043"
"53","Finance+Hotel","55.102492063446","68.6760990525803","5","3","8","6","148.774919302786"
"54","Flight+Hotel","51.1172900753415","70.7706575235584","5","6","7","8","197.699068563436"
"55","Health+Hotel","59.3504228800002","75.3006520444853","5","3","8","6","160.792396139752"
"56","Jobs","47.7261649888908","62.4040715981386","7","5","8","7","196.091530041708"
"57","Autos+Jobs","49.7229020777553","64.9196447811272","7","4","8","6","196.786611635297"
"58","Bus+Jobs","42.9269869496465","60.0112515311074","8","5","8","6","193.607171979972"
"59","ClothesAndShoes+Jobs","49.4013611744872","64.5432252320905","5","4","6","7","193.15513781145"
"60","Commerce+Jobs","49.3528268271342","63.1298959837328","6","4","7","7","187.636945459609"
"61","ConsumerElectronics+Jobs","46.7255531038896","61.9056616652981","7","5","8","7","195.489099138999"
"62","Education+Jobs","47.2744302508307","61.7592285978021","7","4","8","7","201.54126272651"
"63","Finance+Jobs","48.1833393193236","62.4757497869797","4","4","7","7","160.669412820957"
"64","Flight+Jobs","46.3034634499085","63.2026136824807","4","5","5","6","214.974954247676"
"65","Health+Jobs","44.9631063825753","63.2158058533559","5","5","7","7","186.474528559269"
"66","Hotel+Jobs","57.633223649344","71.7288719601669","6","3","8","7","189.518249953506"
"67","Nightlife","52.9328682501415","66.0744902340604","6","4","8","7","171.493868654071"
"68","Autos+Nightlife","46.2795513104132","58.7752480704163","7","5","8","7","203.596075141741"
"69","Bus+Nightlife","50.6546517983847","63.6277498482556","3","4","5","5","220.263561320481"
"70","ClothesAndShoes+Nightlife","60.9800722251853","71.8927952791538","4","3","7","7","183.731342999874"
"71","Commerce+Nightlife","51.9933914347115","65.652216961583","5","5","7","7","213.865659595907"
"72","ConsumerElectronics+Nightlife","42.119790911068","55.4183717862739","7","7","8","8","215.938082635118"
"73","Education+Nightlife","52.826797857482","67.7103961184806","8","3","9","6","180.355604717056"
"74","Finance+Nightlife","56.5785264200261","67.6058567660414","5","3","8","7","145.197009725986"
"75","Flight+Nightlife","48.8112875839236","64.8766612574398","7","4","8","7","168.824682705967"
"76","Health+Nightlife","54.7785664119276","67.8735596490443","4","3","7","7","177.044319133276"
"77","Hotel+Nightlife","60.0126504961137","76.6233823094469","4","3","6","6","207.346552188377"
"78","Jobs+Nightlife","48.0466164217313","62.9762547508664","6","6","7","7","207.169701350641"
"79","Nutrition","57.1284823825506","69.2520146045851","4","4","7","7","180.263470394215"
"80","Autos+Nutrition","46.4085059551822","60.3725777839308","7","6","8","8","175.57329752529"
"81","Bus+Nutrition","46.5741024195863","61.7238608735537","2","4","3","5","196.233258425324"
"82","ClothesAndShoes+Nutrition","54.8478072106879","66.463299548412","5","3","7","7","189.769302973288"
