"","Features","L1","L2","Win1","Win2","WeightedWin1","WeightedWin2","Prediction"
"1","NumTweets_Month1_Absolute","62.827756005271","74.2736395398667","4","2","7","7","153.053110356875"
"2","NumTweets_Month1_Log","61.3416168890409","72.6140683220701","4","2","7","7","162.043852669631"
"3","NumTweets_Month1_Absolute+NumTweets_Month1_Log","54.0869770218017","65.8697976312959","5","3","8","7","171.926333795693"
"4","NumTweets_Month1_Delta","62.826881951829","74.2466018538525","4","2","7","7","155.153638547159"
"5","NumTweets_Month1_Absolute+NumTweets_Month1_Delta","62.3166079217887","73.8296666717337","4","2","7","7","154.171056660976"
"6","NumTweets_Month1_Log+NumTweets_Month1_Delta","61.3484092280176","72.618687897616","4","2","7","7","162.354896814907"
"7","NumTweets_Month1_Absolute+NumTweets_Month1_Log+NumTweets_Month1_Delta","51.1773148395034","63.3683367332217","6","5","8","7","178.94683874658"
"8","NumTweets_Month1_LogDelta","62.4484542079331","73.8414654695468","4","2","7","7","157.42882181333"
"9","NumTweets_Month1_Absolute+NumTweets_Month1_LogDelta","61.6981792898308","73.2570760279541","4","2","7","7","156.154588766466"
"10","NumTweets_Month1_Log+NumTweets_Month1_LogDelta","61.3357397800932","72.6135505864448","4","2","7","7","163.056249107302"
"11","NumTweets_Month1_Absolute+NumTweets_Month1_Log+NumTweets_Month1_LogDelta","53.3646247947326","65.2601302170525","5","3","8","7","174.288749923862"
"12","NumTweets_Month1_Delta+NumTweets_Month1_LogDelta","62.4090737957319","73.8099933598642","4","2","7","7","157.147805951164"
"13","NumTweets_Month1_Absolute+NumTweets_Month1_Delta+NumTweets_Month1_LogDelta","61.8400875007856","73.3502500508633","4","2","7","7","156.140719417503"
"14","NumTweets_Month1_Log+NumTweets_Month1_Delta+NumTweets_Month1_LogDelta","61.3144917199834","72.6012533293754","4","2","7","7","162.730639939439"
"15","NumTweets_Month1_Absolute+NumTweets_Month1_Log+NumTweets_Month1_Delta+NumTweets_Month1_LogDelta","51.3089625865219","63.4797341778175","6","5","8","7","179.101541551106"
"16","NumTweets_Month2_Absolute","62.2070992160888","73.7839647013492","4","2","7","7","153.661307693463"
"17","NumTweets_Month2_Log","62.4875302015934","73.8798317057836","4","2","7","7","156.426325721485"
"18","NumTweets_Month2_Absolute+NumTweets_Month2_Log","56.0961788736719","67.9326630964561","5","3","8","7","168.696813079946"
"19","NumTweets_Month2_Delta","62.9368586433096","74.3767984259883","4","2","7","7","153.91368895568"
"20","NumTweets_Month2_Absolute+NumTweets_Month2_Delta","61.9041643571906","73.5372621235902","4","2","7","7","153.780613663141"
"21","NumTweets_Month2_Log+NumTweets_Month2_Delta","62.4917526884352","73.8845573076338","4","2","7","7","156.436449891497"
"22","NumTweets_Month2_Absolute+NumTweets_Month2_Log+NumTweets_Month2_Delta","54.3442976015494","66.1312009339659","5","3","8","7","172.230051565074"
"23","NumTweets_Month2_LogDelta","63.0774765490075","74.5524837009803","4","2","7","7","153.589779238319"
"24","NumTweets_Month2_Absolute+NumTweets_Month2_LogDelta","62.725330539744","74.2219572906168","4","2","7","7","153.498401343803"
"25","NumTweets_Month2_Log+NumTweets_Month2_LogDelta","62.2467399491321","73.6320414403742","4","2","7","7","157.400020997014"
"26","NumTweets_Month2_Absolute+NumTweets_Month2_Log+NumTweets_Month2_LogDelta","56.181818667579","68.2194911545646","5","3","8","7","168.722902909808"
"27","NumTweets_Month2_Delta+NumTweets_Month2_LogDelta","63.0369032380866","74.5319030295705","4","2","7","7","153.719503502802"
"28","NumTweets_Month2_Absolute+NumTweets_Month2_Delta+NumTweets_Month2_LogDelta","62.0584817834379","73.732891110364","4","2","7","7","153.594063225464"
"29","NumTweets_Month2_Log+NumTweets_Month2_Delta+NumTweets_Month2_LogDelta","62.1748207494873","73.5772972506214","4","2","7","7","157.632215032197"
"30","NumTweets_Month2_Absolute+NumTweets_Month2_Log+NumTweets_Month2_Delta+NumTweets_Month2_LogDelta","50.3812674474586","63.2696814505563","6","5","8","7","179.317987515483"
"31","NumTweets_Month1_Absolute+NumTweets_Month2_Absolute","62.3331602953008","73.849483579036","4","2","7","7","154.165072081022"
"32","NumTweets_Month1_Log+NumTweets_Month2_Log","61.4148477676093","72.6899409670714","4","2","7","7","163.18287724022"
"33","NumTweets_Month1_Absolute+NumTweets_Month2_Absolute+NumTweets_Month1_Log+NumTweets_Month2_Log","51.5302154698847","63.6753592530387","6","5","8","7","178.954724825742"
"34","NumTweets_Month1_Delta+NumTweets_Month2_Delta","62.753024194994","74.1687540217117","4","2","7","7","155.68021121011"
"35","NumTweets_Month1_Absolute+NumTweets_Month2_Absolute+NumTweets_Month1_Delta+NumTweets_Month2_Delta","64.8201791057216","76.2146104220504","4","2","7","7","154.455283025512"
"36","NumTweets_Month1_Log+NumTweets_Month2_Log+NumTweets_Month1_Delta+NumTweets_Month2_Delta","61.4424681618936","72.7288744235145","4","2","7","7","162.788747968644"
"37","NumTweets_Month1_Absolute+NumTweets_Month2_Absolute+NumTweets_Month1_Log+NumTweets_Month2_Log+NumTweets_Month1_Delta+NumTweets_Month2_Delta","52.7599167175841","65.2743055738359","6","5","8","7","181.863277259098"
"38","NumTweets_Month1_LogDelta+NumTweets_Month2_LogDelta","62.6267213183383","74.056954134978","4","2","7","7","156.78037206832"
"39","NumTweets_Month1_Absolute+NumTweets_Month2_Absolute+NumTweets_Month1_LogDelta+NumTweets_Month2_LogDelta","62.2193743495379","73.6958629369181","4","2","7","7","155.697464355401"
"40","NumTweets_Month1_Log+NumTweets_Month2_Log+NumTweets_Month1_LogDelta+NumTweets_Month2_LogDelta","70.4119066119029","82.7418313402578","4","3","7","7","163.569234125681"
"41","NumTweets_Month1_Absolute+NumTweets_Month2_Absolute+NumTweets_Month1_Log+NumTweets_Month2_Log+NumTweets_Month1_LogDelta+NumTweets_Month2_LogDelta","59.7984548631009","74.4718480255819","4","3","7","7","179.599721924385"
"42","NumTweets_Month1_Delta+NumTweets_Month2_Delta+NumTweets_Month1_LogDelta+NumTweets_Month2_LogDelta","62.5718992510728","74.0256761114636","4","2","7","7","156.819492393"
