"","Features","L1","L2","Win1","Win2","WeightedWin1","WeightedWin2","Prediction"
"1","OneMonthBefore+TwoMonthBefore+ThreeMonthBefore","52.1732381874894","65.3588806963512","5","4","7","9","177.361995226889"
"2","OneMonthBefore","47.0571146616912","62.362279720256","5","6","7","8","177.96618120938"
"3","OneMonthBefore+TwoMonthBefore","47.1357389802993","63.6559868470605","5","6","7","9","180.975255698405"
"4","Finance","59.676086768056","71.6748635810289","4","2","7","7","186.546610100333"
"5","OneMonthBefore+TwoMonthBefore+ThreeMonthBefore+Finance","50.3378097616951","64.642161946355","5","4","7","9","197.786149021301"
"6","OneMonthBefore+TwoMonthBefore+Finance","48.269763990835","63.7220029845224","5","5","7","8","194.122451309173"
"7","OneMonthBefore+Finance","48.0596245737673","62.3198963517855","5","4","7","7","191.656575473116"
"8","University","47.7476056826691","62.5773338504798","7","5","8","7","197.668308083361"
"9","OneMonthBefore+TwoMonthBefore+ThreeMonthBefore+University","41.69988253011","58.8385413517278","8","5","8","7","195.054457536633"
"10","OneMonthBefore+TwoMonthBefore+University","43.7407214672565","59.6881364466763","8","5","9","7","195.915534362408"
"11","OneMonthBefore+University","44.2323567937719","58.7357647712234","7","5","8","7","199.896195386037"
"12","University+Finance","50.4047002077437","62.4550497614472","5","4","7","8","158.936979438385"
"13","OneMonthBefore+TwoMonthBefore+ThreeMonthBefore+University+Finance","49.4219261320221","62.3206168855573","5","4","7","7","156.455017868575"
"14","OneMonthBefore+TwoMonthBefore+University+Finance","44.1353887770142","60.0342822253253","7","5","9","8","157.520032627203"
"15","OneMonthBefore+University+Finance","44.1313387335616","58.6622889275101","6","5","8","8","169.613361268719"
